size temperature m m^2 m^4 mag_sus
16 1.5 0.986195 0.972742 0.946843 0.0275012 
16 1.5 0.986533 0.9734 0.948094 0.0261158 
16 1.5 0.986437 0.973212 0.947729 0.0261573 
16 1.5 0.986496 0.973334 0.947989 0.0272311 
16 1.5 0.986473 0.973292 0.947921 0.0278938 
16 1.5 0.986421 0.973194 0.947746 0.028599 
16 1.5 0.98672 0.973775 0.94884 0.0269154 
16 1.5 0.986599 0.973536 0.948374 0.0269005 
16 1.5 0.986266 0.972885 0.947136 0.0282087 
16 1.5 0.986495 0.973336 0.948013 0.0281218 
16 1.6 0.979423 0.959547 0.921767 0.0443545 
16 1.6 0.979598 0.959889 0.922427 0.044445 
16 1.6 0.979666 0.960015 0.922645 0.0433128 
16 1.6 0.979814 0.960303 0.923184 0.0427869 
16 1.6 0.979561 0.95982 0.922304 0.0449189 
16 1.6 0.979484 0.959665 0.921988 0.0440149 
16 1.6 0.979749 0.960176 0.922941 0.0427316 
16 1.6 0.979363 0.959428 0.921532 0.0440564 
16 1.6 0.979934 0.960537 0.923632 0.042753 
16 1.6 0.97991 0.960493 0.923556 0.0430653 
16 1.7 0.970448 0.942218 0.889418 0.0676754 
16 1.7 0.970054 0.941472 0.888071 0.07046 
16 1.7 0.970133 0.941617 0.888316 0.0691183 
16 1.7 0.970248 0.941835 0.888707 0.0681876 
16 1.7 0.970217 0.941761 0.888523 0.0662714 
16 1.7 0.970545 0.942398 0.889725 0.0664149 
16 1.7 0.969991 0.941351 0.887851 0.0707039 
16 1.7 0.970046 0.941458 0.888051 0.0706064 
