size temperature m m^2 m^4 mag_sus
32 2 0.912031 0.832511 0.695367 0.363879 
32 2 0.911507 0.831578 0.693881 0.375408 
32 2 0.910922 0.830555 0.692308 0.39736 
32 2 0.911319 0.831274 0.693495 0.395547 
32 2 0.911586 0.831757 0.694271 0.393606 
32 2.001 0.910497 0.829816 0.691162 0.415077 
32 2.001 0.910829 0.830382 0.692008 0.395093 
32 2.001 0.910935 0.830569 0.692298 0.392555 
32 2.001 0.911081 0.830819 0.692666 0.383435 
32 2.001 0.911064 0.83082 0.692767 0.400365 
32 2.002 0.91047 0.82974 0.690975 0.401885 
32 2.002 0.910639 0.830015 0.69133 0.38406 
32 2.002 0.910353 0.829535 0.69066 0.405354 
32 2.002 0.910571 0.829938 0.691344 0.4083 
32 2.002 0.910488 0.829777 0.691046 0.403332 
32 2.003 0.909981 0.828846 0.689479 0.398648 
32 2.003 0.910358 0.829493 0.690448 0.379137 
32 2.003 0.910251 0.829317 0.690209 0.389136 
32 2.003 0.909806 0.828531 0.688967 0.400357 
32 2.003 0.910483 0.829751 0.690963 0.394896 
32 2.004 0.910404 0.829601 0.690689 0.391816 
32 2.004 0.90974 0.828385 0.688643 0.387135 
32 2.004 0.909663 0.828284 0.688591 0.406953 
32 2.004 0.910375 0.829549 0.690605 0.391206 
32 2.004 0.908831 0.826776 0.686109 0.409318 
32 2.005 0.90995 0.828766 0.689279 0.3865 
32 2.005 0.909662 0.828272 0.688544 0.402115 
32 2.005 0.909623 0.828197 0.688415 0.40014 
32 2.005 0.90984 0.828575 0.688986 0.390775 
32 2.005 0.909972 0.828819 0.689402 0.392995 
32 2.006 0.909382 0.827777 0.687751 0.408815 
32 2.006 0.909788 0.828504 0.688936 0.403443 
32 2.006 0.909482 0.827947 0.688015 0.4032 
32 2.006 0.909293 0.827602 0.687453 0.402558 
32 2.006 0.909375 0.827746 0.687658 0.399526 
32 2.007 0.9086 0.826353 0.685403 0.408224 
32 2.007 0.909104 0.827257 0.686873 0.40167 
32 2.007 0.909157 0.827357 0.687037 0.403514 
32 2.007 0.908767 0.826651 0.685884 0.404999 
32 2.007 0.909091 0.827221 0.686768 0.394945 
32 2.008 0.908161 0.825578 0.684192 0.418845 
32 2.008 0.908712 0.826565 0.685782 0.411628 
32 2.008 0.908762 0.826614 0.685743 0.390712 
32 2.008 0.908682 0.826509 0.685687 0.410613 
32 2.008 0.908885 0.826845 0.686142 0.394753 
32 2.009 0.908092 0.825449 0.683971 0.416753 
32 2.009 0.90785 0.824988 0.683152 0.405936 
32 2.009 0.908287 0.825815 0.684579 0.423216 
32 2.009 0.90863 0.826409 0.685488 0.407579 
32 2.009 0.908425 0.826032 0.684863 0.405296 
32 2.01 0.907983 0.825245 0.683611 0.413751 
32 2.01 0.908253 0.825742 0.68445 0.417183 
32 2.01 0.908169 0.825559 0.684064 0.401643 
32 2.01 0.908119 0.825468 0.683919 0.40184 
32 2.01 0.908075 0.825404 0.68385 0.409385 
32 2.011 0.907772 0.824986 0.683411 0.476878 
32 2.011 0.907424 0.824252 0.682029 0.424273 
32 2.011 0.906732 0.823013 0.680048 0.432983 
32 2.011 0.907952 0.825177 0.683467 0.407628 
32 2.011 0.90776 0.824832 0.682904 0.408835 
32 2.012 0.906818 0.823148 0.680201 0.42214 
32 2.012 0.9072 0.823868 0.681471 0.436142 
32 2.012 0.907424 0.824213 0.68186 0.404269 
32 2.012 0.907217 0.823836 0.681236 0.404224 
32 2.012 0.907152 0.823772 0.681286 0.431007 
32 2.013 0.906968 0.823408 0.680596 0.415697 
32 2.013 0.906741 0.823004 0.67995 0.418987 
32 2.013 0.906764 0.823064 0.680096 0.428936 
32 2.013 0.90669 0.822923 0.679857 0.425697 
32 2.013 0.907119 0.823697 0.68112 0.423741 
32 2.014 0.906367 0.822364 0.678998 0.438771 
32 2.014 0.90685 0.823204 0.680273 0.420121 
32 2.014 0.906164 0.82201 0.678462 0.445609 
32 2.014 0.906397 0.822394 0.678978 0.426008 
32 2.014 0.90681 0.823132 0.680174 0.4213 
32 2.015 0.906533 0.822646 0.67941 0.428439 
32 2.015 0.905635 0.821048 0.676861 0.443858 
32 2.015 0.906317 0.822293 0.678937 0.44838 
32 2.015 0.90612 0.821894 0.678165 0.427244 
32 2.015 0.906199 0.822059 0.678498 0.438284 
32 2.016 0.905726 0.821184 0.677014 0.428511 
32 2.016 0.90571 0.821163 0.677009 0.433425 
32 2.016 0.906224 0.822068 0.678409 0.419015 
32 2.016 0.906188 0.822001 0.678296 0.418518 
32 2.016 0.90582 0.821363 0.677325 0.433002 
32 2.017 0.905444 0.820724 0.676396 0.455009 
32 2.017 0.905748 0.821211 0.677018 0.422152 
32 2.017 0.905742 0.821258 0.677272 0.452035 
32 2.017 0.905553 0.820891 0.676593 0.439662 
32 2.017 0.905172 0.820207 0.675476 0.442163 
32 2.018 0.905314 0.820471 0.675943 0.445501 
32 2.018 0.90488 0.819692 0.674674 0.448401 
32 2.018 0.905033 0.819947 0.675025 0.437351 
32 2.018 0.905503 0.820801 0.676442 0.439246 
32 2.018 0.905697 0.82117 0.677084 0.448028 
32 2.019 0.904523 0.819036 0.673574 0.443788 
32 2.019 0.905042 0.819975 0.675112 0.44352 
32 2.019 0.904903 0.819729 0.674731 0.446138 
32 2.019 0.904586 0.81915 0.673755 0.443133 
32 2.019 0.905066 0.820008 0.675135 0.43809 
32 2.02 0.904497 0.81902 0.673633 0.459118 
32 2.02 0.903774 0.817697 0.671424 0.45117 
32 2.02 0.904442 0.818923 0.673477 0.460491 
32 2.02 0.904574 0.819165 0.673866 0.461422 
32 2.02 0.904269 0.818608 0.672964 0.459685 
32 2.021 0.903746 0.817656 0.671387 0.455783 
32 2.021 0.904154 0.818376 0.672507 0.446662 
32 2.021 0.904305 0.818671 0.673061 0.457363 
32 2.021 0.904127 0.81836 0.672578 0.46335 
32 2.021 0.904293 0.818649 0.673032 0.458249 
32 2.022 0.903771 0.81768 0.671376 0.444461 
32 2.022 0.903733 0.817653 0.67143 0.465804 
32 2.022 0.903488 0.817174 0.670553 0.447688 
32 2.022 0.903146 0.81661 0.669783 0.47502 
32 2.022 0.903455 0.817136 0.670548 0.457724 
32 2.023 0.903626 0.817424 0.670961 0.447896 
32 2.023 0.903587 0.817389 0.671002 0.465315 
32 2.023 0.903409 0.817057 0.670418 0.460534 
32 2.023 0.903707 0.817592 0.671312 0.458929 
32 2.023 0.90333 0.816878 0.670038 0.441777 
32 2.024 0.902529 0.81548 0.66789 0.465933 
32 2.024 0.90283 0.816005 0.6687 0.456627 
32 2.024 0.902932 0.816207 0.669088 0.465616 
32 2.024 0.902969 0.816328 0.66939 0.4932 
32 2.024 0.902971 0.816327 0.669362 0.491479 
32 2.025 0.90264 0.815631 0.667999 0.441246 
32 2.025 0.902716 0.815809 0.668409 0.462023 
32 2.025 0.902857 0.816066 0.668831 0.462988 
32 2.025 0.902852 0.816039 0.66873 0.453349 
32 2.025 0.902852 0.816039 0.668731 0.453598 
32 2.026 0.902714 0.815842 0.66853 0.479485 
32 2.026 0.902103 0.814737 0.666743 0.478487 
32 2.026 0.902378 0.815191 0.667377 0.45761 
32 2.026 0.902438 0.815319 0.667625 0.466832 
32 2.026 0.902412 0.815294 0.667635 0.478846 
32 2.027 0.902414 0.815253 0.667451 0.455176 
32 2.027 0.901895 0.814362 0.666143 0.478564 
32 2.027 0.90185 0.814283 0.666012 0.480246 
32 2.027 0.901722 0.814045 0.665605 0.475904 
32 2.027 0.901882 0.814374 0.666232 0.496109 
32 2.028 0.900915 0.81266 0.663518 0.510966 
32 2.028 0.901556 0.813707 0.664947 0.456029 
32 2.028 0.901435 0.813526 0.664749 0.47494 
32 2.028 0.900957 0.812668 0.663373 0.476864 
32 2.028 0.901666 0.813944 0.665446 0.476308 
32 2.029 0.901312 0.813343 0.664561 0.493885 
32 2.029 0.900997 0.81276 0.663576 0.48691 
32 2.029 0.900781 0.812335 0.662797 0.469199 
32 2.029 0.901482 0.813601 0.664862 0.469996 
32 2.029 0.900655 0.812152 0.662614 0.490272 
32 2.03 0.900841 0.812456 0.663017 0.474536 
32 2.03 0.900486 0.811856 0.662151 0.495248 
32 2.03 0.900851 0.812498 0.663146 0.487089 
32 2.03 0.900715 0.812282 0.662882 0.501388 
32 2.03 0.901036 0.812796 0.663528 0.469441 
32 2.031 0.900629 0.812102 0.662516 0.489145 
32 2.031 0.900308 0.81153 0.66162 0.491584 
32 2.031 0.899954 0.810929 0.660743 0.510458 
32 2.031 0.900624 0.812082 0.662458 0.483017 
32 2.031 0.90037 0.811672 0.661879 0.50775 
32 2.032 0.90026 0.81146 0.66154 0.500379 
32 2.032 0.900106 0.811193 0.661137 0.505365 
32 2.032 0.900279 0.811465 0.661473 0.485039 
32 2.032 0.900807 0.812387 0.66289 0.47072 
32 2.032 0.900031 0.811032 0.660796 0.492009 
32 2.033 0.900231 0.811381 0.661343 0.486454 
32 2.033 0.899514 0.810112 0.659329 0.49682 
32 2.033 0.899157 0.809488 0.658369 0.506095 
