size temperature m m^2 m^4 mag_sus
48 2 0.911064 0.830375 0.690621 0.388735 
48 2 0.911347 0.830881 0.691437 0.377675 
48 2 0.911348 0.830894 0.691491 0.390928 
48 2 0.911137 0.830504 0.69083 0.384926 
48 2 0.911463 0.831102 0.691832 0.388158 
48 2.001 0.910932 0.830141 0.690259 0.39694 
48 2.001 0.911002 0.830259 0.690421 0.384574 
48 2.001 0.911009 0.830272 0.690447 0.385385 
48 2.001 0.911187 0.830598 0.690992 0.386745 
48 2.001 0.910702 0.82971 0.689501 0.381565 
48 2.002 0.910823 0.829943 0.689925 0.395199 
48 2.002 0.911105 0.830448 0.690742 0.386045 
48 2.002 0.910503 0.829355 0.688938 0.39072 
48 2.002 0.910697 0.829721 0.689583 0.405157 
48 2.002 0.910782 0.829872 0.68982 0.399658 
48 2.003 0.910241 0.828871 0.688113 0.382311 
48 2.003 0.910236 0.828869 0.688133 0.390882 
48 2.003 0.910068 0.828569 0.687651 0.396259 
48 2.003 0.910218 0.828852 0.688151 0.408084 
48 2.003 0.910179 0.828779 0.688022 0.405816 
48 2.004 0.909851 0.828174 0.686995 0.39612 
48 2.004 0.910048 0.82853 0.687582 0.394404 
48 2.004 0.909843 0.828168 0.687014 0.407081 
48 2.004 0.910112 0.828639 0.687738 0.385081 
48 2.004 0.910165 0.828742 0.687924 0.391884 
48 2.005 0.909725 0.827952 0.68665 0.40524 
48 2.005 0.909576 0.827676 0.686182 0.40014 
48 2.005 0.90972 0.827931 0.686583 0.392015 
48 2.005 0.910137 0.828698 0.687877 0.401468 
48 2.005 0.909602 0.827724 0.686263 0.4008 
48 2.006 0.909312 0.8272 0.685402 0.403218 
48 2.006 0.909393 0.82735 0.685663 0.407751 
48 2.006 0.909245 0.827079 0.685208 0.405564 
48 2.006 0.909238 0.827075 0.685224 0.413889 
48 2.006 0.909103 0.826827 0.68481 0.413062 
48 2.007 0.909215 0.827023 0.685105 0.402604 
48 2.007 0.908919 0.826493 0.684259 0.412637 
48 2.007 0.908648 0.826002 0.683453 0.415095 
48 2.007 0.909096 0.826824 0.684825 0.422257 
48 2.007 0.909037 0.826703 0.684592 0.407006 
48 2.008 0.908613 0.825933 0.683322 0.408799 
48 2.008 0.908491 0.82571 0.682948 0.406268 
48 2.008 0.908714 0.826113 0.683607 0.403235 
48 2.008 0.90877 0.826216 0.683786 0.406674 
48 2.008 0.908518 0.825761 0.683036 0.408401 
48 2.009 0.908351 0.825455 0.682524 0.405267 
48 2.009 0.908293 0.825355 0.682375 0.410855 
48 2.009 0.908432 0.825606 0.682789 0.410264 
48 2.009 0.908509 0.825739 0.682984 0.402394 
48 2.009 0.908669 0.826025 0.683439 0.395355 
48 2.01 0.90835 0.825448 0.682495 0.398825 
48 2.01 0.908164 0.825119 0.68198 0.409064 
48 2.01 0.907841 0.824546 0.681081 0.426473 
48 2.01 0.907766 0.824402 0.680815 0.416548 
48 2.01 0.907908 0.824667 0.681272 0.423921 
48 2.011 0.907836 0.824518 0.680973 0.402932 
48 2.011 0.907561 0.824023 0.680173 0.409272 
48 2.011 0.907568 0.824046 0.680243 0.420918 
48 2.011 0.906975 0.822984 0.678527 0.435284 
