size temperature m m^2 m^4 mag_sus
32 2 0.911515 0.831609 0.693974 0.383566 
32 2 0.911132 0.830922 0.692869 0.389354 
32 2 0.91156 0.83169 0.694114 0.383433 
32 2 0.911072 0.830816 0.692705 0.390777 
32 2 0.911631 0.831818 0.694329 0.382829 
32 2.001 0.911171 0.830962 0.692848 0.372892 
32 2.001 0.911048 0.830741 0.692487 0.374535 
32 2.001 0.910842 0.830417 0.692098 0.400898 
32 2.001 0.911152 0.830923 0.692766 0.370994 
32 2.001 0.911204 0.831027 0.69296 0.375612 
32 2.002 0.910555 0.829883 0.691176 0.394669 
32 2.002 0.910557 0.829899 0.691235 0.401351 
32 2.002 0.911013 0.830697 0.692463 0.384282 
32 2.002 0.911014 0.830721 0.692573 0.395933 
32 2.002 0.910527 0.829841 0.691143 0.399951 
32 2.003 0.910184 0.829203 0.690034 0.392412 
32 2.003 0.910394 0.829593 0.69071 0.396687 
32 2.003 0.910216 0.829249 0.690079 0.38684 
32 2.003 0.910073 0.829009 0.68974 0.396528 
32 2.003 0.91032 0.829432 0.69037 0.383636 
32 2.004 0.910056 0.828975 0.689678 0.395196 
32 2.004 0.910084 0.829017 0.689714 0.390342 
32 2.004 0.909908 0.828713 0.689255 0.398321 
32 2.004 0.910029 0.828934 0.689631 0.399282 
32 2.004 0.909856 0.828619 0.689107 0.399211 
32 2.005 0.909862 0.828636 0.689158 0.402094 
32 2.005 0.909581 0.82812 0.688283 0.399842 
32 2.005 0.90967 0.828264 0.688461 0.390942 
32 2.005 0.909677 0.828272 0.688454 0.387708 
32 2.005 0.909147 0.827337 0.686993 0.402973 
32 2.006 0.90869 0.826519 0.685676 0.409238 
32 2.006 0.909032 0.827106 0.68655 0.391007 
32 2.006 0.908998 0.82708 0.686614 0.409139 
32 2.006 0.909541 0.828045 0.688157 0.398609 
32 2.006 0.909691 0.828331 0.688661 0.405403 
32 2.007 0.9092 0.827389 0.686961 0.380135 
32 2.007 0.908833 0.826795 0.686183 0.417086 
32 2.007 0.908493 0.826161 0.685101 0.408993 
32 2.007 0.908959 0.826991 0.686429 0.40048 
32 2.007 0.908882 0.826846 0.686158 0.397233 
32 2.008 0.908706 0.826543 0.685711 0.406403 
32 2.008 0.908212 0.82566 0.684288 0.413645 
32 2.008 0.908968 0.827007 0.686444 0.399797 
32 2.008 0.908781 0.826693 0.686003 0.413034 
32 2.008 0.90891 0.826892 0.686228 0.395191 
32 2.009 0.908066 0.825381 0.683792 0.405797 
