size temperature mag energy mag_sus sp_heat
10 1.5 0.986676 -195.189 0.0268261 0.194589 
10 1.5 0.98695 -195.293 0.0271132 0.193186 
10 1.5 0.986518 -195.112 0.0269784 0.194938 
10 1.5 0.98612 -194.988 0.0287244 0.208636 
10 1.5 0.986248 -195.034 0.0281388 0.204191 
10 1.52 0.9851 -194.617 0.030152 0.211897 
10 1.52 0.984832 -194.556 0.0310324 0.216598 
10 1.52 0.984944 -194.592 0.0313551 0.213178 
10 1.52 0.985014 -194.616 0.0303539 0.211003 
10 1.52 0.98543 -194.727 0.0287628 0.206841 
10 1.54 0.984324 -194.35 0.031456 0.218299 
10 1.54 0.983862 -194.25 0.0342237 0.225718 
10 1.54 0.984252 -194.348 0.0327533 0.224701 
10 1.54 0.983832 -194.226 0.0337841 0.22366 
10 1.54 0.984178 -194.333 0.0314717 0.212897 
10 1.56 0.982552 -193.848 0.0388697 0.238498 
10 1.56 0.982694 -193.84 0.0368604 0.239158 
10 1.56 0.982598 -193.817 0.035375 0.23455 
10 1.56 0.982246 -193.706 0.0377151 0.241802 
10 1.56 0.982656 -193.797 0.0358811 0.240475 
10 1.58 0.98096 -193.239 0.0392683 0.248088 
10 1.58 0.981356 -193.395 0.0385419 0.245034 
10 1.58 0.981316 -193.359 0.0373638 0.242649 
10 1.58 0.981414 -193.42 0.0396481 0.245254 
10 1.58 0.98093 -193.298 0.0399883 0.24874 
10 1.6 0.980022 -192.97 0.0411475 0.252103 
10 1.6 0.97991 -192.906 0.042222 0.260675 
10 1.6 0.980264 -193.055 0.0422906 0.255388 
10 1.6 0.979668 -192.819 0.0409981 0.256329 
10 1.6 0.980074 -192.956 0.0413872 0.259133 
10 1.62 0.978098 -192.291 0.0458137 0.270301 
10 1.62 0.977522 -192.136 0.0487395 0.286696 
10 1.62 0.977832 -192.242 0.0473592 0.279137 
10 1.62 0.978602 -192.492 0.0443707 0.269134 
10 1.62 0.97815 -192.348 0.0458653 0.270334 
10 1.64 0.97581 -191.622 0.0525027 0.290866 
10 1.64 0.976406 -191.758 0.0496685 0.291252 
10 1.64 0.97675 -191.879 0.0492218 0.285359 
10 1.64 0.976328 -191.749 0.0515339 0.291384 
10 1.64 0.976582 -191.847 0.0519291 0.291531 
10 1.66 0.973734 -190.998 0.0649191 0.312597 
10 1.66 0.974516 -191.167 0.0544293 0.298883 
10 1.66 0.973698 -190.967 0.0609882 0.319685 
10 1.66 0.97391 -190.973 0.0553875 0.306762 
10 1.66 0.973938 -191.031 0.0587525 0.317201 
10 1.68 0.97226 -190.444 0.0597579 0.319506 
10 1.68 0.97216 -190.473 0.0639128 0.334082 
10 1.68 0.972036 -190.414 0.0651961 0.331432 
10 1.68 0.971974 -190.398 0.0607633 0.323136 
10 1.68 0.971938 -190.364 0.0622622 0.325246 
10 1.7 0.969832 -189.775 0.0743842 0.353187 
10 1.7 0.969388 -189.608 0.068745 0.339287 
10 1.7 0.969246 -189.584 0.0720983 0.346971 
10 1.7 0.970044 -189.843 0.0677646 0.337874 
10 1.7 0.969882 -189.733 0.0684933 0.34615 
10 1.72 0.968278 -189.252 0.0732043 0.357674 
10 1.72 0.967828 -189.082 0.0773536 0.368312 
10 1.72 0.967956 -189.136 0.0719199 0.3514 
10 1.72 0.967542 -189.044 0.0766487 0.365826 
10 1.72 0.967728 -189.146 0.0805045 0.361321 
10 1.74 0.964368 -188.172 0.0892253 0.390432 
10 1.74 0.96609 -188.534 0.0757605 0.362451 
10 1.74 0.965468 -188.402 0.0849575 0.375853 
10 1.74 0.96527 -188.362 0.0856429 0.381737 
10 1.74 0.965128 -188.322 0.0856933 0.376013 
10 1.76 0.962804 -187.681 0.0966169 0.398727 
10 1.76 0.963498 -187.854 0.0978343 0.396873 
10 1.76 0.962894 -187.658 0.0897491 0.389189 
10 1.76 0.96313 -187.681 0.0894774 0.388814 
10 1.76 0.962664 -187.591 0.0978877 0.406417 
10 1.78 0.959782 -186.738 0.0998288 0.411897 
10 1.78 0.959646 -186.678 0.100822 0.415747 
10 1.78 0.959566 -186.784 0.108958 0.413642 
10 1.78 0.95977 -186.743 0.102076 0.423417 
10 1.78 0.959914 -186.844 0.104555 0.42469 
10 1.8 0.95674 -185.92 0.120156 0.446173 
10 1.8 0.957766 -186.137 0.106245 0.423527 
10 1.8 0.9574 -186.062 0.10714 0.427909 
10 1.8 0.957294 -186.018 0.111498 0.439979 
10 1.8 0.957688 -186.176 0.108281 0.427816 
10 1.82 0.954106 -185.1 0.122871 0.452184 
10 1.82 0.953692 -185.053 0.125291 0.471555 
10 1.82 0.954134 -185.169 0.128204 0.46636 
10 1.82 0.953428 -185.009 0.13117 0.476976 
10 1.82 0.952844 -184.691 0.128052 0.474404 
10 1.84 0.951436 -184.36 0.13001 0.477538 
10 1.84 0.950952 -184.267 0.133668 0.470744 
10 1.84 0.949984 -184.024 0.139739 0.489427 
10 1.84 0.950242 -184.067 0.144232 0.486338 
10 1.84 0.949014 -183.906 0.156265 0.49487 
10 1.86 0.946968 -183.296 0.167901 0.501066 
10 1.86 0.946172 -182.973 0.153268 0.510933 
10 1.86 0.946648 -183.134 0.157499 0.5198 
