size temperature m m^2 m^4 mag_sus
64 2 0.911507 0.831029 0.69122 0.379152 
64 2 0.911192 0.830456 0.690269 0.379871 
64 2 0.911178 0.830434 0.69024 0.385311 
64 2 0.910908 0.829945 0.689438 0.391768 
64 2 0.911019 0.830148 0.689776 0.392998 
64 2.001 0.911038 0.830178 0.68981 0.382713 
64 2.001 0.910844 0.829832 0.689262 0.399516 
64 2.001 0.910833 0.829804 0.689195 0.38543 
64 2.001 0.911122 0.830326 0.690044 0.37469 
64 2.001 0.911008 0.83012 0.689706 0.377621 
64 2.002 0.910696 0.829561 0.688808 0.396618 
64 2.002 0.910888 0.829902 0.689345 0.378082 
64 2.002 0.910522 0.829238 0.688252 0.383098 
64 2.002 0.910556 0.829304 0.688377 0.393227 
64 2.002 0.910626 0.829433 0.688592 0.393867 
64 2.003 0.910253 0.828752 0.687459 0.391429 
64 2.003 0.910329 0.828891 0.687696 0.395104 
64 2.003 0.909954 0.82821 0.686568 0.396455 
64 2.003 0.910432 0.829081 0.688015 0.398806 
64 2.003 0.910482 0.829164 0.688128 0.382432 
64 2.004 0.909876 0.828071 0.686346 0.401716 
64 2.004 0.909847 0.828016 0.686248 0.396582 
64 2.004 0.910155 0.828574 0.687166 0.392579 
64 2.004 0.910153 0.828572 0.687169 0.397118 
64 2.004 0.910157 0.828576 0.687163 0.388692 
64 2.005 0.909948 0.828193 0.686525 0.386006 
64 2.005 0.909676 0.827704 0.68573 0.396243 
64 2.005 0.909614 0.827598 0.685574 0.408567 
64 2.005 0.909757 0.827853 0.68598 0.398329 
64 2.005 0.909682 0.827717 0.685755 0.398962 
64 2.006 0.909179 0.826804 0.684252 0.403803 
64 2.006 0.909069 0.826612 0.683957 0.418158 
64 2.006 0.909368 0.827145 0.684809 0.399173 
64 2.006 0.909278 0.826984 0.684553 0.404663 
64 2.006 0.909386 0.827183 0.684883 0.406101 
64 2.007 0.908857 0.826223 0.683304 0.411176 
64 2.007 0.908975 0.826437 0.683655 0.409215 
64 2.007 0.90898 0.826439 0.683638 0.396144 
64 2.007 0.909066 0.826598 0.683908 0.400727 
64 2.007 0.909031 0.826536 0.683811 0.405453 
64 2.008 0.908501 0.825583 0.682273 0.4275 
64 2.008 0.908972 0.826423 0.683605 0.39251 
64 2.008 0.908678 0.8259 0.682777 0.416344 
64 2.008 0.90863 0.825814 0.682641 0.419005 
64 2.008 0.908729 0.825989 0.682915 0.40996 
64 2.009 0.908051 0.824756 0.680879 0.408819 
64 2.009 0.908199 0.825026 0.681322 0.408699 
64 2.009 0.908306 0.825223 0.68166 0.416155 
64 2.009 0.908391 0.825378 0.681916 0.415822 
64 2.009 0.908027 0.82472 0.680839 0.421781 
64 2.01 0.908212 0.82505 0.681367 0.4109 
64 2.01 0.907796 0.824299 0.680142 0.420036 
64 2.01 0.908212 0.825054 0.681379 0.415112 
64 2.01 0.907867 0.824426 0.680342 0.414469 
64 2.01 0.90775 0.824211 0.67998 0.40903 
64 2.011 0.907469 0.823706 0.679166 0.42084 
64 2.011 0.907498 0.823755 0.679233 0.412403 
64 2.011 0.907493 0.823748 0.679227 0.415154 
64 2.011 0.907569 0.82389 0.679471 0.422842 
64 2.011 0.907489 0.82374 0.679215 0.416264 
64 2.012 0.907223 0.823264 0.678448 0.427367 
64 2.012 0.90727 0.823345 0.678567 0.418076 
64 2.012 0.907436 0.823645 0.679057 0.415275 
64 2.012 0.906941 0.822751 0.677602 0.426784 
64 2.012 0.907434 0.823643 0.679058 0.418404 
64 2.013 0.907143 0.823115 0.67819 0.419289 
64 2.013 0.906945 0.822758 0.677613 0.42534 
64 2.013 0.906991 0.822844 0.677763 0.431487 
64 2.013 0.906719 0.82235 0.676945 0.428051 
64 2.013 0.906795 0.822487 0.677167 0.426775 
64 2.014 0.906803 0.822498 0.677176 0.419916 
64 2.014 0.906507 0.821964 0.676304 0.424098 
64 2.014 0.906356 0.821692 0.675863 0.428936 
64 2.014 0.906584 0.822112 0.676576 0.442961 
64 2.014 0.906555 0.822048 0.676433 0.418451 
64 2.015 0.906266 0.821535 0.675621 0.438779 
64 2.015 0.906044 0.821129 0.674947 0.43421 
64 2.015 0.906492 0.821939 0.676273 0.430287 
64 2.015 0.906269 0.821534 0.675603 0.428717 
64 2.015 0.906156 0.821332 0.675276 0.431949 
64 2.016 0.905951 0.820965 0.67469 0.44206 
64 2.016 0.905686 0.820481 0.673885 0.43493 
