size temperature m m^2 m^4 mag_sus
80 2.351 0.188044 0.0525419 0.006773 46.7721 
80 2.351 0.18803 0.0524156 0.00668406 46.4424 
80 2.351 0.189028 0.0529952 0.00692147 46.9957 
80 2.351 0.191195 0.0539605 0.00706293 47.3807 
80 2.351 0.19011 0.053737 0.00707125 47.8989 
80 2.352 0.185722 0.0514862 0.00657507 46.2407 
80 2.352 0.186105 0.0515631 0.0065983 46.0627 
80 2.352 0.187495 0.0519735 0.00660081 45.7659 
80 2.352 0.187408 0.0523646 0.00677993 46.9192 
80 2.352 0.189263 0.0531067 0.00687768 47.0372 
80 2.353 0.183914 0.0506186 0.00640649 45.6789 
80 2.353 0.184318 0.050909 0.00649007 46.0646 
80 2.353 0.184855 0.050611 0.00625462 44.7143 
80 2.353 0.184999 0.0511406 0.00649678 46.0102 
80 2.353 0.185299 0.051125 0.00645738 45.6652 
80 2.354 0.183322 0.0504387 0.00639569 45.7615 
80 2.354 0.183211 0.049989 0.00622362 44.6502 
80 2.354 0.18389 0.0500301 0.00604455 44.0842 
80 2.354 0.183073 0.0497327 0.00607413 44.0906 
80 2.354 0.18348 0.0504528 0.00637597 45.6429 
80 2.355 0.179953 0.0483754 0.00587265 43.4611 
80 2.355 0.182164 0.0492679 0.00602272 43.7102 
80 2.355 0.181842 0.0494173 0.00606987 44.4354 
80 2.355 0.182433 0.0496924 0.00616503 44.5973 
80 2.355 0.182509 0.0495068 0.00616404 44.0182 
80 2.356 0.179433 0.0478592 0.00566133 42.5477 
80 2.356 0.17983 0.0482616 0.00579848 43.2536 
80 2.356 0.179479 0.0480177 0.00573763 42.9337 
80 2.356 0.180502 0.0486267 0.00592034 43.5874 
80 2.356 0.177218 0.0469595 0.0055429 42.2505 
80 2.357 0.175937 0.0463007 0.0053665 41.6715 
80 2.357 0.178266 0.0472138 0.00553966 41.9112 
80 2.357 0.17536 0.0463183 0.00544975 42.2701 
80 2.357 0.178881 0.0476452 0.00563689 42.4861 
80 2.357 0.176752 0.04685 0.00556803 42.3827 
80 2.358 0.178392 0.0472853 0.00556545 41.9657 
