size temperature err_m err_ms
48 2.15 0.00129229 0.111097
48 2.15 0.00150277 0.0916724
48 2.15 0.00122271 0.135388
48 2.15 0.00117288 0.074658
48 2.15 0.00134908 0.0661524
48 2.151 0.00123446 0.159445
48 2.151 0.00119204 0.0782167
48 2.151 0.00142858 0.122566
48 2.151 0.00118665 0.10212
48 2.151 0.00143537 0.0947426
48 2.152 0.00141385 0.10588
48 2.152 0.00107857 0.0711846
48 2.152 0.00133639 0.0666609
48 2.152 0.00144883 0.0995197
48 2.152 0.00135972 0.10949
48 2.153 0.00134817 0.0645938
48 2.153 0.0013042 0.107061
48 2.153 0.00125571 0.102328
48 2.153 0.00105955 0.112581
48 2.153 0.00138111 0.0861556
48 2.154 0.00142448 0.0906529
48 2.154 0.00135289 0.0902833
48 2.154 0.00142751 0.0794228
48 2.154 0.00113666 0.0647567
48 2.154 0.00121356 0.0649326
48 2.155 0.00108712 0.0664807
48 2.155 0.0013828 0.0684244
48 2.155 0.00134192 0.0872978
48 2.155 0.00133947 0.0856594
48 2.155 0.00142576 0.0639889
48 2.156 0.00159463 0.227162
48 2.156 0.00114347 0.107691
48 2.156 0.00141783 0.116139
48 2.156 0.0013228 0.070481
48 2.156 0.00117713 0.0918403
48 2.157 0.00114056 0.0945883
48 2.157 0.0013907 0.062636
48 2.157 0.00130476 0.0911948
48 2.157 0.00151125 0.0740558
48 2.157 0.0011993 0.121767
48 2.158 0.00144967 0.0980531
48 2.158 0.00133277 0.176277
48 2.158 0.0012943 0.0906173
48 2.158 0.00119314 0.0899712
48 2.158 0.00122189 0.126985
48 2.159 0.00137023 0.0646378
48 2.159 0.0011574 0.128423
48 2.159 0.00139634 0.156965
48 2.159 0.00149502 0.0932743
48 2.159 0.00127627 0.0686561
48 2.16 0.00139652 0.087787
48 2.16 0.00144091 0.10605
48 2.16 0.00153514 0.0797451
48 2.16 0.00142681 0.102225
48 2.16 0.00153339 0.0717062
48 2.161 0.00103202 0.113972
48 2.161 0.00147328 0.166001
48 2.161 0.00106538 0.156786
48 2.161 0.0011739 0.101761
48 2.161 0.00132054 0.128006
48 2.162 0.00146681 0.106935
48 2.162 0.00134464 0.0882321
48 2.162 0.00114853 0.103646
48 2.162 0.00137916 0.0853565
48 2.162 0.00140532 0.0924959
48 2.163 0.00124145 0.138228
48 2.163 0.00136907 0.118518
48 2.163 0.00147152 0.110709
48 2.163 0.00153603 0.113759
48 2.163 0.0014596 0.100494
48 2.164 0.00146701 0.147522
48 2.164 0.00116017 0.115437
48 2.164 0.00131593 0.182246
48 2.164 0.00143927 0.146586
48 2.164 0.00128905 0.123226
48 2.165 0.00141564 0.140556
48 2.165 0.00142462 0.166699
48 2.165 0.00119515 0.0925421
48 2.165 0.00134895 0.0745377
48 2.165 0.00131519 0.142542
48 2.166 0.00124959 0.20806
48 2.166 0.00122653 0.214622
48 2.166 0.00142149 0.102795
48 2.166 0.0012272 0.128888
48 2.166 0.00128041 0.113468
48 2.167 0.000891983 0.18134
48 2.167 0.0012427 0.157588
48 2.167 0.00147342 0.231622
48 2.167 0.00138878 0.145907
48 2.167 0.00150481 0.16709
48 2.168 0.00136265 0.0911035
48 2.168 0.00144096 0.138192
48 2.168 0.00116972 0.0949182
48 2.168 0.00076509 0.128854
48 2.168 0.00131675 0.125777
48 2.169 0.00137396 0.12713
48 2.169 0.00107535 0.127247
48 2.169 0.00128767 0.139196
48 2.169 0.00100227 0.20085
48 2.169 0.0013436 0.146906
48 2.17 0.00154042 0.121837
48 2.17 0.00155481 0.151182
48 2.17 0.00122238 0.0973169
48 2.17 0.00149064 0.167394
48 2.17 0.00136567 0.171181
48 2.171 0.00153778 0.152672
48 2.171 0.00150432 0.101873
48 2.171 0.00162384 0.164915
48 2.171 0.000945367 0.152984
48 2.171 0.00116569 0.094654
48 2.172 0.00146144 0.115845
48 2.172 0.00128011 0.112767
48 2.172 0.00143796 0.151749
48 2.172 0.00136895 0.0940058
48 2.172 0.00153326 0.157706
48 2.173 0.00146134 0.111786
48 2.173 0.00143783 0.133685
48 2.173 0.00136357 0.131952
48 2.173 0.00134201 0.207582
48 2.173 0.00153118 0.15804
48 2.174 0.0014593 0.121742
48 2.174 0.00141065 0.112073
48 2.174 0.00142107 0.148225
48 2.174 0.00159598 0.154024
48 2.174 0.00135434 0.249328
48 2.175 0.00151259 0.162421
48 2.175 0.00154071 0.141968
48 2.175 0.00156089 0.640132
48 2.175 0.00128345 0.120802
48 2.175 0.00147713 0.202725
48 2.176 0.00114522 0.0961358
48 2.176 0.00163615 0.187913
48 2.176 0.00123806 0.147995
48 2.176 0.00136998 0.11086
48 2.176 0.00140042 0.142185
48 2.177 0.00143742 0.182689
48 2.177 0.00162546 0.228398
48 2.177 0.00110197 0.211422
48 2.177 0.00110214 0.126682
48 2.177 0.00110348 0.166715
48 2.178 0.00134785 0.183826
48 2.178 0.00154842 0.236032
48 2.178 0.00137174 0.218926
48 2.178 0.00133713 0.129293
48 2.178 0.00135377 0.12436
48 2.179 0.00163518 0.144715
48 2.179 0.00145777 0.119197
48 2.179 0.00121769 0.158858
48 2.179 0.00134019 0.143858
48 2.179 0.00138984 0.167002
48 2.18 0.00152709 0.179046
48 2.18 0.00149145 0.200962
48 2.18 0.0014518 0.149691
48 2.18 0.00125618 0.157417
48 2.18 0.00146566 0.179117
48 2.181 0.00142637 0.176591
48 2.181 0.00151617 0.12576
48 2.181 0.00165973 0.266308
48 2.181 0.00159765 0.179438
48 2.181 0.00101972 0.146459
48 2.182 0.00132158 0.24447
48 2.182 0.00130801 0.144227
48 2.182 0.00158502 0.167156
48 2.182 0.00149435 0.325059
48 2.182 0.00158024 0.121659
48 2.183 0.000958802 0.191471
48 2.183 0.00149527 0.286078
48 2.183 0.00143461 0.21842
48 2.183 0.00160913 0.384008
48 2.183 0.00131709 0.176711
48 2.184 0.00162374 0.239274
48 2.184 0.00132318 0.173571
48 2.184 0.00158127 0.140939
48 2.184 0.00131508 0.206285
48 2.184 0.00151459 0.225787
48 2.185 0.001232 0.153261
48 2.185 0.00151519 0.208454
48 2.185 0.00143249 0.196725
48 2.185 0.00135697 0.1381
48 2.185 0.00159771 0.207355
48 2.186 0.0016285 0.165242
48 2.186 0.00146832 0.219078
48 2.186 0.00148723 0.195857
48 2.186 0.00126972 0.177308
48 2.186 0.00161621 0.194951
48 2.187 0.0014096 0.270693
48 2.187 0.00151349 0.264409
48 2.187 0.00160044 0.186006
48 2.187 0.00169298 0.173059
48 2.187 0.00142253 0.126455
48 2.188 0.00158249 0.269281
48 2.188 0.00174693 0.312733
48 2.188 0.00107284 0.349052
48 2.188 0.00156046 0.262512
48 2.188 0.00160018 0.230914
48 2.189 0.00191848 0.427949
48 2.189 0.00126887 0.258234
48 2.189 0.00120379 0.385606
48 2.189 0.00163303 0.262086
48 2.189 0.00171416 0.30791
48 2.19 0.00151535 0.248914
48 2.19 0.00136576 0.225621
48 2.19 0.00159547 0.208016
48 2.19 0.00181881 0.252766
48 2.19 0.00193307 0.231317
48 2.191 0.00123447 0.148934
48 2.191 0.0016367 0.186275
48 2.191 0.00158576 0.28731
48 2.191 0.00114107 0.177452
48 2.191 0.001582 0.315587
48 2.192 0.00159753 0.284307
48 2.192 0.00181285 0.208343
48 2.192 0.0018398 0.273456
48 2.192 0.00162658 0.326847
48 2.192 0.00155311 0.227818
48 2.193 0.00160638 0.255613
48 2.193 0.00162151 0.268816
48 2.193 0.00131562 0.260414
48 2.193 0.00172851 0.241088
48 2.193 0.00146867 0.308198
48 2.194 0.00176755 0.230583
48 2.194 0.00122964 0.216555
48 2.194 0.0017961 0.28926
48 2.194 0.0015332 0.373644
48 2.194 0.001723 0.22288
48 2.195 0.00170725 0.31734
48 2.195 0.00148163 0.235039
48 2.195 0.00118694 0.27775
48 2.195 0.00134954 0.267444
48 2.195 0.00167203 0.248757
48 2.196 0.00129106 0.298637
48 2.196 0.00135493 0.284471
48 2.196 0.00143263 0.336681
48 2.196 0.00197907 0.233717
48 2.196 0.00130564 0.29977
48 2.197 0.00173624 0.307309
48 2.197 0.00164703 0.230094
48 2.197 0.00161175 0.293736
48 2.197 0.00163309 0.27775
48 2.197 0.00166451 0.215642
48 2.198 0.00158953 0.237078
48 2.198 0.00145983 0.290706
48 2.198 0.00159468 0.454118
48 2.198 0.00165613 0.26505
48 2.198 0.00155688 0.23278
48 2.199 0.00174584 0.245899
48 2.199 0.00163914 0.303205
48 2.199 0.00182427 0.306158
48 2.199 0.00177772 0.29892
48 2.199 0.00130797 0.272173
48 2.2 0.00162691 0.283439
48 2.2 0.00162664 0.343243
48 2.2 0.00159423 0.259814
48 2.2 0.00178992 0.262153
48 2.2 0.00162558 0.317805
48 2.201 0.00171144 0.342606
48 2.201 0.00151754 0.292259
48 2.201 0.00138082 0.292753
48 2.201 0.00172416 0.31901
48 2.201 0.00182795 0.462771
48 2.202 0.00179965 0.418001
48 2.202 0.00152005 0.2453
48 2.202 0.00166807 0.247837
48 2.202 0.00174398 0.397551
48 2.202 0.00160468 0.335562
