J: 3.7105 1.11325 0 0 
nth step2 temperature e 
1 2048 1.5 -218.043 
1 2048 1.5 -217.866 
1 2048 1.5 -218.066 
1 2048 1.5 -217.887 
1 2048 1.5 -218.028 
1 2048 1.5 -217.831 
1 2048 1.5 -218.076 
1 2048 1.5 -218.111 
1 2048 1.5 -218.073 
1 2048 1.5 -217.924 
1 2048 1.5 -218.054 
1 2048 1.5 -218.255 
1 2048 1.5 -217.892 
1 2048 1.5 -217.948 
1 2048 1.5 -217.989 
1 2048 1.5 -217.979 
1 2048 1.5 -218.105 
1 2048 1.5 -218.136 
1 2048 1.5 -217.963 
1 2048 1.5 -218.011 
1 2048 1.5 -218.075 
1 2048 1.5 -217.87 
1 2048 1.5 -218.075 
1 2048 1.5 -218.036 
1 2048 1.5 -218.032 
1 2048 1.505 -217.909 
1 2048 1.505 -218.076 
1 2048 1.505 -217.825 
1 2048 1.505 -218.076 
1 2048 1.505 -217.789 
1 2048 1.505 -218.053 
1 2048 1.505 -217.97 
1 2048 1.505 -217.985 
1 2048 1.505 -217.922 
1 2048 1.505 -218.08 
1 2048 1.505 -218.012 
1 2048 1.505 -217.836 
1 2048 1.505 -218.091 
1 2048 1.505 -217.932 
1 2048 1.505 -218.141 
1 2048 1.505 -217.955 
1 2048 1.505 -217.763 
1 2048 1.505 -217.94 
1 2048 1.505 -217.832 
1 2048 1.505 -218.243 
1 2048 1.505 -218.05 
1 2048 1.505 -217.964 
1 2048 1.505 -218.129 
1 2048 1.505 -218.185 
1 2048 1.505 -217.848 
1 2048 1.51 -217.912 
1 2048 1.51 -217.813 
1 2048 1.51 -217.811 
1 2048 1.51 -217.879 
1 2048 1.51 -217.873 
1 2048 1.51 -218.109 
1 2048 1.51 -217.904 
1 2048 1.51 -217.884 
1 2048 1.51 -217.688 
1 2048 1.51 -218.196 
1 2048 1.51 -217.774 
1 2048 1.51 -217.933 
1 2048 1.51 -218.154 
1 2048 1.51 -217.983 
1 2048 1.51 -217.836 
1 2048 1.51 -217.944 
1 2048 1.51 -217.983 
1 2048 1.51 -217.81 
1 2048 1.51 -217.884 
1 2048 1.51 -217.937 
1 2048 1.51 -217.891 
1 2048 1.51 -217.943 
1 2048 1.51 -217.822 
1 2048 1.51 -217.912 
1 2048 1.51 -217.773 
1 2048 1.515 -218.113 
1 2048 1.515 -217.755 
1 2048 1.515 -217.937 
1 2048 1.515 -217.944 
1 2048 1.515 -217.841 
1 2048 1.515 -217.811 
1 2048 1.515 -217.784 
1 2048 1.515 -217.661 
1 2048 1.515 -217.922 
1 2048 1.515 -217.743 
1 2048 1.515 -217.736 
1 2048 1.515 -217.739 
1 2048 1.515 -217.876 
1 2048 1.515 -218.054 
1 2048 1.515 -217.876 
1 2048 1.515 -218.054 
1 2048 1.515 -217.964 
1 2048 1.515 -217.962 
1 2048 1.515 -217.646 
1 2048 1.515 -217.909 
1 2048 1.515 -217.757 
1 2048 1.515 -217.7 
1 2048 1.515 -217.734 
1 2048 1.515 -217.815 
1 2048 1.515 -217.763 
1 2048 1.52 -217.748 
1 2048 1.52 -217.895 
1 2048 1.52 -217.709 
1 2048 1.52 -217.841 
1 2048 1.52 -217.65 
1 2048 1.52 -218.027 
1 2048 1.52 -217.488 
1 2048 1.52 -217.809 
1 2048 1.52 -217.828 
1 2048 1.52 -217.807 
1 2048 1.52 -217.986 
1 2048 1.52 -217.818 
1 2048 1.52 -217.587 
1 2048 1.52 -217.79 
1 2048 1.52 -218.07 
1 2048 1.52 -217.738 
1 2048 1.52 -217.688 
1 2048 1.52 -217.799 
1 2048 1.52 -217.804 
1 2048 1.52 -217.789 
1 2048 1.52 -217.827 
1 2048 1.52 -217.736 
1 2048 1.52 -217.949 
1 2048 1.52 -217.829 
1 2048 1.52 -217.797 
1 2048 1.525 -217.762 
1 2048 1.525 -217.754 
1 2048 1.525 -217.726 
1 2048 1.525 -217.697 
1 2048 1.525 -217.837 
1 2048 1.525 -217.838 
1 2048 1.525 -217.862 
1 2048 1.525 -217.541 
1 2048 1.525 -217.838 
1 2048 1.525 -217.701 
1 2048 1.525 -217.816 
1 2048 1.525 -217.554 
1 2048 1.525 -217.535 
1 2048 1.525 -217.796 
1 2048 1.525 -217.805 
1 2048 1.525 -217.745 
1 2048 1.525 -217.653 
1 2048 1.525 -217.829 
1 2048 1.525 -217.865 
1 2048 1.525 -217.934 
1 2048 1.525 -217.804 
1 2048 1.525 -217.758 
1 2048 1.525 -217.7 
1 2048 1.525 -217.636 
1 2048 1.525 -217.798 
1 2048 1.53 -217.649 
1 2048 1.53 -217.684 
1 2048 1.53 -217.726 
1 2048 1.53 -217.975 
1 2048 1.53 -217.593 
1 2048 1.53 -217.705 
1 2048 1.53 -217.856 
1 2048 1.53 -217.73 
1 2048 1.53 -217.586 
1 2048 1.53 -217.684 
1 2048 1.53 -217.657 
1 2048 1.53 -217.663 
1 2048 1.53 -217.479 
1 2048 1.53 -217.796 
1 2048 1.53 -217.715 
1 2048 1.53 -217.7 
1 2048 1.53 -217.735 
1 2048 1.53 -217.69 
1 2048 1.53 -217.865 
1 2048 1.53 -217.868 
1 2048 1.53 -217.857 
1 2048 1.53 -217.763 
1 2048 1.53 -217.702 
1 2048 1.53 -217.837 
1 2048 1.53 -217.658 
1 2048 1.535 -217.644 
1 2048 1.535 -217.623 
1 2048 1.535 -217.656 
1 2048 1.535 -217.72 
1 2048 1.535 -217.518 
1 2048 1.535 -217.714 
1 2048 1.535 -217.65 
1 2048 1.535 -217.604 
1 2048 1.535 -217.477 
1 2048 1.535 -217.805 
1 2048 1.535 -217.789 
1 2048 1.535 -217.667 
1 2048 1.535 -217.646 
1 2048 1.535 -217.654 
1 2048 1.535 -217.611 
1 2048 1.535 -217.719 
1 2048 1.535 -217.625 
1 2048 1.535 -217.507 
1 2048 1.535 -217.729 
1 2048 1.535 -217.539 
1 2048 1.535 -217.69 
1 2048 1.535 -217.614 
1 2048 1.535 -217.58 
1 2048 1.535 -217.795 
1 2048 1.535 -217.569 
1 2048 1.54 -217.714 
1 2048 1.54 -217.659 
1 2048 1.54 -217.582 
1 2048 1.54 -217.523 
1 2048 1.54 -217.511 
1 2048 1.54 -217.696 
1 2048 1.54 -217.678 
1 2048 1.54 -217.56 
1 2048 1.54 -217.627 
1 2048 1.54 -217.709 
1 2048 1.54 -217.55 
1 2048 1.54 -217.579 
1 2048 1.54 -217.363 
1 2048 1.54 -217.434 
1 2048 1.54 -217.695 
1 2048 1.54 -217.552 
1 2048 1.54 -217.81 
1 2048 1.54 -217.6 
1 2048 1.54 -217.671 
1 2048 1.54 -217.594 
1 2048 1.54 -217.591 
1 2048 1.54 -217.783 
1 2048 1.54 -217.677 
1 2048 1.54 -217.548 
1 2048 1.54 -217.73 
1 2048 1.545 -217.604 
1 2048 1.545 -217.331 
1 2048 1.545 -217.357 
1 2048 1.545 -217.588 
1 2048 1.545 -217.362 
1 2048 1.545 -217.541 
1 2048 1.545 -217.766 
1 2048 1.545 -217.503 
1 2048 1.545 -217.571 
1 2048 1.545 -217.534 
1 2048 1.545 -217.619 
1 2048 1.545 -217.535 
1 2048 1.545 -217.489 
1 2048 1.545 -217.732 
1 2048 1.545 -217.582 
1 2048 1.545 -217.451 
1 2048 1.545 -217.505 
1 2048 1.545 -217.447 
1 2048 1.545 -217.417 
1 2048 1.545 -217.426 
1 2048 1.545 -217.428 
1 2048 1.545 -217.509 
1 2048 1.545 -217.704 
1 2048 1.545 -217.759 
1 2048 1.545 -217.52 
1 2048 1.55 -217.382 
1 2048 1.55 -217.447 
1 2048 1.55 -217.493 
1 2048 1.55 -217.687 
1 2048 1.55 -217.477 
1 2048 1.55 -217.479 
1 2048 1.55 -217.578 
1 2048 1.55 -217.802 
1 2048 1.55 -217.698 
1 2048 1.55 -217.557 
1 2048 1.55 -217.414 
1 2048 1.55 -217.37 
1 2048 1.55 -217.475 
1 2048 1.55 -217.632 
1 2048 1.55 -217.554 
1 2048 1.55 -217.511 
1 2048 1.55 -217.702 
1 2048 1.55 -217.34 
1 2048 1.55 -217.597 
1 2048 1.55 -217.489 
1 2048 1.55 -217.436 
1 2048 1.55 -217.54 
1 2048 1.55 -217.452 
1 2048 1.55 -217.414 
1 2048 1.55 -217.461 
1 2048 1.555 -217.459 
1 2048 1.555 -217.507 
1 2048 1.555 -217.62 
1 2048 1.555 -217.362 
1 2048 1.555 -217.39 
1 2048 1.555 -217.412 
1 2048 1.555 -217.304 
1 2048 1.555 -217.461 
1 2048 1.555 -217.463 
1 2048 1.555 -217.294 
1 2048 1.555 -217.632 
1 2048 1.555 -217.406 
1 2048 1.555 -217.375 
1 2048 1.555 -217.355 
1 2048 1.555 -217.668 
1 2048 1.555 -217.485 
1 2048 1.555 -217.223 
1 2048 1.555 -217.578 
1 2048 1.555 -217.292 
1 2048 1.555 -217.26 
1 2048 1.555 -217.629 
1 2048 1.555 -217.5 
1 2048 1.555 -217.589 
1 2048 1.555 -217.537 
1 2048 1.555 -217.311 
1 2048 1.56 -217.496 
1 2048 1.56 -217.335 
1 2048 1.56 -217.431 
1 2048 1.56 -217.13 
1 2048 1.56 -217.414 
1 2048 1.56 -217.403 
1 2048 1.56 -217.376 
1 2048 1.56 -217.341 
1 2048 1.56 -217.337 
1 2048 1.56 -217.379 
1 2048 1.56 -217.527 
1 2048 1.56 -217.398 
1 2048 1.56 -217.524 
1 2048 1.56 -217.342 
1 2048 1.56 -217.391 
1 2048 1.56 -217.549 
1 2048 1.56 -217.572 
1 2048 1.56 -217.307 
1 2048 1.56 -217.37 
1 2048 1.56 -217.413 
1 2048 1.56 -217.262 
1 2048 1.56 -217.348 
1 2048 1.56 -217.107 
1 2048 1.56 -217.43 
1 2048 1.56 -217.417 
1 2048 1.565 -217.388 
1 2048 1.565 -217.188 
1 2048 1.565 -217.338 
1 2048 1.565 -217.388 
1 2048 1.565 -217.426 
1 2048 1.565 -217.228 
1 2048 1.565 -217.412 
1 2048 1.565 -217.326 
1 2048 1.565 -217.35 
1 2048 1.565 -217.447 
1 2048 1.565 -217.186 
1 2048 1.565 -217.487 
1 2048 1.565 -217.417 
1 2048 1.565 -217.273 
1 2048 1.565 -217.354 
1 2048 1.565 -217.585 
1 2048 1.565 -217.228 
1 2048 1.565 -217.206 
1 2048 1.565 -217.381 
1 2048 1.565 -217.448 
1 2048 1.565 -217.228 
1 2048 1.565 -217.421 
1 2048 1.565 -217.279 
1 2048 1.565 -217.188 
1 2048 1.565 -217.254 
1 2048 1.57 -217.337 
1 2048 1.57 -217.189 
1 2048 1.57 -217.403 
