nth step2 temp ene nn nnn nnnn 
1 1024 2.493 -137.6 -124 -96 -84
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -138.4 -128 -104 -96
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -177.6 -164 -160 -164
1 1024 2.493 -187.2 -172 -168 -160
1 1024 2.493 -115.2 -108 -88 -40
1 1024 2.493 -169.6 -156 -144 -140
1 1024 2.493 -129.6 -120 -100 -76
1 1024 2.493 -128 -120 -108 -100
1 1024 2.493 -188.8 -172 -160 -164
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -137.6 -128 -116 -112
1 1024 2.493 -148.8 -136 -108 -88
1 1024 2.493 -174.4 -160 -148 -148
1 1024 2.493 -169.6 -156 -144 -140
1 1024 2.493 -152 -140 -120 -100
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -188 -172 -164 -156
1 1024 2.493 -179.2 -164 -152 -148
1 1024 2.493 -160.8 -148 -132 -144
1 1024 2.493 -156.8 -144 -132 -124
1 1024 2.493 -165.6 -152 -152 -148
1 1024 2.493 -108 -100 -92 -84
1 1024 2.493 -188 -172 -164 -160
1 1024 2.493 -201.6 -184 -188 -184
1 1024 2.493 -139.2 -128 -100 -88
1 1024 2.493 -160 -148 -136 -148
1 1024 2.493 -188 -172 -164 -164
1 1024 2.493 -175.2 -160 -144 -140
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -170.4 -156 -140 -136
1 1024 2.493 -152.8 -140 -116 -104
1 1024 2.493 -173.6 -160 -152 -160
1 1024 2.493 -193.6 -176 -172 -168
1 1024 2.493 -161.6 -148 -128 -108
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -175.2 -160 -144 -152
1 1024 2.493 -160.8 -148 -132 -120
1 1024 2.493 -188 -172 -164 -164
1 1024 2.493 -182.4 -168 -164 -156
1 1024 2.493 -152 -140 -120 -108
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -173.6 -160 -152 -148
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -147.2 -136 -124 -112
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -169.6 -156 -144 -136
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -202.4 -184 -176 -168
1 1024 2.493 -128 -120 -124 -108
1 1024 2.493 -192.8 -176 -176 -172
1 1024 2.493 -157.6 -144 -128 -124
1 1024 2.493 -160 -148 -136 -132
1 1024 2.493 -177.6 -164 -160 -160
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -169.6 -156 -144 -132
1 1024 2.493 -161.6 -148 -128 -120
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -163.2 -152 -148 -136
1 1024 2.493 -164.8 -152 -156 -148
1 1024 2.493 -184 -168 -164 -164
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -179.2 -164 -152 -164
1 1024 2.493 -179.2 -164 -152 -164
1 1024 2.493 -170.4 -156 -140 -140
1 1024 2.493 -146.4 -136 -128 -128
1 1024 2.493 -148 -136 -120 -116
1 1024 2.493 -173.6 -160 -152 -152
1 1024 2.493 -158.4 -144 -116 -124
1 1024 2.493 -187.2 -172 -168 -172
1 1024 2.493 -149.6 -136 -112 -100
1 1024 2.493 -137.6 -128 -108 -92
1 1024 2.493 -140 -128 -112 -116
1 1024 2.493 -164.8 -152 -140 -140
1 1024 2.493 -188.8 -172 -160 -152
1 1024 2.493 -184 -168 -156 -148
1 1024 2.493 -160.8 -148 -132 -132
1 1024 2.493 -167.2 -152 -144 -144
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -171.2 -156 -136 -136
1 1024 2.493 -135.2 -124 -92 -96
1 1024 2.493 -148.8 -136 -108 -88
1 1024 2.493 -152 -140 -128 -128
1 1024 2.493 -141.6 -128 -96 -72
1 1024 2.493 -145.6 -132 -104 -88
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -174.4 -160 -148 -144
1 1024 2.493 -139.2 -128 -124 -108
1 1024 2.493 -172.8 -160 -164 -160
1 1024 2.493 -136.8 -128 -112 -84
1 1024 2.493 -124 -116 -100 -84
1 1024 2.493 -148.8 -136 -108 -96
1 1024 2.493 -152.8 -140 -124 -108
1 1024 2.493 -177.6 -164 -160 -160
1 1024 2.493 -173.6 -160 -152 -152
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -202.4 -184 -176 -180
1 1024 2.493 -163.2 -148 -120 -120
1 1024 2.493 -143.2 -132 -108 -104
1 1024 2.493 -168.8 -156 -148 -148
1 1024 2.493 -156 -144 -128 -128
1 1024 2.493 -152 -140 -128 -116
1 1024 2.493 -122.4 -112 -72 -84
1 1024 2.493 -116.8 -108 -72 -72
1 1024 2.493 -183.2 -168 -160 -156
1 1024 2.493 -100 -92 -60 -48
1 1024 2.493 -100 -92 -60 -48
1 1024 2.493 -130.4 -120 -96 -76
1 1024 2.493 -104 -96 -60 -60
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -184.8 -168 -152 -144
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -181.6 -168 -168 -168
1 1024 2.493 -188 -172 -164 -156
1 1024 2.493 -184.8 -168 -152 -164
1 1024 2.493 -167.2 -152 -128 -116
1 1024 2.493 -164 -152 -144 -144
1 1024 2.493 -134.4 -124 -96 -72
1 1024 2.493 -116.8 -108 -72 -52
1 1024 2.493 -169.6 -156 -144 -136
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -104 -96 -60 -32
1 1024 2.493 -109.6 -100 -60 -36
