J: 3.54914 1.11232 0 0 
nth temperature m m2 m4 ms e sp_h 
1 1 0.999846 0.999695 0.999403 0.000321628 -219.927 0.0070446 
1 1 0.99988 0.999762 0.999535 0.00024656 -219.943 0.0054977 
1 1.005 0.999848 0.999699 0.999411 0.000324069 -219.929 0.00688624 
1 1.005 0.999824 0.999652 0.999318 0.000363087 -219.917 0.00796205 
1 1.01 0.999858 0.999719 0.999449 0.000287112 -219.932 0.00637026 
1 1.01 0.999846 0.999695 0.999405 0.000342206 -219.928 0.00694001 
1 1.015 0.999828 0.999659 0.999332 0.000336002 -219.917 0.00762707 
1 1.015 0.999818 0.99964 0.999296 0.000394766 -219.915 0.00810373 
1 1.02 0.999798 0.999601 0.999221 0.000470509 -219.907 0.00926104 
1 1.02 0.99984 0.999683 0.999379 0.000319059 -219.924 0.00703125 
1 1.025 0.999786 0.999577 0.999172 0.000452117 -219.9 0.00929397 
1 1.025 0.99981 0.999624 0.999263 0.00038282 -219.909 0.00843118 
1 1.03 0.999804 0.999612 0.99924 0.000392387 -219.907 0.00843298 
1 1.03 0.999814 0.999632 0.999279 0.000381107 -219.912 0.00800835 
1 1.035 0.999794 0.999593 0.999203 0.000432615 -219.903 0.00892067 
1 1.035 0.99982 0.999644 0.999303 0.000375614 -219.916 0.00767918 
1 1.04 0.999784 0.999573 0.999165 0.000472437 -219.9 0.00931287 
1 1.04 0.999826 0.999656 0.999326 0.000354781 -219.918 0.00752184 
1 1.045 0.999784 0.999572 0.999162 0.000424243 -219.897 0.00901937 
1 1.045 0.999784 0.999573 0.999163 0.000439554 -219.899 0.00902263 
1 1.05 0.999768 0.999541 0.999102 0.000474874 -219.891 0.00975816 
1 1.05 0.999796 0.999597 0.999211 0.000430322 -219.904 0.00878002 
1 1.055 0.999746 0.999498 0.999017 0.000520899 -219.881 0.0105568 
1 1.055 0.9997 0.999407 0.99884 0.000628436 -219.861 0.0122519 
1 1.06 0.999746 0.999497 0.999015 0.0004958 -219.88 0.0102898 
1 1.06 0.99972 0.999446 0.998917 0.00058883 -219.87 0.011568 
1 1.065 0.99973 0.999466 0.998955 0.000552779 -219.874 0.0109946 
1 1.065 0.99975 0.999505 0.999032 0.000501174 -219.882 0.0101992 
1 1.07 0.999676 0.999359 0.998747 0.00067804 -219.85 0.0130106 
1 1.07 0.999706 0.999418 0.998862 0.000593791 -219.863 0.0116724 
1 1.075 0.999686 0.999379 0.998783 0.000612224 -219.852 0.012334 
1 1.075 0.999656 0.99932 0.99867 0.000710852 -219.841 0.0135043 
1 1.08 0.99966 0.999328 0.998686 0.000707815 -219.842 0.0134346 
1 1.08 0.999726 0.999458 0.998938 0.000530086 -219.87 0.0109704 
1 1.085 0.999694 0.999395 0.998817 0.000629158 -219.858 0.012123 
1 1.085 0.99968 0.999367 0.998761 0.000624664 -219.849 0.0124918 
1 1.09 0.999666 0.999339 0.998708 0.000676004 -219.844 0.0130642 
1 1.09 0.99967 0.999348 0.998727 0.000727624 -219.85 0.0127225 
1 1.095 0.999614 0.999237 0.998507 0.000779087 -219.821 0.0147265 
1 1.095 0.99964 0.999288 0.99861 0.000755288 -219.833 0.0140974 
1 1.1 0.999608 0.999225 0.998488 0.000844212 -219.821 0.0148226 
1 1.1 0.999612 0.999233 0.998503 0.000829951 -219.821 0.0145509 
1 1.105 0.999592 0.999193 0.998422 0.000817515 -219.811 0.0152374 
1 1.105 0.999656 0.99932 0.998672 0.000727752 -219.841 0.0130367 
1 1.11 0.99955 0.99911 0.998259 0.000886261 -219.79 0.0167773 
1 1.11 0.999594 0.999198 0.998432 0.000846411 -219.813 0.0151576 
1 1.115 0.999618 0.999245 0.998523 0.000765388 -219.823 0.0140623 
1 1.115 0.999576 0.999161 0.998359 0.000823338 -219.802 0.0156998 
1 1.12 0.999548 0.999106 0.998254 0.000917473 -219.792 0.0165612 
1 1.12 0.999538 0.999086 0.998212 0.000891657 -219.784 0.0168979 
1 1.125 0.999614 0.999236 0.998504 0.000708534 -219.818 0.0137933 
1 1.125 0.999524 0.999059 0.998162 0.000968304 -219.78 0.0173433 
1 1.13 0.99958 0.99917 0.99838 0.000883504 -219.808 0.0150668 
1 1.13 0.999522 0.999055 0.998151 0.000924913 -219.776 0.0174165 
1 1.135 0.99949 0.998992 0.998031 0.00103083 -219.767 0.0178785 
1 1.135 0.999574 0.999157 0.998351 0.000805156 -219.801 0.0150769 
1 1.14 0.99949 0.998992 0.998032 0.00105438 -219.765 0.0186855 
1 1.14 0.999536 0.999083 0.998207 0.000921465 -219.785 0.0165827 
1 1.145 0.999512 0.999035 0.998115 0.000964354 -219.775 0.0171947 
1 1.145 0.99948 0.998972 0.997993 0.00105935 -219.76 0.0182008 
1 1.15 0.999376 0.998766 0.997589 0.00121832 -219.712 0.0213548 
