sizes nth step2 temp ene nn nnn nnnn 
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -183.2 -168 -160 -164
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -188 -172 -172 -168
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -206.4 -188 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -206.4 -188 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -206.4 -188 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -202.4 -184 -176 -168
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -206.4 -188 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -200.8 -184 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -206.4 -188 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -206.4 -188 -184 -184
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -200.8 -184 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -200.8 -184 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -206.4 -188 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -201.6 -184 -180 -176
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -206.4 -188 -184 -184
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -210.4 -192 -192 -192
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
10 3 1024 1.4958 -220 -200 -200 -200
