nth step2 temp ene nn nnn nnnn 
3 1024 2.493 -151.2 -140 -124 -132
3 1024 2.493 -148.8 -136 -116 -100
3 1024 2.493 -159.2 -148 -140 -140
3 1024 2.493 -130.4 -120 -104 -92
3 1024 2.493 -177.6 -164 -160 -160
3 1024 2.493 -112 -104 -68 -92
3 1024 2.493 -132.8 -124 -104 -120
3 1024 2.493 -83.2 -80 -52 -36
3 1024 2.493 -96 -88 -52 -36
3 1024 2.493 -152 -140 -120 -112
3 1024 2.493 -192.8 -176 -168 -168
3 1024 2.493 -116.8 -108 -88 -68
3 1024 2.493 -107.2 -100 -80 -64
3 1024 2.493 -138.4 -128 -104 -96
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -126.4 -116 -80 -80
3 1024 2.493 -161.6 -148 -128 -120
3 1024 2.493 -173.6 -160 -152 -156
3 1024 2.493 -220 -200 -200 -200
3 1024 2.493 -196.8 -180 -176 -176
3 1024 2.493 -192 -176 -172 -172
3 1024 2.493 -112.8 -104 -88 -56
3 1024 2.493 -103.2 -96 -80 -48
3 1024 2.493 -166.4 -152 -148 -128
3 1024 2.493 -166.4 -152 -148 -128
3 1024 2.493 -145.6 -136 -124 -124
3 1024 2.493 -128.8 -120 -104 -96
3 1024 2.493 -155.2 -144 -132 -136
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -168 -156 -152 -156
3 1024 2.493 -159.2 -148 -140 -140
3 1024 2.493 -173.6 -160 -152 -148
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -166.4 -152 -140 -136
3 1024 2.493 -147.2 -136 -124 -116
3 1024 2.493 -145.6 -132 -96 -76
3 1024 2.493 -147.2 -136 -124 -104
3 1024 2.493 -122.4 -112 -72 -52
3 1024 2.493 -174.4 -160 -148 -148
3 1024 2.493 -180 -164 -148 -156
3 1024 2.493 -160 -148 -136 -128
3 1024 2.493 -132.8 -124 -120 -104
3 1024 2.493 -156.8 -144 -132 -124
3 1024 2.493 -116.8 -108 -80 -64
3 1024 2.493 -177.6 -164 -160 -160
3 1024 2.493 -187.2 -172 -168 -172
3 1024 2.493 -152 -140 -144 -132
3 1024 2.493 -139.2 -128 -124 -108
3 1024 2.493 -148 -136 -128 -116
3 1024 2.493 -112.8 -104 -88 -60
3 1024 2.493 -77.6 -72 -40 -20
3 1024 2.493 -161.6 -148 -144 -136
3 1024 2.493 -160 -148 -136 -132
3 1024 2.493 -172 -160 -160 -164
3 1024 2.493 -183.2 -168 -160 -152
3 1024 2.493 -147.2 -136 -124 -112
3 1024 2.493 -173.6 -160 -168 -164
3 1024 2.493 -168.8 -156 -148 -144
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -178.4 -164 -164 -160
3 1024 2.493 -164.8 -152 -140 -140
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -201.6 -184 -180 -176
3 1024 2.493 -129.6 -120 -108 -96
3 1024 2.493 -144 -132 -136 -124
3 1024 2.493 -183.2 -168 -160 -164
3 1024 2.493 -145.6 -136 -140 -136
3 1024 2.493 -165.6 -152 -136 -144
3 1024 2.493 -173.6 -160 -152 -152
3 1024 2.493 -136 -124 -88 -104
3 1024 2.493 -131.2 -120 -84 -84
3 1024 2.493 -138.4 -128 -112 -100
3 1024 2.493 -132.8 -124 -120 -112
3 1024 2.493 -191.2 -176 -176 -176
3 1024 2.493 -132.8 -124 -120 -108
3 1024 2.493 -140 -128 -128 -124
3 1024 2.493 -116.8 -108 -104 -80
3 1024 2.493 -124.8 -116 -104 -84
3 1024 2.493 -160.8 -148 -132 -128
3 1024 2.493 -178.4 -164 -156 -148
3 1024 2.493 -147.2 -136 -124 -124
3 1024 2.493 -178.4 -164 -156 -160
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -182.4 -168 -164 -160
3 1024 2.493 -150.4 -140 -128 -124
3 1024 2.493 -164 -152 -144 -152
3 1024 2.493 -142.4 -132 -112 -84
3 1024 2.493 -116.8 -108 -72 -60
3 1024 2.493 -156 -144 -136 -124
3 1024 2.493 -116 -108 -84 -92
3 1024 2.493 -166.4 -152 -140 -132
3 1024 2.493 -188 -172 -172 -168
3 1024 2.493 -147.2 -136 -124 -104
3 1024 2.493 -136 -124 -88 -100
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -155.2 -144 -132 -136
3 1024 2.493 -179.2 -164 -152 -144
3 1024 2.493 -160 -148 -136 -128
3 1024 2.493 -124 -116 -92 -76
3 1024 2.493 -156.8 -144 -124 -120
3 1024 2.493 -192 -176 -180 -176
3 1024 2.493 -148 -136 -112 -116
3 1024 2.493 -181.6 -168 -168 -172
3 1024 2.493 -188 -172 -164 -156
3 1024 2.493 -143.2 -132 -108 -124
3 1024 2.493 -134.4 -124 -128 -112
3 1024 2.493 -139.2 -128 -132 -116
3 1024 2.493 -139.2 -128 -132 -116
3 1024 2.493 -139.2 -128 -132 -116
3 1024 2.493 -151.2 -140 -132 -132
3 1024 2.493 -125.6 -116 -108 -112
3 1024 2.493 -188.8 -172 -160 -168
3 1024 2.493 -175.2 -160 -144 -144
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -141.6 -132 -124 -120
3 1024 2.493 -172.8 -160 -156 -152
3 1024 2.493 -172.8 -160 -164 -160
3 1024 2.493 -160.8 -148 -132 -124
3 1024 2.493 -148 -136 -128 -128
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -164.8 -152 -140 -124
3 1024 2.493 -124.8 -116 -88 -68
3 1024 2.493 -160.8 -148 -132 -132
3 1024 2.493 -188.8 -172 -160 -152
3 1024 2.493 -191.2 -176 -176 -176
3 1024 2.493 -168 -156 -152 -148
3 1024 2.493 -201.6 -184 -180 -176
3 1024 2.493 -160 -148 -144 -136
3 1024 2.493 -201.6 -184 -188 -184
3 1024 2.493 -170.4 -156 -148 -140
3 1024 2.493 -174.4 -160 -156 -148
3 1024 2.493 -165.6 -152 -136 -132
3 1024 2.493 -177.6 -164 -160 -160
3 1024 2.493 -152 -140 -136 -132
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -196.8 -180 -176 -176
3 1024 2.493 -144 -132 -120 -128
3 1024 2.493 -128.8 -120 -104 -92
3 1024 2.493 -164 -152 -144 -144
3 1024 2.493 -124.8 -116 -88 -76
3 1024 2.493 -166.4 -152 -132 -124
3 1024 2.493 -146.4 -136 -128 -120
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -183.2 -168 -160 -168
3 1024 2.493 -175.2 -160 -152 -140
3 1024 2.493 -169.6 -156 -144 -140
3 1024 2.493 -191.2 -176 -176 -176
3 1024 2.493 -170.4 -156 -148 -136
3 1024 2.493 -155.2 -144 -140 -144
3 1024 2.493 -196.8 -180 -176 -180
3 1024 2.493 -206.4 -188 -184 -184
3 1024 2.493 -164 -152 -144 -132
3 1024 2.493 -170.4 -156 -140 -132
3 1024 2.493 -132 -124 -108 -112
3 1024 2.493 -160 -148 -136 -128
3 1024 2.493 -155.2 -144 -132 -136
3 1024 2.493 -101.6 -96 -72 -80
3 1024 2.493 -143.2 -132 -108 -104
3 1024 2.493 -172 -160 -160 -160
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -160.8 -148 -140 -128
3 1024 2.493 -169.6 -156 -144 -152
3 1024 2.493 -198.4 -180 -168 -176
3 1024 2.493 -145.6 -136 -132 -136
3 1024 2.493 -192.8 -176 -168 -168
3 1024 2.493 -168.8 -156 -148 -140
3 1024 2.493 -161.6 -148 -128 -128
3 1024 2.493 -179.2 -164 -152 -156
3 1024 2.493 -173.6 -160 -152 -156
3 1024 2.493 -192.8 -176 -168 -168
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -187.2 -172 -168 -160
3 1024 2.493 -168 -156 -152 -156
3 1024 2.493 -145.6 -136 -132 -132
3 1024 2.493 -129.6 -120 -100 -96
3 1024 2.493 -188 -172 -164 -156
3 1024 2.493 -206.4 -188 -184 -184
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -181.6 -168 -168 -168
3 1024 2.493 -143.2 -132 -116 -96
3 1024 2.493 -164.8 -152 -148 -144
3 1024 2.493 -143.2 -132 -124 -112
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -141.6 -132 -124 -120
3 1024 2.493 -178.4 -164 -156 -152
3 1024 2.493 -152 -140 -128 -120
3 1024 2.493 -160.8 -148 -140 -128
3 1024 2.493 -134.4 -124 -96 -80
3 1024 2.493 -134.4 -124 -96 -84
3 1024 2.493 -192 -176 -172 -168
3 1024 2.493 -129.6 -120 -108 -92
3 1024 2.493 -191.2 -176 -176 -176
3 1024 2.493 -160.8 -148 -132 -132
3 1024 2.493 -129.6 -120 -92 -92
3 1024 2.493 -159.2 -148 -148 -136
3 1024 2.493 -163.2 -152 -156 -152
3 1024 2.493 -134.4 -124 -96 -104
3 1024 2.493 -162.4 -152 -152 -152
3 1024 2.493 -150.4 -140 -128 -124
3 1024 2.493 -116 -108 -84 -68
3 1024 2.493 -116 -104 -64 -48
3 1024 2.493 -118.4 -108 -72 -64
3 1024 2.493 -142.4 -132 -120 -104
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -182.4 -168 -172 -168
3 1024 2.493 -174.4 -160 -148 -140
3 1024 2.493 -144.8 -132 -116 -104
3 1024 2.493 -177.6 -164 -160 -168
3 1024 2.493 -179.2 -164 -152 -156
3 1024 2.493 -146.4 -136 -128 -120
3 1024 2.493 -134.4 -124 -96 -84
3 1024 2.493 -108 -100 -76 -44
3 1024 2.493 -113.6 -104 -76 -48
3 1024 2.493 -128.8 -120 -104 -104
3 1024 2.493 -165.6 -152 -144 -140
3 1024 2.493 -99.2 -92 -64 -72
3 1024 2.493 -161.6 -148 -144 -140
3 1024 2.493 -104.8 -96 -72 -64
3 1024 2.493 -148.8 -140 -136 -140
3 1024 2.493 -133.6 -124 -108 -104
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -147.2 -136 -132 -116
3 1024 2.493 -130.4 -120 -96 -72
3 1024 2.493 -188 -172 -164 -160
3 1024 2.493 -168.8 -156 -148 -140
3 1024 2.493 -169.6 -156 -144 -144
3 1024 2.493 -131.2 -120 -92 -72
3 1024 2.493 -178.4 -164 -156 -152
3 1024 2.493 -140 -128 -96 -88
3 1024 2.493 -160 -148 -136 -128
3 1024 2.493 -191.2 -176 -176 -176
3 1024 2.493 -177.6 -164 -160 -156
3 1024 2.493 -173.6 -160 -152 -160
3 1024 2.493 -184 -168 -164 -152
3 1024 2.493 -160 -148 -136 -140
3 1024 2.493 -121.6 -112 -92 -80
3 1024 2.493 -140 -128 -96 -80
3 1024 2.493 -126.4 -116 -80 -68
3 1024 2.493 -112.8 -104 -72 -72
3 1024 2.493 -164 -152 -144 -140
3 1024 2.493 -166.4 -152 -140 -124
3 1024 2.493 -152 -140 -128 -100
3 1024 2.493 -147.2 -136 -124 -108
3 1024 2.493 -160.8 -148 -140 -144
3 1024 2.493 -80.8 -76 -36 -12
3 1024 2.493 -128.8 -120 -104 -96
3 1024 2.493 -112 -104 -84 -68
3 1024 2.493 -156.8 -144 -132 -128
3 1024 2.493 -143.2 -132 -124 -112
3 1024 2.493 -146.4 -136 -128 -116
