J: 8.66854 1.22259 -0.0641977 -0.0207783 
nth temperature m m2 m4 ms e sp_h 
3 1 0.999484 0.998979 0.998001 0.00107737 -219.757 0.0233753 
3 1 0.999398 0.99881 0.997674 0.00135976 -219.721 0.0278683 
3 1.005 0.999464 0.99894 0.997928 0.00118932 -219.752 0.0244008 
3 1.005 0.999444 0.998901 0.99785 0.00121899 -219.741 0.0254407 
3 1.01 0.99939 0.998794 0.99764 0.00130573 -219.714 0.0276636 
3 1.01 0.999458 0.998928 0.997903 0.00116299 -219.745 0.0247577 
3 1.015 0.999328 0.998671 0.997402 0.00145305 -219.686 0.0301861 
3 1.015 0.999336 0.998687 0.997434 0.0014541 -219.694 0.0290393 
3 1.02 0.999356 0.998727 0.997511 0.00141032 -219.7 0.0288777 
3 1.02 0.999316 0.998647 0.997353 0.00143648 -219.68 0.0298518 
3 1.025 0.999292 0.9986 0.997263 0.00151988 -219.671 0.0306199 
3 1.025 0.999316 0.998647 0.997353 0.00142167 -219.679 0.0296263 
3 1.03 0.99929 0.998596 0.997256 0.00153164 -219.669 0.0309357 
3 1.03 0.999292 0.9986 0.997265 0.00155133 -219.674 0.0305016 
3 1.035 0.99928 0.998576 0.997214 0.00148808 -219.662 0.0307754 
3 1.035 0.999258 0.998533 0.997131 0.00157386 -219.654 0.0316126 
3 1.04 0.999244 0.998505 0.997078 0.00161428 -219.648 0.0324794 
3 1.04 0.999258 0.998533 0.997132 0.00157398 -219.658 0.0307146 
3 1.045 0.99919 0.998399 0.996871 0.00173243 -219.624 0.0343173 
3 1.045 0.999264 0.998545 0.997157 0.00158644 -219.662 0.0302277 
3 1.05 0.999074 0.998169 0.996423 0.00196405 -219.57 0.038854 
3 1.05 0.999076 0.998173 0.996428 0.00191488 -219.569 0.0383111 
3 1.055 0.999148 0.998315 0.996706 0.00176627 -219.604 0.0347097 
3 1.055 0.999154 0.998327 0.996729 0.00174827 -219.604 0.0353204 
3 1.06 0.999138 0.998296 0.996671 0.00184311 -219.6 0.0353595 
3 1.06 0.999132 0.998284 0.996646 0.00182326 -219.598 0.0349995 
3 1.065 0.998994 0.998013 0.99612 0.00220732 -219.536 0.0411199 
3 1.065 0.999116 0.998253 0.996588 0.00190221 -219.594 0.0355742 
3 1.07 0.998978 0.997979 0.996051 0.00209678 -219.526 0.0406336 
3 1.07 0.999032 0.998087 0.996263 0.00205075 -219.553 0.0387375 
3 1.075 0.99899 0.998004 0.9961 0.00211162 -219.532 0.040427 
3 1.075 0.999044 0.998111 0.99631 0.00202847 -219.559 0.0381599 
3 1.08 0.998902 0.99783 0.995761 0.00229207 -219.494 0.0427804 
3 1.08 0.99902 0.998064 0.99622 0.00211848 -219.55 0.0388617 
3 1.085 0.998898 0.997823 0.995748 0.00233231 -219.491 0.0438799 
3 1.085 0.99891 0.997846 0.995794 0.00230524 -219.498 0.0425395 
3 1.09 0.998808 0.997645 0.995405 0.00257056 -219.451 0.047573 
3 1.09 0.998882 0.997791 0.995688 0.00238441 -219.484 0.0438588 
3 1.095 0.998794 0.997617 0.995349 0.00255211 -219.444 0.0470869 
3 1.095 0.998742 0.997514 0.995142 0.00255502 -219.419 0.0476374 
3 1.1 0.998752 0.997534 0.995185 0.00258568 -219.426 0.0476291 
3 1.1 0.99871 0.997451 0.995024 0.00268872 -219.406 0.0493038 
3 1.105 0.998636 0.997305 0.994739 0.00282891 -219.373 0.0508681 
3 1.105 0.998818 0.997665 0.995441 0.00247628 -219.458 0.0447017 
3 1.11 0.998672 0.997376 0.994879 0.00276724 -219.39 0.0497258 
3 1.11 0.998728 0.997487 0.995095 0.00265784 -219.416 0.0471344 
3 1.115 0.998622 0.997278 0.994687 0.00286826 -219.372 0.0497126 
3 1.115 0.998692 0.997415 0.994949 0.00260172 -219.393 0.0477513 
3 1.12 0.998722 0.997476 0.995077 0.00272203 -219.413 0.0481566 
3 1.12 0.998468 0.996973 0.994089 0.00307616 -219.292 0.0559299 
3 1.125 0.998492 0.99702 0.994182 0.00301919 -219.305 0.0542291 
3 1.125 0.998456 0.99695 0.994049 0.00318721 -219.29 0.0558644 
3 1.13 0.998566 0.997167 0.994468 0.00288705 -219.342 0.0511275 
3 1.13 0.998478 0.996993 0.994129 0.00305518 -219.296 0.054078 
3 1.135 0.99839 0.996819 0.993789 0.00319365 -219.256 0.0568447 
3 1.135 0.99844 0.99692 0.993992 0.00326752 -219.287 0.0554502 
3 1.14 0.998444 0.996926 0.993998 0.00309288 -219.286 0.0540757 
3 1.14 0.998348 0.996739 0.993643 0.00350797 -219.254 0.0579062 
3 1.145 0.998382 0.996805 0.993769 0.00335913 -219.259 0.0565975 
3 1.145 0.998278 0.996597 0.993355 0.00334976 -219.205 0.0589388 
3 1.15 0.998268 0.99658 0.993331 0.00357219 -219.212 0.0603748 
3 1.15 0.998254 0.996552 0.993277 0.00359926 -219.202 0.0607978 
3 1.155 0.998184 0.996412 0.992997 0.00355863 -219.167 0.0611929 
3 1.155 0.99819 0.996426 0.993031 0.00370943 -219.173 0.0631554 
3 1.16 0.998176 0.996401 0.99299 0.00392698 -219.169 0.0636879 
3 1.16 0.998036 0.996123 0.992442 0.00403989 -219.106 0.0674816 
3 1.165 0.998004 0.996058 0.992309 0.00392927 -219.082 0.0677549 
3 1.165 0.9981 0.99625 0.992696 0.00402318 -219.138 0.0654998 
3 1.17 0.997876 0.995807 0.991825 0.00427766 -219.034 0.0707623 
