s nth step2 temp ene nn nnn nnnn 
32 1 2048 2.493 -1544 -1428 -1316 -1208
32 1 2048 2.493 -1700.8 -1564 -1460 -1384
32 1 2048 2.493 -1596 -1468 -1320 -1184
32 1 2048 2.493 -1772 -1620 -1488 -1488
32 1 2048 2.493 -1772 -1620 -1488 -1488
32 1 2048 2.493 -1746.4 -1596 -1440 -1412
32 1 2048 2.493 -1795.2 -1644 -1508 -1468
32 1 2048 2.493 -1727.2 -1584 -1436 -1376
32 1 2048 2.493 -1614.4 -1484 -1348 -1264
32 1 2048 2.493 -1672 -1540 -1444 -1404
32 1 2048 2.493 -1616.8 -1484 -1368 -1272
32 1 2048 2.493 -1724.8 -1588 -1484 -1448
32 1 2048 2.493 -1628 -1496 -1348 -1300
32 1 2048 2.493 -1798.4 -1648 -1528 -1476
32 1 2048 2.493 -1772 -1624 -1492 -1436
32 1 2048 2.493 -1772 -1624 -1492 -1436
32 1 2048 2.493 -1728 -1584 -1432 -1344
32 1 2048 2.493 -1728 -1584 -1432 -1344
32 1 2048 2.493 -1747.2 -1604 -1492 -1424
32 1 2048 2.493 -1698.4 -1560 -1444 -1384
32 1 2048 2.493 -1688 -1548 -1388 -1376
32 1 2048 2.493 -1692 -1552 -1396 -1380
32 1 2048 2.493 -1692.8 -1552 -1400 -1364
32 1 2048 2.493 -1635.2 -1500 -1332 -1260
32 1 2048 2.493 -1554.4 -1428 -1224 -1124
32 1 2048 2.493 -1567.2 -1440 -1244 -1148
32 1 2048 2.493 -1562.4 -1436 -1240 -1136
32 1 2048 2.493 -1666.4 -1524 -1328 -1240
32 1 2048 2.493 -1666.4 -1524 -1328 -1240
32 1 2048 2.493 -1770.4 -1620 -1488 -1460
32 1 2048 2.493 -1752 -1608 -1496 -1480
32 1 2048 2.493 -1713.6 -1576 -1464 -1416
32 1 2048 2.493 -1491.2 -1376 -1216 -1112
32 1 2048 2.493 -1859.2 -1708 -1652 -1640
32 1 2048 2.493 -1747.2 -1604 -1476 -1392
32 1 2048 2.493 -1734.4 -1592 -1464 -1388
32 1 2048 2.493 -1739.2 -1596 -1468 -1392
32 1 2048 2.493 -1623.2 -1496 -1364 -1332
32 1 2048 2.493 -1702.4 -1564 -1452 -1400
32 1 2048 2.493 -1705.6 -1572 -1476 -1404
32 1 2048 2.493 -1842.4 -1692 -1624 -1564
32 1 2048 2.493 -1552.8 -1432 -1284 -1224
32 1 2048 2.493 -1637.6 -1508 -1376 -1312
32 1 2048 2.493 -1450.4 -1336 -1100 -972
32 1 2048 2.493 -1434.4 -1324 -1136 -1004
32 1 2048 2.493 -1468 -1356 -1184 -1064
32 1 2048 2.493 -1527.2 -1404 -1216 -1044
32 1 2048 2.493 -1691.2 -1552 -1416 -1360
32 1 2048 2.493 -1811.2 -1660 -1596 -1552
32 1 2048 2.493 -1630.4 -1496 -1344 -1252
32 1 2048 2.493 -1494.4 -1376 -1184 -1016
32 1 2048 2.493 -1513.6 -1392 -1224 -1080
32 1 2048 2.493 -1608.8 -1480 -1324 -1228
32 1 2048 2.493 -1516.8 -1400 -1224 -1076
32 1 2048 2.493 -1409.6 -1300 -1068 -916
32 1 2048 2.493 -1593.6 -1468 -1300 -1208
32 1 2048 2.493 -1615.2 -1488 -1324 -1236
32 1 2048 2.493 -1576.8 -1448 -1260 -1132
32 1 2048 2.493 -1696.8 -1556 -1400 -1348
32 1 2048 2.493 -1680.8 -1540 -1376 -1316
32 1 2048 2.493 -1680.8 -1540 -1376 -1316
32 1 2048 2.493 -1571.2 -1444 -1244 -1120
32 1 2048 2.493 -1548.8 -1424 -1216 -1080
32 1 2048 2.493 -1564 -1436 -1248 -1176
32 1 2048 2.493 -1292 -1192 -908 -772
32 1 2048 2.493 -1280 -1180 -884 -724
32 1 2048 2.493 -1328.8 -1228 -968 -820
32 1 2048 2.493 -1552 -1428 -1244 -1152
32 1 2048 2.493 -1587.2 -1460 -1300 -1168
