size temperature m mag_sus 
32 2.2 0.784489 4.3131 
32 2.2 0.784967 4.53607 
32 2.2 0.783358 4.3782 
32 2.2 0.784628 4.1477 
32 2.2 0.78452 4.43699 
32 2.201 0.783782 4.27469 
32 2.201 0.783656 4.45707 
32 2.201 0.783224 4.4417 
32 2.201 0.783121 4.57971 
32 2.201 0.783925 4.22961 
32 2.202 0.783854 4.32836 
32 2.202 0.783331 4.47039 
32 2.202 0.781106 4.57546 
32 2.202 0.781609 4.69883 
32 2.202 0.78272 4.4827 
32 2.203 0.779247 4.78837 
32 2.203 0.7813 4.44816 
32 2.203 0.780296 4.84232 
32 2.203 0.778469 5.1008 
32 2.203 0.781025 4.68492 
32 2.204 0.77956 4.64754 
32 2.204 0.780043 4.65582 
32 2.204 0.780864 4.49199 
32 2.204 0.781098 4.48969 
32 2.204 0.781151 4.37112 
32 2.205 0.778106 4.4145 
32 2.205 0.778543 4.86125 
32 2.205 0.778743 4.67697 
32 2.205 0.778681 4.71299 
32 2.205 0.779473 4.54698 
32 2.206 0.775788 5.17526 
32 2.206 0.776365 4.69574 
32 2.206 0.778428 4.78555 
32 2.206 0.775597 5.00315 
32 2.206 0.77568 5.08002 
32 2.207 0.775671 4.84387 
32 2.207 0.773802 5.34548 
32 2.207 0.775754 5.04539 
32 2.207 0.77497 5.13637 
32 2.207 0.774369 5.29362 
32 2.208 0.774741 4.89253 
32 2.208 0.776518 4.68079 
32 2.208 0.773936 5.0331 
32 2.208 0.774223 5.18716 
32 2.208 0.774807 5.20984 
32 2.209 0.772999 5.27247 
32 2.209 0.771489 5.2331 
32 2.209 0.773604 5.11041 
32 2.209 0.772214 5.1071 
32 2.209 0.774708 5.01296 
32 2.21 0.772429 4.91664 
32 2.21 0.772364 5.23522 
32 2.21 0.771479 5.4384 
32 2.21 0.769454 5.28495 
32 2.21 0.772059 5.0042 
32 2.211 0.76835 5.67929 
32 2.211 0.769396 5.36794 
32 2.211 0.769983 5.25079 
32 2.211 0.771565 4.96732 
32 2.211 0.771222 5.24503 
32 2.212 0.768373 5.43564 
32 2.212 0.767768 5.69395 
32 2.212 0.769571 5.18643 
32 2.212 0.771147 4.93384 
32 2.212 0.768132 5.32592 
32 2.213 0.764903 5.75687 
32 2.213 0.76835 5.14201 
32 2.213 0.764945 5.68493 
32 2.213 0.766911 5.33617 
32 2.213 0.766483 5.48181 
32 2.214 0.767128 5.66475 
32 2.214 0.766632 5.78881 
32 2.214 0.765603 5.83572 
32 2.214 0.762247 6.21287 
32 2.214 0.765433 5.71651 
32 2.215 0.7648 5.67397 
32 2.215 0.7647 5.69706 
32 2.215 0.764989 5.81024 
32 2.215 0.765928 5.70743 
32 2.215 0.763478 5.78355 
32 2.216 0.762814 5.99296 
32 2.216 0.763069 6.10299 
32 2.216 0.761276 6.24677 
32 2.216 0.761251 6.34728 
32 2.216 0.762542 5.78573 
32 2.217 0.759493 6.32143 
32 2.217 0.760707 6.03052 
32 2.217 0.761115 5.95477 
32 2.217 0.762336 5.81466 
32 2.217 0.759107 6.21221 
32 2.218 0.759164 6.5201 
32 2.218 0.758533 6.19186 
32 2.218 0.760456 6.15465 
32 2.218 0.757317 6.1957 
32 2.218 0.760991 5.90752 
32 2.219 0.75866 6.1285 
32 2.219 0.760105 5.90499 
32 2.219 0.757854 6.02748 
32 2.219 0.756563 6.15803 
32 2.219 0.760516 5.94821 
32 2.22 0.755419 6.75855 
32 2.22 0.756288 6.27451 
32 2.22 0.755411 6.44695 
32 2.22 0.757716 6.01614 
32 2.22 0.758358 5.90447 
32 2.221 0.754219 6.58243 
32 2.221 0.754723 6.5411 
32 2.221 0.754207 6.53439 
32 2.221 0.75615 6.11905 
32 2.221 0.756892 6.01406 
32 2.222 0.752501 6.64378 
32 2.222 0.75238 6.79483 
32 2.222 0.754384 6.16906 
32 2.222 0.754016 6.37085 
32 2.222 0.752852 6.53331 
32 2.223 0.751662 6.56911 
32 2.223 0.751189 6.87484 
32 2.223 0.750581 6.67642 
32 2.223 0.750386 6.82983 
32 2.223 0.750977 6.72715 
32 2.224 0.753033 6.43371 
32 2.224 0.751109 6.42039 
32 2.224 0.751454 6.56874 
32 2.224 0.750991 6.78136 
32 2.224 0.749546 7.11759 
32 2.225 0.747419 6.96025 
32 2.225 0.749689 6.65926 
32 2.225 0.749736 6.55931 
32 2.225 0.749639 6.86754 
32 2.225 0.749545 6.58145 
32 2.226 0.749098 6.82696 
32 2.226 0.744241 7.51838 
32 2.226 0.745435 7.01263 
32 2.226 0.74868 6.70002 
32 2.226 0.745915 6.67767 
32 2.227 0.747372 6.94258 
32 2.227 0.745695 6.90119 
32 2.227 0.744797 7.22049 
32 2.227 0.746155 6.74824 
32 2.227 0.742903 7.63634 
32 2.228 0.742831 7.18138 
32 2.228 0.744832 7.17089 
32 2.228 0.74358 7.24089 
32 2.228 0.744524 6.9929 
32 2.228 0.744978 7.03315 
32 2.229 0.739529 7.7922 
32 2.229 0.739902 7.84463 
32 2.229 0.742458 7.06837 
32 2.229 0.742482 7.32582 
32 2.229 0.742517 7.33979 
32 2.23 0.738719 7.71492 
32 2.23 0.737658 7.85242 
32 2.23 0.741797 7.09873 
32 2.23 0.741738 7.08891 
32 2.23 0.740538 7.56044 
32 2.231 0.738828 7.35039 
32 2.231 0.734015 8.63029 
32 2.231 0.737321 7.78656 
32 2.231 0.738966 7.4292 
32 2.231 0.737249 7.67469 
32 2.232 0.736121 7.55153 
32 2.232 0.736697 7.50493 
32 2.232 0.735223 7.76515 
32 2.232 0.734414 7.8857 
32 2.232 0.735158 7.89999 
32 2.233 0.735441 7.80399 
32 2.233 0.734 7.82493 
32 2.233 0.731419 8.1213 
32 2.233 0.734547 7.94513 
32 2.233 0.735515 7.59294 
32 2.234 0.732651 7.97569 
32 2.234 0.734549 7.7793 
32 2.234 0.732412 7.96076 
32 2.234 0.729894 8.64237 
32 2.234 0.731113 8.38536 
32 2.235 0.732089 8.0717 
32 2.235 0.729013 8.46523 
32 2.235 0.730022 8.38079 
32 2.235 0.731518 8.23298 
32 2.235 0.732172 8.11423 
32 2.236 0.730986 8.01774 
32 2.236 0.729043 8.44667 
32 2.236 0.724189 8.88378 
32 2.236 0.730204 8.04024 
32 2.236 0.729499 8.16765 
32 2.237 0.72693 8.51077 
32 2.237 0.726374 8.59338 
32 2.237 0.725439 8.79361 
32 2.237 0.725206 8.81589 
32 2.237 0.729842 7.80273 
32 2.238 0.724515 8.86714 
32 2.238 0.725409 8.64956 
32 2.238 0.726404 8.31314 
32 2.238 0.725954 8.26287 
32 2.238 0.72604 8.57262 
32 2.239 0.723086 8.66185 
32 2.239 0.724332 8.63915 
32 2.239 0.723802 8.62856 
32 2.239 0.723326 8.78157 
32 2.239 0.722156 8.83047 
32 2.24 0.720251 9.1806 
32 2.24 0.725613 8.00287 
32 2.24 0.721771 8.87223 
32 2.24 0.719495 9.04385 
32 2.24 0.72173 8.62946 
32 2.241 0.719062 9.02598 
32 2.241 0.718304 9.08352 
32 2.241 0.715574 9.68122 
32 2.241 0.717225 9.46528 
32 2.241 0.720213 8.79751 
32 2.242 0.713976 10.1797 
32 2.242 0.717198 9.30138 
32 2.242 0.718912 8.89388 
32 2.242 0.714333 9.72455 
32 2.242 0.716863 9.43022 
32 2.243 0.713101 9.61204 
32 2.243 0.711945 9.82567 
32 2.243 0.71613 9.02985 
32 2.243 0.7124 9.81931 
32 2.243 0.712355 9.85703 
32 2.244 0.710117 10.054 
32 2.244 0.710684 10.0032 
32 2.244 0.714938 9.14864 
32 2.244 0.711698 9.98119 
32 2.244 0.710963 9.78179 
32 2.245 0.711593 9.65002 
32 2.245 0.709703 10.1871 
32 2.245 0.708434 10.1587 
32 2.245 0.707071 10.4733 
32 2.245 0.713848 9.22119 
32 2.246 0.710117 9.86102 
32 2.246 0.70762 9.93247 
32 2.246 0.709978 9.8975 
32 2.246 0.707699 9.96753 
32 2.246 0.708076 10.3886 
32 2.247 0.707985 9.79479 
32 2.247 0.704749 10.3994 
32 2.247 0.712011 9.23585 
32 2.247 0.707611 9.52374 
32 2.247 0.705564 10.2903 
32 2.248 0.703123 10.4695 
32 2.248 0.705203 10.2059 
32 2.248 0.707922 9.73272 
32 2.248 0.703255 10.3975 
