size temperature m m^2 m^4 mag_sus 
16 1.5 0.986342 0.973036 0.947427 0.0281166 
16 1.5 0.986457 0.973252 0.947809 0.0263571 
16 1.5 0.986608 0.973549 0.948385 0.0262283 
16 1.5 0.986413 0.973177 0.947705 0.0282857 
16 1.5 0.98659 0.973514 0.948319 0.0263097 
16 1.52 0.985249 0.970894 0.943314 0.0299936 
16 1.52 0.985514 0.971412 0.944302 0.0292654 
16 1.52 0.985241 0.970883 0.943307 0.0306579 
16 1.52 0.985127 0.970656 0.94286 0.0303724 
16 1.52 0.985367 0.971123 0.943747 0.0294477 
16 1.54 0.98372 0.967909 0.937617 0.0337538 
16 1.54 0.984074 0.968598 0.938927 0.0325976 
16 1.54 0.984108 0.968667 0.939071 0.0330583 
16 1.54 0.983988 0.968422 0.938562 0.03149 
16 1.54 0.983887 0.968231 0.938225 0.0329727 
16 1.56 0.982779 0.966068 0.934095 0.0349876 
16 1.56 0.982344 0.965219 0.932478 0.0360337 
16 1.56 0.982781 0.966071 0.934097 0.0347955 
16 1.56 0.982833 0.966165 0.934253 0.0336362 
16 1.56 0.982766 0.966047 0.934074 0.0359291 
16 1.58 0.9811 0.962804 0.927918 0.0399631 
16 1.58 0.981196 0.962985 0.928243 0.038783 
16 1.58 0.981467 0.963519 0.92928 0.0391502 
16 1.58 0.981345 0.963282 0.92883 0.0396226 
16 1.58 0.981404 0.963388 0.929001 0.0379952 
16 1.6 0.979814 0.960297 0.923156 0.0419041 
16 1.6 0.979633 0.959947 0.922499 0.042646 
16 1.6 0.979696 0.960073 0.922747 0.0429377 
16 1.6 0.979801 0.960276 0.923131 0.0426493 
16 1.6 0.979537 0.959769 0.922186 0.0440214 
16 1.62 0.977915 0.956622 0.91626 0.0480955 
16 1.62 0.977692 0.956181 0.915396 0.0472 
16 1.62 0.977979 0.956742 0.916472 0.047292 
16 1.62 0.978157 0.957081 0.917088 0.0457817 
16 1.62 0.978191 0.957155 0.917245 0.0468348 
16 1.64 0.976113 0.953134 0.909712 0.0525114 
16 1.64 0.975993 0.95289 0.909216 0.0511508 
16 1.64 0.976158 0.953215 0.909851 0.0516951 
16 1.64 0.976114 0.953131 0.909693 0.0518436 
16 1.64 0.976279 0.953466 0.910374 0.0538623 
16 1.66 0.973977 0.949013 0.902035 0.059076 
16 1.66 0.974182 0.949405 0.902751 0.0577208 
16 1.66 0.973713 0.948507 0.901102 0.0601308 
16 1.66 0.974309 0.949634 0.90312 0.0547856 
16 1.66 0.974333 0.949684 0.903229 0.0554268 
16 1.68 0.972118 0.945429 0.895361 0.0633375 
16 1.68 0.972132 0.945464 0.895455 0.0645619 
16 1.68 0.972552 0.946253 0.896855 0.0604838 
16 1.68 0.972375 0.94594 0.896365 0.0650828 
16 1.68 0.972535 0.946221 0.896793 0.0603996 
16 1.7 0.970409 0.942146 0.889298 0.0683146 
16 1.7 0.969791 0.940989 0.88724 0.0742916 
16 1.7 0.970021 0.941401 0.887907 0.0692466 
16 1.7 0.970153 0.941652 0.888365 0.0685013 
16 1.7 0.970599 0.9425 0.889907 0.0658775 
16 1.72 0.967614 0.936781 0.879384 0.0749515 
16 1.72 0.967486 0.936547 0.878998 0.0771659 
16 1.72 0.967986 0.937487 0.880667 0.0730272 
16 1.72 0.967723 0.936997 0.879805 0.0757134 
16 1.72 0.967826 0.937193 0.880167 0.0753643 
16 1.74 0.965755 0.93323 0.872892 0.080625 
16 1.74 0.965611 0.932983 0.87254 0.0851469 
16 1.74 0.965391 0.932543 0.87167 0.0829732 
16 1.74 0.965098 0.931999 0.870715 0.086131 
16 1.74 0.965063 0.931937 0.870621 0.0870727 
16 1.76 0.962579 0.927218 0.862077 0.0959247 
16 1.76 0.963073 0.928117 0.863566 0.0881752 
16 1.76 0.962965 0.92795 0.863391 0.0944155 
16 1.76 0.962643 0.927293 0.862065 0.0889351 
16 1.76 0.962777 0.927555 0.862559 0.0894464 
16 1.78 0.960028 0.922353 0.853206 0.100515 
16 1.78 0.959649 0.921656 0.852019 0.104925 
16 1.78 0.959893 0.922104 0.852784 0.102082 
16 1.78 0.959924 0.922152 0.852839 0.100329 
16 1.78 0.959463 0.92129 0.851321 0.103637 
16 1.8 0.95652 0.915753 0.841479 0.117138 
16 1.8 0.956412 0.915576 0.841232 0.121305 
16 1.8 0.956641 0.915953 0.841742 0.112379 
16 1.8 0.956955 0.916568 0.842898 0.114419 
16 1.8 0.957003 0.916655 0.843066 0.113807 
16 1.82 0.953802 0.910627 0.832322 0.125174 
16 1.82 0.953249 0.909572 0.830416 0.124963 
16 1.82 0.953865 0.910752 0.83256 0.125776 
16 1.82 0.953545 0.910155 0.831505 0.127734 
16 1.82 0.953723 0.910507 0.832198 0.129401 
16 1.84 0.950313 0.904105 0.820864 0.140487 
16 1.84 0.950278 0.90404 0.820743 0.14079 
16 1.84 0.949942 0.903409 0.819642 0.141802 
16 1.84 0.950393 0.904264 0.821169 0.141529 
16 1.84 0.949785 0.903098 0.819038 0.140056 
16 1.86 0.946905 0.897785 0.809884 0.158986 
16 1.86 0.946855 0.897659 0.809612 0.154913 
16 1.86 0.946505 0.896956 0.808232 0.149373 
16 1.86 0.946716 0.89741 0.809188 0.15665 
16 1.86 0.946894 0.897725 0.809702 0.15376 
16 1.88 0.942593 0.889786 0.79606 0.177684 
16 1.88 0.942615 0.889826 0.796124 0.177477 
16 1.88 0.94177 0.888276 0.793514 0.183137 
16 1.88 0.943022 0.89055 0.797297 0.171559 
16 1.88 0.942727 0.890004 0.796338 0.172811 
16 1.9 0.938502 0.882262 0.783196 0.198842 
16 1.9 0.937642 0.880676 0.780516 0.202515 
16 1.9 0.938052 0.881461 0.781858 0.204852 
16 1.9 0.937965 0.881257 0.781459 0.199273 
16 1.9 0.938201 0.881689 0.782184 0.197869 
16 1.92 0.933955 0.873952 0.76919 0.22386 
16 1.92 0.934037 0.874109 0.769441 0.224534 
16 1.92 0.933284 0.872723 0.767104 0.227168 
16 1.92 0.933847 0.873743 0.768808 0.223123 
16 1.92 0.933534 0.873215 0.768031 0.230615 
16 1.94 0.92812 0.863425 0.751808 0.266437 
16 1.94 0.928472 0.864006 0.752612 0.256844 
16 1.94 0.928737 0.864429 0.75323 0.247763 
16 1.94 0.928708 0.864442 0.753419 0.256466 
16 1.94 0.928502 0.864093 0.752847 0.260833 
16 1.96 0.922042 0.852586 0.734067 0.316682 
16 1.96 0.923624 0.855268 0.738287 0.285527 
16 1.96 0.923388 0.854898 0.737778 0.294153 
16 1.96 0.922484 0.853439 0.735735 0.32166 
16 1.96 0.923901 0.855804 0.739243 0.28887 
16 1.98 0.917483 0.844231 0.720188 0.317599 
16 1.98 0.918085 0.845358 0.722084 0.320375 
16 1.98 0.917784 0.844998 0.721915 0.345212 
16 1.98 0.91718 0.843854 0.719719 0.340545 
16 1.98 0.917266 0.843892 0.719783 0.32528 
16 2 0.912051 0.834701 0.705238 0.366637 
16 2 0.911754 0.834376 0.705041 0.394328 
16 2 0.910291 0.831778 0.700957 0.402868 
16 2 0.910999 0.832997 0.702663 0.393967 
16 2 0.91158 0.834034 0.704477 0.391009 
16 2.02 0.905013 0.822602 0.686653 0.450246 
16 2.02 0.904798 0.822126 0.685666 0.439196 
16 2.02 0.904671 0.821948 0.685396 0.44584 
16 2.02 0.904937 0.822568 0.686581 0.46336 
16 2.02 0.90462 0.821781 0.685126 0.436519 
16 2.04 0.898525 0.811439 0.669486 0.513499 
16 2.04 0.896784 0.808481 0.665076 0.53465 
16 2.04 0.896673 0.808493 0.665239 0.56085 
16 2.04 0.898095 0.810358 0.667237 0.474648 
16 2.04 0.896925 0.808848 0.665825 0.548794 
16 2.06 0.889054 0.795519 0.645751 0.634048 
16 2.06 0.888588 0.794733 0.644803 0.639177 
16 2.06 0.88738 0.793106 0.642762 0.703615 
16 2.06 0.88836 0.794238 0.643864 0.62816 
