size temperature err_m err_ms
16 2.2 0.00308015 0.123938
16 2.201 0.00303905 0.124885
16 2.202 0.0030786 0.123268
16 2.203 0.00313473 0.116951
16 2.204 0.00283668 0.108529
16 2.205 0.00283477 0.10271
16 2.206 0.00339149 0.145057
16 2.207 0.00309255 0.12893
16 2.208 0.00310172 0.117535
16 2.209 0.00303806 0.11371
16 2.21 0.00297422 0.109623
16 2.211 0.00303237 0.106032
16 2.212 0.00302412 0.105956
16 2.213 0.00311885 0.125479
16 2.214 0.00308276 0.114347
16 2.215 0.00322544 0.125072
16 2.216 0.00313392 0.129912
16 2.217 0.00322992 0.129673
16 2.218 0.00307006 0.119229
16 2.219 0.00306841 0.104088
16 2.22 0.00331581 0.131272
16 2.221 0.0032856 0.132765
16 2.222 0.00333335 0.125613
16 2.223 0.0031261 0.114353
16 2.224 0.00339199 0.128401
16 2.225 0.00324284 0.129187
16 2.226 0.0031919 0.122533
16 2.227 0.00327686 0.120819
16 2.228 0.00329553 0.129069
16 2.229 0.00313447 0.108374
16 2.23 0.00346176 0.126621
16 2.231 0.00332968 0.129296
16 2.232 0.00318004 0.124469
16 2.233 0.00339494 0.122401
16 2.234 0.00348741 0.133372
16 2.235 0.00359166 0.140752
16 2.236 0.00358764 0.137984
16 2.237 0.00361619 0.137415
16 2.238 0.00373319 0.153147
16 2.239 0.00358023 0.137986
16 2.24 0.00341741 0.130211
16 2.241 0.00348076 0.123456
16 2.242 0.00360223 0.137698
16 2.243 0.00384614 0.14569
16 2.244 0.0034078 0.119173
16 2.245 0.00362044 0.142737
16 2.246 0.00376467 0.138261
16 2.247 0.00366659 0.140275
16 2.248 0.00362631 0.138957
16 2.249 0.00372518 0.133359
16 2.25 0.00368488 0.128602
16 2.251 0.00371665 0.14697
16 2.252 0.00388635 0.145689
16 2.253 0.00374859 0.133354
16 2.254 0.00349657 0.125302
16 2.255 0.00375775 0.139388
16 2.256 0.00380303 0.139014
16 2.257 0.00363985 0.139703
16 2.258 0.00375157 0.121899
16 2.259 0.00391496 0.13945
16 2.26 0.00386079 0.144808
16 2.261 0.00371791 0.132689
16 2.262 0.00387163 0.143144
16 2.263 0.004173 0.158524
16 2.264 0.0036966 0.136687
16 2.265 0.0037203 0.135661
16 2.266 0.00401452 0.145448
16 2.267 0.00410613 0.150317
16 2.268 0.00401606 0.146372
16 2.269 0.0038365 0.132495
16 2.27 0.00397847 0.138267
16 2.271 0.0037697 0.132988
16 2.272 0.0040456 0.139482
16 2.273 0.00414666 0.146484
16 2.274 0.00393294 0.142776
16 2.275 0.00427996 0.14278
16 2.276 0.00393306 0.138202
16 2.277 0.00388248 0.133893
16 2.278 0.00407984 0.145187
16 2.279 0.00414485 0.14696
16 2.28 0.0043294 0.156459
16 2.281 0.00424883 0.145232
16 2.282 0.00446768 0.15581
16 2.283 0.00429134 0.142732
16 2.284 0.00418181 0.145025
16 2.285 0.0042088 0.132726
16 2.286 0.00422197 0.14201
16 2.287 0.00428794 0.141163
16 2.288 0.00413921 0.136908
16 2.289 0.00423232 0.144498
16 2.29 0.00424242 0.138069
16 2.291 0.00445722 0.150155
16 2.292 0.00439671 0.143997
16 2.293 0.00445717 0.152402
16 2.294 0.00397725 0.126871
16 2.295 0.00424117 0.142317
16 2.296 0.0041095 0.128658
16 2.297 0.00442123 0.137527
16 2.298 0.00411559 0.127316
16 2.299 0.00403442 0.128637
16 2.3 0.00453865 0.146741
16 2.301 0.00431374 0.132546
16 2.302 0.00458616 0.149243
16 2.303 0.0047067 0.144829
16 2.304 0.00435889 0.136523
16 2.305 0.00428924 0.141035
16 2.306 0.00437539 0.142495
16 2.307 0.00425096 0.127766
16 2.308 0.00443711 0.135246
16 2.309 0.00450801 0.138453
16 2.31 0.0046925 0.139988
16 2.311 0.00446669 0.133062
16 2.312 0.0045662 0.140694
16 2.313 0.00471361 0.130574
16 2.314 0.00466848 0.139102
16 2.315 0.00462707 0.131499
16 2.316 0.00471625 0.140303
16 2.317 0.00461444 0.139475
16 2.318 0.0046596 0.130671
16 2.319 0.00467251 0.135908
16 2.32 0.00483267 0.135296
16 2.321 0.00444212 0.125824
16 2.322 0.00475791 0.149009
16 2.323 0.00465922 0.132646
16 2.324 0.00469131 0.131559
16 2.325 0.00465356 0.132394
16 2.326 0.00473789 0.13439
16 2.327 0.00480402 0.133409
16 2.328 0.00506407 0.145382
16 2.329 0.00480519 0.135029
16 2.33 0.00480069 0.128143
16 2.331 0.00465105 0.125237
