size temperature err_m err_ms
16 2.2 0.00153804 0.0811398
16 2.201 0.00145765 0.0755962
16 2.202 0.00150007 0.0778518
16 2.203 0.00154016 0.080472
16 2.204 0.00152367 0.0782575
16 2.205 0.00156599 0.0808198
16 2.206 0.00162017 0.084999
16 2.207 0.00154124 0.0786064
16 2.208 0.00152765 0.0759438
16 2.209 0.00159664 0.0806397
16 2.21 0.00155928 0.0793542
16 2.211 0.00155279 0.0816337
16 2.212 0.00156876 0.0784572
16 2.213 0.00160061 0.079851
16 2.214 0.00153021 0.0747073
16 2.215 0.00158092 0.0779526
16 2.216 0.00158894 0.0793953
16 2.217 0.00163051 0.0823778
16 2.218 0.00159686 0.0792903
16 2.219 0.00163095 0.081835
16 2.22 0.00167511 0.0820735
16 2.221 0.00162589 0.0793267
16 2.222 0.00164881 0.0821282
16 2.223 0.00159592 0.0780164
16 2.224 0.00167779 0.0831469
16 2.225 0.00165822 0.0797421
16 2.226 0.00165962 0.0810856
16 2.227 0.00169145 0.0836887
16 2.228 0.00163188 0.0788347
16 2.229 0.00170466 0.0836471
16 2.23 0.00174529 0.0861688
16 2.231 0.00177306 0.084243
16 2.232 0.00175707 0.0860668
16 2.233 0.00169384 0.0816047
16 2.234 0.0017756 0.0856797
16 2.235 0.0016931 0.0801929
16 2.236 0.00182614 0.0885325
16 2.237 0.00177839 0.0829642
16 2.238 0.00185546 0.0894076
16 2.239 0.00178216 0.0833367
16 2.24 0.00186843 0.0907265
16 2.241 0.00187911 0.0894211
16 2.242 0.00180525 0.0856375
16 2.243 0.0018089 0.0839795
16 2.244 0.00187063 0.0883682
16 2.245 0.00183779 0.0869131
16 2.246 0.00186682 0.0879524
16 2.247 0.00194401 0.0919074
16 2.248 0.0018059 0.0827798
16 2.249 0.00185712 0.0859866
16 2.25 0.00199619 0.0928397
16 2.251 0.00201955 0.0938699
16 2.252 0.00187103 0.0854714
16 2.253 0.00187526 0.084645
16 2.254 0.00200522 0.0913603
16 2.255 0.00199699 0.0916239
16 2.256 0.00196726 0.0913218
16 2.257 0.00183016 0.0811231
16 2.258 0.00200626 0.0918802
16 2.259 0.00190445 0.0841662
16 2.26 0.00204501 0.0912487
16 2.261 0.0019417 0.0854472
16 2.262 0.00196617 0.0874952
16 2.263 0.00200417 0.0882599
16 2.264 0.00199601 0.0850287
16 2.265 0.00202255 0.0879337
16 2.266 0.00205648 0.0916137
16 2.267 0.00204236 0.0881357
16 2.268 0.00214954 0.092484
16 2.269 0.0021727 0.0911412
16 2.27 0.00209227 0.0910961
16 2.271 0.00204119 0.0879409
16 2.272 0.00202643 0.0860277
16 2.273 0.00202681 0.0845016
16 2.274 0.00209421 0.0894164
16 2.275 0.00211896 0.0875714
16 2.276 0.00211679 0.088816
16 2.277 0.00212629 0.088805
16 2.278 0.00212074 0.0874039
16 2.279 0.00214149 0.0877596
16 2.28 0.00212496 0.0901385
16 2.281 0.00214097 0.087448
16 2.282 0.0021894 0.0882498
16 2.283 0.0020857 0.0834292
16 2.284 0.00216488 0.0873502
16 2.285 0.00217022 0.086956
16 2.286 0.00211596 0.0855419
16 2.287 0.00219582 0.0881149
16 2.288 0.00214403 0.0865763
16 2.289 0.00224341 0.0880875
16 2.29 0.00220598 0.087303
16 2.291 0.00230227 0.088236
16 2.292 0.00221897 0.0860393
16 2.293 0.00222063 0.0875702
16 2.294 0.0022246 0.0868853
16 2.295 0.00222466 0.0857497
16 2.296 0.0022688 0.089316
16 2.297 0.00229256 0.0868944
16 2.298 0.0022611 0.0863633
16 2.299 0.00223697 0.0848815
16 2.3 0.00223883 0.0847421
16 2.301 0.00232268 0.0873545
16 2.302 0.00231732 0.084636
16 2.303 0.00231414 0.0861561
16 2.304 0.00225294 0.0838526
16 2.305 0.00224898 0.0828944
16 2.306 0.0023221 0.0834074
16 2.307 0.002337 0.0864436
16 2.308 0.00235378 0.0846456
16 2.309 0.00232769 0.0832374
16 2.31 0.00231064 0.0851494
16 2.311 0.00230864 0.0829951
16 2.312 0.00231456 0.0807829
16 2.313 0.00232356 0.0837715
16 2.314 0.0022827 0.0811011
16 2.315 0.0022972 0.0817311
16 2.316 0.00236887 0.0819597
16 2.317 0.00238086 0.0825297
16 2.318 0.00239359 0.0820158
16 2.319 0.00240918 0.0815047
16 2.32 0.00241366 0.0817648
16 2.321 0.00241681 0.0811601
16 2.322 0.00239219 0.0805821
16 2.323 0.00240574 0.080481
16 2.324 0.00242901 0.0805139
16 2.325 0.00235477 0.0772102
16 2.326 0.00242581 0.0791773
16 2.327 0.00241668 0.0802853
16 2.328 0.00241644 0.0801892
16 2.329 0.00243015 0.0786054
16 2.33 0.00244803 0.0798703
16 2.331 0.00246052 0.0779741
16 2.332 0.00242786 0.0784101
16 2.333 0.00245303 0.0767687
16 2.334 0.00242681 0.07662
16 2.335 0.00251173 0.07732
16 2.336 0.00240296 0.0738915
16 2.337 0.00243815 0.0762578
16 2.338 0.002505 0.0775229
16 2.339 0.00250824 0.0752042
16 2.34 0.00249275 0.0769273
16 2.341 0.00252279 0.0755148
16 2.342 0.00248346 0.0735094
16 2.343 0.00244293 0.0748105
16 2.344 0.00247299 0.07375
16 2.345 0.00253626 0.0724051
16 2.346 0.00248487 0.0718039
16 2.347 0.00244231 0.0710955
16 2.348 0.00249197 0.0708585
16 2.349 0.00249547 0.0688423
16 2.35 0.00252409 0.0700957
16 2.351 0.00247061 0.0701435
16 2.352 0.0024634 0.0687689
16 2.353 0.00248077 0.0702882
16 2.354 0.00247759 0.0684807
16 2.355 0.00252327 0.0695191
16 2.356 0.0025426 0.0664717
16 2.357 0.00249408 0.0675408
16 2.358 0.00251037 0.0687491
16 2.359 0.00254848 0.0680143
16 2.36 0.0025046 0.0667709
16 2.361 0.00253477 0.0684034
16 2.362 0.00255696 0.0662697
16 2.363 0.00249253 0.0654828
16 2.364 0.0025062 0.0660689
16 2.365 0.002529 0.0645302
16 2.366 0.00253686 0.0646473
16 2.367 0.00254655 0.0649388
16 2.368 0.00255038 0.0634203
16 2.369 0.00252172 0.0618283
16 2.37 0.00250681 0.0634679
16 2.371 0.00254542 0.0621416
16 2.372 0.00249394 0.0613062
16 2.373 0.00255026 0.0617763
16 2.374 0.00255069 0.0612254
16 2.375 0.00256765 0.0611151
16 2.376 0.00259863 0.0599598
16 2.377 0.002554 0.0604747
16 2.378 0.00252111 0.0610604
16 2.379 0.00253805 0.0613175
16 2.38 0.00246846 0.0596179
16 2.381 0.00253595 0.0591835
16 2.382 0.00256738 0.0576728
16 2.383 0.00251347 0.0569068
16 2.384 0.00255369 0.0584942
16 2.385 0.00255744 0.0560807
16 2.386 0.00254424 0.0563995
16 2.387 0.00256881 0.0552301
16 2.388 0.00255373 0.0566745
16 2.389 0.00254083 0.0553671
16 2.39 0.00253291 0.0547961
16 2.391 0.00252916 0.0555094
16 2.392 0.00254815 0.0558795
16 2.393 0.00254941 0.0549974
16 2.394 0.00248526 0.0524019
16 2.395 0.00252865 0.0541465
16 2.396 0.00252537 0.0530697
16 2.397 0.00250292 0.0530188
16 2.398 0.00252413 0.0518122
16 2.399 0.00255706 0.0524264
16 2.4 0.00251726 0.0526382
16 2.401 0.00252655 0.0522099
16 2.402 0.00251944 0.0514861
16 2.403 0.00252195 0.0500516
16 2.404 0.00256653 0.0514673
16 2.405 0.0025422 0.0503232
16 2.406 0.00254207 0.0498168
