size nn J0 J1 J2 J3 
10 1 3.617776351 1.11265367 0 0 
10 1 3.573534806 1.112259115 0 0 
10 1 3.631774392 1.112783117 0 0 
10 1 3.752218824 1.113421929 0 0 
10 1 3.54703354 1.112187832 0 0 
10 2 5.104503711 1.150063952 -0.03571783884 0 
10 2 5.234940742 1.154312652 -0.03895715658 0 
10 2 5.39960603 1.152903574 -0.036265352 0 
10 2 5.194092569 1.153111673 -0.03797453979 0 
10 2 4.894092517 1.144003966 -0.0310709485 0 
10 3 6.772775397 1.164810419 0.01283709945 -0.05401230614 
10 3 6.563842356 1.162268841 0.01278483663 -0.05246130666 
10 3 6.840027505 1.169839785 0.005267247697 -0.05088890225 
10 3 7.055865063 1.170628907 0.009198198447 -0.05391052591 
10 3 6.922194804 1.165027711 0.01495744927 -0.0552152091 
