size temperature m m2 m4 ms e sp_h 
10 1.5 0.99542 0.990996 0.982583 0.00897491 -218.012 0.0954009 
10 1.5 0.995378 0.990909 0.982401 0.00875981 -217.992 0.0952272 
10 1.5 0.99553 0.99121 0.982985 0.00863861 -218.062 0.0907765 
10 1.505 0.9952 0.99056 0.981732 0.00912691 -217.92 0.0966826 
10 1.505 0.995178 0.990519 0.981658 0.00926966 -217.915 0.0981023 
10 1.505 0.995262 0.990679 0.981952 0.00882866 -217.939 0.0959803 
10 1.51 0.995162 0.990493 0.981625 0.00962078 -217.911 0.0999292 
10 1.51 0.995166 0.990498 0.981631 0.0094697 -217.928 0.0983971 
10 1.51 0.99515 0.990466 0.981564 0.00943295 -217.9 0.0999508 
10 1.515 0.995092 0.990348 0.98132 0.00922452 -217.859 0.0993163 
10 1.515 0.994922 0.990013 0.980674 0.00946891 -217.793 0.104217 
10 1.515 0.995178 0.990516 0.981643 0.00904477 -217.896 0.0978677 
10 1.52 0.995016 0.990202 0.981049 0.0095184 -217.855 0.0988197 
10 1.52 0.994902 0.989977 0.980611 0.00967174 -217.785 0.101278 
10 1.52 0.994966 0.990106 0.980874 0.00976703 -217.826 0.102374 
10 1.525 0.994734 0.98964 0.979941 0.00947339 -217.716 0.103628 
10 1.525 0.994766 0.989714 0.980118 0.0101092 -217.743 0.10456 
10 1.525 0.994708 0.989602 0.979913 0.0103918 -217.719 0.107263 
10 1.53 0.994622 0.989433 0.97958 0.0104312 -217.698 0.10482 
10 1.53 0.994822 0.989827 0.98035 0.0101927 -217.788 0.104292 
10 1.53 0.994556 0.989299 0.979313 0.0103035 -217.642 0.109045 
10 1.535 0.994594 0.98937 0.979432 0.00992933 -217.66 0.104745 
10 1.535 0.994462 0.989116 0.978963 0.0105284 -217.613 0.107572 
10 1.535 0.994534 0.989261 0.979256 0.0106165 -217.653 0.10988 
10 1.54 0.994358 0.988911 0.978565 0.0106005 -217.566 0.108887 
10 1.54 0.994314 0.988836 0.978459 0.0113837 -217.568 0.113949 
10 1.54 0.99462 0.989421 0.979531 0.00984517 -217.658 0.105289 
10 1.545 0.994298 0.988804 0.978395 0.0113558 -217.564 0.110876 
10 1.545 0.994368 0.98893 0.9786 0.0105243 -217.572 0.106604 
10 1.545 0.994344 0.988883 0.978512 0.0105741 -217.549 0.110639 
10 1.55 0.993956 0.988129 0.977084 0.0116613 -217.391 0.119479 
10 1.55 0.994178 0.988563 0.977915 0.011199 -217.499 0.112554 
10 1.55 0.994166 0.988543 0.977884 0.0113964 -217.498 0.112587 
10 1.555 0.994008 0.988228 0.977262 0.0113142 -217.416 0.115962 
10 1.555 0.994008 0.988235 0.977298 0.0117824 -217.442 0.112614 
10 1.555 0.993844 0.987913 0.97668 0.0120504 -217.363 0.11807 
10 1.56 0.99367 0.987573 0.976031 0.0123879 -217.303 0.12037 
10 1.56 0.993832 0.987876 0.976563 0.0111767 -217.327 0.116143 
10 1.56 0.993746 0.987719 0.976297 0.0120389 -217.322 0.118038 
10 1.565 0.993694 0.987615 0.97609 0.0119332 -217.311 0.117031 
10 1.565 0.993764 0.987755 0.976363 0.0119918 -217.325 0.114745 
10 1.565 0.993738 0.987704 0.976274 0.0120759 -217.323 0.118215 
10 1.57 0.993504 0.98725 0.975413 0.0127008 -217.234 0.120611 
10 1.57 0.99344 0.987118 0.975141 0.0124335 -217.183 0.123129 
10 1.57 0.993516 0.987277 0.975477 0.0129043 -217.249 0.121909 
10 1.575 0.993418 0.98707 0.975031 0.0121344 -217.174 0.12102 
10 1.575 0.993672 0.987573 0.976014 0.0120099 -217.275 0.118866 
10 1.575 0.993656 0.987537 0.97593 0.0117177 -217.261 0.119504 
10 1.58 0.993218 0.986671 0.974239 0.0119522 -217.078 0.12178 
10 1.58 0.993282 0.986804 0.974523 0.012341 -217.128 0.124078 
10 1.58 0.993062 0.986383 0.973745 0.0133306 -217.053 0.126556 
10 1.585 0.992956 0.986176 0.973348 0.0134954 -216.987 0.129868 
10 1.585 0.992936 0.98613 0.973243 0.0131546 -216.98 0.129539 
10 1.585 0.992874 0.986012 0.973024 0.0134448 -216.954 0.128544 
10 1.59 0.992992 0.986248 0.973492 0.0135099 -217.032 0.124647 
