size temperature m m2 m4 mag_sus 
10 2 0.982204 0.965333 0.934093 0.0303971 
10 2 0.982256 0.965457 0.934392 0.0315295 
10 2 0.982094 0.965166 0.933926 0.0328748 
10 2.005 0.982046 0.965056 0.933632 0.0319927 
10 2.005 0.981944 0.964839 0.93319 0.0311691 
10 2.005 0.982 0.964962 0.933466 0.0318404 
10 2.01 0.981212 0.963472 0.930777 0.0345737 
10 2.01 0.98196 0.964874 0.933266 0.0312596 
10 2.01 0.981462 0.963918 0.931497 0.0323573 
10 2.015 0.981462 0.963936 0.93157 0.0331664 
10 2.015 0.981072 0.963189 0.930211 0.0340789 
10 2.015 0.980914 0.962871 0.929587 0.0336995 
10 2.02 0.980802 0.962683 0.929327 0.0351781 
10 2.02 0.981848 0.964707 0.933093 0.0337398 
10 2.02 0.98017 0.961462 0.927037 0.036056 
10 2.025 0.98067 0.9624 0.928704 0.0339038 
10 2.025 0.979996 0.961122 0.926383 0.0360612 
10 2.025 0.98072 0.962502 0.928915 0.0341117 
10 2.03 0.98066 0.962359 0.928553 0.0327431 
10 2.03 0.980048 0.961265 0.926768 0.0379703 
10 2.03 0.980204 0.961529 0.927165 0.035931 
10 2.035 0.980088 0.961325 0.926847 0.0369647 
10 2.035 0.980274 0.961688 0.92753 0.0368966 
10 2.035 0.980128 0.96138 0.926867 0.0358046 
10 2.04 0.979728 0.96064 0.925533 0.0378709 
10 2.04 0.980226 0.961553 0.927148 0.0347877 
10 2.04 0.979566 0.960318 0.924937 0.0376908 
10 2.045 0.979196 0.95959 0.923572 0.0374256 
10 2.045 0.979606 0.960392 0.925101 0.037342 
10 2.045 0.979646 0.96048 0.925292 0.0378482 
10 2.05 0.978482 0.958282 0.921321 0.0417198 
10 2.05 0.979178 0.959593 0.923649 0.039169 
10 2.05 0.979008 0.959243 0.922973 0.0383403 
10 2.055 0.978692 0.958593 0.921625 0.0367362 
10 2.055 0.978514 0.958342 0.92142 0.0414906 
10 2.055 0.978796 0.958832 0.922192 0.0384657 
10 2.06 0.977928 0.957223 0.919392 0.0427236 
10 2.06 0.978362 0.958027 0.920796 0.0405474 
10 2.06 0.977844 0.957033 0.918961 0.0414443 
10 2.065 0.978236 0.957746 0.920143 0.0387801 
