size temperature m mag_sus 
10 1.5 0.995394 0.00836965 
10 1.5 0.995388 0.00899263 
10 1.5 0.995356 0.00872755 
10 1.5 0.995596 0.00819499 
10 1.5 0.995608 0.00841536 
10 1.505 0.995148 0.00891283 
10 1.505 0.995244 0.00972362 
10 1.505 0.995466 0.00860883 
10 1.505 0.995462 0.00917519 
10 1.505 0.995378 0.00949084 
10 1.51 0.99509 0.00934648 
10 1.51 0.995032 0.00983569 
10 1.51 0.995208 0.00914945 
10 1.51 0.99517 0.00893716 
10 1.51 0.994988 0.00946224 
10 1.515 0.99494 0.00967897 
10 1.515 0.99534 0.00854154 
10 1.515 0.99482 0.0101734 
10 1.515 0.994944 0.00967108 
10 1.515 0.994812 0.0100676 
10 1.52 0.995092 0.0099205 
10 1.52 0.99495 0.00939852 
10 1.52 0.994894 0.00960321 
10 1.52 0.994968 0.00936046 
10 1.52 0.994884 0.00976754 
10 1.525 0.99493 0.0101098 
10 1.525 0.995006 0.00956196 
10 1.525 0.994854 0.00992778 
10 1.525 0.994928 0.00961802 
10 1.525 0.994882 0.00999384 
10 1.53 0.99478 0.0103289 
10 1.53 0.994794 0.0099384 
10 1.53 0.99465 0.0106391 
10 1.53 0.994722 0.0103283 
10 1.53 0.994758 0.0100393 
10 1.535 0.99423 0.0113008 
10 1.535 0.994358 0.0111823 
10 1.535 0.99452 0.0101192 
10 1.535 0.994568 0.00997612 
10 1.535 0.994378 0.0111865 
10 1.54 0.994448 0.0097906 
10 1.54 0.994336 0.0110493 
10 1.54 0.99444 0.0109173 
10 1.54 0.994386 0.0111405 
10 1.54 0.994454 0.0102547 
10 1.545 0.994124 0.011285 
10 1.545 0.994176 0.0105476 
10 1.545 0.994174 0.0114393 
10 1.545 0.99444 0.0106697 
10 1.545 0.9941 0.0111061 
10 1.55 0.99401 0.0114632 
10 1.55 0.993966 0.0117439 
10 1.55 0.99416 0.0109351 
10 1.55 0.994392 0.0114987 
10 1.55 0.994226 0.0107704 
10 1.555 0.99392 0.0121359 
10 1.555 0.993992 0.0116929 
10 1.555 0.994166 0.0113238 
10 1.555 0.99399 0.0117299 
10 1.555 0.993698 0.0127283 
10 1.56 0.993952 0.0109988 
10 1.56 0.99399 0.0108513 
10 1.56 0.993898 0.011267 
10 1.56 0.993978 0.0121805 
10 1.56 0.993976 0.0110995 
10 1.565 0.993384 0.0136529 
10 1.565 0.993832 0.0127052 
10 1.565 0.993664 0.0119473 
10 1.565 0.993912 0.0119295 
10 1.565 0.993768 0.0118826 
10 1.57 0.993472 0.0126029 
10 1.57 0.993698 0.0117608 
10 1.57 0.993556 0.0119487 
10 1.57 0.99348 0.0128134 
10 1.57 0.993782 0.0123475 
10 1.575 0.993502 0.0133369 
10 1.575 0.99359 0.0120477 
10 1.575 0.993372 0.0127638 
10 1.575 0.993206 0.0130211 
10 1.575 0.993408 0.0129616 
10 1.58 0.993382 0.0127394 
10 1.58 0.99332 0.0126745 
10 1.58 0.99327 0.0125182 
10 1.58 0.993068 0.0133283 
10 1.58 0.993336 0.012526 
10 1.585 0.99314 0.0125514 
10 1.585 0.992986 0.013893 
10 1.585 0.99299 0.0137703 
10 1.585 0.993004 0.0140982 
10 1.585 0.992978 0.0137496 
10 1.59 0.99301 0.0135635 
10 1.59 0.992802 0.0139515 
10 1.59 0.992818 0.0135182 
10 1.59 0.992962 0.0134558 
10 1.59 0.993198 0.0130272 
10 1.595 0.99276 0.0133155 
10 1.595 0.99278 0.0136045 
10 1.595 0.992482 0.0150921 
10 1.595 0.992806 0.0141521 
10 1.595 0.992702 0.0140225 
10 1.6 0.99269 0.0139277 
10 1.6 0.99265 0.0144311 
10 1.6 0.99241 0.015302 
10 1.6 0.9926 0.0144625 
10 1.6 0.992676 0.0144874 
10 1.605 0.992602 0.014676 
10 1.605 0.992536 0.0143781 
10 1.605 0.992554 0.014497 
10 1.605 0.99226 0.0147297 
10 1.605 0.99222 0.0152693 
10 1.61 0.992372 0.0147959 
10 1.61 0.99228 0.0158262 
10 1.61 0.992466 0.0138583 
10 1.61 0.99214 0.0158249 
10 1.61 0.99221 0.0152047 
10 1.615 0.992158 0.015563 
10 1.615 0.991942 0.0163708 
10 1.615 0.991924 0.0162067 
10 1.615 0.992166 0.0156253 
10 1.615 0.992212 0.0149639 
10 1.62 0.991912 0.0151225 
10 1.62 0.992006 0.0163541 
10 1.62 0.992046 0.0157169 
10 1.62 0.991468 0.0179015 
10 1.62 0.992086 0.0152376 
10 1.625 0.9915 0.0167329 
10 1.625 0.9919 0.0153692 
10 1.625 0.991664 0.0155835 
10 1.625 0.991708 0.0162192 
10 1.625 0.991512 0.0165436 
10 1.63 0.991546 0.0177331 
10 1.63 0.991428 0.0176761 
10 1.63 0.991604 0.0167943 
10 1.63 0.991598 0.0168495 
10 1.63 0.991478 0.0159543 
10 1.635 0.991208 0.0178484 
10 1.635 0.991122 0.0177285 
10 1.635 0.991456 0.0160416 
10 1.635 0.991198 0.0169251 
10 1.635 0.991262 0.0172628 
10 1.64 0.991024 0.0182239 
10 1.64 0.991002 0.0175876 
10 1.64 0.99087 0.0180856 
10 1.64 0.991154 0.0173188 
10 1.64 0.9913 0.0171457 
10 1.645 0.990808 0.0186789 
10 1.645 0.990926 0.017509 
10 1.645 0.991172 0.0176818 
10 1.645 0.990852 0.0180908 
10 1.645 0.991348 0.0164002 
10 1.65 0.990584 0.019383 
10 1.65 0.990762 0.0186266 
10 1.65 0.990766 0.0180929 
10 1.65 0.99082 0.0191205 
10 1.65 0.99079 0.0182167 
10 1.655 0.9908 0.0178852 
10 1.655 0.990498 0.0195572 
10 1.655 0.990508 0.0191844 
10 1.655 0.990598 0.0182841 
10 1.655 0.99037 0.0207917 
10 1.66 0.990648 0.0176084 
10 1.66 0.990426 0.0191602 
10 1.66 0.990326 0.019584 
10 1.66 0.990194 0.0197471 
10 1.66 0.990588 0.019396 
10 1.665 0.990266 0.019436 
10 1.665 0.990064 0.0196754 
10 1.665 0.99042 0.0183918 
10 1.665 0.990156 0.0200874 
10 1.665 0.990194 0.0200722 
10 1.67 0.990026 0.0206658 
10 1.67 0.989914 0.0198702 
10 1.67 0.99004 0.0202394 
10 1.67 0.990108 0.0190748 
10 1.67 0.990116 0.0194339 
10 1.675 0.989672 0.0209082 
10 1.675 0.98953 0.0213361 
10 1.675 0.989624 0.020505 
10 1.675 0.989918 0.0200068 
10 1.675 0.99006 0.0196631 
10 1.68 0.989392 0.0212209 
10 1.68 0.989626 0.0196536 
10 1.68 0.989744 0.0204056 
10 1.68 0.989486 0.0206652 
10 1.68 0.989542 0.0207113 
10 1.685 0.989434 0.0218208 
10 1.685 0.988872 0.0239197 
10 1.685 0.989408 0.0215293 
10 1.685 0.989364 0.0213837 
10 1.685 0.98923 0.0246437 
10 1.69 0.98915 0.0213679 
10 1.69 0.988976 0.0228161 
10 1.69 0.989276 0.0212376 
10 1.69 0.988916 0.0224299 
10 1.69 0.988806 0.0234281 
10 1.695 0.988756 0.0238379 
10 1.695 0.988664 0.0229602 
10 1.695 0.989026 0.0224384 
10 1.695 0.988476 0.0235939 
10 1.695 0.989184 0.02153 
10 1.7 0.988382 0.0235072 
10 1.7 0.988344 0.0245869 
10 1.7 0.988756 0.0227513 
10 1.7 0.98823 0.0248369 
10 1.7 0.988948 0.0217608 
10 1.705 0.98815 0.0264221 
10 1.705 0.988216 0.0238837 
10 1.705 0.988438 0.0229232 
10 1.705 0.988376 0.0227145 
10 1.705 0.988456 0.0237335 
10 1.71 0.988318 0.023203 
10 1.71 0.98846 0.023211 
10 1.71 0.988042 0.0250015 
10 1.71 0.9879 0.0250193 
10 1.71 0.988272 0.0239143 
10 1.715 0.987568 0.0260621 
10 1.715 0.987954 0.0251507 
10 1.715 0.987474 0.0263895 
10 1.715 0.987352 0.0275748 
10 1.715 0.98814 0.0238403 
10 1.72 0.98748 0.0257657 
10 1.72 0.98734 0.026584 
10 1.72 0.988102 0.0228371 
10 1.72 0.98766 0.0250351 
10 1.72 0.987052 0.0262808 
10 1.725 0.986838 0.0280952 
10 1.725 0.987124 0.0303796 
10 1.725 0.987002 0.0277595 
10 1.725 0.987338 0.0247115 
10 1.725 0.987238 0.0263311 
10 1.73 0.987356 0.0251543 
10 1.73 0.986688 0.0294654 
10 1.73 0.987146 0.0280378 
10 1.73 0.987118 0.0267708 
10 1.73 0.987252 0.0256213 
10 1.735 0.987098 0.026544 
10 1.735 0.986816 0.0276993 
10 1.735 0.986948 0.0269951 
10 1.735 0.986688 0.0285044 
10 1.735 0.98656 0.0261721 
10 1.74 0.986478 0.0277055 
10 1.74 0.986692 0.0273711 
10 1.74 0.986784 0.0285688 
10 1.74 0.986298 0.0286744 
10 1.74 0.98702 0.026331 
10 1.745 0.986232 0.0309021 
10 1.745 0.986098 0.0309395 
10 1.745 0.98601 0.0296344 
10 1.745 0.986122 0.0297674 
10 1.745 0.986022 0.0281315 
10 1.75 0.986038 0.0300241 
10 1.75 0.985946 0.0299911 
10 1.75 0.985676 0.030607 
10 1.75 0.985894 0.0282938 
10 1.75 0.986146 0.0289478 
10 1.755 0.985514 0.03192 
10 1.755 0.985664 0.0296934 
10 1.755 0.985656 0.0316176 
10 1.755 0.985768 0.0291926 
10 1.755 0.985194 0.0327169 
10 1.76 0.98502 0.0348682 
10 1.76 0.985312 0.0305604 
10 1.76 0.985224 0.0334949 
10 1.76 0.98582 0.0302027 
10 1.76 0.985314 0.0308433 
10 1.765 0.98529 0.0284315 
10 1.765 0.985062 0.0298389 
10 1.765 0.985632 0.0319524 
10 1.765 0.984616 0.0347633 
10 1.765 0.985216 0.0315736 
10 1.77 0.984988 0.0316384 
10 1.77 0.984604 0.0327505 
10 1.77 0.984734 0.0357305 
10 1.77 0.984464 0.0332425 
10 1.77 0.984982 0.0313005 
10 1.775 0.984724 0.0330549 
10 1.775 0.984324 0.0326368 
10 1.775 0.98457 0.0328809 
10 1.775 0.983852 0.0363021 
10 1.775 0.984642 0.0327533 
10 1.78 0.983318 0.0365883 
10 1.78 0.984448 0.0320481 
10 1.78 0.98396 0.0352044 
10 1.78 0.984284 0.0330139 
10 1.78 0.984246 0.0338928 
10 1.785 0.98357 0.03577 
10 1.785 0.983586 0.0359832 
10 1.785 0.98388 0.0343252 
10 1.785 0.983924 0.0333155 
10 1.785 0.983728 0.0348696 
10 1.79 0.983734 0.0345529 
10 1.79 0.983382 0.0363375 
10 1.79 0.983368 0.0361708 
10 1.79 0.983512 0.0374517 
10 1.79 0.983418 0.0376423 
10 1.795 0.983 0.0372969 
10 1.795 0.98294 0.0381146 
10 1.795 0.98335 0.0342517 
10 1.795 0.983338 0.0353169 
10 1.795 0.98313 0.0358197 
10 1.8 0.982598 0.0387028 
10 1.8 0.982666 0.0379229 
10 1.8 0.982578 0.0390774 
10 1.8 0.98321 0.0371987 
10 1.8 0.982634 0.0378923 
10 1.805 0.982518 0.0391678 
10 1.805 0.9827 0.0379341 
10 1.805 0.982766 0.0390421 
10 1.805 0.982932 0.0375869 
10 1.805 0.982558 0.0397771 
10 1.81 0.98237 0.0380212 
10 1.81 0.982468 0.0373563 
10 1.81 0.982046 0.0434527 
10 1.81 0.982382 0.0365595 
10 1.81 0.982568 0.0359097 
