size temperature m m2 m4 mag_sus 
20 1.5 0.995366 0.990787 0.981791 0.00899095 
20 1.5 0.99533 0.990715 0.981649 0.00897096 
20 1.5 0.995404 0.990863 0.981938 0.00876503 
20 1.5 0.995417 0.990888 0.981991 0.00891096 
20 1.5 0.995335 0.990725 0.981663 0.00863065 
20 1.505 0.995229 0.990516 0.981257 0.00912022 
20 1.505 0.995383 0.99082 0.981854 0.00874374 
20 1.505 0.995271 0.990598 0.981415 0.00876911 
20 1.505 0.995302 0.990659 0.981532 0.00862161 
20 1.505 0.99526 0.990576 0.981375 0.00902124 
20 1.51 0.995159 0.990378 0.98099 0.0096145 
20 1.51 0.995168 0.990395 0.981018 0.00916665 
20 1.51 0.995191 0.990441 0.981112 0.00942742 
20 1.51 0.995084 0.990228 0.980689 0.0092544 
20 1.51 0.995127 0.990314 0.980858 0.00923212 
20 1.515 0.994974 0.99001 0.980264 0.00972787 
20 1.515 0.995013 0.990088 0.980415 0.00951744 
20 1.515 0.995048 0.990156 0.980546 0.00917364 
20 1.515 0.995176 0.99041 0.981045 0.00894557 
20 1.515 0.995015 0.99009 0.980417 0.00934383 
20 1.52 0.994962 0.989985 0.980211 0.00939962 
20 1.52 0.994952 0.989967 0.980178 0.00960138 
20 1.52 0.994945 0.989953 0.980154 0.00987289 
20 1.52 0.994974 0.990009 0.980257 0.00934456 
20 1.52 0.994982 0.990026 0.980293 0.00956439 
20 1.525 0.994829 0.989723 0.979701 0.0100264 
20 1.525 0.994791 0.989648 0.979549 0.00981483 
20 1.525 0.994824 0.989712 0.979677 0.00979909 
20 1.525 0.994788 0.989641 0.979539 0.00998559 
20 1.525 0.994864 0.989793 0.979836 0.00981486 
20 1.53 0.99471 0.989487 0.979235 0.0100023 
20 1.53 0.994667 0.989402 0.979069 0.0102298 
20 1.53 0.994638 0.989346 0.978966 0.0107448 
20 1.53 0.994813 0.989691 0.979635 0.00986014 
20 1.53 0.994687 0.989444 0.979157 0.010583 
20 1.535 0.994495 0.989063 0.978406 0.010763 
20 1.535 0.994595 0.989259 0.978787 0.0102687 
20 1.535 0.99443 0.988933 0.978151 0.0108756 
20 1.535 0.994571 0.989212 0.978701 0.0106361 
20 1.535 0.994558 0.989187 0.978649 0.0105166 
