size temperature m m2 m4 ms 
16 2.2 0.791991 0.648313 0.455175 2.45094 
16 2.2 0.796323 0.654439 0.462855 2.36308 
16 2.2 0.794562 0.651956 0.459676 2.40034 
16 2.2 0.795335 0.653173 0.460817 2.39883 
16 2.2 0.793923 0.651383 0.459492 2.45163 
16 2.201 0.791883 0.647276 0.453508 2.34919 
16 2.201 0.791009 0.647998 0.456485 2.59413 
16 2.201 0.795444 0.652967 0.460215 2.3537 
16 2.201 0.793539 0.650858 0.458839 2.46039 
16 2.201 0.792919 0.649768 0.457658 2.44813 
16 2.202 0.792244 0.648394 0.454967 2.41159 
16 2.202 0.792427 0.648669 0.455603 2.40974 
16 2.202 0.790884 0.646274 0.452622 2.41537 
16 2.202 0.791045 0.647105 0.45451 2.48254 
16 2.202 0.791465 0.647466 0.454318 2.44719 
16 2.203 0.791567 0.647931 0.455308 2.48121 
16 2.203 0.793639 0.650633 0.45812 2.41363 
16 2.203 0.790726 0.646422 0.45345 2.46058 
16 2.203 0.791566 0.648185 0.455804 2.51111 
16 2.203 0.792863 0.648956 0.455689 2.36185 
16 2.204 0.790791 0.646823 0.45417 2.49416 
16 2.204 0.792439 0.649136 0.456472 2.45972 
16 2.204 0.791051 0.647273 0.454562 2.49864 
16 2.204 0.792964 0.649028 0.455728 2.35042 
16 2.204 0.789799 0.645212 0.451784 2.48906 
16 2.205 0.790148 0.645576 0.452458 2.46629 
16 2.205 0.788911 0.64343 0.449224 2.44385 
16 2.205 0.788276 0.643723 0.451036 2.5942 
16 2.205 0.79151 0.647801 0.455351 2.47444 
16 2.205 0.790082 0.64576 0.45288 2.49962 
16 2.206 0.789138 0.644531 0.451318 2.52892 
16 2.206 0.786141 0.640479 0.447127 2.60661 
16 2.206 0.786512 0.640901 0.447356 2.58791 
16 2.206 0.789663 0.645535 0.452514 2.54917 
16 2.206 0.788138 0.643407 0.45024 2.58147 
16 2.207 0.790168 0.645804 0.452738 2.48671 
16 2.207 0.786704 0.641839 0.449238 2.66042 
16 2.207 0.785952 0.640033 0.446245 2.58801 
16 2.207 0.789058 0.643737 0.449472 2.45036 
16 2.207 0.787228 0.642141 0.448998 2.59982 
16 2.208 0.788234 0.643076 0.449874 2.52336 
16 2.208 0.787332 0.642014 0.448479 2.56493 
16 2.208 0.784057 0.638266 0.444772 2.72706 
16 2.208 0.785861 0.640138 0.446865 2.61576 
16 2.208 0.787992 0.641824 0.44719 2.42228 
16 2.209 0.787446 0.641358 0.446906 2.46689 
16 2.209 0.787631 0.641691 0.447331 2.47171 
16 2.209 0.785888 0.639691 0.445549 2.55773 
16 2.209 0.784676 0.638237 0.443857 2.60992 
16 2.209 0.786338 0.64078 0.447252 2.60211 
16 2.21 0.782362 0.634926 0.440354 2.64511 
16 2.21 0.783555 0.637086 0.442696 2.67892 
16 2.21 0.781892 0.634651 0.440049 2.69849 
16 2.21 0.783753 0.636748 0.442345 2.60388 
16 2.21 0.784394 0.637427 0.443053 2.56616 
16 2.211 0.784244 0.637596 0.443506 2.61185 
16 2.211 0.78377 0.637266 0.443258 2.65968 
16 2.211 0.781342 0.634135 0.440174 2.73705 
16 2.211 0.78225 0.635516 0.441768 2.73262 
16 2.211 0.786192 0.639234 0.444001 2.44718 
16 2.212 0.782623 0.635494 0.441287 2.66124 
16 2.212 0.782136 0.635108 0.441148 2.70486 
16 2.212 0.782398 0.635017 0.441036 2.64674 
16 2.212 0.783674 0.637421 0.443696 2.6937 
16 2.212 0.785421 0.638489 0.443546 2.50014 
16 2.213 0.7812 0.633864 0.439573 2.72892 
16 2.213 0.785189 0.63892 0.445044 2.59104 
16 2.213 0.780251 0.632482 0.437935 2.7405 
16 2.213 0.780578 0.632309 0.437513 2.66143 
16 2.213 0.780319 0.631501 0.435905 2.61475 
16 2.214 0.779448 0.630952 0.435984 2.70704 
16 2.214 0.780166 0.631862 0.436646 2.68282 
16 2.214 0.779552 0.630893 0.435455 2.68173 
16 2.214 0.779969 0.632146 0.437634 2.75128 
16 2.214 0.779794 0.631221 0.435751 2.67593 
16 2.215 0.779506 0.631369 0.436739 2.74369 
16 2.215 0.779923 0.631304 0.435584 2.66105 
16 2.215 0.77888 0.630288 0.435412 2.73147 
16 2.215 0.777536 0.6285 0.432989 2.76658 
