size temperature m ms 
48 2.2 0.783769 5.27958 
48 2.2 0.785191 5.02232 
48 2.2 0.784768 5.11562 
48 2.2 0.785569 4.90134 
48 2.2 0.784226 5.36566 
48 2.201 0.782813 5.35183 
48 2.201 0.782113 5.75426 
48 2.201 0.782098 5.25674 
48 2.201 0.783205 5.1598 
48 2.201 0.782966 5.09525 
48 2.202 0.781816 5.16004 
48 2.202 0.782672 5.01047 
48 2.202 0.783321 4.61728 
48 2.202 0.781691 5.08561 
48 2.202 0.780969 5.25751 
48 2.203 0.780713 5.28995 
48 2.203 0.779116 5.80917 
48 2.203 0.778814 5.34848 
48 2.203 0.7798 6.01797 
48 2.203 0.78089 5.11812 
48 2.204 0.778118 6.06644 
48 2.204 0.77839 5.59841 
48 2.204 0.778902 5.46613 
48 2.204 0.777987 6.20319 
48 2.204 0.778046 5.62487 
48 2.205 0.778327 5.41949 
48 2.205 0.777982 5.34374 
48 2.205 0.777105 5.68316 
48 2.205 0.778555 5.43177 
48 2.205 0.777733 5.57779 
48 2.206 0.774926 6.0622 
48 2.206 0.774748 5.99586 
48 2.206 0.777008 5.5248 
48 2.206 0.777087 5.49002 
48 2.206 0.775376 6.12839 
48 2.207 0.773832 6.27749 
48 2.207 0.77538 6.04476 
48 2.207 0.775512 5.44685 
48 2.207 0.7747 5.67101 
48 2.207 0.774024 6.08835 
48 2.208 0.773433 6.18941 
48 2.208 0.77531 5.74328 
48 2.208 0.774053 5.90022 
48 2.208 0.773516 5.96367 
48 2.208 0.772558 6.00879 
48 2.209 0.772252 5.53859 
48 2.209 0.772138 6.096 
48 2.209 0.773065 5.71659 
48 2.209 0.771269 6.48249 
48 2.209 0.771871 5.55284 
48 2.21 0.771005 6.0162 
48 2.21 0.771639 5.98806 
48 2.21 0.771068 6.02499 
48 2.21 0.769489 6.70294 
48 2.21 0.770793 5.87181 
48 2.211 0.767974 6.98391 
48 2.211 0.769793 6.44309 
48 2.211 0.768984 6.20212 
48 2.211 0.768062 6.80638 
48 2.211 0.768741 6.04637 
48 2.212 0.766072 6.64208 
48 2.212 0.765643 6.79522 
48 2.212 0.767869 6.2111 
48 2.212 0.769709 6.00226 
48 2.212 0.766893 6.67021 
48 2.213 0.764085 7.32221 
48 2.213 0.764756 6.91969 
48 2.213 0.763784 7.39438 
48 2.213 0.765903 6.68492 
48 2.213 0.765219 7.1732 
48 2.214 0.765141 6.85182 
48 2.214 0.763772 6.47762 
48 2.214 0.765157 6.9022 
48 2.214 0.763893 7.01704 
48 2.214 0.764541 6.53993 
48 2.215 0.762803 7.17686 
48 2.215 0.762823 7.33618 
48 2.215 0.762227 7.13139 
48 2.215 0.761375 7.2782 
48 2.215 0.762703 6.7781 
48 2.216 0.761009 6.98741 
48 2.216 0.760464 7.5348 
48 2.216 0.761583 6.95317 
48 2.216 0.759585 7.93134 
48 2.216 0.760597 7.63268 
48 2.217 0.757966 8.10552 
48 2.217 0.757477 7.44331 
48 2.217 0.759696 7.26787 
48 2.217 0.758191 7.7396 
48 2.217 0.759794 7.64771 
48 2.218 0.755878 7.98552 
48 2.218 0.755827 8.09047 
48 2.218 0.756233 8.03277 
48 2.218 0.756911 7.72846 
48 2.218 0.758203 7.72098 
48 2.219 0.755763 7.46892 
48 2.219 0.755559 7.74879 
48 2.219 0.755558 8.0389 
48 2.219 0.755576 8.17964 
48 2.219 0.753737 8.47606 
48 2.22 0.753899 8.54917 
48 2.22 0.75424 8.11495 
48 2.22 0.754285 8.15002 
48 2.22 0.75635 7.44603 
48 2.22 0.751819 9.91482 
48 2.221 0.753172 8.12897 
48 2.221 0.752672 8.19274 
48 2.221 0.752755 8.47611 
48 2.221 0.752175 8.32015 
48 2.221 0.750619 9.04571 
48 2.222 0.750473 8.65615 
48 2.222 0.749987 8.55038 
48 2.222 0.749951 8.87493 
48 2.222 0.750319 8.62317 
48 2.222 0.750108 8.60538 
48 2.223 0.74957 7.9663 
48 2.223 0.746358 9.20295 
48 2.223 0.748899 8.54699 
48 2.223 0.749742 8.18971 
48 2.223 0.748174 8.75482 
48 2.224 0.746199 9.38141 
48 2.224 0.74608 9.58532 
48 2.224 0.745356 9.41685 
48 2.224 0.747348 8.77408 
48 2.224 0.746678 9.42307 
48 2.225 0.745403 9.42849 
48 2.225 0.741735 10.1344 
48 2.225 0.74629 8.55192 
48 2.225 0.745121 9.74106 
48 2.225 0.74535 8.59949 
48 2.226 0.742542 9.24475 
48 2.226 0.738505 10.7588 
48 2.226 0.742533 9.26113 
48 2.226 0.742238 9.88567 
48 2.226 0.740601 10.3936 
48 2.227 0.74116 9.98355 
48 2.227 0.739278 10.3021 
48 2.227 0.741046 9.85684 
48 2.227 0.741152 10.0202 
48 2.227 0.738895 11.0237 
48 2.228 0.738891 9.83382 
48 2.228 0.736927 10.9354 
48 2.228 0.737842 10.4063 
48 2.228 0.738029 10.2562 
48 2.228 0.740309 9.39417 
48 2.229 0.736665 10.2094 
48 2.229 0.736438 10.7506 
48 2.229 0.738106 9.21691 
48 2.229 0.735778 10.6774 
48 2.229 0.735603 10.4387 
48 2.23 0.735196 10.4056 
48 2.23 0.736032 9.86779 
48 2.23 0.732913 11.3204 
48 2.23 0.733931 11.1576 
48 2.23 0.736575 9.54879 
48 2.231 0.728669 12.8129 
48 2.231 0.733586 10.3715 
48 2.231 0.732093 10.7131 
48 2.231 0.731303 10.7578 
48 2.231 0.731827 11.1708 
48 2.232 0.730399 11.6776 
48 2.232 0.726927 12.7696 
48 2.232 0.730796 11.2966 
48 2.232 0.729834 11.3669 
48 2.232 0.730986 10.9897 
48 2.233 0.727989 11.8266 
48 2.233 0.728578 11.1994 
48 2.233 0.726575 11.9177 
48 2.233 0.7281 11.9416 
48 2.233 0.730394 11.0289 
48 2.234 0.725712 11.9203 
48 2.234 0.723669 12.9271 
48 2.234 0.726416 11.2157 
48 2.234 0.724692 12.1816 
48 2.234 0.726934 11.5937 
48 2.235 0.721927 13.3085 
48 2.235 0.723462 12.8813 
48 2.235 0.725541 11.2788 
48 2.235 0.720554 13.4892 
48 2.235 0.723587 12.4579 
48 2.236 0.720062 13.2082 
48 2.236 0.723839 12.3283 
48 2.236 0.72269 12.1776 
48 2.236 0.722006 12.2928 
48 2.236 0.721564 12.7308 
48 2.237 0.719483 13.023 
48 2.237 0.719479 12.5848 
48 2.237 0.716633 13.506 
48 2.237 0.718539 13.0947 
48 2.237 0.7177 13.0352 
48 2.238 0.715799 13.5556 
48 2.238 0.718864 12.2747 
48 2.238 0.718758 12.4984 
48 2.238 0.715817 13.5896 
48 2.238 0.71572 13.6927 
48 2.239 0.714952 13.378 
48 2.239 0.716104 12.9155 
48 2.239 0.712254 14.0683 
48 2.239 0.713164 13.9101 
48 2.239 0.713263 14.3136 
48 2.24 0.711769 14.3324 
48 2.24 0.711702 14.1996 
48 2.24 0.709053 14.943 
48 2.24 0.711123 14.0714 
48 2.24 0.713032 13.3425 
48 2.241 0.710193 14.1416 
48 2.241 0.709392 13.8835 
48 2.241 0.707475 14.9658 
48 2.241 0.708232 14.594 
48 2.241 0.708625 15.1245 
48 2.242 0.707505 13.7882 
48 2.242 0.710217 13.9959 
48 2.242 0.709922 13.4555 
48 2.242 0.704721 15.8924 
48 2.242 0.705883 15.5926 
48 2.243 0.706793 14.6786 
48 2.243 0.70479 15.4834 
48 2.243 0.704749 14.8951 
48 2.243 0.702564 15.707 
48 2.243 0.708234 13.8775 
48 2.244 0.700094 15.6137 
48 2.244 0.702681 14.8432 
48 2.244 0.700897 16.1145 
48 2.244 0.702632 15.0517 
48 2.244 0.700281 16.713 
48 2.245 0.701843 14.6907 
48 2.245 0.697466 17.0297 
48 2.245 0.701499 15.5294 
48 2.245 0.699694 16.2944 
48 2.245 0.701987 15.1037 
48 2.246 0.696892 16.0322 
48 2.246 0.696731 16.6189 
48 2.246 0.697623 15.7198 
48 2.246 0.698268 16.2426 
48 2.246 0.698814 16.0422 
48 2.247 0.693941 16.6049 
48 2.247 0.692624 17.2892 
48 2.247 0.6937 17.0189 
48 2.247 0.69183 18.4065 
48 2.247 0.694863 16.6639 
48 2.248 0.691204 17.3831 
48 2.248 0.691001 17.1862 
48 2.248 0.692773 17.0791 
48 2.248 0.689211 17.6381 
48 2.248 0.692764 16.4217 
48 2.249 0.687307 18.2885 
48 2.249 0.685039 19.5129 
48 2.249 0.688983 18.1828 
48 2.249 0.685978 18.8444 
48 2.249 0.687149 18.4839 
48 2.25 0.684024 18.1361 
48 2.25 0.686258 17.8778 
48 2.25 0.684417 18.6656 
48 2.25 0.6853 17.7964 
48 2.25 0.686368 17.3404 
48 2.251 0.680347 19.3827 
48 2.251 0.683038 19.2772 
48 2.251 0.684527 17.4274 
48 2.251 0.682686 18.8968 
48 2.251 0.683861 17.8697 
