size temperature m m^2 m^4 mag_sus
32 0.02 1 1 1 0 
32 0.02 1 1 1 0 
32 0.02 1 1 1 0 
32 0.02 1 1 1 0 
32 0.02 1 1 1 0 
32 0.04 1 1 1 0 
32 0.04 1 1 1 0 
32 0.04 1 1 1 0 
32 0.04 1 1 1 0 
32 0.04 1 1 1 0 
32 0.06 1 1 1 0 
32 0.06 1 1 1 0 
32 0.06 1 1 1 0 
32 0.06 1 1 1 0 
32 0.06 1 1 1 0 
32 0.08 1 1 1 0 
32 0.08 1 1 1 0 
32 0.08 1 1 1 0 
32 0.08 1 1 1 0 
32 0.08 1 1 1 0 
32 0.1 1 1 1 0 
32 0.1 1 1 1 0 
32 0.1 1 1 1 0 
32 0.1 1 1 1 0 
32 0.1 1 1 1 0 
32 0.12 1 1 1 0 
32 0.12 1 1 1 0 
32 0.12 1 1 1 0 
32 0.12 1 1 1 0 
32 0.12 1 1 1 0 
32 0.14 1 1 1 0 
32 0.14 1 1 1 0 
32 0.14 1 1 1 0 
32 0.14 1 1 1 0 
32 0.14 1 1 1 0 
32 0.16 1 1 1 0 
32 0.16 1 1 1 0 
32 0.16 1 1 1 0 
32 0.16 1 1 1 0 
32 0.16 1 1 1 0 
32 0.18 1 1 1 0 
32 0.18 1 1 1 0 
32 0.18 1 1 1 0 
32 0.18 1 1 1 0 
32 0.18 1 1 1 0 
32 0.2 1 1 1 0 
32 0.2 1 1 1 0 
32 0.2 1 1 1 0 
32 0.2 1 1 1 0 
32 0.2 1 1 1 0 
32 0.22 1 1 1 0 
32 0.22 1 1 1 0 
32 0.22 1 1 1 0 
32 0.22 1 1 1 0 
32 0.22 1 1 1 0 
32 0.24 1 1 1 0 
32 0.24 1 1 1 0 
32 0.24 1 1 1 0 
32 0.24 1 1 1 0 
32 0.24 1 1 1 0 
32 0.26 1 1 1 0 
32 0.26 1 1 1 0 
32 0.26 1 1 1 0 
32 0.26 1 1 1 0 
32 0.26 1 1 1 0 
32 0.28 1 1 1 0 
32 0.28 1 1 1 0 
32 0.28 1 1 1 0 
32 0.28 1 1 1 0 
32 0.28 1 1 1 0 
32 0.3 1 1 1 0 
32 0.3 1 1 1 0 
32 0.3 1 1 1 0 
32 0.3 1 1 1 0 
32 0.3 1 1 1 0 
32 0.32 1 1 1 0 
32 0.32 1 1 1 0 
32 0.32 1 1 1 0 
32 0.32 1 1 1 0 
32 0.32 1 1 1 0 
32 0.34 1 1 1 0 
32 0.34 1 1 1 0 
32 0.34 1 1 1 0 
32 0.34 1 1 1 0 
32 0.34 1 1 1 0 
32 0.36 1 1 1 0 
32 0.36 1 1 1 0 
32 0.36 1 1 1 0 
32 0.36 1 1 1 0 
32 0.36 1 1 1 0 
32 0.38 1 1 1 0 
32 0.38 1 1 1 0 
32 0.38 1 1 1 0 
32 0.38 1 1 1 0 
32 0.38 1 1 1 0 
32 0.4 1 1 1 0 
32 0.4 1 1 1 0 
32 0.4 1 1 1 0 
32 0.4 1 1 0.999999 9.76464e-07 
32 0.4 1 1 1 0 
32 0.42 1 1 1 0 
32 0.42 1 1 1 0 
32 0.42 1 1 0.999999 9.29966e-07 
32 0.42 1 1 1 0 
32 0.42 1 1 1 0 
32 0.44 1 1 1 0 
32 0.44 1 1 1 0 
32 0.44 1 1 1 0 
32 0.44 1 1 1 0 
32 0.44 1 1 1 0 
32 0.46 1 1 0.999999 8.491e-07 
32 0.46 1 1 1 0 
32 0.46 1 1 0.999999 8.491e-07 
32 0.46 1 1 1 0 
32 0.46 1 1 1 0 
32 0.48 1 1 1 0 
32 0.48 1 1 1 0 
32 0.48 1 0.999999 0.999998 1.62728e-06 
32 0.48 1 1 0.999999 8.1372e-07 
32 0.48 1 1 1 0 
32 0.5 1 0.999999 0.999998 1.56219e-06 
32 0.5 1 1 1 0 
32 0.5 1 1 1 0 
32 0.5 1 1 1 0 
32 0.5 1 0.999999 0.999998 1.56219e-06 
32 0.52 1 0.999999 0.999998 1.5021e-06 
32 0.52 1 1 1 0 
32 0.52 1 1 0.999999 7.51127e-07 
32 0.52 1 1 1 0 
32 0.52 1 0.999999 0.999998 1.5021e-06 
32 0.54 0.999999 0.999999 0.999998 2.16949e-06 
32 0.54 0.999999 0.999998 0.999997 2.89236e-06 
32 0.54 0.999999 0.999998 0.999996 3.61509e-06 
32 0.54 0.999999 0.999998 0.999996 3.61509e-06 
32 0.54 0.999999 0.999999 0.999998 2.16949e-06 
32 0.56 0.999998 0.999996 0.999992 6.96847e-06 
32 0.56 0.999998 0.999996 0.999992 6.96847e-06 
32 0.56 0.999999 0.999998 0.999997 2.78906e-06 
32 0.56 0.999998 0.999996 0.999993 6.27225e-06 
32 0.56 0.999999 0.999998 0.999997 2.78906e-06 
32 0.58 0.999997 0.999994 0.999988 1.00872e-05 
32 0.58 0.999997 0.999995 0.99999 8.74401e-06 
32 0.58 0.999998 0.999996 0.999991 7.40026e-06 
32 0.58 0.999998 0.999996 0.999993 6.05597e-06 
32 0.58 0.999998 0.999996 0.999992 6.72818e-06 
32 0.6 0.999998 0.999996 0.999992 6.50391e-06 
32 0.6 0.999997 0.999995 0.999989 9.10182e-06 
32 0.6 0.999997 0.999995 0.99999 8.45254e-06 
32 0.6 0.999997 0.999993 0.999987 1.10489e-05 
32 0.6 0.999997 0.999995 0.99999 8.45254e-06 
32 0.62 0.999996 0.999992 0.999984 1.25756e-05 
32 0.62 0.999995 0.999989 0.999979 1.69652e-05 
32 0.62 0.999995 0.999991 0.999981 1.50847e-05 
32 0.62 0.999995 0.99999 0.99998 1.63385e-05 
32 0.62 0.999995 0.99999 0.999981 1.57116e-05 
32 0.64 0.999991 0.999983 0.999966 2.67373e-05 
32 0.64 0.999992 0.999984 0.999969 2.43164e-05 
32 0.64 0.999993 0.999986 0.999972 2.18936e-05 
32 0.64 0.999993 0.999985 0.99997 2.31052e-05 
32 0.64 0.999992 0.999984 0.999968 2.61425e-05 
32 0.66 0.999988 0.999976 0.999952 3.5883e-05 
32 0.66 0.99999 0.99998 0.99996 3.00307e-05 
32 0.66 0.99999 0.999981 0.999962 2.88588e-05 
32 0.66 0.999987 0.999975 0.999949 4.0588e-05 
32 0.66 0.999989 0.999978 0.999956 3.47272e-05 
32 0.68 0.999983 0.999966 0.999932 5.06911e-05 
32 0.68 0.999984 0.999968 0.999936 4.90163e-05 
32 0.68 0.999984 0.999968 0.999937 4.61534e-05 
32 0.68 0.999984 0.999967 0.999935 4.89972e-05 
32 0.68 0.999982 0.999963 0.999927 5.69373e-05 
32 0.7 0.99998 0.999961 0.999921 5.69084e-05 
32 0.7 0.99998 0.999961 0.999922 5.52455e-05 
32 0.7 0.999976 0.999953 0.999906 6.67053e-05 
32 0.7 0.999978 0.999956 0.999911 6.28908e-05 
32 0.7 0.999979 0.999958 0.999917 5.90709e-05 
32 0.72 0.999971 0.999941 0.999882 8.5026e-05 
32 0.72 0.999967 0.999934 0.999868 9.77343e-05 
32 0.72 0.99997 0.999939 0.999878 8.33151e-05 
32 0.72 0.99997 0.999939 0.999879 8.87405e-05 
32 0.72 0.999967 0.999935 0.99987 9.01753e-05 
32 0.74 0.999957 0.999913 0.999827 0.000118809 
32 0.74 0.999963 0.999927 0.999854 9.89776e-05 
32 0.74 0.999959 0.999917 0.999835 0.000116927 
32 0.74 0.999962 0.999925 0.99985 0.000100969 
32 0.74 0.999962 0.999924 0.999849 0.000105699 
32 0.76 0.999949 0.999898 0.999797 0.000138871 
32 0.76 0.999948 0.999896 0.999793 0.000138222 
32 0.76 0.999946 0.999893 0.999786 0.000146709 
32 0.76 0.999948 0.999897 0.999794 0.000138763 
32 0.76 0.999951 0.999901 0.999803 0.000137027 
32 0.78 0.999929 0.999859 0.999718 0.000192756 
32 0.78 0.999924 0.999849 0.999699 0.000194322 
32 0.78 0.99993 0.99986 0.99972 0.000183349 
32 0.78 0.999927 0.999854 0.999709 0.000187844 
32 0.78 0.999922 0.999844 0.999688 0.000203786 
32 0.8 0.999907 0.999814 0.999629 0.000240355 
32 0.8 0.999906 0.999812 0.999625 0.000251351 
32 0.8 0.999912 0.999824 0.99965 0.000224487 
32 0.8 0.999906 0.999813 0.999627 0.000234402 
32 0.8 0.999903 0.999805 0.999611 0.000249072 
32 0.82 0.999878 0.999757 0.999514 0.000302526 
32 0.82 0.999878 0.999757 0.999515 0.000306873 
32 0.82 0.999883 0.999766 0.999534 0.000303506 
32 0.82 0.999883 0.999766 0.999534 0.000293026 
32 0.82 0.999885 0.999769 0.99954 0.000291574 
32 0.84 0.999848 0.999697 0.999396 0.000374713 
32 0.84 0.999848 0.999696 0.999394 0.000384799 
32 0.84 0.999851 0.999702 0.999406 0.000370528 
32 0.84 0.999857 0.999714 0.999429 0.000361454 
32 0.84 0.999854 0.999708 0.999418 0.000359026 
32 0.86 0.999814 0.999629 0.999259 0.000444844 
32 0.86 0.999812 0.999624 0.99925 0.000461602 
32 0.86 0.999817 0.999635 0.999271 0.000451667 
32 0.86 0.99981 0.99962 0.999241 0.000472355 
32 0.86 0.999806 0.999613 0.999227 0.000470746 
32 0.88 0.999768 0.999536 0.999074 0.000550261 
32 0.88 0.999756 0.999513 0.999028 0.000583718 
32 0.88 0.999752 0.999505 0.999012 0.000601014 
32 0.88 0.999762 0.999525 0.999052 0.000558812 
32 0.88 0.999759 0.999518 0.999038 0.0005998 
32 0.9 0.999709 0.999419 0.99884 0.000706593 
32 0.9 0.999697 0.999396 0.998794 0.000700981 
32 0.9 0.999712 0.999424 0.998852 0.000662082 
32 0.9 0.999714 0.999428 0.998859 0.000644261 
32 0.9 0.999704 0.999408 0.998818 0.000711618 
32 0.92 0.999653 0.999307 0.998617 0.000776402 
32 0.92 0.999653 0.999306 0.998616 0.000792235 
32 0.92 0.999626 0.999253 0.998509 0.00086204 
32 0.92 0.99964 0.999281 0.998566 0.000815516 
32 0.92 0.999641 0.999283 0.998569 0.000830577 
32 0.94 0.999577 0.999155 0.998314 0.000971096 
32 0.94 0.999569 0.999138 0.998281 0.000960369 
32 0.94 0.999579 0.99916 0.998324 0.000955796 
32 0.94 0.999576 0.999153 0.998309 0.000940925 
32 0.94 0.999578 0.999158 0.99832 0.000956978 
32 0.96 0.999485 0.998972 0.997949 0.00115525 
32 0.96 0.999482 0.998966 0.997937 0.00115162 
32 0.96 0.999499 0.998999 0.998003 0.00115542 
32 0.96 0.999488 0.998977 0.997959 0.00114054 
32 0.96 0.999486 0.998974 0.997953 0.00115817 
32 0.98 0.999377 0.998755 0.997517 0.00140749 
32 0.98 0.999388 0.998777 0.997562 0.00136472 
32 0.98 0.999395 0.998792 0.997591 0.00134386 
32 0.98 0.999386 0.998774 0.997556 0.00138902 
32 0.98 0.999381 0.998765 0.997536 0.00135205 
32 1 0.999283 0.998568 0.997144 0.00148022 
32 1 0.999285 0.998571 0.99715 0.00151377 
32 1 0.999282 0.998565 0.997139 0.00156298 
32 1 0.99928 0.998562 0.997133 0.00157943 
32 1 0.999259 0.99852 0.997048 0.00161672 
32 1.02 0.999165 0.998333 0.996675 0.00176066 
32 1.02 0.999144 0.99829 0.996591 0.0018428 
32 1.02 0.999135 0.998273 0.996556 0.0018709 
32 1.02 0.999149 0.9983 0.99661 0.00179646 
32 1.02 0.999134 0.998271 0.996551 0.00183286 
32 1.04 0.998986 0.997975 0.995963 0.00220488 
32 1.04 0.998986 0.997975 0.995962 0.00216356 
32 1.04 0.999021 0.998046 0.996103 0.00203125 
32 1.04 0.998979 0.997961 0.995936 0.00217955 
32 1.04 0.999005 0.998013 0.996039 0.00211881 
32 1.06 0.998833 0.99767 0.995355 0.00240011 
32 1.06 0.998824 0.997653 0.995322 0.00252217 
32 1.06 0.998856 0.997716 0.995448 0.00238013 
32 1.06 0.998831 0.997667 0.995349 0.00240027 
32 1.06 0.998844 0.997691 0.995399 0.00250345 
32 1.08 0.998648 0.997301 0.994621 0.00276439 
32 1.08 0.998648 0.997302 0.994622 0.00279274 
32 1.08 0.998639 0.997284 0.994587 0.00283763 
32 1.08 0.998664 0.997334 0.994686 0.0027981 
32 1.08 0.998699 0.997402 0.994823 0.00271187 
32 1.1 0.99842 0.996846 0.993715 0.00335674 
32 1.1 0.998443 0.996891 0.993805 0.00317029 
32 1.1 0.998441 0.996889 0.9938 0.00316476 
32 1.1 0.99846 0.996926 0.993874 0.0030633 
32 1.1 0.998451 0.996908 0.993839 0.00316794 
32 1.12 0.998228 0.996463 0.992954 0.00353581 
32 1.12 0.998196 0.996399 0.992826 0.00355217 
32 1.12 0.998228 0.996462 0.992952 0.00355449 
32 1.12 0.998189 0.996386 0.9928 0.0037636 
32 1.12 0.998241 0.99649 0.993008 0.00361565 
32 1.14 0.997914 0.995837 0.991711 0.0043711 
32 1.14 0.997996 0.996 0.992034 0.00412594 
32 1.14 0.997967 0.995943 0.991921 0.00401879 
32 1.14 0.99796 0.995928 0.991891 0.00413449 
32 1.14 0.997946 0.995901 0.991838 0.00414284 
32 1.16 0.997698 0.995406 0.990854 0.00461936 
32 1.16 0.997681 0.995372 0.990786 0.00454655 
32 1.16 0.99766 0.99533 0.990703 0.0046524 
32 1.16 0.997698 0.995407 0.990856 0.00462365 
32 1.16 0.997686 0.995382 0.990806 0.00461245 
32 1.18 0.997346 0.994704 0.98946 0.00524877 
32 1.18 0.997366 0.994745 0.989543 0.00528551 
32 1.18 0.997325 0.994663 0.98938 0.0053542 
32 1.18 0.99732 0.994653 0.989359 0.00541543 
32 1.18 0.997353 0.994719 0.98949 0.00518748 
32 1.2 0.997013 0.994042 0.988147 0.00597702 
32 1.2 0.997025 0.994065 0.988193 0.00602556 
32 1.2 0.997044 0.994103 0.988267 0.00585421 
32 1.2 0.997054 0.994123 0.988309 0.00591318 
32 1.2 0.99703 0.994077 0.988215 0.0057812 
32 1.22 0.996604 0.993228 0.986534 0.0067273 
