size temperature m m^2 m^4 mag_sus 
64 0.02 1 1 1 0 
64 0.02 1 1 1 0 
64 0.02 1 1 1 0 
64 0.02 1 1 1 0 
64 0.02 1 1 1 0 
64 0.04 1 1 1 0 
64 0.04 1 1 1 0 
64 0.04 1 1 1 0 
64 0.04 1 1 1 0 
64 0.04 1 1 1 0 
64 0.06 1 1 1 0 
64 0.06 1 1 1 0 
64 0.06 1 1 1 0 
64 0.06 1 1 1 0 
64 0.06 1 1 1 0 
64 0.08 1 1 1 0 
64 0.08 1 1 1 0 
64 0.08 1 1 1 0 
64 0.08 1 1 1 0 
64 0.08 1 1 1 0 
64 0.1 1 1 1 0 
64 0.1 1 1 1 0 
64 0.1 1 1 1 0 
64 0.1 1 1 1 0 
64 0.1 1 1 1 0 
64 0.12 1 1 1 0 
64 0.12 1 1 1 0 
64 0.12 1 1 1 0 
64 0.12 1 1 1 0 
64 0.12 1 1 1 0 
64 0.14 1 1 1 0 
64 0.14 1 1 1 0 
64 0.14 1 1 1 0 
64 0.14 1 1 1 0 
64 0.14 1 1 1 0 
64 0.16 1 1 1 0 
64 0.16 1 1 1 0 
64 0.16 1 1 1 0 
64 0.16 1 1 1 0 
64 0.16 1 1 1 0 
64 0.18 1 1 1 0 
64 0.18 1 1 1 0 
64 0.18 1 1 1 0 
64 0.18 1 1 1 0 
64 0.18 1 1 1 0 
64 0.2 1 1 1 0 
64 0.2 1 1 1 0 
64 0.2 1 1 1 0 
64 0.2 1 1 1 0 
64 0.2 1 1 1 0 
64 0.22 1 1 1 0 
64 0.22 1 1 1 0 
64 0.22 1 1 1 0 
64 0.22 1 1 1 0 
64 0.22 1 1 1 0 
64 0.24 1 1 1 0 
64 0.24 1 1 1 0 
64 0.24 1 1 1 0 
64 0.24 1 1 1 0 
64 0.24 1 1 1 0 
64 0.26 1 1 1 0 
64 0.26 1 1 1 0 
64 0.26 1 1 1 0 
64 0.26 1 1 1 0 
64 0.26 1 1 1 0 
64 0.28 1 1 1 0 
64 0.28 1 1 1 0 
64 0.28 1 1 1 0 
64 0.28 1 1 1 0 
64 0.28 1 1 1 0 
64 0.3 1 1 1 0 
64 0.3 1 1 1 0 
64 0.3 1 1 1 0 
64 0.3 1 1 1 0 
64 0.3 1 1 1 0 
64 0.32 1 1 1 0 
64 0.32 1 1 1 0 
64 0.32 1 1 1 0 
64 0.32 1 1 1 0 
64 0.32 1 1 1 0 
64 0.34 1 1 1 0 
64 0.34 1 1 1 0 
64 0.34 1 1 1 0 
64 0.34 1 1 1 0 
64 0.34 1 1 1 0 
64 0.36 1 1 1 0 
64 0.36 1 1 1 0 
64 0.36 1 1 1 0 
64 0.36 1 1 1 0 
64 0.36 1 1 1 0 
64 0.38 1 1 1 0 
