size temperature err_m err_ms
16 2.2 0.00317174 0.145153
16 2.201 0.00296272 0.133183
16 2.202 0.00325338 0.150115
16 2.203 0.00325006 0.158419
16 2.204 0.00318454 0.144835
16 2.205 0.00340551 0.152242
16 2.206 0.0030965 0.138827
16 2.207 0.0030452 0.130659
16 2.208 0.00308199 0.131176
16 2.209 0.00321944 0.145797
16 2.21 0.00309371 0.133842
16 2.211 0.00297757 0.126406
16 2.212 0.00320399 0.137687
16 2.213 0.00332184 0.146022
16 2.214 0.00352258 0.165854
16 2.215 0.00321097 0.136073
16 2.216 0.00307856 0.12718
16 2.217 0.00307182 0.130495
16 2.218 0.0032553 0.144422
16 2.219 0.00326915 0.133102
16 2.22 0.00356191 0.157047
16 2.221 0.00332247 0.139397
16 2.222 0.00358544 0.160718
16 2.223 0.00361922 0.153992
16 2.224 0.00361574 0.157244
16 2.225 0.00358779 0.157955
16 2.226 0.00368833 0.159151
16 2.227 0.0035846 0.152441
16 2.228 0.00366272 0.150575
16 2.229 0.00355978 0.150172
16 2.23 0.003809 0.159225
16 2.231 0.00367325 0.15563
16 2.232 0.00348338 0.142977
16 2.233 0.00378522 0.147529
16 2.234 0.00359931 0.150551
16 2.235 0.00367188 0.146981
16 2.236 0.00402254 0.173187
16 2.237 0.00362356 0.146811
16 2.238 0.0036364 0.148517
16 2.239 0.00377526 0.148312
16 2.24 0.00370515 0.148909
16 2.241 0.00397403 0.163877
16 2.242 0.00398019 0.167158
16 2.243 0.00389353 0.147205
16 2.244 0.00353592 0.132724
16 2.245 0.00373338 0.145317
16 2.246 0.00394739 0.155398
16 2.247 0.00406694 0.156503
16 2.248 0.00405167 0.161207
16 2.249 0.00393836 0.154397
16 2.25 0.00399144 0.167668
16 2.251 0.00406325 0.154747
16 2.252 0.00402904 0.155837
16 2.253 0.00401013 0.153549
16 2.254 0.00435112 0.168649
16 2.255 0.00421828 0.157048
16 2.256 0.00404378 0.149329
16 2.257 0.0041255 0.149507
16 2.258 0.00427263 0.162426
16 2.259 0.00424205 0.161167
16 2.26 0.0041553 0.150442
16 2.261 0.0041762 0.153226
16 2.262 0.00407966 0.144797
16 2.263 0.00402437 0.150356
16 2.264 0.004419 0.161297
16 2.265 0.0043202 0.152639
16 2.266 0.00423116 0.161261
16 2.267 0.00415444 0.144427
16 2.268 0.00426841 0.152701
16 2.269 0.00414786 0.143447
16 2.27 0.0040899 0.141711
16 2.271 0.00410894 0.155983
16 2.272 0.00433773 0.156169
16 2.273 0.00426943 0.15249
16 2.274 0.00430599 0.158412
16 2.275 0.00401901 0.135761
16 2.276 0.00440237 0.148806
16 2.277 0.00434265 0.155186
16 2.278 0.00425939 0.148649
16 2.279 0.00439665 0.143629
16 2.28 0.00447785 0.14854
16 2.281 0.00447081 0.150513
16 2.282 0.00463725 0.156316
16 2.283 0.00459015 0.155851
16 2.284 0.00451366 0.144129
16 2.285 0.00439425 0.148878
16 2.286 0.00440119 0.143528
16 2.287 0.00443714 0.145726
16 2.288 0.00470049 0.153285
16 2.289 0.00474243 0.155634
16 2.29 0.00468531 0.154415
16 2.291 0.00450319 0.139083
16 2.292 0.00461831 0.138173
16 2.293 0.00453598 0.137515
16 2.294 0.00437909 0.144567
16 2.295 0.00485091 0.153202
16 2.296 0.00466416 0.15276
16 2.297 0.00454214 0.142198
16 2.298 0.00481874 0.146745
16 2.299 0.00498587 0.15443
16 2.3 0.0044836 0.135139
16 2.301 0.00452377 0.136056
16 2.302 0.00473405 0.144346
16 2.303 0.00466563 0.143168
16 2.304 0.00470731 0.136452
16 2.305 0.00475706 0.146238
16 2.306 0.00458024 0.133785
16 2.307 0.00466193 0.131481
16 2.308 0.00463575 0.134819
16 2.309 0.00470196 0.139673
16 2.31 0.00474938 0.13303
16 2.311 0.00477998 0.140604
16 2.312 0.00490727 0.138812
