size temperature err_m err_ms
16 2.2 0.00448757 0.251013
16 2.201 0.00348662 0.165718
16 2.202 0.00393578 0.19781
16 2.203 0.00386038 0.204623
16 2.204 0.00397528 0.209439
16 2.205 0.00438263 0.23177
16 2.206 0.00414624 0.215762
16 2.207 0.00356054 0.166568
16 2.208 0.00514175 0.267673
16 2.209 0.00372335 0.180854
16 2.21 0.00433899 0.234837
16 2.211 0.00429081 0.20138
16 2.212 0.00394186 0.195266
16 2.213 0.00525898 0.269523
16 2.214 0.00428356 0.219259
16 2.215 0.00347211 0.147383
16 2.216 0.00431795 0.218737
16 2.217 0.00461022 0.240073
16 2.218 0.00523592 0.274003
16 2.219 0.00400671 0.196938
16 2.22 0.00414641 0.216988
16 2.221 0.00539797 0.282794
16 2.222 0.00435894 0.222907
16 2.223 0.00398616 0.183042
16 2.224 0.00518152 0.271789
16 2.225 0.00467078 0.228319
16 2.226 0.00471629 0.225533
16 2.227 0.00443231 0.216937
16 2.228 0.00456487 0.213166
16 2.229 0.0045008 0.206658
16 2.23 0.00439727 0.206564
16 2.231 0.00462384 0.200013
16 2.232 0.00464848 0.237301
16 2.233 0.00476164 0.214364
16 2.234 0.00461069 0.206248
16 2.235 0.00433197 0.199187
16 2.236 0.00427039 0.187455
16 2.237 0.00442517 0.206236
16 2.238 0.00457473 0.223654
16 2.239 0.00494415 0.243702
16 2.24 0.00561885 0.288275
16 2.241 0.00566095 0.269431
16 2.242 0.00480395 0.225064
16 2.243 0.00529686 0.254787
16 2.244 0.00453523 0.203705
16 2.245 0.00522821 0.250992
16 2.246 0.00459808 0.207178
16 2.247 0.00428944 0.188919
16 2.248 0.00533682 0.226519
16 2.249 0.00601284 0.275678
16 2.25 0.00497255 0.215261
16 2.251 0.00558263 0.243632
16 2.252 0.00477142 0.223195
16 2.253 0.00521591 0.248247
16 2.254 0.00524791 0.225815
16 2.255 0.00470682 0.206166
16 2.256 0.00542436 0.246974
16 2.257 0.00610404 0.277644
16 2.258 0.00542767 0.234178
16 2.259 0.0058411 0.247726
16 2.26 0.00596602 0.268351
16 2.261 0.00530562 0.225303
16 2.262 0.00541502 0.233127
16 2.263 0.00536093 0.224193
16 2.264 0.00573329 0.247341
16 2.265 0.00501347 0.223238
16 2.266 0.00555625 0.258507
16 2.267 0.00619811 0.267395
16 2.268 0.00631005 0.251773
16 2.269 0.00528915 0.224993
16 2.27 0.006411 0.273789
16 2.271 0.00576254 0.242907
16 2.272 0.00549237 0.233371
16 2.273 0.00582879 0.234269
16 2.274 0.00690256 0.276508
16 2.275 0.00554266 0.240654
16 2.276 0.00666164 0.266231
16 2.277 0.00604279 0.253471
16 2.278 0.00695106 0.302478
16 2.279 0.00588753 0.24733
16 2.28 0.00602466 0.239768
16 2.281 0.00579685 0.244848
16 2.282 0.0059945 0.246645
16 2.283 0.00619249 0.236474
16 2.284 0.00597718 0.245529
16 2.285 0.00718589 0.336996
16 2.286 0.00704434 0.270439
16 2.287 0.00568965 0.220008
16 2.288 0.00755068 0.397582
16 2.289 0.00552258 0.228083
16 2.29 0.00591843 0.233287
16 2.291 0.00599217 0.224602
16 2.292 0.00560722 0.212253
16 2.293 0.00608883 0.237786
16 2.294 0.00602235 0.234643
16 2.295 0.00552742 0.216537
16 2.296 0.00592156 0.227691
16 2.297 0.0061149 0.237756
16 2.298 0.00597194 0.223226
16 2.299 0.00636824 0.229266
16 2.3 0.00590242 0.213656
16 2.301 0.00620306 0.220919
16 2.302 0.00673731 0.241885
16 2.303 0.0061857 0.214915
16 2.304 0.00615754 0.218467
16 2.305 0.00634616 0.220414
16 2.306 0.00634364 0.227178
16 2.307 0.00619957 0.227318
16 2.308 0.00688156 0.232953
16 2.309 0.00600908 0.211534
16 2.31 0.00671456 0.222395
16 2.311 0.00571461 0.192458
16 2.312 0.00617058 0.203029
16 2.313 0.00697226 0.252425
16 2.314 0.0069681 0.226299
16 2.315 0.00689031 0.22319
16 2.316 0.00628092 0.2124
16 2.317 0.0060144 0.20412
16 2.318 0.00624656 0.207244
16 2.319 0.00655145 0.222309
16 2.32 0.00662904 0.206021
16 2.321 0.00662145 0.210663
16 2.322 0.0068348 0.216398
16 2.323 0.0068018 0.215579
16 2.324 0.00623555 0.202677
16 2.325 0.00643351 0.195495
16 2.326 0.00685421 0.224641
16 2.327 0.00686194 0.200177
16 2.328 0.00789522 0.296683
16 2.329 0.00620044 0.202664
16 2.33 0.00674553 0.204472
16 2.331 0.00646622 0.194756
16 2.332 0.00773865 0.260533
16 2.333 0.00653922 0.2065
16 2.334 0.00628781 0.189058
16 2.335 0.00625207 0.194862
16 2.336 0.00707194 0.209788
16 2.337 0.00681392 0.200907
16 2.338 0.00644043 0.185344
16 2.339 0.00651407 0.190959
16 2.34 0.0077823 0.262373
16 2.341 0.00635166 0.197019
16 2.342 0.00726817 0.231236
16 2.343 0.00661654 0.191404
16 2.344 0.00724566 0.201004
16 2.345 0.00699934 0.198914
16 2.346 0.00658476 0.186389
16 2.347 0.00732664 0.183747
16 2.348 0.00700161 0.18035
16 2.349 0.00698726 0.181146
16 2.35 0.00679628 0.178298
16 2.351 0.00667133 0.19828
16 2.352 0.00674338 0.184538
16 2.353 0.00688136 0.179386
16 2.354 0.00675976 0.17764
16 2.355 0.00678587 0.174217
16 2.356 0.00688378 0.190014
16 2.357 0.00677854 0.170593
16 2.358 0.00681787 0.17992
16 2.359 0.00680827 0.171167
16 2.36 0.00700722 0.164082
16 2.361 0.00748129 0.189314
16 2.362 0.00706089 0.176926
16 2.363 0.00663797 0.166609
16 2.364 0.00662626 0.186083
16 2.365 0.0069381 0.163021
16 2.366 0.00703256 0.177114
16 2.367 0.00738177 0.175636
16 2.368 0.00668449 0.171062
16 2.369 0.00629763 0.138284
16 2.37 0.00665632 0.164052
16 2.371 0.00734656 0.1555
16 2.372 0.00669558 0.151474
16 2.373 0.0074392 0.164245
16 2.374 0.00707756 0.169897
16 2.375 0.00664939 0.145319
16 2.376 0.00656766 0.1595
16 2.377 0.00693277 0.163991
16 2.378 0.00735025 0.150938
16 2.379 0.0073235 0.172101
16 2.38 0.00673377 0.146904
16 2.381 0.00676121 0.148987
16 2.382 0.00681741 0.153922
16 2.383 0.00727696 0.15854
16 2.384 0.00690725 0.150277
16 2.385 0.00668271 0.138739
16 2.386 0.00705669 0.140341
16 2.387 0.00688108 0.146116
16 2.388 0.00683212 0.134824
16 2.389 0.00670427 0.150754
16 2.39 0.00721992 0.153617
16 2.391 0.00694873 0.146518
16 2.392 0.00683252 0.134155
16 2.393 0.00649824 0.142458
16 2.394 0.00650245 0.136982
16 2.395 0.00695477 0.121084
16 2.396 0.00681939 0.150068
16 2.397 0.00652291 0.126903
16 2.398 0.00654278 0.135299
16 2.399 0.00609586 0.130086
16 2.4 0.00674734 0.130136
16 2.401 0.00667407 0.132381
16 2.402 0.00667552 0.120491
16 2.403 0.00741308 0.169921
16 2.404 0.00654432 0.137507
16 2.405 0.00642122 0.112037
16 2.406 0.00653621 0.122707
16 2.407 0.00703631 0.125838
16 2.408 0.0068354 0.129696
16 2.409 0.00676007 0.119576
16 2.41 0.0067037 0.123162
16 2.411 0.00650748 0.111784
16 2.412 0.00728819 0.115844
16 2.413 0.00658862 0.106965
16 2.414 0.00664673 0.11858
16 2.415 0.00634593 0.123238
16 2.416 0.00690113 0.1144
16 2.417 0.00692831 0.113154
16 2.418 0.00699549 0.146519
16 2.419 0.00655743 0.115157
16 2.42 0.00654859 0.110932
16 2.421 0.00730643 0.126268
16 2.422 0.00627052 0.104974
16 2.423 0.00663639 0.108464
16 2.424 0.00652771 0.111945
16 2.425 0.00657635 0.102101
16 2.426 0.00738029 0.110128
16 2.427 0.00651656 0.104894
16 2.428 0.00626062 0.106444
16 2.429 0.00641537 0.104666
16 2.43 0.00659321 0.0942381
16 2.431 0.00635852 0.105238
16 2.432 0.00627413 0.102003
16 2.433 0.00649941 0.102811
16 2.434 0.00636979 0.0994342
16 2.435 0.00640833 0.100036
16 2.436 0.00654036 0.101005
16 2.437 0.00678673 0.103897
16 2.438 0.00626311 0.0978639
16 2.439 0.00641907 0.0985829
16 2.44 0.0067531 0.0987678
16 2.441 0.0065884 0.10161
16 2.442 0.00631652 0.101768
16 2.443 0.00669705 0.107236
16 2.444 0.00623911 0.0886481
16 2.445 0.00659316 0.102152
16 2.446 0.00651757 0.102189
16 2.447 0.00641915 0.0920306
16 2.448 0.0066897 0.0942706
16 2.449 0.00636226 0.0981241
16 2.45 0.00701585 0.111895
16 2.451 0.00647048 0.0980937
16 2.452 0.00624154 0.08656
16 2.453 0.0064407 0.100159
16 2.454 0.00598765 0.0841972
16 2.455 0.00623847 0.0953815
16 2.456 0.00640161 0.0917764
16 2.457 0.00571712 0.0826045
16 2.458 0.00670769 0.096469
16 2.459 0.00670481 0.116104
16 2.46 0.00642797 0.0964403
16 2.461 0.0059142 0.0833208
16 2.462 0.00628899 0.0894502
16 2.463 0.00641095 0.088434
16 2.464 0.00618398 0.0851138
16 2.465 0.0061748 0.0844919
16 2.466 0.00586102 0.0798326
16 2.467 0.00620508 0.0862615
16 2.468 0.00633323 0.0804734
16 2.469 0.00569589 0.0886573
16 2.47 0.00584111 0.0848853
16 2.471 0.00622914 0.0870148
16 2.472 0.00616671 0.0891257
16 2.473 0.00604065 0.092972
16 2.474 0.00595153 0.0814102
16 2.475 0.00591121 0.0851892
16 2.476 0.00594245 0.0931012
16 2.477 0.00624186 0.088802
16 2.478 0.00588661 0.0820665
16 2.479 0.00620987 0.0782236
16 2.48 0.00637555 0.0944261
16 2.481 0.00586932 0.0890717
16 2.482 0.00582966 0.083013
16 2.483 0.00594236 0.0916899
16 2.484 0.00603046 0.0874964
16 2.485 0.00568662 0.0863447
16 2.486 0.00589874 0.0895875
16 2.487 0.00601445 0.0842493
16 2.488 0.00592272 0.0795474
16 2.489 0.00604804 0.0816535
16 2.49 0.00607236 0.0864149
16 2.491 0.00590683 0.0803105
16 2.492 0.00628555 0.0881036
16 2.493 0.0054543 0.0749626
16 2.494 0.00582509 0.0792297
16 2.495 0.00555846 0.0852986
16 2.496 0.00626505 0.110876
16 2.497 0.00550631 0.0846418
16 2.498 0.00550506 0.076235
16 2.499 0.00569255 0.0799617
32 2.2 0.00470404 0.791699
32 2.201 0.00463198 0.656597
32 2.202 0.00258149 0.274875
32 2.203 0.00309934 0.301857
32 2.204 0.00508938 0.998942
32 2.205 0.00407732 0.648696
32 2.206 0.00369406 0.466171
32 2.207 0.00423998 0.914772
32 2.208 0.00538432 0.864706
32 2.209 0.00322937 0.349836
32 2.21 0.00672571 1.61379
32 2.211 0.00668399 1.46325
32 2.212 0.00677767 1.42614
32 2.213 0.00444217 0.756175
32 2.214 0.00587362 1.00662
32 2.215 0.00449873 0.768005
32 2.216 0.00631002 1.2278
32 2.217 0.00690796 1.52548
32 2.218 0.00527384 0.932835
32 2.219 0.00516788 0.951293
32 2.22 0.00487782 0.843553
32 2.221 0.00529848 0.965132
32 2.222 0.0072027 1.43899
32 2.223 0.0091393 1.92769
32 2.224 0.00803107 1.70626
32 2.225 0.00756528 1.51816
32 2.226 0.00611506 1.30319
32 2.227 0.00677299 1.17403
32 2.228 0.00529682 0.777571
32 2.229 0.00645912 1.1545
32 2.23 0.00552066 0.733835
32 2.231 0.00575784 1.02456
32 2.232 0.00463242 0.657855
32 2.233 0.00604228 1.20872
32 2.234 0.00623152 1.15101
32 2.235 0.00841029 1.62698
32 2.236 0.00561899 0.954764
32 2.237 0.00830455 1.72202
32 2.238 0.00630438 1.10665
32 2.239 0.00678554 1.29589
32 2.24 0.00606376 0.987839
32 2.241 0.00754034 1.50137
32 2.242 0.00853225 1.54345
32 2.243 0.00705856 1.30101
32 2.244 0.00976404 1.8915
32 2.245 0.00918478 1.56549
32 2.246 0.00833002 1.48328
32 2.247 0.00992483 1.6816
32 2.248 0.00948294 1.72929
32 2.249 0.00715365 1.48864
32 2.25 0.00834811 1.23014
32 2.251 0.0108432 1.90585
32 2.252 0.0101116 1.77005
32 2.253 0.00890276 1.62999
32 2.254 0.00736317 1.42401
32 2.255 0.00907387 1.55246
32 2.256 0.00872197 1.59951
32 2.257 0.00709036 1.08789
32 2.258 0.00742197 1.10376
32 2.259 0.00710246 1.0827
32 2.26 0.00931836 1.5478
32 2.261 0.0103505 1.79033
32 2.262 0.0107244 1.74994
32 2.263 0.00847464 1.31369
32 2.264 0.0112716 1.92691
32 2.265 0.00844227 1.5194
32 2.266 0.0107357 1.80752
32 2.267 0.00967244 1.51748
32 2.268 0.00590998 0.857308
32 2.269 0.00900771 1.40578
32 2.27 0.00926036 1.49248
32 2.271 0.0064393 0.839979
32 2.272 0.00916197 1.28444
32 2.273 0.0116042 1.6905
32 2.274 0.00801725 1.32817
32 2.275 0.010268 1.67752
32 2.276 0.0110117 1.35949
32 2.277 0.00838095 1.16357
32 2.278 0.0104651 1.60303
32 2.279 0.0125731 1.68064
32 2.28 0.0110998 1.52559
32 2.281 0.00856251 1.3579
32 2.282 0.0115439 1.44019
32 2.283 0.0107089 1.64788
32 2.284 0.0116009 1.55309
32 2.285 0.0131368 1.70529
32 2.286 0.0112707 1.42583
32 2.287 0.0101506 1.37778
32 2.288 0.0126039 1.60266
32 2.289 0.0116948 1.51755
32 2.29 0.0108404 1.44157
32 2.291 0.01207 1.73021
32 2.292 0.013293 1.61715
32 2.293 0.0118572 1.46791
32 2.294 0.0116531 1.39041
32 2.295 0.0105336 1.32125
32 2.296 0.0124115 1.48335
32 2.297 0.0102753 1.26988
32 2.298 0.0123556 1.60718
32 2.299 0.0128776 1.56697
32 2.3 0.0144855 1.47967
32 2.301 0.0115391 1.31646
32 2.302 0.0112256 1.37228
32 2.303 0.0127298 1.28801
32 2.304 0.0108805 1.27613
32 2.305 0.0126826 1.49226
32 2.306 0.0119212 1.1866
32 2.307 0.0123362 1.40161
32 2.308 0.0123624 1.2437
32 2.309 0.0114924 1.06979
32 2.31 0.0129939 1.25211
32 2.311 0.0123834 1.28553
32 2.312 0.012542 1.23171
32 2.313 0.0131132 1.13897
32 2.314 0.0124162 1.13542
32 2.315 0.0114782 1.10188
32 2.316 0.0126746 1.12727
32 2.317 0.0130114 1.19777
32 2.318 0.0122973 1.12392
32 2.319 0.0131828 1.00724
32 2.32 0.0118794 1.01132
32 2.321 0.0107076 0.85603
32 2.322 0.012199 0.949259
32 2.323 0.0121037 1.01878
32 2.324 0.0136808 1.22892
32 2.325 0.0112209 0.924153
32 2.326 0.0125327 0.91886
32 2.327 0.012257 0.813439
32 2.328 0.012059 0.821773
32 2.329 0.0120327 1.00619
32 2.33 0.0117397 0.726617
32 2.331 0.0128329 0.699049
32 2.332 0.0122506 0.855726
32 2.333 0.0106631 0.810512
32 2.334 0.0117558 0.806258
32 2.335 0.0116767 0.871469
32 2.336 0.0103037 0.753647
32 2.337 0.0133583 0.930964
32 2.338 0.012456 0.918614
32 2.339 0.0111983 0.731491
32 2.34 0.0124151 0.70024
32 2.341 0.0123005 0.919032
32 2.342 0.0109916 0.728775
32 2.343 0.0116753 0.732214
32 2.344 0.0118764 0.773368
32 2.345 0.011804 0.648637
32 2.346 0.010767 0.71095
32 2.347 0.0117845 0.550024
32 2.348 0.0115119 0.658689
32 2.349 0.0115914 0.568241
32 2.35 0.0110962 0.623302
32 2.351 0.0117972 0.5171
32 2.352 0.0109199 0.576739
32 2.353 0.0106786 0.658872
32 2.354 0.0115462 0.583564
32 2.355 0.0112389 0.597926
32 2.356 0.0107312 0.557898
32 2.357 0.0109897 0.572182
32 2.358 0.0113819 0.687854
32 2.359 0.0126339 0.574696
32 2.36 0.0106226 0.537557
32 2.361 0.0109939 0.68381
32 2.362 0.0100569 0.631797
32 2.363 0.0103734 0.554938
32 2.364 0.0110329 0.561003
32 2.365 0.01017 0.511844
32 2.366 0.0109271 0.546235
32 2.367 0.0110451 0.499215
32 2.368 0.00984062 0.529271
32 2.369 0.011697 0.528786
32 2.37 0.0105398 0.538502
32 2.371 0.00965963 0.47586
32 2.372 0.0101704 0.600233
32 2.373 0.010352 0.462121
32 2.374 0.00999756 0.472202
32 2.375 0.0109482 0.57254
32 2.376 0.0100631 0.526526
32 2.377 0.0102907 0.558198
32 2.378 0.0102536 0.476862
32 2.379 0.0104883 0.488864
32 2.38 0.00967582 0.552273
32 2.381 0.00930299 0.564683
32 2.382 0.00962939 0.447578
32 2.383 0.0107125 0.519544
32 2.384 0.0105613 0.553082
32 2.385 0.00926704 0.456297
32 2.386 0.00937681 0.52487
32 2.387 0.00812189 0.496301
32 2.388 0.00976952 0.451677
32 2.389 0.00982761 0.517664
32 2.39 0.00912737 0.533759
32 2.391 0.0101782 0.500606
32 2.392 0.00880289 0.434241
32 2.393 0.00943907 0.4301
32 2.394 0.0091061 0.553826
32 2.395 0.00882369 0.510191
32 2.396 0.00891613 0.45057
32 2.397 0.0095751 0.509265
32 2.398 0.00878359 0.545168
32 2.399 0.00976947 0.482996
32 2.4 0.00847754 0.444267
32 2.401 0.00806068 0.479963
32 2.402 0.00756366 0.411308
