J2 temperature m m2 m4 ms e sp_h 
0.2 1 0.999982 0.999964 0.999931 4.39676e-05 -239.992 0.000875481 
0.2 1 0.999988 0.999976 0.999953 2.39856e-05 -239.994 0.000552628 
0.2 1.005 0.99999 0.99998 0.999961 1.98905e-05 -239.995 0.000455998 
0.2 1.005 0.999978 0.999956 0.999915 4.37329e-05 -239.989 0.00100259 
0.2 1.01 0.99999 0.99998 0.999961 1.97921e-05 -239.995 0.000451495 
0.2 1.01 0.999992 0.999984 0.999969 1.58352e-05 -239.996 0.000361232 
0.2 1.015 0.99999 0.99998 0.999961 1.96946e-05 -239.995 0.000447057 
0.2 1.015 0.99998 0.99996 0.999923 4.72512e-05 -239.991 0.00093909 
0.2 1.02 0.999984 0.999968 0.999938 3.13475e-05 -239.992 0.000708084 
0.2 1.02 0.999982 0.999964 0.99993 3.52624e-05 -239.991 0.000796514 
0.2 1.025 0.999982 0.999964 0.99993 3.50903e-05 -239.991 0.000788762 
0.2 1.025 0.99998 0.99996 0.999922 3.89854e-05 -239.99 0.000876315 
0.2 1.03 0.999976 0.999952 0.999907 4.6546e-05 -239.988 0.00104118 
0.2 1.03 0.999984 0.999968 0.999938 3.10431e-05 -239.992 0.000694401 
0.2 1.035 0.999974 0.999949 0.999899 5.01762e-05 -239.988 0.00111697 
0.2 1.035 0.999976 0.999952 0.999907 4.63212e-05 -239.988 0.00103115 
0.2 1.04 0.999986 0.999972 0.999946 3.45965e-05 -239.994 0.000639276 
0.2 1.04 0.99999 0.99998 0.999961 1.92212e-05 -239.995 0.000425822 
0.2 1.045 0.999976 0.999953 0.999907 5.35334e-05 -239.989 0.00105437 
0.2 1.045 0.999982 0.999964 0.99993 3.44188e-05 -239.991 0.000758859 
0.2 1.05 0.999968 0.999937 0.999876 6.84739e-05 -239.985 0.00137782 
0.2 1.05 0.99996 0.999921 0.999845 8.36571e-05 -239.981 0.00171101 
0.2 1.055 0.999976 0.999952 0.999907 4.5443e-05 -239.988 0.000992424 
