J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1 0.999814 0.999632 0.999279 0.00038454 -234.913 0.0083608 
0.1 0.075 1 0.999842 0.999687 0.999387 0.000321504 -234.926 0.00696821 
0.1 0.075 1.005 0.999812 0.999628 0.999271 0.000378573 -234.912 0.0081887 
0.1 0.075 1.005 0.999822 0.999648 0.99931 0.000359036 -234.917 0.00775925 
0.1 0.075 1.01 0.99983 0.999663 0.999341 0.000341693 -234.921 0.00734214 
0.1 0.075 1.01 0.99982 0.999644 0.999302 0.000361149 -234.916 0.00776769 
0.1 0.075 1.015 0.999808 0.99962 0.999255 0.000374693 -234.91 0.00815465 
0.1 0.075 1.015 0.999786 0.999576 0.99917 0.000432927 -234.9 0.00916266 
0.1 0.075 1.02 0.999778 0.999561 0.99914 0.000461835 -234.896 0.00974513 
0.1 0.075 1.02 0.999816 0.999636 0.999287 0.000373151 -234.914 0.00795277 
0.1 0.075 1.025 0.999788 0.99958 0.999178 0.000424884 -234.9 0.00914616 
0.1 0.075 1.025 0.999778 0.999561 0.999139 0.000436167 -234.896 0.00939994 
0.1 0.075 1.03 0.999762 0.999529 0.999076 0.000456637 -234.888 0.0097933 
0.1 0.075 1.03 0.999792 0.999588 0.999193 0.00040745 -234.903 0.00861247 
0.1 0.075 1.035 0.999768 0.999541 0.999099 0.000443109 -234.891 0.00945727 
0.1 0.075 1.035 0.999774 0.999553 0.999124 0.000447239 -234.895 0.00929607 
0.1 0.075 1.04 0.99974 0.999485 0.998991 0.0004935 -234.878 0.0104821 
0.1 0.075 1.04 0.999742 0.999489 0.998999 0.000489753 -234.879 0.0104026 
0.1 0.075 1.045 0.999762 0.999529 0.999078 0.000488359 -234.889 0.0100584 
0.1 0.075 1.045 0.999734 0.999473 0.998968 0.000517631 -234.875 0.0108199 
0.1 0.075 1.05 0.999746 0.999497 0.999015 0.000485284 -234.881 0.0102095 
0.1 0.075 1.05 0.999766 0.999537 0.999092 0.000440499 -234.89 0.00926727 
0.1 0.075 1.055 0.999752 0.999509 0.999039 0.000487061 -234.885 0.00983852 
0.1 0.075 1.055 0.99971 0.999426 0.998874 0.000541791 -234.864 0.0113442 
0.1 0.075 1.06 0.999714 0.999434 0.998894 0.000592283 -234.868 0.011631 
0.1 0.075 1.06 0.99971 0.999426 0.998875 0.000546783 -234.864 0.0112761 
0.1 0.075 1.065 0.99969 0.999386 0.998798 0.00058816 -234.855 0.012082 
0.1 0.075 1.065 0.999698 0.999402 0.998829 0.000581108 -234.859 0.0117007 
0.1 0.075 1.07 0.999678 0.999363 0.998752 0.000614609 -234.849 0.0125722 
0.1 0.075 1.07 0.99964 0.999288 0.998604 0.000690692 -234.832 0.0139106 
0.1 0.075 1.075 0.999684 0.999374 0.998774 0.000593502 -234.852 0.0120805 
0.1 0.075 1.075 0.999694 0.999394 0.998812 0.000560592 -234.856 0.0115195 
0.1 0.075 1.08 0.999632 0.999272 0.998573 0.000698572 -234.829 0.0138322 
0.1 0.075 1.08 0.999658 0.999323 0.998673 0.000629911 -234.84 0.0127699 
0.1 0.075 1.085 0.99966 0.999327 0.998683 0.00065294 -234.841 0.0129542 
0.1 0.075 1.085 0.99963 0.999268 0.998567 0.00071365 -234.828 0.0140776 
0.1 0.075 1.09 0.999652 0.999311 0.99865 0.000642101 -234.837 0.0127888 
0.1 0.075 1.09 0.999638 0.999283 0.998596 0.000674216 -234.831 0.0134397 
0.1 0.075 1.095 0.999602 0.999212 0.998456 0.000734392 -234.814 0.0144816 
0.1 0.075 1.095 0.999576 0.999161 0.998359 0.000831071 -234.803 0.016029 
0.1 0.075 1.1 0.999618 0.999244 0.998518 0.000695825 -234.82 0.0139734 
0.1 0.075 1.1 0.999572 0.999153 0.998341 0.000805165 -234.8 0.0158399 
0.1 0.075 1.105 0.999592 0.999192 0.998418 0.000745116 -234.808 0.0148956 
0.1 0.075 1.105 0.99956 0.999129 0.998293 0.000793339 -234.794 0.0157509 
0.1 0.075 1.11 0.999572 0.999153 0.998342 0.000812326 -234.802 0.0154115 
0.1 0.075 1.11 0.999584 0.999177 0.998387 0.000762788 -234.805 0.0150723 
0.1 0.075 1.115 0.99955 0.99911 0.998258 0.000860762 -234.791 0.0164037 
0.1 0.075 1.115 0.999522 0.999054 0.998147 0.000879957 -234.777 0.0169001 
0.1 0.075 1.12 0.999556 0.999121 0.998279 0.00081097 -234.793 0.0156775 
0.1 0.075 1.12 0.999516 0.999042 0.998124 0.000879084 -234.773 0.017127 
0.1 0.075 1.125 0.999516 0.999042 0.998124 0.000875177 -234.773 0.0169635 
0.1 0.075 1.125 0.999516 0.999042 0.998122 0.000846733 -234.773 0.0165213 
0.1 0.075 1.13 0.999464 0.998939 0.997923 0.000972806 -234.749 0.018706 
0.1 0.075 1.13 0.99947 0.998951 0.997947 0.000976912 -234.753 0.0185702 
0.1 0.075 1.135 0.999496 0.999003 0.998046 0.000908016 -234.764 0.0173637 
0.1 0.075 1.135 0.999484 0.99898 0.998004 0.000991519 -234.761 0.0183581 
0.1 0.075 1.14 0.999498 0.999007 0.998054 0.000900701 -234.766 0.0170452 
0.1 0.075 1.14 0.999458 0.998928 0.997903 0.00103037 -234.749 0.0190476 
0.1 0.075 1.145 0.999414 0.998841 0.99773 0.00107045 -234.727 0.0198322 
0.1 0.075 1.145 0.99945 0.998912 0.99787 0.00100415 -234.744 0.018851 
0.1 0.075 1.15 0.999398 0.998809 0.997667 0.00106414 -234.719 0.020041 
0.1 0.075 1.15 0.99945 0.998912 0.99787 0.00100674 -234.743 0.0186956 
0.1 0.075 1.155 0.999354 0.998722 0.997498 0.00115867 -234.699 0.0214551 
0.1 0.075 1.155 0.999382 0.998777 0.997606 0.00111325 -234.712 0.0207773 
0.1 0.075 1.16 0.999368 0.99875 0.997556 0.00119315 -234.709 0.0210967 
0.1 0.075 1.16 0.999424 0.99886 0.997767 0.00100588 -234.731 0.018762 
0.1 0.075 1.165 0.999408 0.998828 0.997705 0.00102743 -234.724 0.0189945 
0.1 0.075 1.165 0.999328 0.99867 0.997396 0.00118356 -234.686 0.0220532 
0.1 0.075 1.17 0.999354 0.998722 0.997498 0.00114382 -234.7 0.0208244 
0.1 0.075 1.17 0.99925 0.998517 0.997102 0.00142543 -234.654 0.0250008 
0.1 0.075 1.175 0.999292 0.998599 0.997255 0.0012033 -234.668 0.0223357 
0.1 0.075 1.175 0.999334 0.998682 0.997419 0.00116395 -234.689 0.0214457 
0.1 0.075 1.18 0.999326 0.998666 0.997388 0.00116489 -234.685 0.0214283 
0.1 0.075 1.18 0.999284 0.998584 0.99723 0.00131249 -234.669 0.0231477 
0.1 0.075 1.185 0.99919 0.998397 0.996861 0.00138598 -234.621 0.0254624 
0.1 0.075 1.185 0.999206 0.998429 0.996926 0.00140165 -234.631 0.02495 
0.1 0.075 1.19 0.99924 0.998496 0.997056 0.00132289 -234.647 0.0235349 
0.1 0.075 1.19 0.999208 0.998433 0.996933 0.00138594 -234.631 0.0247973 
0.1 0.075 1.195 0.99924 0.998496 0.997056 0.00131066 -234.645 0.0237674 
0.1 0.075 1.195 0.999238 0.998493 0.997052 0.001374 -234.646 0.0243227 
0.1 0.075 1.2 0.999126 0.998271 0.996615 0.00150634 -234.592 0.0269932 
0.1 0.075 1.2 0.999256 0.998528 0.997119 0.00130054 -234.655 0.0228439 
0.1 0.075 1.205 0.999086 0.998192 0.996463 0.00160038 -234.576 0.0280656 
0.1 0.075 1.205 0.99915 0.998318 0.996706 0.0014305 -234.603 0.0256716 
0.1 0.075 1.21 0.99914 0.998298 0.996669 0.00145954 -234.599 0.0260035 
0.1 0.075 1.21 0.999158 0.998334 0.99674 0.00145876 -234.609 0.0256279 
0.1 0.075 1.215 0.999038 0.998097 0.996276 0.00165223 -234.551 0.0291813 
0.1 0.075 1.215 0.999094 0.998208 0.996492 0.00154232 -234.578 0.0272423 
0.1 0.075 1.22 0.99906 0.998141 0.996366 0.00167839 -234.567 0.0284852 
0.1 0.075 1.22 0.999008 0.998038 0.996164 0.0017554 -234.543 0.0296066 
0.1 0.075 1.225 0.998986 0.997994 0.996076 0.00173484 -234.528 0.0301309 
0.1 0.075 1.225 0.998946 0.997916 0.995925 0.0018587 -234.511 0.0319456 
0.1 0.075 1.23 0.999038 0.998098 0.996281 0.00169712 -234.554 0.0290364 
0.1 0.075 1.23 0.999032 0.998085 0.996252 0.00163439 -234.549 0.0284785 
0.1 0.075 1.235 0.99892 0.997866 0.99583 0.00197195 -234.502 0.0329064 
0.1 0.075 1.235 0.998972 0.997967 0.996023 0.00176706 -234.521 0.0306451 
0.1 0.075 1.24 0.99891 0.997844 0.995781 0.00182999 -234.494 0.0312325 
0.1 0.075 1.24 0.998894 0.997813 0.995722 0.00189167 -234.488 0.0316035 
0.1 0.075 1.245 0.998906 0.997836 0.995767 0.00184764 -234.492 0.0314661 
0.1 0.075 1.245 0.99891 0.997844 0.995784 0.0018612 -234.494 0.031568 
0.1 0.075 1.25 0.998836 0.997698 0.995497 0.00196521 -234.46 0.0328878 
0.1 0.075 1.25 0.998836 0.997698 0.995497 0.00196521 -234.46 0.0329831 
0.1 0.075 1.255 0.998798 0.997622 0.995347 0.00197253 -234.439 0.0339136 
0.1 0.075 1.255 0.998826 0.997679 0.995464 0.00204795 -234.455 0.0345708 
0.1 0.075 1.26 0.998788 0.997603 0.99531 0.0020104 -234.435 0.0342423 
0.1 0.075 1.26 0.998732 0.997492 0.995096 0.00213271 -234.411 0.035981 
0.1 0.075 1.265 0.998754 0.997536 0.995182 0.0021002 -234.421 0.0350929 
0.1 0.075 1.265 0.998738 0.997505 0.995126 0.00220453 -234.417 0.036207 
0.1 0.075 1.27 0.99863 0.997291 0.994705 0.00232465 -234.365 0.0384975 
0.1 0.075 1.27 0.99865 0.99733 0.994776 0.00219665 -234.373 0.0366774 
0.1 0.075 1.275 0.998586 0.997204 0.994534 0.00236867 -234.347 0.0385066 
0.1 0.075 1.275 0.99874 0.997509 0.995131 0.00214685 -234.416 0.0353294 
0.1 0.075 1.28 0.998678 0.997386 0.994889 0.00221034 -234.388 0.0361098 
0.1 0.075 1.28 0.998606 0.997244 0.994613 0.00235756 -234.354 0.038699 
0.1 0.075 1.285 0.998624 0.997279 0.99468 0.00227445 -234.359 0.0377192 
0.1 0.075 1.285 0.998578 0.997187 0.994498 0.00229244 -234.339 0.0379139 
0.1 0.075 1.29 0.998542 0.997116 0.994356 0.00230653 -234.323 0.0379473 
0.1 0.075 1.29 0.99848 0.996995 0.994127 0.00253718 -234.297 0.0410099 
0.1 0.075 1.295 0.998448 0.996931 0.993999 0.00251979 -234.283 0.0404115 
0.1 0.075 1.295 0.998412 0.99686 0.993859 0.00256666 -234.263 0.0418448 
0.1 0.075 1.3 0.998466 0.996967 0.994073 0.00254822 -234.291 0.0408342 
0.1 0.075 1.3 0.998546 0.997126 0.994383 0.00243122 -234.328 0.0389418 
0.1 0.075 1.305 0.99828 0.9966 0.993358 0.00286296 -234.208 0.0448916 
0.1 0.075 1.305 0.998434 0.996904 0.99395 0.00259216 -234.276 0.0413183 
0.1 0.075 1.31 0.998248 0.996537 0.993234 0.00290462 -234.19 0.0462178 
0.1 0.075 1.31 0.99824 0.996523 0.99321 0.0030124 -234.189 0.0469044 
0.1 0.075 1.315 0.998204 0.99645 0.993066 0.00298512 -234.167 0.0476337 
0.1 0.075 1.315 0.998354 0.996746 0.993637 0.00265024 -234.235 0.0425244 
0.1 0.075 1.32 0.99816 0.996362 0.992886 0.00290715 -234.145 0.046258 
0.1 0.075 1.32 0.998222 0.996486 0.993137 0.00296354 -234.181 0.0460475 
0.1 0.075 1.325 0.998266 0.996572 0.993301 0.00280704 -234.2 0.0439685 
0.1 0.075 1.325 0.998184 0.99641 0.992984 0.00292695 -234.163 0.0454715 
0.1 0.075 1.33 0.998172 0.996388 0.992945 0.00302695 -234.156 0.0471933 
0.1 0.075 1.33 0.998256 0.996551 0.993255 0.00271868 -234.191 0.0431084 
0.1 0.075 1.335 0.998224 0.996488 0.993134 0.00278396 -234.176 0.0440217 
0.1 0.075 1.335 0.998106 0.996257 0.992688 0.00309609 -234.124 0.0478175 
0.1 0.075 1.34 0.998054 0.996156 0.992496 0.00326665 -234.104 0.0499736 
0.1 0.075 1.34 0.998082 0.99621 0.992601 0.00319114 -234.119 0.0483268 
0.1 0.075 1.345 0.997966 0.99598 0.992145 0.00323441 -234.062 0.049574 
0.1 0.075 1.345 0.99801 0.996067 0.992317 0.00319999 -234.082 0.0490216 
0.1 0.075 1.35 0.997928 0.995906 0.992006 0.00337976 -234.046 0.0512441 
0.1 0.075 1.35 0.997878 0.995806 0.991809 0.00340275 -234.022 0.0519015 
0.1 0.075 1.355 0.997974 0.995996 0.99218 0.00324836 -234.065 0.04952 
0.1 0.075 1.355 0.99789 0.99583 0.991854 0.00335852 -234.027 0.0511249 
0.1 0.075 1.36 0.997848 0.995749 0.991704 0.00355948 -234.011 0.053328 
0.1 0.075 1.36 0.997812 0.995679 0.99157 0.00367152 -233.996 0.0540964 
0.1 0.075 1.365 0.997872 0.995796 0.991796 0.00350122 -234.02 0.0527823 
0.1 0.075 1.365 0.997826 0.995702 0.991601 0.00334313 -233.994 0.0510888 
0.1 0.075 1.37 0.997648 0.995353 0.990928 0.00375388 -233.914 0.0570847 
0.1 0.075 1.37 0.99772 0.995495 0.991204 0.00363223 -233.948 0.0547012 
0.1 0.075 1.375 0.997652 0.995362 0.99095 0.00382305 -233.924 0.055902 
0.1 0.075 1.375 0.997692 0.995439 0.991094 0.00363877 -233.938 0.054256 
0.1 0.075 1.38 0.997684 0.995425 0.991071 0.00373305 -233.933 0.0557121 
0.1 0.075 1.38 0.997632 0.995322 0.99087 0.00379656 -233.911 0.0563611 
0.1 0.075 1.385 0.99759 0.995238 0.9907 0.00374238 -233.885 0.0564743 
0.1 0.075 1.385 0.997508 0.995077 0.990393 0.00397617 -233.853 0.0588175 
0.1 0.075 1.39 0.997396 0.994855 0.989953 0.00401865 -233.799 0.0594694 
0.1 0.075 1.39 0.997434 0.994932 0.990112 0.00412774 -233.818 0.0610897 
0.1 0.075 1.395 0.99744 0.994943 0.990131 0.00405494 -233.826 0.0586155 
0.1 0.075 1.395 0.997332 0.994732 0.989728 0.00438149 -233.78 0.0614663 
0.1 0.075 1.4 0.997276 0.994621 0.989509 0.00438427 -233.747 0.0642148 
0.1 0.075 1.4 0.997474 0.995009 0.990253 0.00387281 -233.834 0.0568883 
0.1 0.075 1.405 0.997174 0.994419 0.989114 0.00449635 -233.704 0.0642955 
0.1 0.075 1.405 0.997128 0.994326 0.988927 0.0044236 -233.676 0.0651685 
0.1 0.075 1.41 0.997094 0.99426 0.988799 0.00449895 -233.661 0.0655179 
0.1 0.075 1.41 0.997156 0.994383 0.989039 0.00443061 -233.691 0.0642042 
0.1 0.075 1.415 0.997052 0.994181 0.988661 0.00484165 -233.652 0.0679887 
0.1 0.075 1.415 0.99706 0.994196 0.988685 0.00474886 -233.651 0.0674008 
0.1 0.075 1.42 0.997072 0.994216 0.988715 0.00450048 -233.652 0.0649769 
0.1 0.075 1.42 0.997168 0.994407 0.989087 0.00440421 -233.696 0.0636777 
0.1 0.075 1.425 0.997004 0.994083 0.988456 0.00461923 -233.618 0.066736 
0.1 0.075 1.425 0.997052 0.994177 0.988637 0.00450451 -233.64 0.0650676 
0.1 0.075 1.43 0.99694 0.993958 0.98822 0.00481094 -233.598 0.0676969 
0.1 0.075 1.43 0.996912 0.993902 0.988109 0.00481009 -233.578 0.0688682 
0.1 0.075 1.435 0.996968 0.994012 0.988319 0.00466111 -233.609 0.0655486 
0.1 0.075 1.435 0.996916 0.993909 0.988119 0.00473372 -233.583 0.0670308 
0.1 0.075 1.44 0.996792 0.993664 0.987639 0.00484644 -233.526 0.0686609 
0.1 0.075 1.44 0.996746 0.993574 0.987466 0.00496191 -233.502 0.0702514 
0.1 0.075 1.445 0.996646 0.99338 0.987099 0.00528655 -233.466 0.0729042 
0.1 0.075 1.445 0.996542 0.993173 0.986693 0.00534825 -233.415 0.0746992 
0.1 0.075 1.45 0.99677 0.993624 0.987573 0.00506532 -233.521 0.0703724 
0.1 0.075 1.45 0.996664 0.993415 0.987168 0.00524077 -233.471 0.0728889 
0.1 0.075 1.455 0.996694 0.993472 0.987268 0.00500277 -233.48 0.0704935 
0.1 0.075 1.455 0.99648 0.993053 0.986463 0.00550994 -233.387 0.0758485 
0.1 0.075 1.46 0.99645 0.992993 0.986344 0.0054738 -233.371 0.0762975 
0.1 0.075 1.46 0.996386 0.992865 0.98609 0.00546979 -233.346 0.0750279 
0.1 0.075 1.465 0.996228 0.992553 0.985482 0.0056527 -233.271 0.0778423 
0.1 0.075 1.465 0.99661 0.993307 0.986949 0.00512682 -233.441 0.0714223 
0.1 0.075 1.47 0.996156 0.992414 0.98522 0.00590637 -233.242 0.0800446 
0.1 0.075 1.47 0.99641 0.992913 0.986186 0.00544435 -233.349 0.0752975 
0.1 0.075 1.475 0.996082 0.99227 0.984948 0.00612673 -233.209 0.082495 
0.1 0.075 1.475 0.996268 0.992633 0.98564 0.00560218 -233.288 0.077348 
0.1 0.075 1.48 0.996104 0.992311 0.985019 0.00591494 -233.218 0.0797367 
0.1 0.075 1.48 0.99612 0.992342 0.985082 0.00590173 -233.22 0.0809519 
0.1 0.075 1.485 0.996092 0.992291 0.984995 0.00617424 -233.225 0.0799856 
0.1 0.075 1.485 0.995982 0.992072 0.98456 0.00616132 -233.161 0.0829779 
0.1 0.075 1.49 0.995984 0.992072 0.984549 0.00591354 -233.158 0.0801386 
0.1 0.075 1.49 0.995888 0.991886 0.984196 0.00623701 -233.124 0.0817443 
0.1 0.075 1.495 0.995902 0.991915 0.984256 0.00626932 -233.128 0.0829149 
0.1 0.075 1.495 0.995808 0.991731 0.983906 0.00651419 -233.093 0.0853456 
0.1 0.075 1.5 0.995874 0.991857 0.984137 0.00614241 -233.111 0.0818291 
0.1 0.075 1.5 0.995594 0.991308 0.98308 0.00670314 -232.99 0.0879102 
0.1 0.075 1.505 0.995846 0.991804 0.984041 0.00629264 -233.105 0.0828956 
0.1 0.075 1.505 0.995594 0.991307 0.983076 0.00664898 -232.984 0.0875023 
0.1 0.075 1.51 0.995598 0.991317 0.983099 0.00669817 -232.99 0.0878521 
0.1 0.075 1.51 0.99534 0.990813 0.982139 0.00737248 -232.883 0.0949006 
0.1 0.075 1.515 0.99524 0.990612 0.981736 0.00723844 -232.832 0.0943592 
0.1 0.075 1.515 0.99534 0.990807 0.982107 0.00696795 -232.874 0.0911615 
0.1 0.075 1.52 0.995314 0.990757 0.982015 0.00706851 -232.86 0.0923471 
0.1 0.075 1.52 0.995452 0.991025 0.98252 0.00661814 -232.916 0.0877254 
0.1 0.075 1.525 0.994996 0.990133 0.980809 0.00759082 -232.718 0.0978516 
0.1 0.075 1.525 0.995258 0.990645 0.981787 0.0069635 -232.828 0.0916552 
0.1 0.075 1.53 0.994948 0.990037 0.980617 0.00753446 -232.703 0.0959779 
0.1 0.075 1.53 0.994988 0.990117 0.98078 0.00759215 -232.715 0.0974208 
0.1 0.075 1.535 0.994974 0.99009 0.980728 0.00760256 -232.708 0.097901 
0.1 0.075 1.535 0.995038 0.990217 0.980977 0.00756603 -232.742 0.0968873 
0.1 0.075 1.54 0.99499 0.990123 0.980794 0.00762467 -232.723 0.095048 
0.1 0.075 1.54 0.994974 0.990089 0.980723 0.00752074 -232.709 0.0962992 
0.1 0.075 1.545 0.994972 0.990083 0.980704 0.00736306 -232.716 0.0931869 
0.1 0.075 1.545 0.994782 0.989714 0.980005 0.00793349 -232.63 0.0995498 
0.1 0.075 1.55 0.994726 0.989601 0.979778 0.00782354 -232.598 0.0994983 
0.1 0.075 1.55 0.994936 0.990012 0.980563 0.00735199 -232.685 0.0944855 
0.1 0.075 1.555 0.994352 0.988869 0.978376 0.00858264 -232.435 0.10751 
0.1 0.075 1.555 0.994484 0.989125 0.978857 0.0081578 -232.484 0.103493 
0.1 0.075 1.56 0.994388 0.988939 0.978506 0.0084324 -232.452 0.104762 
0.1 0.075 1.56 0.99437 0.988905 0.978446 0.00856046 -232.444 0.105722 
0.1 0.075 1.565 0.99429 0.988746 0.978132 0.00852626 -232.399 0.107727 
0.1 0.075 1.565 0.994406 0.988976 0.978584 0.00848736 -232.461 0.104846 
