size temperature m m2 m4 ms e sp_h 
40 1.5 0.995361 0.990752 0.981622 0.00892025 -3487.77 0.0962722 
40 1.5 0.995384 0.990797 0.98171 0.00876279 -3487.89 0.0946608 
40 1.5 0.995479 0.990987 0.982088 0.00873505 -3488.59 0.0939865 
40 1.505 0.995272 0.990575 0.981272 0.00889852 -3487.19 0.0971504 
40 1.505 0.995303 0.990636 0.981393 0.0091028 -3487.4 0.0977114 
40 1.505 0.995271 0.990573 0.981268 0.00925961 -3487.25 0.0984966 
40 1.51 0.9952 0.990431 0.980987 0.00921081 -3486.78 0.0966357 
40 1.51 0.995089 0.990212 0.980555 0.00957548 -3485.98 0.101395 
40 1.51 0.995155 0.990343 0.980813 0.00907955 -3486.4 0.0963451 
40 1.515 0.995069 0.990171 0.980472 0.00926663 -3485.83 0.0976871 
40 1.515 0.995077 0.990187 0.980507 0.00951501 -3485.89 0.101877 
40 1.515 0.99501 0.990054 0.980243 0.00979709 -3485.52 0.103433 
40 1.52 0.994925 0.989885 0.979909 0.00953425 -3484.81 0.101486 
40 1.52 0.99484 0.989717 0.979577 0.0101018 -3484.35 0.105731 
40 1.52 0.994903 0.989842 0.979824 0.00982784 -3484.77 0.102327 
40 1.525 0.994784 0.989604 0.979354 0.00981739 -3483.91 0.102496 
40 1.525 0.994854 0.989743 0.97963 0.0101426 -3484.54 0.103805 
40 1.525 0.994829 0.989694 0.979532 0.00992342 -3484.23 0.104204 
40 1.53 0.994686 0.989409 0.978969 0.0102155 -3483.38 0.104708 
40 1.53 0.99469 0.989418 0.978986 0.0101832 -3483.28 0.105192 
40 1.53 0.994698 0.989434 0.97902 0.0104068 -3483.44 0.107304 
40 1.535 0.994534 0.989107 0.97837 0.0101351 -3482.31 0.10399 
40 1.535 0.994502 0.989043 0.978247 0.0105898 -3482.18 0.107384 
40 1.535 0.99452 0.989081 0.978321 0.0107018 -3482.25 0.109201 
40 1.54 0.994388 0.988817 0.9778 0.0107989 -3481.37 0.109794 
40 1.54 0.994439 0.988919 0.978001 0.0107805 -3481.72 0.108246 
40 1.54 0.994418 0.988879 0.977923 0.0110523 -3481.65 0.110266 
40 1.545 0.994246 0.988536 0.977246 0.0111757 -3480.57 0.111975 
40 1.545 0.994285 0.988613 0.977398 0.0110253 -3480.84 0.108894 
40 1.545 0.994283 0.988608 0.977388 0.0109106 -3480.69 0.110626 
40 1.55 0.994104 0.988254 0.976691 0.0116916 -3479.55 0.11647 
40 1.55 0.994148 0.988342 0.976863 0.0113228 -3479.85 0.113012 
40 1.55 0.994154 0.988352 0.976884 0.011411 -3479.84 0.114538 
40 1.555 0.993965 0.987978 0.976145 0.0114438 -3478.55 0.114281 
40 1.555 0.994002 0.988051 0.976289 0.0114367 -3478.84 0.114601 
40 1.555 0.993943 0.987933 0.976057 0.0116982 -3478.52 0.11743 
40 1.56 0.99384 0.987729 0.975653 0.0117179 -3477.76 0.116682 
40 1.56 0.993888 0.987825 0.975842 0.0115203 -3478 0.115646 
40 1.56 0.993835 0.98772 0.975637 0.0119122 -3477.91 0.116917 
40 1.565 0.993756 0.987562 0.975326 0.0119762 -3477.2 0.118809 
40 1.565 0.993684 0.98742 0.975044 0.0120336 -3476.85 0.117681 
40 1.565 0.993711 0.987474 0.975151 0.0121874 -3476.98 0.118867 
40 1.57 0.993577 0.987207 0.974625 0.012285 -3476.11 0.118768 
40 1.57 0.993562 0.987177 0.974567 0.0125991 -3476.07 0.121804 
40 1.57 0.993567 0.987187 0.974586 0.0123761 -3476.04 0.12023 
40 1.575 0.993479 0.987013 0.974242 0.0122898 -3475.33 0.121637 
40 1.575 0.993448 0.986952 0.974122 0.0125828 -3475.14 0.12312 
40 1.575 0.993371 0.986799 0.973823 0.0128644 -3474.79 0.123227 
40 1.58 0.993245 0.986548 0.973329 0.0132449 -3473.97 0.126276 
40 1.58 0.993283 0.986625 0.97348 0.0132246 -3474.3 0.123872 
40 1.58 0.993293 0.986644 0.973518 0.0133205 -3474.31 0.126794 
40 1.585 0.993133 0.986327 0.972893 0.0133652 -3473.31 0.124963 
40 1.585 0.993118 0.986296 0.972832 0.0135034 -3473.16 0.127617 
40 1.585 0.993134 0.986328 0.972895 0.0135009 -3473.2 0.129535 
40 1.59 0.992951 0.985965 0.972182 0.0141244 -3472.21 0.130846 
40 1.59 0.992985 0.986033 0.972315 0.0137429 -3472.3 0.128208 
40 1.59 0.992944 0.985951 0.972154 0.0137988 -3471.96 0.131326 
40 1.595 0.992772 0.98561 0.971481 0.0137114 -3470.86 0.128871 
40 1.595 0.992779 0.985625 0.971515 0.0145833 -3470.94 0.136203 
40 1.595 0.992716 0.985498 0.971261 0.0139797 -3470.6 0.130408 
40 1.6 0.992597 0.985263 0.970801 0.0145878 -3469.7 0.134777 
40 1.6 0.992652 0.985373 0.971016 0.0144514 -3470.09 0.135055 
40 1.6 0.992583 0.985236 0.970745 0.0140779 -3469.72 0.129649 
40 1.605 0.992397 0.984867 0.970021 0.0148545 -3468.42 0.13678 
40 1.605 0.992484 0.985038 0.970356 0.0141564 -3469.08 0.131396 
40 1.605 0.992454 0.98498 0.970244 0.0148761 -3468.86 0.137043 
40 1.61 0.9923 0.984674 0.969642 0.0150885 -3467.87 0.137032 
40 1.61 0.992274 0.984624 0.969544 0.0153605 -3467.78 0.138901 
40 1.61 0.992294 0.984662 0.969619 0.0148488 -3467.91 0.13505 
40 1.615 0.992154 0.984386 0.969076 0.0154484 -3466.97 0.1394 
40 1.615 0.992098 0.984273 0.968854 0.0152639 -3466.71 0.138249 
40 1.615 0.99205 0.984179 0.96867 0.0155098 -3466.36 0.138982 
40 1.62 0.991915 0.983911 0.968145 0.016041 -3465.37 0.144661 
40 1.62 0.991953 0.983986 0.968291 0.0158305 -3465.79 0.140547 
40 1.62 0.991934 0.983949 0.968219 0.0159901 -3465.63 0.142987 
40 1.625 0.991747 0.983578 0.967491 0.016154 -3464.31 0.144999 
40 1.625 0.991693 0.983472 0.967282 0.0165236 -3464.05 0.147264 
40 1.625 0.991795 0.983673 0.967675 0.0156989 -3464.6 0.142843 
40 1.63 0.991515 0.983119 0.96659 0.0168294 -3462.98 0.147182 
40 1.63 0.991623 0.983333 0.96701 0.0163654 -3463.54 0.145228 
40 1.63 0.991624 0.983336 0.967017 0.0167607 -3463.59 0.147509 
40 1.635 0.991397 0.982885 0.966132 0.0172256 -3462.32 0.148663 
40 1.635 0.991417 0.982924 0.966208 0.0168471 -3462.36 0.146324 
40 1.635 0.991404 0.982899 0.96616 0.0172937 -3462.22 0.152253 
40 1.64 0.991112 0.982322 0.965029 0.0178136 -3460.38 0.154941 
40 1.64 0.991159 0.982415 0.965209 0.0173048 -3460.78 0.14955 
40 1.64 0.99121 0.982516 0.965408 0.0175857 -3461.01 0.153176 
40 1.645 0.990947 0.981996 0.964389 0.0182962 -3459.5 0.154471 
40 1.645 0.990942 0.981985 0.964369 0.0187426 -3459.52 0.156369 
40 1.645 0.990986 0.982072 0.964538 0.0179364 -3459.59 0.154735 
40 1.65 0.990738 0.98158 0.963572 0.0180052 -3458.06 0.155587 
40 1.65 0.990806 0.981716 0.963842 0.0189417 -3458.38 0.162475 
40 1.65 0.990748 0.9816 0.963611 0.0181033 -3458.07 0.155424 
40 1.655 0.990564 0.981236 0.962899 0.0184668 -3456.84 0.157012 
40 1.655 0.990595 0.981297 0.963017 0.0183326 -3457.14 0.154966 
40 1.655 0.99057 0.981249 0.962925 0.0187844 -3457.17 0.158618 
40 1.66 0.990389 0.980891 0.962223 0.0187583 -3455.67 0.159105 
40 1.66 0.990409 0.98093 0.962303 0.0193876 -3455.91 0.163777 
40 1.66 0.990328 0.980771 0.961992 0.0198083 -3455.55 0.163817 
40 1.665 0.990206 0.980528 0.961515 0.019434 -3454.82 0.162989 
40 1.665 0.990141 0.980399 0.961261 0.0192844 -3454.34 0.161374 
40 1.665 0.990111 0.980341 0.96115 0.0200055 -3454.15 0.166477 
40 1.67 0.989959 0.98004 0.960561 0.0203872 -3453.25 0.166712 
40 1.67 0.989915 0.979953 0.960389 0.0199492 -3452.95 0.164231 
40 1.67 0.98991 0.979943 0.96037 0.019748 -3452.94 0.161615 
40 1.675 0.989629 0.979388 0.959287 0.0212112 -3451.25 0.17275 
40 1.675 0.989759 0.979645 0.959787 0.0203578 -3452 0.1646 
40 1.675 0.989696 0.97952 0.959544 0.0206866 -3451.43 0.171989 
40 1.68 0.989516 0.979164 0.95885 0.0213073 -3450.44 0.172349 
40 1.68 0.989537 0.979206 0.958928 0.0205067 -3450.63 0.168848 
40 1.68 0.989449 0.979031 0.958588 0.0211564 -3450.06 0.172012 
40 1.685 0.989286 0.97871 0.957964 0.0217765 -3449 0.177002 
40 1.685 0.98923 0.9786 0.95775 0.0221662 -3448.79 0.177028 
40 1.685 0.989314 0.978764 0.958068 0.0215831 -3449.23 0.174532 
40 1.69 0.989029 0.978202 0.95697 0.0219336 -3447.48 0.175897 
40 1.69 0.989087 0.978316 0.957191 0.0215594 -3447.62 0.174225 
40 1.69 0.988933 0.978013 0.956602 0.0226259 -3447.02 0.17735 
40 1.695 0.988787 0.977724 0.956038 0.0229295 -3445.96 0.179763 
40 1.695 0.988722 0.977596 0.95579 0.0234572 -3445.7 0.1825 
40 1.695 0.988831 0.977811 0.95621 0.0231053 -3446.28 0.181122 
40 1.7 0.98854 0.977237 0.95509 0.0237443 -3444.6 0.183175 
40 1.7 0.988595 0.977344 0.955298 0.0232964 -3444.85 0.181225 
40 1.7 0.988663 0.977479 0.95556 0.0230771 -3445.2 0.181199 
40 1.705 0.988302 0.976766 0.954169 0.0236246 -3442.96 0.183906 
40 1.705 0.988361 0.976882 0.954398 0.0237214 -3443.33 0.182698 
