size temperature m m2 m4 mag_sus 
10 1.5 0.9953 0.990753 0.982092 0.008746 
10 1.5 0.995384 0.990929 0.982467 0.0093155 
10 1.5 0.995568 0.991277 0.983095 0.00809316 
10 1.5 0.995298 0.990759 0.982138 0.00940341 
10 1.5 0.995342 0.99084 0.982276 0.00896687 
10 1.505 0.99557 0.991286 0.983131 0.00842625 
10 1.505 0.995306 0.990771 0.982149 0.00912733 
10 1.505 0.995258 0.990678 0.981974 0.00926734 
10 1.505 0.99512 0.990407 0.981449 0.0095326 
10 1.505 0.99556 0.99127 0.983111 0.00867817 
10 1.51 0.995108 0.990376 0.981367 0.00904294 
10 1.51 0.995244 0.990641 0.981868 0.00864241 
10 1.51 0.995186 0.990532 0.981673 0.00903215 
10 1.51 0.995306 0.990765 0.982117 0.00868387 
10 1.51 0.995202 0.990557 0.981701 0.00860789 
10 1.515 0.994904 0.98998 0.980613 0.00960731 
10 1.515 0.99517 0.990498 0.981599 0.00887598 
10 1.515 0.994664 0.989513 0.979728 0.0103081 
10 1.515 0.994902 0.989974 0.980598 0.00951884 
10 1.515 0.995282 0.990723 0.98205 0.00899409 
10 1.52 0.994944 0.990055 0.980748 0.00930243 
10 1.52 0.994806 0.989794 0.980278 0.0102173 
10 1.52 0.994784 0.989758 0.980234 0.0106996 
10 1.52 0.99487 0.989916 0.980502 0.0098502 
10 1.52 0.994892 0.989963 0.980605 0.0100571 
10 1.525 0.994708 0.989596 0.97988 0.00997211 
10 1.525 0.99486 0.989891 0.980435 0.00946757 
10 1.525 0.994906 0.989987 0.980639 0.00977385 
10 1.525 0.994894 0.989962 0.980588 0.00971336 
10 1.525 0.99466 0.989504 0.97971 0.0102114 
10 1.53 0.994314 0.988838 0.978469 0.0116255 
10 1.53 0.99454 0.989259 0.979204 0.00975349 
10 1.53 0.994596 0.989374 0.979442 0.00999195 
10 1.53 0.99469 0.989568 0.979849 0.0104316 
10 1.53 0.994628 0.989448 0.979625 0.010689 
10 1.535 0.994474 0.989132 0.978965 0.00998458 
