J2 temperature m m2 m4 ms e sp_h 
0.2 1.5 0.996344 0.992782 0.985927 0.00535424 -238.281 0.07603 
0.2 1.5 0.99624 0.99258 0.985544 0.00569216 -238.247 0.0781572 
0.2 1.5 0.996184 0.992468 0.985325 0.00571188 -238.21 0.0802133 
0.2 1.505 0.996258 0.992615 0.985613 0.00564235 -238.249 0.0788003 
0.2 1.505 0.996214 0.992527 0.985435 0.00559377 -238.232 0.0776145 
0.2 1.505 0.996252 0.992606 0.985605 0.00582807 -238.25 0.0805248 
0.2 1.51 0.996138 0.992379 0.985159 0.00586523 -238.191 0.0814066 
0.2 1.51 0.996006 0.992117 0.984643 0.005929 -238.132 0.0814313 
0.2 1.51 0.996114 0.992329 0.985052 0.00571517 -238.177 0.0801892 
0.2 1.515 0.995938 0.991986 0.984396 0.00616899 -238.105 0.0829111 
0.2 1.515 0.996126 0.992355 0.985109 0.00581334 -238.18 0.0818967 
0.2 1.515 0.996056 0.992225 0.984882 0.00640296 -238.17 0.0838928 
0.2 1.52 0.996016 0.992138 0.984685 0.0059084 -238.134 0.0820672 
0.2 1.52 0.996008 0.992122 0.984655 0.00593579 -238.135 0.0816202 
0.2 1.52 0.996018 0.992141 0.98469 0.00588577 -238.133 0.0813677 
0.2 1.525 0.995826 0.991765 0.983966 0.0062569 -238.044 0.0857937 
0.2 1.525 0.995874 0.991855 0.984127 0.00593155 -238.064 0.0818112 
0.2 1.525 0.996158 0.992417 0.985225 0.00565502 -238.199 0.0780465 
0.2 1.53 0.995846 0.991803 0.984037 0.00613753 -238.053 0.0846204 
0.2 1.53 0.995878 0.991864 0.984149 0.00597184 -238.07 0.0819772 
0.2 1.53 0.995748 0.991615 0.983689 0.0065935 -238.027 0.0868903 
0.2 1.535 0.995738 0.991592 0.983631 0.00636061 -238.013 0.0850617 
0.2 1.535 0.995632 0.991381 0.983215 0.00637658 -237.954 0.0877962 
0.2 1.535 0.99574 0.991599 0.983655 0.00654152 -238.018 0.0867717 
0.2 1.54 0.995592 0.991305 0.983076 0.00657724 -237.944 0.0885939 
0.2 1.54 0.995566 0.991253 0.982972 0.00655452 -237.934 0.0878528 
0.2 1.54 0.995422 0.990967 0.982412 0.00665207 -237.864 0.0896478 
0.2 1.545 0.995464 0.991049 0.982566 0.00649221 -237.876 0.0885893 
0.2 1.545 0.995434 0.99099 0.982454 0.00657551 -237.86 0.089561 
0.2 1.545 0.99543 0.990986 0.98246 0.00681133 -237.865 0.0915135 
0.2 1.55 0.99523 0.990593 0.9817 0.00712304 -237.778 0.0940405 
0.2 1.55 0.995142 0.990416 0.981342 0.00699096 -237.727 0.0943412 
0.2 1.55 0.995414 0.990951 0.982379 0.0065941 -237.856 0.0886835 
0.2 1.555 0.995268 0.990671 0.981861 0.00722882 -237.8 0.0940364 
0.2 1.555 0.995266 0.99066 0.981815 0.00678773 -237.792 0.0897935 
0.2 1.555 0.994984 0.990114 0.980789 0.00775561 -237.674 0.100896 
0.2 1.56 0.995258 0.99065 0.981817 0.00715599 -237.795 0.0932471 
0.2 1.56 0.995196 0.990524 0.981556 0.00696164 -237.76 0.0921398 
0.2 1.56 0.995234 0.990602 0.981718 0.00710546 -237.776 0.0937381 
0.2 1.565 0.995296 0.990723 0.981952 0.00695926 -237.812 0.0906939 
0.2 1.565 0.995122 0.990381 0.981293 0.00725911 -237.732 0.0953709 
0.2 1.565 0.995096 0.990326 0.981171 0.00704094 -237.71 0.0931986 
0.2 1.57 0.994756 0.989661 0.979898 0.00774653 -237.567 0.100553 
0.2 1.57 0.994934 0.990006 0.980543 0.00712711 -237.633 0.0936106 
0.2 1.57 0.994814 0.989779 0.980138 0.0079099 -237.6 0.0994722 
0.2 1.575 0.994744 0.989637 0.979846 0.00767838 -237.555 0.0995291 
0.2 1.575 0.994726 0.989601 0.979778 0.00769936 -237.542 0.100494 
0.2 1.575 0.99477 0.989687 0.979942 0.0076068 -237.562 0.0994244 
0.2 1.58 0.994734 0.98962 0.979828 0.00788793 -237.55 0.101451 
0.2 1.58 0.99486 0.989864 0.980283 0.00742661 -237.601 0.0978633 
0.2 1.58 0.99462 0.989393 0.979378 0.00787441 -237.493 0.103131 
0.2 1.585 0.994592 0.989342 0.979291 0.00809801 -237.491 0.103864 
0.2 1.585 0.994714 0.989575 0.979718 0.00752165 -237.533 0.0980233 
0.2 1.585 0.994552 0.989262 0.979134 0.00811604 -237.479 0.101715 
0.2 1.59 0.994622 0.989402 0.979415 0.00814573 -237.509 0.102635 
0.2 1.59 0.994534 0.989224 0.979052 0.0079549 -237.45 0.102873 
0.2 1.59 0.994586 0.989326 0.979249 0.00786972 -237.483 0.101268 
0.2 1.595 0.99452 0.989194 0.978981 0.00775233 -237.441 0.10173 
0.2 1.595 0.994262 0.98869 0.978019 0.00832573 -237.33 0.107338 
0.2 1.595 0.994308 0.988784 0.978217 0.0085217 -237.363 0.108098 
0.2 1.6 0.99433 0.988823 0.978276 0.00820819 -237.38 0.101392 
0.2 1.6 0.99443 0.989019 0.978654 0.00802344 -237.412 0.102522 
0.2 1.6 0.994222 0.988611 0.977865 0.00834092 -237.322 0.105142 
0.2 1.605 0.993924 0.988028 0.976747 0.00888986 -237.184 0.111812 
0.2 1.605 0.994202 0.988574 0.977805 0.00851983 -237.312 0.107205 
0.2 1.605 0.994138 0.988449 0.977565 0.00865277 -237.28 0.108761 
0.2 1.61 0.99391 0.987998 0.97668 0.00872993 -237.173 0.110197 
0.2 1.61 0.994252 0.988673 0.977997 0.00844724 -237.332 0.106622 
0.2 1.61 0.99391 0.987999 0.97669 0.00884422 -237.173 0.111588 
0.2 1.615 0.993986 0.988155 0.977011 0.00907194 -237.21 0.112804 
0.2 1.615 0.994068 0.988308 0.977278 0.00846634 -237.236 0.107928 
0.2 1.615 0.99396 0.988096 0.976868 0.00860919 -237.193 0.108985 
0.2 1.62 0.993832 0.987841 0.976367 0.00859974 -237.127 0.109446 
0.2 1.62 0.993702 0.987593 0.97591 0.00918859 -237.078 0.114385 
0.2 1.62 0.993824 0.987834 0.976382 0.0091171 -237.141 0.113073 
0.2 1.625 0.993612 0.987419 0.975587 0.00949129 -237.057 0.115211 
0.2 1.625 0.993606 0.987404 0.975549 0.00931672 -237.047 0.11467 
0.2 1.625 0.993758 0.987697 0.976091 0.00873584 -237.105 0.108207 
0.2 1.63 0.993486 0.987173 0.975119 0.00973299 -236.996 0.118447 
0.2 1.63 0.993732 0.987646 0.975996 0.00877989 -237.081 0.110929 
0.2 1.63 0.993368 0.986937 0.974647 0.00962556 -236.936 0.11869 
0.2 1.635 0.993642 0.987474 0.975678 0.00913614 -237.058 0.111975 
0.2 1.635 0.993318 0.986842 0.974475 0.00988568 -236.904 0.119588 
0.2 1.635 0.993602 0.987398 0.975539 0.0093349 -237.032 0.114904 
0.2 1.64 0.993236 0.986689 0.974208 0.0104298 -236.878 0.125488 
