J2 temperature m m2 m4 ms e sp_h 
0.15 1 0.873482 0.778073 0.639655 1.51024 -177.608 21.7619 
0.15 1 0.873362 0.778492 0.641382 1.57304 -177.724 22.4355 
0.15 1 0.872972 0.777149 0.638391 1.50688 -177.487 21.6073 
0.15 1.005 0.872414 0.776436 0.637816 1.52532 -177.313 21.7154 
0.15 1.005 0.87581 0.781762 0.644753 1.46452 -178.675 20.6083 
0.15 1.005 0.875256 0.780582 0.642648 1.44365 -178.313 20.7389 
0.15 1.01 0.876586 0.782364 0.644514 1.38226 -178.818 19.6196 
0.15 1.01 0.877494 0.784555 0.648938 1.4415 -179.349 20.4134 
0.15 1.01 0.880318 0.788202 0.652592 1.31114 -180.282 18.8175 
0.15 1.015 0.876582 0.782664 0.64567 1.40571 -178.887 20.0095 
0.15 1.015 0.877096 0.78403 0.648098 1.45145 -179.066 20.6163 
0.15 1.015 0.878156 0.78564 0.650279 1.42678 -179.58 19.9986 
0.15 1.02 0.877854 0.784467 0.647848 1.35682 -179.321 19.3136 
0.15 1.02 0.879838 0.78714 0.650854 1.27697 -179.979 18.7037 
0.15 1.02 0.878196 0.784976 0.64847 1.34781 -179.444 19.188 
0.15 1.025 0.879846 0.787917 0.653089 1.34521 -180.075 19.1641 
0.15 1.025 0.8817 0.790572 0.656093 1.28557 -180.776 18.4647 
0.15 1.025 0.879326 0.787048 0.6518 1.34965 -180.008 19.0554 
0.15 1.03 0.88132 0.789351 0.653345 1.22585 -180.619 17.4809 
0.15 1.03 0.883326 0.792701 0.658293 1.20744 -181.411 17.235 
0.15 1.03 0.88079 0.789127 0.654223 1.29479 -180.393 18.4537 
0.15 1.035 0.881868 0.790409 0.654986 1.22876 -181.006 17.0042 
0.15 1.035 0.88155 0.790389 0.655873 1.281 -180.74 17.9627 
0.15 1.035 0.881714 0.790429 0.655603 1.25696 -180.805 17.8205 
0.15 1.04 0.885858 0.796988 0.664294 1.17727 -182.423 16.4937 
0.15 1.04 0.882872 0.792015 0.657555 1.2069 -181.222 17.0986 
0.15 1.04 0.88331 0.792775 0.658425 1.20565 -181.418 17.0171 
0.15 1.045 0.885966 0.796806 0.66369 1.1359 -182.429 16.1013 
0.15 1.045 0.885822 0.796536 0.663227 1.13451 -182.352 16.0739 
0.15 1.045 0.886298 0.797296 0.664006 1.12647 -182.544 15.8998 
0.15 1.05 0.886472 0.797514 0.664686 1.1125 -182.586 15.8863 
0.15 1.05 0.888926 0.801739 0.67091 1.09994 -183.644 15.5417 
0.15 1.05 0.88908 0.80158 0.669699 1.05873 -183.588 14.9748 
0.15 1.055 0.88738 0.798705 0.665406 1.06744 -182.875 14.9939 
0.15 1.055 0.887882 0.799269 0.666249 1.0365 -183.068 14.953 
0.15 1.055 0.887626 0.799805 0.668192 1.13032 -183.144 15.5708 
0.15 1.06 0.88935 0.801931 0.670164 1.03652 -183.724 14.6758 
0.15 1.06 0.888 0.800072 0.668191 1.08754 -183.303 15.0751 
0.15 1.06 0.888398 0.800613 0.668661 1.07185 -183.272 15.3981 
0.15 1.065 0.890284 0.803452 0.672276 1.01843 -184.059 14.3571 
0.15 1.065 0.889818 0.802542 0.670799 1.01086 -183.783 14.4621 
0.15 1.065 0.891578 0.805628 0.675485 1.00624 -184.598 14.0506 
0.15 1.07 0.891526 0.805699 0.675589 1.01687 -184.657 13.8889 
0.15 1.07 0.89061 0.803707 0.672148 0.983255 -184.214 13.716 
0.15 1.07 0.890528 0.804185 0.673851 1.04156 -184.243 14.3259 
0.15 1.075 0.89219 0.806551 0.676794 0.981217 -184.803 13.8529 
0.15 1.075 0.89241 0.807194 0.678244 1.00449 -185.013 13.852 
0.15 1.075 0.892238 0.806809 0.677362 0.997205 -184.927 13.8246 
0.15 1.08 0.892224 0.80626 0.675627 0.944142 -184.843 13.1059 
0.15 1.08 0.894136 0.809289 0.6797 0.908312 -185.492 12.7997 
0.15 1.08 0.893582 0.808997 0.680372 0.973012 -185.455 13.3279 
0.15 1.085 0.89387 0.80949 0.681211 0.96648 -185.53 13.3394 
0.15 1.085 0.893758 0.808743 0.679235 0.916051 -185.405 12.9484 
0.15 1.085 0.89421 0.80963 0.68073 0.923402 -185.475 13.1297 
0.15 1.09 0.894592 0.810216 0.681372 0.910168 -185.802 12.4485 
0.15 1.09 0.894918 0.810655 0.681789 0.896908 -185.827 12.4956 
0.15 1.09 0.896634 0.813711 0.68658 0.895265 -186.574 12.4563 
0.15 1.095 0.895526 0.811875 0.684067 0.90482 -186.249 12.2827 
0.15 1.095 0.8971 0.813947 0.686161 0.836397 -186.701 11.7808 
0.15 1.095 0.896844 0.813772 0.686166 0.862331 -186.685 11.9164 
0.15 1.1 0.895488 0.811631 0.683491 0.884746 -186.068 12.2087 
0.15 1.1 0.895234 0.811545 0.683581 0.918324 -186.094 12.3502 
0.15 1.1 0.895968 0.812458 0.684429 0.881758 -186.24 12.0775 
0.15 1.105 0.898518 0.816469 0.689822 0.826657 -187.228 11.4682 
0.15 1.105 0.897454 0.814909 0.687972 0.858356 -186.914 11.7551 
0.15 1.105 0.896976 0.814092 0.687073 0.86205 -186.741 11.9123 
0.15 1.11 0.897822 0.815362 0.6885 0.835821 -186.991 11.5057 
0.15 1.11 0.89934 0.817451 0.690896 0.77826 -187.57 10.9275 
