J2 temperature m m2 m4 ms e sp_h 
0.15 1 0.999776 0.999557 0.999131 0.000450982 -229.897 0.00941241 
0.15 1 0.99978 0.999565 0.999147 0.00045116 -229.9 0.00928576 
0.15 1 0.999792 0.999588 0.999193 0.000419674 -229.905 0.00874986 
0.15 1.005 0.99979 0.999584 0.999185 0.000421483 -229.904 0.00874507 
0.15 1.005 0.999792 0.999588 0.999194 0.000441466 -229.905 0.00916581 
0.15 1.005 0.999758 0.999521 0.999062 0.000491685 -229.889 0.0102233 
0.15 1.01 0.99979 0.999584 0.999185 0.000411475 -229.903 0.00862061 
0.15 1.01 0.999738 0.999481 0.998983 0.000519936 -229.88 0.0107653 
0.15 1.01 0.999776 0.999557 0.999131 0.000446517 -229.897 0.00935476 
0.15 1.015 0.999782 0.999569 0.999157 0.000472165 -229.901 0.00926561 
0.15 1.015 0.999748 0.999501 0.999023 0.000506059 -229.884 0.01055 
0.15 1.015 0.999712 0.99943 0.998883 0.000582961 -229.868 0.0119005 
0.15 1.02 0.999722 0.99945 0.998922 0.000561051 -229.873 0.0115139 
0.15 1.02 0.999724 0.999454 0.99893 0.000557238 -229.874 0.0111845 
0.15 1.02 0.999758 0.999521 0.999062 0.000492298 -229.89 0.009837 
0.15 1.025 0.999768 0.999541 0.999101 0.000478651 -229.895 0.00938495 
0.15 1.025 0.99976 0.999525 0.999069 0.000478283 -229.89 0.00987363 
0.15 1.025 0.999774 0.999553 0.999124 0.000451602 -229.896 0.00932283 
0.15 1.03 0.999798 0.9996 0.999217 0.000403805 -229.908 0.00804971 
0.15 1.03 0.999722 0.99945 0.998923 0.00056337 -229.873 0.0112056 
0.15 1.03 0.999734 0.999473 0.998967 0.000509635 -229.878 0.0104698 
0.15 1.035 0.99967 0.999347 0.99872 0.000650348 -229.849 0.0131747 
0.15 1.035 0.999694 0.999394 0.998814 0.000613175 -229.861 0.0120503 
0.15 1.035 0.999748 0.999501 0.999024 0.000519468 -229.886 0.0101136 
0.15 1.04 0.999736 0.999478 0.998977 0.00053176 -229.88 0.010458 
0.15 1.04 0.999712 0.99943 0.998882 0.000545871 -229.868 0.0111064 
0.15 1.04 0.999728 0.999462 0.998946 0.00053904 -229.875 0.0109674 
0.15 1.045 0.999702 0.99941 0.998846 0.00060777 -229.864 0.0118437 
0.15 1.045 0.999738 0.999481 0.998984 0.000510178 -229.88 0.010092 
0.15 1.045 0.999692 0.99939 0.998806 0.000603362 -229.859 0.0119791 
0.15 1.05 0.999616 0.99924 0.99851 0.000725004 -229.823 0.0146106 
0.15 1.05 0.999656 0.999319 0.998666 0.000659206 -229.842 0.0131667 
0.15 1.05 0.999704 0.999414 0.998853 0.000585941 -229.864 0.0116233 
0.15 1.055 0.999674 0.999355 0.99874 0.000691348 -229.853 0.0129245 
0.15 1.055 0.99963 0.999268 0.998566 0.000718777 -229.831 0.0141831 
0.15 1.055 0.999674 0.999355 0.998736 0.000623102 -229.851 0.0122639 
0.15 1.06 0.999584 0.999177 0.998387 0.000791221 -229.809 0.0155637 
0.15 1.06 0.999658 0.999323 0.998674 0.00065689 -229.843 0.0129974 
0.15 1.06 0.999628 0.999264 0.998558 0.000726568 -229.83 0.0141573 
