J2 temperature m m2 m4 ms e sp_h 
0.15 1 0.999966 0.999933 0.999868 6.78844e-05 -229.984 0.00143643 
0.15 1 0.99997 0.999941 0.999884 6.791e-05 -229.987 0.00130588 
0.15 1.005 0.999982 0.999964 0.99993 3.57887e-05 -229.992 0.00075352 
0.15 1.005 0.999984 0.999968 0.999938 3.18153e-05 -229.993 0.000669863 
0.15 1.01 0.999978 0.999957 0.999915 5.14372e-05 -229.99 0.000949098 
0.15 1.01 0.999972 0.999945 0.999891 5.53679e-05 -229.987 0.00115999 
0.15 1.015 0.999952 0.999905 0.999814 0.000102236 -229.978 0.00200416 
0.15 1.015 0.99998 0.99996 0.999922 3.93695e-05 -229.991 0.000820747 
0.15 1.02 0.999974 0.999949 0.999899 5.09141e-05 -229.988 0.00105622 
0.15 1.02 0.99997 0.999941 0.999884 6.65784e-05 -229.987 0.00125518 
0.15 1.025 0.999964 0.999929 0.999861 7.79223e-05 -229.984 0.00148387 
0.15 1.025 0.999962 0.999925 0.999853 8.18103e-05 -229.983 0.00168888 
0.15 1.03 0.999966 0.999933 0.999868 6.59072e-05 -229.984 0.00135398 
0.15 1.03 0.999942 0.999885 0.999775 0.000112295 -229.973 0.00230695 
0.15 1.035 0.999964 0.999929 0.99986 6.944e-05 -229.983 0.00141966 
0.15 1.035 0.999976 0.999952 0.999907 4.63212e-05 -229.989 0.00094701 
0.15 1.04 0.999954 0.999909 0.999821 8.82581e-05 -229.979 0.00179571 
0.15 1.04 0.999962 0.999925 0.999852 7.29381e-05 -229.983 0.00148401 
0.15 1.045 0.999966 0.999933 0.999868 6.49611e-05 -229.984 0.00131539 
0.15 1.045 0.99995 0.999901 0.999806 9.54545e-05 -229.977 0.00193284 
0.15 1.05 0.999956 0.999913 0.99983 9.12442e-05 -229.98 0.00171993 
0.15 1.05 0.99995 0.999901 0.999806 9.5e-05 -229.977 0.00191448 
0.15 1.055 0.99995 0.999901 0.999806 0.000102133 -229.977 0.00193075 
0.15 1.055 0.999954 0.999909 0.999821 8.70032e-05 -229.979 0.00174501 
0.15 1.06 0.999942 0.999885 0.999775 0.000109117 -229.973 0.00217821 
0.15 1.06 0.99997 0.999941 0.999884 5.65189e-05 -229.986 0.00112824 
0.15 1.065 0.999946 0.999893 0.99979 0.000101135 -229.975 0.0020094 
0.15 1.065 0.999956 0.999913 0.999829 8.24473e-05 -229.98 0.00163811 
0.15 1.07 0.99996 0.999921 0.999845 8.20935e-05 -229.982 0.00150899 
0.15 1.07 0.999944 0.999889 0.999783 0.00010438 -229.974 0.00206418 
0.15 1.075 0.999948 0.999897 0.999798 9.64927e-05 -229.976 0.00189933 
0.15 1.075 0.999934 0.999869 0.999744 0.000129827 -229.97 0.00244216 
0.15 1.08 0.999926 0.999854 0.999713 0.000143937 -229.966 0.00270786 
0.15 1.08 0.999934 0.999869 0.999744 0.000121819 -229.97 0.00238675 
0.15 1.085 0.99992 0.999842 0.999689 0.000146876 -229.963 0.00286441 
0.15 1.085 0.999942 0.999885 0.999775 0.000106602 -229.973 0.00207899 
0.15 1.09 0.999922 0.999846 0.999698 0.000149901 -229.964 0.00291 
0.15 1.09 0.99992 0.999842 0.999689 0.000146202 -229.963 0.00283819 
0.15 1.095 0.999924 0.99985 0.999705 0.000138285 -229.965 0.00267225 
0.15 1.095 0.999922 0.999846 0.999698 0.000149216 -229.965 0.0027743 
0.15 1.1 0.999902 0.999806 0.99962 0.000177309 -229.955 0.00341078 
0.15 1.1 0.999938 0.999877 0.999759 0.000112378 -229.971 0.00216174 
0.15 1.105 0.999902 0.999806 0.99962 0.000183746 -229.955 0.00341146 
0.15 1.105 0.999918 0.999838 0.999682 0.000147808 -229.962 0.00283042 
0.15 1.11 0.999924 0.99985 0.999705 0.000136417 -229.965 0.00260052 
0.15 1.11 0.999928 0.999857 0.999721 0.000129263 -229.967 0.00246414 
0.15 1.115 0.999904 0.99981 0.999628 0.000178546 -229.956 0.00328311 
0.15 1.115 0.999904 0.99981 0.999628 0.000178546 -229.956 0.00337094 
0.15 1.12 0.999894 0.99979 0.999589 0.000195425 -229.952 0.00358786 
0.15 1.12 0.999912 0.999826 0.999658 0.000156451 -229.96 0.00295581 
0.15 1.125 0.999904 0.99981 0.999628 0.00018407 -229.957 0.00325537 
0.15 1.125 0.999924 0.99985 0.999705 0.000134598 -229.965 0.00253163 
0.15 1.13 0.999896 0.999794 0.999597 0.000190193 -229.953 0.00345904 
0.15 1.13 0.999884 0.99977 0.99955 0.000211199 -229.947 0.00385242 
0.15 1.135 0.999906 0.999814 0.999636 0.000186006 -229.958 0.00315721 
0.15 1.135 0.999884 0.99977 0.99955 0.00020322 -229.947 0.00378866 
0.15 1.14 0.999868 0.999739 0.99949 0.000272156 -229.941 0.00454284 
0.15 1.14 0.99988 0.999762 0.999534 0.000209263 -229.945 0.00388422 
0.15 1.145 0.999868 0.999739 0.99949 0.00026398 -229.94 0.00449146 
0.15 1.145 0.999838 0.999679 0.999373 0.000301638 -229.927 0.00527551 
0.15 1.15 0.999882 0.999767 0.999543 0.00021792 -229.947 0.00381196 
0.15 1.15 0.999898 0.999798 0.999604 0.000176487 -229.953 0.00324735 
0.15 1.155 0.999858 0.999719 0.99945 0.000257994 -229.935 0.00453063 
0.15 1.155 0.99987 0.999743 0.999495 0.000223645 -229.94 0.00409725 
0.15 1.16 0.999856 0.999715 0.999443 0.000274074 -229.935 0.00475058 
0.15 1.16 0.999872 0.999747 0.999506 0.000260657 -229.943 0.00403529 
0.15 1.165 0.99984 0.999683 0.999379 0.000272481 -229.926 0.00494909 
0.15 1.165 0.999848 0.999699 0.99941 0.000258961 -229.93 0.00470353 
0.15 1.17 0.999878 0.999758 0.999526 0.000207275 -229.944 0.00374866 
0.15 1.17 0.999876 0.999754 0.999519 0.000210652 -229.943 0.00380973 
0.15 1.175 0.999858 0.999719 0.999449 0.000246795 -229.935 0.00434975 
0.15 1.175 0.999858 0.999719 0.999449 0.000239986 -229.935 0.00432179 
0.15 1.18 0.999864 0.999731 0.999474 0.00025606 -229.939 0.0043101 
0.15 1.18 0.999842 0.999687 0.999389 0.0002928 -229.928 0.00506292 
0.15 1.185 0.999826 0.999656 0.999326 0.000311369 -229.921 0.00537402 
0.15 1.185 0.999834 0.999672 0.999357 0.000304848 -229.925 0.00507152 
0.15 1.19 0.999836 0.999676 0.999365 0.000293538 -229.926 0.00494287 
0.15 1.19 0.999862 0.999727 0.999465 0.000237055 -229.937 0.0042152 
0.15 1.195 0.999836 0.999676 0.999367 0.000325783 -229.927 0.00490822 
0.15 1.195 0.99984 0.999683 0.99938 0.000279029 -229.927 0.00475787 
0.15 1.2 0.99983 0.999664 0.999341 0.000294258 -229.922 0.00509808 
0.15 1.2 0.99978 0.999565 0.999149 0.000402633 -229.9 0.00673755 
0.15 1.205 0.999808 0.999621 0.999259 0.000382003 -229.914 0.00593076 
0.15 1.205 0.999808 0.99962 0.999255 0.000322252 -229.912 0.00556893 
0.15 1.21 0.99981 0.999624 0.999266 0.000357347 -229.915 0.00570902 
0.15 1.21 0.999794 0.999593 0.999203 0.000370047 -229.907 0.00611484 
0.15 1.215 0.999786 0.999576 0.99917 0.000361663 -229.902 0.0061219 
0.15 1.215 0.99981 0.999625 0.999267 0.000382214 -229.916 0.00564772 
0.15 1.22 0.999798 0.999601 0.999219 0.000367147 -229.908 0.00601206 
0.15 1.22 0.999784 0.999572 0.999162 0.000350274 -229.901 0.00607525 
0.15 1.225 0.999786 0.999577 0.999171 0.000365241 -229.902 0.00613517 
0.15 1.225 0.999782 0.999569 0.999156 0.000384692 -229.901 0.00629215 
0.15 1.23 0.999772 0.999549 0.999116 0.000386018 -229.896 0.00638225 
0.15 1.23 0.999772 0.999549 0.999116 0.000386018 -229.896 0.00655459 
0.15 1.235 0.999756 0.999517 0.999053 0.000396799 -229.888 0.00671316 
0.15 1.235 0.999814 0.999632 0.99928 0.000330802 -229.916 0.00523995 
0.15 1.24 0.999724 0.999454 0.99893 0.000458373 -229.874 0.0075679 
0.15 1.24 0.999792 0.999588 0.999194 0.000344898 -229.905 0.00580069 
0.15 1.245 0.999752 0.999509 0.999038 0.000399879 -229.886 0.00671228 
0.15 1.245 0.999738 0.999481 0.998984 0.000434647 -229.88 0.00730323 
0.15 1.25 0.99972 0.999446 0.998915 0.000467328 -229.872 0.00774431 
0.15 1.25 0.9997 0.999407 0.99884 0.0005368 -229.865 0.0084851 
0.15 1.255 0.999684 0.999375 0.998778 0.000565749 -229.858 0.0085132 
0.15 1.255 0.999748 0.999502 0.999025 0.000434781 -229.886 0.00691706 
0.15 1.26 0.999718 0.999442 0.998908 0.000479403 -229.873 0.00755897 
0.15 1.26 0.999732 0.99947 0.998964 0.000476839 -229.88 0.0074201 
0.15 1.265 0.999738 0.999482 0.998986 0.000446748 -229.881 0.00699392 
0.15 1.265 0.999736 0.999478 0.998978 0.000443502 -229.881 0.00701165 
0.15 1.27 0.999678 0.999363 0.998752 0.000530419 -229.853 0.00851507 
0.15 1.27 0.99966 0.999328 0.998685 0.000589323 -229.846 0.00909783 
0.15 1.275 0.999694 0.999395 0.998815 0.000516578 -229.862 0.00809304 
0.15 1.275 0.999682 0.999371 0.99877 0.000547363 -229.856 0.00855884 
0.15 1.28 0.999654 0.999316 0.998662 0.000606272 -229.844 0.00927273 
0.15 1.28 0.999694 0.999394 0.998814 0.00048956 -229.86 0.00793425 
0.15 1.285 0.999654 0.999317 0.998667 0.00066617 -229.846 0.00906028 
0.15 1.285 0.999688 0.999382 0.99879 0.000496705 -229.858 0.00794291 
