J2 temperature m m2 m4 ms e sp_h 
0.15 1 0.9998 0.999604 0.999224 0.000396 -229.908 0.00837936 
0.15 1 0.999814 0.999632 0.999278 0.00036854 -229.914 0.00779831 
0.15 1.005 0.999772 0.999549 0.999116 0.000464479 -229.895 0.0097581 
0.15 1.005 0.999786 0.999577 0.999171 0.000445194 -229.902 0.00924433 
0.15 1.01 0.999802 0.999608 0.999232 0.000396118 -229.909 0.00817097 
0.15 1.01 0.999788 0.99958 0.999178 0.000423273 -229.903 0.00873992 
0.15 1.015 0.99977 0.999545 0.999107 0.00044799 -229.894 0.00933938 
0.15 1.015 0.999744 0.999493 0.999007 0.00051374 -229.883 0.0104572 
0.15 1.02 0.999758 0.999521 0.999061 0.000476611 -229.889 0.00988735 
0.15 1.02 0.999722 0.99945 0.998922 0.000553207 -229.872 0.0114763 
0.15 1.025 0.999756 0.999517 0.999054 0.000485899 -229.888 0.00990683 
0.15 1.025 0.999712 0.99943 0.998883 0.000577274 -229.869 0.0115456 
0.15 1.03 0.99973 0.999466 0.998953 0.000532728 -229.877 0.0106987 
0.15 1.03 0.999746 0.999497 0.999015 0.000494707 -229.883 0.0101631 
0.15 1.035 0.999676 0.999359 0.998745 0.000654592 -229.852 0.0131199 
0.15 1.035 0.999708 0.999422 0.998867 0.000563743 -229.866 0.0114039 
0.15 1.04 0.999708 0.999422 0.998869 0.000591802 -229.867 0.0116799 
0.15 1.04 0.999704 0.999414 0.998853 0.000591575 -229.865 0.0115476 
0.15 1.045 0.999694 0.999394 0.998814 0.000607308 -229.861 0.0118208 
0.15 1.045 0.9997 0.999406 0.998838 0.000603828 -229.864 0.0117502 
0.15 1.05 0.999682 0.99937 0.998766 0.000596083 -229.854 0.0120125 
0.15 1.05 0.999684 0.999375 0.998775 0.000615252 -229.855 0.0122808 
0.15 1.055 0.999722 0.99945 0.998922 0.000534855 -229.873 0.0104936 
0.15 1.055 0.99967 0.999347 0.99872 0.000630436 -229.849 0.012411 
0.15 1.06 0.99959 0.999189 0.998414 0.000840745 -229.815 0.0157751 
0.15 1.06 0.999622 0.999252 0.998535 0.000729917 -229.827 0.0142242 
0.15 1.065 0.999642 0.999292 0.998613 0.000697825 -229.837 0.0135212 
0.15 1.065 0.99962 0.999248 0.998525 0.000700056 -229.825 0.0139091 
0.15 1.07 0.99966 0.999327 0.998683 0.000662093 -229.845 0.0126393 
0.15 1.07 0.999668 0.999343 0.998713 0.000632689 -229.848 0.0122848 
0.15 1.075 0.999592 0.999193 0.998419 0.000788236 -229.815 0.014842 
0.15 1.075 0.999592 0.999192 0.998416 0.000743585 -229.812 0.0146365 
0.15 1.08 0.99955 0.99911 0.998259 0.000903472 -229.796 0.0164314 
0.15 1.08 0.999632 0.999272 0.998574 0.000705979 -229.832 0.0136093 
0.15 1.085 0.999584 0.999177 0.998387 0.00077299 -229.809 0.0149467 
0.15 1.085 0.999544 0.999098 0.998232 0.000858255 -229.791 0.0164079 
0.15 1.09 0.999556 0.999122 0.998281 0.000869988 -229.799 0.0159912 
0.15 1.09 0.99956 0.999129 0.998295 0.000840954 -229.798 0.0160219 
0.15 1.095 0.999504 0.999019 0.998078 0.000941916 -229.774 0.0175543 
0.15 1.095 0.999562 0.999133 0.998302 0.000811704 -229.799 0.0154694 
0.15 1.1 0.999566 0.999141 0.998316 0.000786513 -229.8 0.0151297 
0.15 1.1 0.999562 0.999133 0.998301 0.000800741 -229.799 0.0151892 
0.15 1.105 0.999436 0.998884 0.997817 0.00108615 -229.743 0.0200411 
0.15 1.105 0.999456 0.998924 0.997893 0.00102299 -229.753 0.0188489 
0.15 1.11 0.999458 0.998927 0.9979 0.00100777 -229.753 0.01854 
0.15 1.11 0.999466 0.998943 0.997931 0.00099413 -229.756 0.0185316 
0.15 1.115 0.99943 0.998872 0.997791 0.00105068 -229.739 0.0196278 
0.15 1.115 0.999446 0.998904 0.997854 0.00103794 -229.748 0.0190743 
0.15 1.12 0.999414 0.998841 0.997731 0.00110863 -229.733 0.0202105 
0.15 1.12 0.999404 0.998821 0.997691 0.00109686 -229.727 0.0203113 
0.15 1.125 0.999434 0.99888 0.997807 0.00104175 -229.742 0.019084 
0.15 1.125 0.99939 0.998793 0.997638 0.0011367 -229.722 0.0205992 
0.15 1.13 0.999384 0.998781 0.997612 0.00109916 -229.718 0.0201786 
0.15 1.13 0.99937 0.998754 0.997561 0.00117196 -229.713 0.0210311 
0.15 1.135 0.999346 0.998706 0.997466 0.00118522 -229.702 0.0213964 
0.15 1.135 0.999392 0.998797 0.997644 0.00110223 -229.722 0.0199914 
0.15 1.14 0.999348 0.99871 0.997476 0.00121183 -229.703 0.0216367 
0.15 1.14 0.99938 0.998773 0.997599 0.00114523 -229.717 0.0205675 
0.15 1.145 0.999298 0.998612 0.997286 0.00134386 -229.681 0.0236153 
0.15 1.145 0.999366 0.998746 0.997546 0.00117712 -229.712 0.0206653 
0.15 1.15 0.99926 0.998536 0.997133 0.00132282 -229.662 0.0238057 
0.15 1.15 0.999274 0.998564 0.997188 0.00131417 -229.669 0.0235814 
0.15 1.155 0.99926 0.998536 0.997132 0.00130324 -229.662 0.0233942 
0.15 1.155 0.999322 0.998658 0.997373 0.00120349 -229.691 0.021373 
0.15 1.16 0.99923 0.998476 0.997017 0.00136613 -229.649 0.0242522 
0.15 1.16 0.999258 0.998532 0.997128 0.00135599 -229.663 0.0236787 
0.15 1.165 0.999196 0.998409 0.996886 0.00142091 -229.634 0.0249576 
0.15 1.165 0.999188 0.998394 0.996857 0.00147473 -229.631 0.0255977 
0.15 1.17 0.999196 0.99841 0.996888 0.00145586 -229.636 0.0248237 
0.15 1.17 0.999244 0.998504 0.99707 0.00131183 -229.655 0.0230684 
0.15 1.175 0.999088 0.998196 0.996468 0.0015973 -229.584 0.0278389 
0.15 1.175 0.999204 0.998425 0.996917 0.00139629 -229.637 0.0243948 
0.15 1.18 0.999088 0.998197 0.996475 0.00169223 -229.589 0.0280149 
0.15 1.18 0.999152 0.998322 0.996713 0.00144414 -229.611 0.0256055 
0.15 1.185 0.999114 0.998248 0.996573 0.00160464 -229.597 0.0273941 
0.15 1.185 0.99914 0.998298 0.996668 0.00147683 -229.608 0.025437 
0.15 1.19 0.999058 0.998136 0.99635 0.00159602 -229.57 0.0275528 
0.15 1.19 0.999046 0.998113 0.996305 0.00164789 -229.565 0.0282891 
0.15 1.195 0.999092 0.998205 0.996492 0.00168498 -229.591 0.027844 
0.15 1.195 0.999038 0.998097 0.996276 0.00167318 -229.562 0.0285774 
0.15 1.2 0.999016 0.998054 0.996193 0.00174598 -229.554 0.0293038 
0.15 1.2 0.999 0.998022 0.996129 0.00173 -229.544 0.0295835 
0.15 1.205 0.999 0.998022 0.996129 0.00172946 -229.545 0.0291112 
0.15 1.205 0.998978 0.997979 0.996049 0.00183531 -229.537 0.0305106 
0.15 1.21 0.998918 0.99786 0.995814 0.00189002 -229.507 0.0319947 
0.15 1.21 0.999034 0.998089 0.996261 0.00167164 -229.56 0.0282738 
0.15 1.215 0.998938 0.997899 0.99589 0.00182651 -229.518 0.0302939 
0.15 1.215 0.998864 0.997753 0.995606 0.00198103 -229.484 0.0330736 
0.15 1.22 0.998916 0.997857 0.995809 0.0019168 -229.51 0.0310576 
0.15 1.22 0.998804 0.997637 0.995386 0.00224997 -229.463 0.0349171 
0.15 1.225 0.998868 0.997761 0.99562 0.00193948 -229.484 0.0324008 
0.15 1.225 0.998716 0.997461 0.995036 0.00224256 -229.417 0.0367549 
0.15 1.23 0.998802 0.997631 0.99537 0.00211096 -229.46 0.0337859 
0.15 1.23 0.998804 0.997635 0.995375 0.00208208 -229.458 0.0337372 
