J2 temperature m m2 m4 ms e sp_h 
0.2 1.5 0.996392 0.992879 0.986128 0.00549482 -238.312 0.0767877 
0.2 1.5 0.996252 0.9926 0.985574 0.0054795 -238.24 0.0779841 
0.2 1.5 0.996342 0.992783 0.985949 0.00570794 -238.292 0.078329 
0.2 1.505 0.996248 0.992594 0.985566 0.00555498 -238.244 0.0776159 
0.2 1.505 0.996152 0.992405 0.985202 0.00573508 -238.202 0.0793619 
0.2 1.505 0.996162 0.992428 0.985257 0.00591294 -238.207 0.082397 
0.2 1.51 0.996372 0.992839 0.986045 0.00540646 -238.295 0.0762254 
0.2 1.51 0.996092 0.992286 0.984969 0.00576474 -238.162 0.081463 
0.2 1.51 0.996084 0.992271 0.984939 0.00578708 -238.166 0.0801488 
0.2 1.515 0.995892 0.991891 0.984198 0.00596728 -238.076 0.082799 
0.2 1.515 0.996156 0.992416 0.985231 0.00586295 -238.199 0.080336 
0.2 1.515 0.996212 0.992519 0.985407 0.00532086 -238.221 0.0746789 
0.2 1.52 0.99585 0.991811 0.984052 0.00617484 -238.054 0.0861953 
0.2 1.52 0.995966 0.992039 0.984489 0.00593729 -238.111 0.0817646 
0.2 1.52 0.996046 0.992198 0.984804 0.00591618 -238.146 0.081984 
0.2 1.525 0.995812 0.991737 0.983908 0.00624135 -238.041 0.0842184 
0.2 1.525 0.995852 0.991818 0.984079 0.00637863 -238.062 0.0866859 
0.2 1.525 0.995728 0.991572 0.98359 0.00638361 -238.005 0.0869141 
0.2 1.53 0.995696 0.99151 0.983476 0.00649644 -237.996 0.0872115 
0.2 1.53 0.99593 0.991972 0.984375 0.00623497 -238.096 0.0841461 
0.2 1.53 0.995772 0.991659 0.983763 0.00635059 -238.029 0.0859291 
0.2 1.535 0.995652 0.991425 0.983316 0.0066381 -237.976 0.0883879 
0.2 1.535 0.995556 0.991232 0.982929 0.00654142 -237.918 0.0900027 
0.2 1.535 0.995652 0.991422 0.983299 0.00643485 -237.969 0.0875654 
0.2 1.54 0.995578 0.991278 0.983027 0.00664454 -237.938 0.088891 
0.2 1.54 0.995472 0.991071 0.982632 0.0069232 -237.894 0.0910559 
0.2 1.54 0.995562 0.991246 0.982965 0.00666131 -237.933 0.088628 
0.2 1.545 0.995582 0.991284 0.983032 0.00650105 -237.943 0.0863475 
0.2 1.545 0.99544 0.991003 0.982482 0.00661789 -237.868 0.0892328 
0.2 1.545 0.99564 0.991399 0.983256 0.00644857 -237.968 0.0865623 
0.2 1.55 0.995406 0.990938 0.982365 0.00679582 -237.853 0.0914718 
0.2 1.55 0.995448 0.991021 0.982525 0.00672512 -237.878 0.0891329 
0.2 1.55 0.99535 0.990827 0.982146 0.00680887 -237.84 0.0894231 
0.2 1.555 0.995396 0.990919 0.982328 0.0067912 -237.852 0.0907925 
0.2 1.555 0.99522 0.990571 0.981648 0.00695766 -237.776 0.091508 
0.2 1.555 0.995258 0.990648 0.981806 0.00704009 -237.793 0.0936176 
0.2 1.56 0.995182 0.990496 0.9815 0.00694531 -237.747 0.093311 
0.2 1.56 0.995122 0.990381 0.981292 0.00727212 -237.727 0.0959251 
0.2 1.56 0.99512 0.990378 0.981289 0.00732985 -237.732 0.095754 
0.2 1.565 0.995294 0.990718 0.98194 0.0069146 -237.814 0.0896637 
0.2 1.565 0.99513 0.990396 0.981319 0.00719764 -237.728 0.0949829 
0.2 1.565 0.995184 0.990501 0.981515 0.00700359 -237.759 0.0920664 
0.2 1.57 0.995184 0.990506 0.981545 0.00733288 -237.756 0.0953319 
0.2 1.57 0.994922 0.989988 0.980531 0.007527 -237.643 0.0971596 
0.2 1.57 0.994982 0.990104 0.980751 0.00734138 -237.663 0.0959782 
0.2 1.575 0.994912 0.989968 0.980493 0.00751443 -237.632 0.0979307 
0.2 1.575 0.994652 0.989453 0.979481 0.00763676 -237.507 0.0999707 
0.2 1.575 0.99485 0.989846 0.980255 0.00758333 -237.604 0.098072 
0.2 1.58 0.994758 0.989664 0.979896 0.00760009 -237.561 0.0979764 
0.2 1.58 0.994766 0.989682 0.979941 0.0077421 -237.567 0.0997217 
0.2 1.58 0.994612 0.989382 0.979374 0.00818794 -237.494 0.10564 
0.2 1.585 0.994684 0.989522 0.979637 0.00792304 -237.533 0.101434 
0.2 1.585 0.994608 0.989374 0.979355 0.00814425 -237.488 0.103702 
0.2 1.585 0.99442 0.988999 0.978612 0.00807468 -237.397 0.105268 
0.2 1.59 0.994532 0.989219 0.979037 0.0078705 -237.452 0.102456 
0.2 1.59 0.994404 0.988971 0.97857 0.00828961 -237.398 0.105875 
0.2 1.59 0.99465 0.989458 0.979521 0.00811431 -237.525 0.101239 
0.2 1.595 0.994556 0.989268 0.979138 0.00793247 -237.467 0.101251 
0.2 1.595 0.994524 0.989204 0.979009 0.0078905 -237.456 0.100719 
0.2 1.595 0.99429 0.988749 0.978149 0.00857153 -237.359 0.106104 
0.2 1.6 0.994212 0.988593 0.977839 0.00848619 -237.316 0.107064 
0.2 1.6 0.994414 0.988991 0.978611 0.00825229 -237.408 0.104569 
0.2 1.6 0.994238 0.988647 0.97795 0.00858746 -237.326 0.108831 
0.2 1.605 0.994026 0.988225 0.977116 0.00854525 -237.227 0.108335 
0.2 1.605 0.99427 0.988704 0.978043 0.00819483 -237.328 0.105904 
0.2 1.605 0.994188 0.988544 0.977738 0.00839256 -237.303 0.106097 
0.2 1.61 0.994104 0.988387 0.97746 0.00894641 -237.272 0.110979 
0.2 1.61 0.994234 0.988638 0.977929 0.00848157 -237.33 0.104906 
0.2 1.61 0.993984 0.988147 0.976981 0.00884272 -237.209 0.111163 
0.2 1.615 0.994134 0.988437 0.977525 0.0083288 -237.273 0.105201 
0.2 1.615 0.993888 0.987954 0.976595 0.00871353 -237.167 0.109304 
0.2 1.615 0.994174 0.988517 0.977688 0.00838748 -237.294 0.105722 
0.2 1.62 0.993612 0.987415 0.975567 0.00928848 -237.044 0.114986 
0.2 1.62 0.994104 0.98838 0.977421 0.00845662 -237.262 0.106241 
0.2 1.62 0.993806 0.987793 0.976285 0.00881941 -237.123 0.110154 
0.2 1.625 0.99372 0.987631 0.975997 0.00933425 -237.097 0.114938 
0.2 1.625 0.993842 0.987866 0.976431 0.00885902 -237.142 0.109814 
0.2 1.625 0.99359 0.98737 0.975474 0.00919089 -237.03 0.114063 
0.2 1.63 0.993622 0.98743 0.975578 0.00893258 -237.03 0.112041 
0.2 1.63 0.993772 0.987729 0.976171 0.00899706 -237.108 0.109794 
0.2 1.63 0.99373 0.987647 0.976013 0.00905074 -237.09 0.112798 
0.2 1.635 0.993464 0.987129 0.97503 0.00968322 -236.979 0.11754 
0.2 1.635 0.993364 0.986929 0.974633 0.00962223 -236.935 0.117597 
0.2 1.635 0.993396 0.986992 0.974755 0.00958454 -236.939 0.118299 
0.2 1.64 0.99318 0.986565 0.97392 0.00968583 -236.834 0.118643 
