J2 temperature m m2 m4 ms e sp_h 
0.2 1 0.999856 0.999715 0.999442 0.000293926 -239.931 0.00663502 
0.2 1 0.999858 0.999719 0.999449 0.000289984 -239.932 0.00654417 
0.2 1.005 0.999862 0.999727 0.999464 0.000272732 -239.934 0.00625248 
0.2 1.005 0.999882 0.999766 0.999542 0.00023344 -239.943 0.00535171 
0.2 1.01 0.999844 0.999691 0.999396 0.000330264 -239.926 0.00739963 
0.2 1.01 0.99983 0.999663 0.999341 0.000341693 -239.919 0.00766041 
0.2 1.015 0.999826 0.999656 0.999325 0.000347756 -239.917 0.00786482 
0.2 1.015 0.99986 0.999723 0.999458 0.000297576 -239.934 0.00648875 
0.2 1.02 0.999834 0.999672 0.999358 0.000362004 -239.922 0.00750231 
0.2 1.02 0.999804 0.999612 0.99924 0.000388391 -239.906 0.00864152 
0.2 1.025 0.999822 0.999648 0.99931 0.000352031 -239.915 0.00778265 
0.2 1.025 0.999812 0.999628 0.999271 0.000371186 -239.91 0.00834354 
0.2 1.03 0.999802 0.999608 0.999232 0.000388427 -239.905 0.00855971 
0.2 1.03 0.99983 0.999663 0.999341 0.000335058 -239.918 0.0074949 
0.2 1.035 0.999796 0.999596 0.999209 0.000405641 -239.903 0.00877448 
0.2 1.035 0.999814 0.999632 0.999279 0.000371537 -239.912 0.00801515 
0.2 1.04 0.999768 0.999541 0.9991 0.000456363 -239.889 0.0098574 
0.2 1.04 0.999788 0.99958 0.999178 0.000418755 -239.899 0.0090241 
0.2 1.045 0.999808 0.99962 0.999256 0.000379247 -239.909 0.00811093 
0.2 1.045 0.999766 0.999537 0.999092 0.000450263 -239.888 0.00980214 
0.2 1.05 0.999804 0.999612 0.999242 0.00040777 -239.907 0.00867223 
0.2 1.05 0.999792 0.999588 0.999194 0.000422546 -239.901 0.00888394 
0.2 1.055 0.999792 0.999588 0.999194 0.000405378 -239.901 0.00873008 
0.2 1.055 0.99979 0.999584 0.999186 0.000416673 -239.9 0.00873094 
0.2 1.06 0.999776 0.999557 0.999131 0.000425455 -239.892 0.00924763 
0.2 1.06 0.99975 0.999505 0.999031 0.000480896 -239.88 0.0103045 
0.2 1.065 0.99974 0.999486 0.998994 0.000534498 -239.877 0.010528 
0.2 1.065 0.99979 0.999584 0.999186 0.000412761 -239.9 0.00868836 
0.2 1.07 0.999748 0.999501 0.999023 0.000487523 -239.879 0.0104977 
0.2 1.07 0.999772 0.999549 0.999115 0.00042131 -239.891 0.00907194 
0.2 1.075 0.999742 0.99949 0.999001 0.000511017 -239.877 0.010716 
0.2 1.075 0.999696 0.999398 0.998821 0.000571868 -239.855 0.0120205 
0.2 1.08 0.999744 0.999493 0.999008 0.000490228 -239.878 0.0101068 
0.2 1.08 0.999726 0.999458 0.998937 0.000507863 -239.869 0.0108088 
0.2 1.085 0.999736 0.999478 0.998977 0.000502332 -239.874 0.010551 
0.2 1.085 0.999688 0.999383 0.998791 0.000595636 -239.851 0.0125325 
0.2 1.09 0.999706 0.999418 0.99886 0.000546199 -239.86 0.0113156 
0.2 1.09 0.99967 0.999347 0.998721 0.000624872 -239.842 0.0129788 
0.2 1.095 0.999648 0.999303 0.998635 0.000646219 -239.832 0.0133699 
0.2 1.095 0.999688 0.999383 0.998791 0.000590197 -239.851 0.0120771 
0.2 1.1 0.999666 0.999339 0.998705 0.000626222 -239.84 0.0128277 
0.2 1.1 0.99966 0.999327 0.998682 0.000629491 -239.837 0.0130723 
0.2 1.105 0.999676 0.999359 0.998743 0.000584165 -239.844 0.0121802 
0.2 1.105 0.999654 0.999315 0.998659 0.00064437 -239.835 0.0130763 
0.2 1.11 0.99962 0.999249 0.99853 0.000758162 -239.82 0.0146755 
0.2 1.11 0.999672 0.999351 0.998728 0.000595713 -239.843 0.0123651 
0.2 1.115 0.99957 0.999149 0.998333 0.000783417 -239.795 0.0158363 
0.2 1.115 0.999602 0.999212 0.998458 0.000742744 -239.811 0.0147862 
0.2 1.12 0.999622 0.999252 0.998534 0.000676528 -239.819 0.0139172 
0.2 1.12 0.999626 0.99926 0.99855 0.00068394 -239.821 0.0139611 
0.2 1.125 0.999594 0.999197 0.998426 0.000742681 -239.806 0.0148641 
0.2 1.125 0.999616 0.99924 0.998512 0.000712226 -239.817 0.0142637 
0.2 1.13 0.999584 0.999177 0.998387 0.000742207 -239.801 0.0149201 
0.2 1.13 0.999548 0.999106 0.99825 0.000852716 -239.785 0.0167338 
0.2 1.135 0.999556 0.999121 0.998279 0.000800252 -239.788 0.0160338 
0.2 1.135 0.999568 0.999145 0.998326 0.000787082 -239.794 0.0157433 
0.2 1.14 0.999512 0.999034 0.99811 0.000898408 -239.769 0.0172989 
0.2 1.14 0.999516 0.999043 0.998129 0.00095489 -239.772 0.0174114 
0.2 1.145 0.999542 0.999094 0.998225 0.000823601 -239.782 0.0160546 
0.2 1.145 0.999502 0.999015 0.998071 0.000911091 -239.763 0.0177931 
0.2 1.15 0.999518 0.999046 0.99813 0.000838928 -239.77 0.01658 
0.2 1.15 0.999526 0.999062 0.998164 0.000867419 -239.775 0.0165435 
0.2 1.155 0.99948 0.998971 0.997985 0.000932433 -239.752 0.0181714 
0.2 1.155 0.999464 0.99894 0.997925 0.000993308 -239.746 0.0189441 
0.2 1.16 0.999502 0.999015 0.998071 0.00089931 -239.763 0.0174588 
0.2 1.16 0.99944 0.998892 0.997829 0.000972966 -239.732 0.0190231 
0.2 1.165 0.999488 0.998986 0.998014 0.000877069 -239.755 0.0172457 
0.2 1.165 0.999432 0.998877 0.997803 0.00105729 -239.731 0.0200549 
0.2 1.17 0.999494 0.998999 0.998038 0.000877262 -239.759 0.0168789 
