J2 temperature m m2 m4 ms e sp_h 
0.2 1 0.999858 0.999719 0.999449 0.000289984 -239.932 0.00654417 
0.2 1 0.999868 0.999739 0.999488 0.000270258 -239.937 0.00622674 
0.2 1.005 0.999858 0.999719 0.999449 0.000280581 -239.932 0.00643242 
0.2 1.005 0.999868 0.999739 0.999488 0.000268913 -239.937 0.0060292 
0.2 1.01 0.999842 0.999687 0.999387 0.0003104 -239.924 0.0070808 
0.2 1.01 0.999876 0.999754 0.999519 0.000244022 -239.94 0.0055666 
0.2 1.015 0.999814 0.999632 0.999279 0.000386739 -239.912 0.00838017 
0.2 1.015 0.99982 0.999644 0.999303 0.000375133 -239.914 0.00830789 
0.2 1.02 0.999846 0.999695 0.999403 0.000315322 -239.926 0.00699088 
0.2 1.02 0.999838 0.999679 0.999372 0.00033076 -239.923 0.00720797 
0.2 1.025 0.99984 0.999683 0.999379 0.000309698 -239.923 0.0069614 
0.2 1.025 0.999816 0.999636 0.999287 0.000371331 -239.912 0.0082165 
0.2 1.03 0.999822 0.999648 0.99931 0.000350322 -239.915 0.00770727 
0.2 1.03 0.999842 0.999687 0.999387 0.000304372 -239.924 0.00680849 
0.2 1.035 0.999814 0.999632 0.999278 0.000363807 -239.911 0.00797088 
0.2 1.035 0.99982 0.999644 0.999301 0.000344696 -239.914 0.00767322 
0.2 1.04 0.99983 0.999663 0.99934 0.000324144 -239.918 0.00718104 
0.2 1.04 0.999818 0.99964 0.999294 0.000346815 -239.913 0.00768329 
0.2 1.045 0.999816 0.999636 0.999287 0.000364224 -239.912 0.00777964 
0.2 1.045 0.999788 0.99958 0.999177 0.000401441 -239.898 0.0088509 
0.2 1.05 0.999762 0.999529 0.999077 0.000455558 -239.886 0.00996912 
0.2 1.05 0.999794 0.999592 0.999201 0.000403578 -239.902 0.00860746 
0.2 1.055 0.999742 0.999489 0.998999 0.000490373 -239.877 0.0105865 
0.2 1.055 0.99974 0.999485 0.998992 0.000509232 -239.876 0.0108756 
0.2 1.06 0.99972 0.999446 0.998915 0.000543547 -239.866 0.0114344 
0.2 1.06 0.999778 0.999561 0.999139 0.000429313 -239.894 0.00920977 
0.2 1.065 0.999764 0.999533 0.999085 0.000452986 -239.887 0.00965294 
0.2 1.065 0.99973 0.999466 0.998953 0.000515221 -239.871 0.0109054 
0.2 1.07 0.999764 0.999533 0.999085 0.000458346 -239.888 0.00963064 
0.2 1.07 0.999718 0.999442 0.998906 0.000527147 -239.865 0.0113509 
0.2 1.075 0.999718 0.999442 0.998906 0.000524695 -239.865 0.0111274 
