J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1 0.999848 0.999699 0.99941 0.00030969 -234.929 0.00670721 
0.1 0.075 1 0.99983 0.999663 0.999341 0.00034511 -234.921 0.00748972 
0.1 0.075 1.005 0.999812 0.999628 0.999272 0.000394493 -234.912 0.00840626 
0.1 0.075 1.005 0.999808 0.99962 0.999256 0.000394342 -234.91 0.00852066 
0.1 0.075 1.01 0.99981 0.999624 0.999262 0.000372663 -234.911 0.00815063 
0.1 0.075 1.01 0.999828 0.999659 0.999332 0.000337665 -234.919 0.00738517 
0.1 0.075 1.015 0.999796 0.999596 0.999209 0.000413634 -234.905 0.00874271 
0.1 0.075 1.015 0.999792 0.999588 0.999194 0.000421353 -234.903 0.00904044 
0.1 0.075 1.02 0.999786 0.999576 0.99917 0.000430804 -234.9 0.00907305 
0.1 0.075 1.02 0.999778 0.999561 0.99914 0.000453992 -234.897 0.00944689 
0.1 0.075 1.025 0.999778 0.999561 0.999139 0.000436167 -234.896 0.00927281 
0.1 0.075 1.025 0.999752 0.999509 0.999038 0.000493512 -234.883 0.0106358 
0.1 0.075 1.03 0.999738 0.999481 0.998984 0.000525374 -234.878 0.011002 
0.1 0.075 1.03 0.999762 0.999529 0.999077 0.000464403 -234.888 0.00995988 
0.1 0.075 1.035 0.999788 0.99958 0.999178 0.000428508 -234.902 0.00877147 
0.1 0.075 1.035 0.999778 0.999561 0.99914 0.000447412 -234.897 0.00928593 
0.1 0.075 1.04 0.999742 0.999489 0.998999 0.000505138 -234.879 0.010606 
0.1 0.075 1.04 0.999776 0.999557 0.999132 0.000449022 -234.895 0.00941391 
0.1 0.075 1.045 0.99976 0.999525 0.99907 0.000476785 -234.888 0.00983413 
0.1 0.075 1.045 0.999778 0.999561 0.999139 0.00042782 -234.896 0.00904358 
0.1 0.075 1.05 0.999736 0.999478 0.998977 0.000526696 -234.877 0.0107176 
0.1 0.075 1.05 0.999738 0.999481 0.998984 0.000507748 -234.878 0.01044 
0.1 0.075 1.055 0.999744 0.999493 0.999007 0.000486679 -234.88 0.0100704 
0.1 0.075 1.055 0.99977 0.999545 0.999108 0.000446171 -234.892 0.00922212 
0.1 0.075 1.06 0.999682 0.999371 0.998769 0.00064329 -234.853 0.0126971 
0.1 0.075 1.06 0.999736 0.999478 0.998977 0.000521727 -234.878 0.0103976 
0.1 0.075 1.065 0.999656 0.99932 0.998668 0.000694992 -234.84 0.0140535 
0.1 0.075 1.065 0.999704 0.999414 0.998853 0.0005852 -234.863 0.0115505 
0.1 0.075 1.07 0.999728 0.999462 0.998945 0.00051645 -234.873 0.010429 
0.1 0.075 1.07 0.99968 0.999367 0.998759 0.000610991 -234.851 0.0122648 
0.1 0.075 1.075 0.999678 0.999363 0.998752 0.00061175 -234.849 0.0124555 
0.1 0.075 1.075 0.999634 0.999276 0.998581 0.000698237 -234.829 0.0141177 
0.1 0.075 1.08 0.999656 0.999319 0.998667 0.000663117 -234.84 0.0132208 
0.1 0.075 1.08 0.999696 0.999398 0.998821 0.000576628 -234.858 0.0116673 
0.1 0.075 1.085 0.99962 0.999248 0.998527 0.000716645 -234.822 0.0144775 
0.1 0.075 1.085 0.999664 0.999335 0.998699 0.000660563 -234.844 0.0127597 
0.1 0.075 1.09 0.999616 0.99924 0.998512 0.000727756 -234.821 0.0144006 
0.1 0.075 1.09 0.999626 0.99926 0.998551 0.000710103 -234.826 0.0138313 
0.1 0.075 1.095 0.999586 0.999181 0.998394 0.00076243 -234.806 0.0151593 
0.1 0.075 1.095 0.999578 0.999165 0.998366 0.000820266 -234.804 0.0157743 
0.1 0.075 1.1 0.99962 0.999248 0.998527 0.000714145 -234.823 0.0140116 
0.1 0.075 1.1 0.99959 0.999189 0.998411 0.000766536 -234.808 0.0151738 
0.1 0.075 1.105 0.9996 0.999208 0.998448 0.000716742 -234.812 0.0142195 
0.1 0.075 1.105 0.999576 0.999161 0.998356 0.000772871 -234.801 0.0153417 
0.1 0.075 1.11 0.999576 0.999161 0.998357 0.000798218 -234.802 0.0154421 
0.1 0.075 1.11 0.999604 0.999216 0.998464 0.000721008 -234.815 0.0141329 
0.1 0.075 1.115 0.99958 0.999169 0.998371 0.000751892 -234.803 0.0147894 
0.1 0.075 1.115 0.999604 0.999216 0.998465 0.000732124 -234.815 0.0141839 
0.1 0.075 1.12 0.99952 0.99905 0.998139 0.000872286 -234.775 0.0170986 
0.1 0.075 1.12 0.99954 0.99909 0.998218 0.000859679 -234.786 0.0164268 
0.1 0.075 1.125 0.999562 0.999133 0.998302 0.000797169 -234.795 0.0154431 
0.1 0.075 1.125 0.999438 0.998888 0.997825 0.00106348 -234.739 0.0198383 
0.1 0.075 1.13 0.999568 0.999146 0.998328 0.000825962 -234.799 0.0156265 
0.1 0.075 1.13 0.999564 0.999137 0.998312 0.000818576 -234.798 0.0152742 
0.1 0.075 1.135 0.999524 0.999058 0.998154 0.000839949 -234.777 0.0161417 
0.1 0.075 1.135 0.999466 0.998943 0.99793 0.000958136 -234.751 0.0182367 
0.1 0.075 1.14 0.999486 0.998983 0.998009 0.00093472 -234.76 0.0177045 
0.1 0.075 1.14 0.99945 0.998912 0.997869 0.00100154 -234.744 0.0187959 
0.1 0.075 1.145 0.999416 0.998844 0.997735 0.00101126 -234.727 0.0192073 
0.1 0.075 1.145 0.999422 0.998856 0.997758 0.00100838 -234.73 0.0190507 
0.1 0.075 1.15 0.999372 0.998757 0.997567 0.00112049 -234.706 0.0211237 
0.1 0.075 1.15 0.999398 0.998809 0.997668 0.00109196 -234.719 0.0203674 
0.1 0.075 1.155 0.999388 0.998789 0.997629 0.00108965 -234.714 0.0205431 
0.1 0.075 1.155 0.999348 0.99871 0.997475 0.00118224 -234.696 0.0220491 
0.1 0.075 1.16 0.999344 0.998702 0.997458 0.00115601 -234.693 0.0216217 
0.1 0.075 1.16 0.999378 0.998769 0.997591 0.00111492 -234.71 0.0204805 
0.1 0.075 1.165 0.99937 0.998753 0.997557 0.00108868 -234.705 0.020351 
0.1 0.075 1.165 0.999382 0.998777 0.997607 0.00111056 -234.713 0.0202792 
0.1 0.075 1.17 0.9993 0.998615 0.997289 0.00125043 -234.674 0.0227834 
0.1 0.075 1.17 0.999338 0.99869 0.997436 0.00118306 -234.692 0.021607 
0.1 0.075 1.175 0.999266 0.998548 0.997156 0.00128521 -234.659 0.0232084 
0.1 0.075 1.175 0.999282 0.99858 0.997222 0.00131442 -234.666 0.023834 
0.1 0.075 1.18 0.999298 0.998611 0.997281 0.0012362 -234.672 0.0225664 
0.1 0.075 1.18 0.999298 0.998611 0.997282 0.00124976 -234.674 0.0225337 
0.1 0.075 1.185 0.999294 0.998603 0.997265 0.00123051 -234.671 0.0222816 
0.1 0.075 1.185 0.999254 0.998524 0.997109 0.00128637 -234.65 0.0238756 
0.1 0.075 1.19 0.99923 0.998477 0.997019 0.00135186 -234.641 0.0244445 
0.1 0.075 1.19 0.999246 0.998509 0.997082 0.00134718 -234.65 0.0238276 
0.1 0.075 1.195 0.999196 0.998409 0.996886 0.00138524 -234.625 0.0248179 
0.1 0.075 1.195 0.999238 0.998493 0.99705 0.00133384 -234.644 0.0242778 
0.1 0.075 1.2 0.999182 0.998382 0.996832 0.00141424 -234.618 0.0254713 
0.1 0.075 1.2 0.99916 0.998338 0.996747 0.00145453 -234.608 0.0261764 
0.1 0.075 1.205 0.999124 0.998267 0.99661 0.00154296 -234.593 0.0270982 
0.1 0.075 1.205 0.999148 0.998314 0.996698 0.0014269 -234.602 0.0256056 
0.1 0.075 1.21 0.999118 0.998256 0.996589 0.00157207 -234.59 0.0276241 
0.1 0.075 1.21 0.999142 0.998303 0.996679 0.00148957 -234.601 0.0260524 
0.1 0.075 1.215 0.999078 0.998176 0.996429 0.00156625 -234.57 0.0277134 
0.1 0.075 1.215 0.999026 0.998074 0.996236 0.00176225 -234.551 0.0296952 
0.1 0.075 1.22 0.99903 0.998081 0.996242 0.0016114 -234.548 0.0283691 
0.1 0.075 1.22 0.99905 0.998121 0.996323 0.00162766 -234.558 0.0284444 
0.1 0.075 1.225 0.998934 0.997892 0.995876 0.00185009 -234.505 0.0316765 
0.1 0.075 1.225 0.999046 0.998113 0.996308 0.00163346 -234.554 0.0289931 
0.1 0.075 1.23 0.99895 0.997923 0.995935 0.00177378 -234.512 0.0303487 
0.1 0.075 1.23 0.998946 0.997915 0.99592 0.0017796 -234.511 0.0304754 
0.1 0.075 1.235 0.998988 0.997998 0.996083 0.00171141 -234.53 0.0293172 
0.1 0.075 1.235 0.998986 0.997995 0.99608 0.00178557 -234.53 0.030237 
0.1 0.075 1.24 0.99892 0.997864 0.995824 0.00186723 -234.501 0.0312529 
0.1 0.075 1.24 0.998918 0.997861 0.995819 0.00192172 -234.5 0.0320481 
0.1 0.075 1.245 0.998832 0.997689 0.995475 0.00188239 -234.454 0.0326909 
0.1 0.075 1.245 0.99891 0.997844 0.995779 0.00179694 -234.492 0.0310353 
0.1 0.075 1.25 0.998868 0.997761 0.99562 0.00190069 -234.474 0.0321917 
0.1 0.075 1.25 0.998936 0.997896 0.995885 0.00181663 -234.506 0.0306181 
0.1 0.075 1.255 0.99883 0.997686 0.995473 0.00195945 -234.457 0.0330629 
0.1 0.075 1.255 0.99878 0.997588 0.995285 0.0021061 -234.437 0.0347943 
0.1 0.075 1.26 0.99879 0.997607 0.995321 0.00205206 -234.437 0.0346358 
0.1 0.075 1.26 0.998766 0.997561 0.995236 0.00219343 -234.43 0.0358805 
0.1 0.075 1.265 0.998736 0.997501 0.995113 0.00213773 -234.414 0.0354487 
0.1 0.075 1.265 0.998782 0.997591 0.995289 0.00204241 -234.438 0.0335487 
0.1 0.075 1.27 0.99869 0.997409 0.994932 0.00215464 -234.39 0.0359843 
0.1 0.075 1.27 0.998682 0.997394 0.994906 0.00224117 -234.388 0.0372462 
0.1 0.075 1.275 0.998714 0.997457 0.995025 0.00211343 -234.402 0.0351743 
0.1 0.075 1.275 0.998652 0.997335 0.994793 0.00231709 -234.378 0.0374785 
0.1 0.075 1.28 0.998724 0.997476 0.995063 0.00207905 -234.405 0.0347211 
0.1 0.075 1.28 0.998534 0.997101 0.994328 0.00237897 -234.32 0.0390698 
0.1 0.075 1.285 0.998568 0.997168 0.994463 0.00235559 -234.338 0.0383774 
0.1 0.075 1.285 0.998498 0.997031 0.994197 0.00253572 -234.304 0.0409487 
0.1 0.075 1.29 0.998596 0.997224 0.994573 0.00233401 -234.351 0.0378003 
0.1 0.075 1.29 0.998518 0.997069 0.994269 0.00241889 -234.312 0.0396179 
0.1 0.075 1.295 0.998442 0.996919 0.993976 0.00253379 -234.277 0.0413916 
0.1 0.075 1.295 0.998456 0.996948 0.994034 0.00256495 -234.287 0.0411174 
0.1 0.075 1.3 0.998374 0.996785 0.993713 0.00263047 -234.247 0.0424363 
0.1 0.075 1.3 0.99842 0.996876 0.993895 0.00260797 -234.269 0.0418373 
0.1 0.075 1.305 0.998422 0.996881 0.993908 0.00266896 -234.271 0.0425164 
0.1 0.075 1.305 0.998358 0.996753 0.993651 0.00263478 -234.237 0.0427253 
0.1 0.075 1.31 0.998326 0.99669 0.993527 0.00267158 -234.224 0.0428843 
0.1 0.075 1.31 0.998428 0.996892 0.993925 0.00256556 -234.271 0.0411315 
0.1 0.075 1.315 0.998292 0.996624 0.993401 0.00278348 -234.207 0.044608 
0.1 0.075 1.315 0.998336 0.99671 0.99357 0.00269742 -234.228 0.0431255 
0.1 0.075 1.32 0.998336 0.996712 0.993577 0.00279024 -234.233 0.0431373 
0.1 0.075 1.32 0.998194 0.996431 0.993028 0.0029923 -234.166 0.046846 
0.1 0.075 1.325 0.998218 0.996477 0.993114 0.00285468 -234.173 0.0456382 
0.1 0.075 1.325 0.998214 0.99647 0.993104 0.00293209 -234.174 0.0461985 
0.1 0.075 1.33 0.99814 0.996323 0.992814 0.00298198 -234.136 0.0474591 
0.1 0.075 1.33 0.998178 0.996398 0.992961 0.00292333 -234.155 0.0463688 
0.1 0.075 1.335 0.998018 0.996086 0.992366 0.00345406 -234.09 0.0516029 
0.1 0.075 1.335 0.99803 0.996106 0.992389 0.00312802 -234.09 0.0484663 
0.1 0.075 1.34 0.998064 0.996174 0.992527 0.00315313 -234.107 0.0481597 
0.1 0.075 1.34 0.998106 0.996257 0.992687 0.00306662 -234.126 0.0473077 
0.1 0.075 1.345 0.998054 0.996154 0.992485 0.0031177 -234.102 0.0479491 
