J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1 0.99998 0.99996 0.999922 3.996e-05 -234.991 0.000882716 
0.1 0.075 1 0.999984 0.999968 0.999938 3.19744e-05 -234.992 0.000706314 
0.1 0.075 1.005 0.999984 0.999968 0.999938 3.18153e-05 -234.992 0.000699304 
0.1 0.075 1.005 0.999976 0.999953 0.999907 5.56641e-05 -234.989 0.00109052 
0.1 0.075 1.01 0.999978 0.999956 0.999915 4.35164e-05 -234.99 0.00095176 
0.1 0.075 1.01 0.99996 0.999921 0.999845 7.90495e-05 -234.981 0.00172891 
0.1 0.075 1.015 0.999978 0.999956 0.999915 4.33021e-05 -234.99 0.000942407 
0.1 0.075 1.015 0.999988 0.999976 0.999954 3.15129e-05 -234.995 0.000555418 
0.1 0.075 1.02 0.999964 0.999929 0.999861 8.61475e-05 -234.983 0.00173663 
0.1 0.075 1.02 0.999978 0.999956 0.999915 4.30898e-05 -234.99 0.00093319 
0.1 0.075 1.025 0.99998 0.99996 0.999922 3.89854e-05 -234.991 0.000840182 
0.1 0.075 1.025 0.999968 0.999937 0.999876 6.23391e-05 -234.985 0.00134348 
0.1 0.075 1.03 0.999972 0.999945 0.999891 5.42928e-05 -234.987 0.0011644 
0.1 0.075 1.03 0.999978 0.999956 0.999915 4.26715e-05 -234.99 0.000915158 
0.1 0.075 1.035 0.99998 0.99996 0.999922 3.86087e-05 -234.991 0.000824025 
0.1 0.075 1.035 0.999968 0.999937 0.999876 6.17368e-05 -234.985 0.00131765 
0.1 0.075 1.04 0.999952 0.999905 0.999815 0.000107471 -234.978 0.00203453 
0.1 0.075 1.04 0.999958 0.999917 0.999837 8.82919e-05 -234.981 0.00175124 
0.1 0.075 1.045 0.99996 0.999921 0.999845 7.64019e-05 -234.981 0.00161504 
0.1 0.075 1.045 0.999972 0.999945 0.999891 5.35135e-05 -234.987 0.00113121 
0.1 0.075 1.05 0.999952 0.999905 0.999814 9.88282e-05 -234.978 0.00195741 
0.1 0.075 1.05 0.99995 0.999901 0.999806 9.5e-05 -234.977 0.00199862 
0.1 0.075 1.055 0.999956 0.999913 0.99983 9.08118e-05 -234.98 0.00178085 
0.1 0.075 1.055 0.999968 0.999937 0.999876 6.05664e-05 -234.985 0.00126816 
0.1 0.075 1.06 0.99998 0.99996 0.999922 3.76981e-05 -234.991 0.000785614 
0.1 0.075 1.06 0.999954 0.999909 0.999822 9.414e-05 -234.979 0.00184238 
0.1 0.075 1.065 0.999944 0.999889 0.999783 0.00010487 -234.974 0.00217519 
0.1 0.075 1.065 0.999966 0.999933 0.999868 6.37412e-05 -234.984 0.00132211 
0.1 0.075 1.07 0.99996 0.999921 0.999845 8.20935e-05 -234.982 0.00157755 
0.1 0.075 1.07 0.999968 0.999937 0.999876 5.97174e-05 -234.985 0.00123286 
0.1 0.075 1.075 0.999954 0.999909 0.999823 0.00010771 -234.98 0.00186485 
0.1 0.075 1.075 0.999968 0.999937 0.999876 5.94396e-05 -234.985 0.00122142 
0.1 0.075 1.08 0.99996 0.999921 0.999845 8.13333e-05 -234.982 0.00154847 
0.1 0.075 1.08 0.999954 0.999909 0.999821 8.49893e-05 -234.978 0.00173835 
0.1 0.075 1.085 0.999952 0.999905 0.999814 9.56402e-05 -234.978 0.00183317 
0.1 0.075 1.085 0.999938 0.999877 0.999759 0.000113931 -234.971 0.00231958 
0.1 0.075 1.09 0.99996 0.999921 0.999845 7.32477e-05 -234.981 0.00148444 
0.1 0.075 1.09 0.999952 0.999905 0.999814 8.7862e-05 -234.977 0.00178062 
0.1 0.075 1.095 0.99994 0.999881 0.999768 0.000116566 -234.972 0.00223965 
0.1 0.075 1.095 0.999956 0.999913 0.999829 8.01885e-05 -234.979 0.00161768 
0.1 0.075 1.1 0.999942 0.999885 0.999775 0.000105149 -234.973 0.00211158 
0.1 0.075 1.1 0.999948 0.999897 0.999799 0.000108845 -234.976 0.00196398 
0.1 0.075 1.105 0.999952 0.999905 0.999814 8.66693e-05 -234.977 0.0017326 
0.1 0.075 1.105 0.999932 0.999865 0.999736 0.000122658 -234.968 0.00245206 
0.1 0.075 1.11 0.99993 0.999861 0.999728 0.000125685 -234.967 0.00250124 
0.1 0.075 1.11 0.999926 0.999854 0.999714 0.000147254 -234.966 0.00271278 
0.1 0.075 1.115 0.99994 0.999881 0.999767 0.0001073 -234.972 0.0021258 
0.1 0.075 1.115 0.999938 0.999877 0.999759 0.000110866 -234.971 0.00219644 
0.1 0.075 1.12 0.99994 0.999881 0.999768 0.000113964 -234.972 0.00214078 
0.1 0.075 1.12 0.999938 0.999877 0.999759 0.000110371 -234.971 0.00217687 
0.1 0.075 1.125 0.999926 0.999853 0.999713 0.000131069 -234.965 0.00257361 
0.1 0.075 1.125 0.999936 0.999873 0.999752 0.000113414 -234.97 0.00222694 
0.1 0.075 1.13 0.999914 0.99983 0.999666 0.000151558 -234.96 0.00296276 
0.1 0.075 1.13 0.99993 0.999862 0.999729 0.000137619 -234.968 0.00248018 
0.1 0.075 1.135 0.999934 0.999869 0.999744 0.000115916 -234.969 0.00225602 
0.1 0.075 1.135 0.99993 0.999861 0.999728 0.000122916 -234.967 0.00239227 
0.1 0.075 1.14 0.999924 0.99985 0.999705 0.000132827 -234.964 0.00257381 
0.1 0.075 1.14 0.999902 0.999806 0.999622 0.000213193 -234.956 0.0033773 
0.1 0.075 1.145 0.999908 0.999818 0.999643 0.000166946 -234.957 0.00311857 
0.1 0.075 1.145 0.999932 0.999865 0.999736 0.000118373 -234.968 0.00228373 
0.1 0.075 1.15 0.999898 0.999798 0.999605 0.0001904 -234.953 0.00345465 
0.1 0.075 1.15 0.999912 0.999826 0.999658 0.00015237 -234.959 0.00292683 
0.1 0.075 1.155 0.999908 0.999818 0.999643 0.000165501 -234.957 0.00306481 
0.1 0.075 1.155 0.99992 0.999842 0.99969 0.0001449 -234.963 0.00267078 
0.1 0.075 1.16 0.999926 0.999854 0.999713 0.000134011 -234.966 0.0024523 
0.1 0.075 1.16 0.999914 0.99983 0.999667 0.000161431 -234.96 0.00287487 
0.1 0.075 1.165 0.999918 0.999838 0.999683 0.000153929 -234.962 0.00272111 
0.1 0.075 1.165 0.999906 0.999814 0.999635 0.000160615 -234.956 0.00304548 
0.1 0.075 1.17 0.999866 0.999735 0.99948 0.000234363 -234.937 0.00432703 
0.1 0.075 1.17 0.99988 0.999763 0.999536 0.00022441 -234.944 0.00404123 
0.1 0.075 1.175 0.999912 0.999826 0.999658 0.000149128 -234.959 0.00280361 
0.1 0.075 1.175 0.999862 0.999727 0.999466 0.000260507 -234.937 0.00450963 
0.1 0.075 1.18 0.999878 0.999759 0.999527 0.000219078 -234.943 0.00390881 
0.1 0.075 1.18 0.999888 0.999778 0.999566 0.000202327 -234.948 0.00359518 
0.1 0.075 1.185 0.999896 0.999794 0.999596 0.000174615 -234.951 0.00325505 
0.1 0.075 1.185 0.999874 0.999751 0.999513 0.000238323 -234.942 0.00406367 
0.1 0.075 1.19 0.999898 0.999798 0.999604 0.000170554 -234.952 0.003166 
0.1 0.075 1.19 0.999892 0.999786 0.999582 0.000193978 -234.95 0.00341157 
0.1 0.075 1.195 0.999884 0.999771 0.999551 0.0002131 -234.946 0.0037516 
0.1 0.075 1.195 0.99989 0.999782 0.999573 0.000183088 -234.948 0.00338444 
0.1 0.075 1.2 0.999858 0.999719 0.99945 0.00024832 -234.934 0.00438522 
0.1 0.075 1.2 0.999868 0.999739 0.999489 0.000245215 -234.94 0.00414202 
0.1 0.075 1.205 0.999852 0.999707 0.999426 0.000250464 -234.931 0.00449932 
0.1 0.075 1.205 0.999874 0.999751 0.999512 0.000227728 -234.942 0.00389799 
0.1 0.075 1.21 0.999878 0.999759 0.999527 0.000213646 -234.943 0.00371739 
0.1 0.075 1.21 0.999838 0.999679 0.999371 0.0002656 -234.924 0.00484884 
0.1 0.075 1.215 0.999864 0.999731 0.999473 0.000235515 -234.937 0.00410051 
0.1 0.075 1.215 0.999846 0.999695 0.999403 0.000264715 -234.928 0.00472215 
0.1 0.075 1.22 0.99987 0.999743 0.999497 0.000231402 -234.94 0.00391997 
0.1 0.075 1.22 0.999852 0.999707 0.999426 0.000247385 -234.931 0.00438936 
0.1 0.075 1.225 0.999852 0.999707 0.999428 0.000279028 -234.932 0.00458531 
0.1 0.075 1.225 0.99985 0.999703 0.999419 0.000256122 -234.93 0.0045195 
0.1 0.075 1.23 0.999838 0.999679 0.999372 0.000274289 -234.924 0.00483762 
0.1 0.075 1.23 0.99984 0.999683 0.99938 0.000277593 -234.926 0.00472007 
0.1 0.075 1.235 0.999834 0.999672 0.999357 0.000292506 -234.923 0.00488073 
0.1 0.075 1.235 0.999826 0.999656 0.999328 0.000324674 -234.92 0.00507815 
0.1 0.075 1.24 0.999836 0.999676 0.999365 0.000288154 -234.925 0.00478527 
0.1 0.075 1.24 0.999822 0.999648 0.999311 0.000310348 -234.918 0.00526777 
0.1 0.075 1.245 0.999852 0.999707 0.999428 0.00026812 -234.932 0.00432548 
0.1 0.075 1.245 0.999776 0.999557 0.999136 0.000426492 -234.898 0.00670498 
0.1 0.075 1.25 0.9998 0.999604 0.999225 0.000336 -234.907 0.00568118 
0.1 0.075 1.25 0.999804 0.999612 0.999242 0.000348927 -234.91 0.00573849 
0.1 0.075 1.255 0.999822 0.999648 0.99931 0.00029389 -234.917 0.00500311 
0.1 0.075 1.255 0.99978 0.999565 0.999149 0.000391363 -234.898 0.00645469 
0.1 0.075 1.26 0.999794 0.999593 0.999204 0.00037441 -234.906 0.00577974 
0.1 0.075 1.26 0.999806 0.999616 0.999247 0.000311299 -234.909 0.00537341 
0.1 0.075 1.265 0.999776 0.999557 0.999132 0.00037548 -234.896 0.00622294 
0.1 0.075 1.265 0.999826 0.999656 0.999326 0.000291678 -234.919 0.00484266 
0.1 0.075 1.27 0.999782 0.999569 0.999155 0.000358463 -234.898 0.00606935 
0.1 0.075 1.27 0.999786 0.999577 0.999171 0.000358599 -234.901 0.00590558 
0.1 0.075 1.275 0.999758 0.999521 0.999062 0.000400113 -234.887 0.00668579 
0.1 0.075 1.275 0.99981 0.999624 0.999262 0.000295208 -234.911 0.00511462 
0.1 0.075 1.28 0.999788 0.999581 0.999181 0.000377739 -234.902 0.00602921 
0.1 0.075 1.28 0.999804 0.999612 0.99924 0.000309499 -234.908 0.00533223 
