size nn J0 J1 J2 J3 
10 1 3.617776351 1.11265367 0 0 
10 1 3.573534806 1.112259115 0 0 
10 1 3.631774392 1.112783117 0 0 
10 1 3.752218824 1.113421929 0 0 
10 1 3.54703354 1.112187832 0 0 
10 2 5.104503711 1.150063952 -0.03571783884 0 
10 2 5.234940742 1.154312652 -0.03895715658 0 
10 2 5.39960603 1.152903574 -0.036265352 0 
10 2 5.194092569 1.153111673 -0.03797453979 0 
10 2 4.894092517 1.144003966 -0.0310709485 0 
10 3 6.23221189  1.13283788  0.06420442 -0.08087665 
10 3 5.645113315 1.127423124 0.06600129383 -0.08195062268 
10 3 5.948911014 1.130467402 0.06613905578 -0.08263905803 
10 3 5.951963488 1.132239657 0.06030824688 -0.07851163286 
10 3 5.533818843 1.12707297 0.06084852359 -0.07742130528 
