J2 temperature m m2 m4 ms e sp_h 
0.2 1.5 0.999976 0.999952 0.999907 3.19616e-05 -239.988 0.00049093 
0.2 1.5 0.999986 0.999972 0.999946 1.86536e-05 -239.993 0.000286519 
0.2 1.5 0.99998 0.99996 0.999922 2.664e-05 -239.99 0.00040919 
0.2 1.505 0.99999 0.99998 0.999961 1.32824e-05 -239.995 0.00020334 
0.2 1.505 0.99998 0.99996 0.999922 2.65515e-05 -239.99 0.000406476 
0.2 1.505 0.999968 0.999937 0.999876 4.24569e-05 -239.985 0.000649971 
0.2 1.51 0.999984 0.999968 0.999938 2.11751e-05 -239.992 0.000323096 
0.2 1.51 0.999984 0.999968 0.999938 2.11751e-05 -239.992 0.000323096 
0.2 1.51 0.99998 0.99996 0.999922 2.64636e-05 -239.99 0.000403789 
0.2 1.515 0.999984 0.999968 0.999938 2.11052e-05 -239.992 0.000320966 
0.2 1.515 0.999988 0.999976 0.999953 1.58321e-05 -239.994 0.000240773 
0.2 1.515 0.999986 0.999972 0.999946 1.84689e-05 -239.993 0.000280874 
0.2 1.52 0.999988 0.999976 0.999953 1.578e-05 -239.994 0.000239192 
0.2 1.52 0.99998 0.99996 0.999922 2.62895e-05 -239.99 0.000398493 
0.2 1.52 0.999976 0.999953 0.999907 3.68042e-05 -239.989 0.000498357 
0.2 1.525 0.99998 0.99996 0.999922 2.62033e-05 -239.99 0.000395884 
0.2 1.525 0.999976 0.999952 0.999907 3.14376e-05 -239.988 0.000474966 
0.2 1.525 0.999982 0.999964 0.99993 2.35853e-05 -239.991 0.000356332 
0.2 1.53 0.999982 0.999964 0.99993 2.35082e-05 -239.991 0.000354006 
0.2 1.53 0.999978 0.999956 0.999915 2.87265e-05 -239.989 0.000432588 
0.2 1.53 0.99998 0.99996 0.999922 2.61176e-05 -239.99 0.000393301 
0.2 1.535 0.999986 0.999972 0.999946 1.82283e-05 -239.993 0.000273602 
0.2 1.535 0.999974 0.999949 0.999899 3.38322e-05 -239.988 0.000507813 
0.2 1.535 0.999982 0.999964 0.99993 2.34317e-05 -239.991 0.000351704 
0.2 1.54 0.999958 0.999917 0.999837 5.44309e-05 -239.98 0.000814343 
0.2 1.54 0.999982 0.999964 0.99993 2.33556e-05 -239.991 0.000349424 
0.2 1.54 0.999988 0.999976 0.999953 1.55751e-05 -239.994 0.000233019 
0.2 1.545 0.999982 0.999964 0.99993 2.328e-05 -239.991 0.000347166 
0.2 1.545 0.99997 0.999941 0.999884 3.87767e-05 -239.986 0.000578262 
0.2 1.545 0.99997 0.999941 0.999884 3.87767e-05 -239.986 0.000578262 
0.2 1.55 0.99998 0.99996 0.999922 2.57806e-05 -239.99 0.000383217 
0.2 1.55 0.999982 0.999964 0.99993 2.32049e-05 -239.991 0.00034493 
0.2 1.55 0.99998 0.99996 0.999922 2.57806e-05 -239.99 0.000383217 
0.2 1.555 0.999982 0.999964 0.99993 2.31303e-05 -239.991 0.000342715 
0.2 1.555 0.999982 0.999964 0.99993 2.31303e-05 -239.991 0.000342715 
0.2 1.555 0.99998 0.99996 0.999922 2.56977e-05 -239.99 0.000380756 
0.2 1.56 0.999974 0.999949 0.999899 3.329e-05 -239.988 0.000491668 
0.2 1.56 0.999976 0.999952 0.999907 3.07323e-05 -239.988 0.000453893 
0.2 1.56 0.999962 0.999925 0.999852 4.86254e-05 -239.982 0.00071816 
0.2 1.565 0.99998 0.99996 0.999922 2.55335e-05 -239.99 0.000375906 
0.2 1.565 0.999966 0.999933 0.999868 4.33766e-05 -239.984 0.000638592 
0.2 1.565 0.999974 0.999949 0.999899 3.31836e-05 -239.988 0.000488531 
0.2 1.57 0.999972 0.999945 0.999891 3.56189e-05 -239.987 0.000522712 
0.2 1.57 0.999978 0.999956 0.999915 2.79946e-05 -239.989 0.000410826 
0.2 1.57 0.999982 0.999964 0.99993 2.29093e-05 -239.991 0.000336198 
0.2 1.575 0.999956 0.999913 0.99983 6.59088e-05 -239.979 0.00090875 
0.2 1.575 0.999964 0.999929 0.99986 4.5632e-05 -239.983 0.000667531 
0.2 1.575 0.999986 0.999972 0.999946 1.77653e-05 -239.993 0.000259881 
0.2 1.58 0.999974 0.999949 0.999899 3.28686e-05 -239.988 0.000479299 
0.2 1.58 0.99997 0.999941 0.999884 3.79177e-05 -239.986 0.000552927 
0.2 1.58 0.999988 0.999976 0.999953 1.51808e-05 -239.994 0.00022137 
0.2 1.585 0.999972 0.999945 0.999892 4.03291e-05 -239.987 0.000586235 
