size temperature m m2 m4 mag_sus 
10 1.5 0.997752 0.995564 0.991362 0.00368443 
10 1.5 0.997954 0.995961 0.992128 0.00325959 
10 1.5 0.997928 0.995909 0.992023 0.00323912 
10 1.505 0.99781 0.995678 0.99158 0.00352717 
10 1.505 0.99778 0.995617 0.991456 0.00346788 
10 1.505 0.997832 0.99572 0.991654 0.00337673 
10 1.51 0.997734 0.995528 0.991288 0.00363081 
10 1.51 0.99778 0.995617 0.991455 0.0034458 
10 1.51 0.99775 0.995559 0.991345 0.00355083 
10 1.515 0.99774 0.995539 0.991307 0.00355989 
10 1.515 0.997788 0.995635 0.9915 0.00359519 
10 1.515 0.997668 0.995396 0.991027 0.00363312 
10 1.52 0.997722 0.995505 0.991244 0.00364544 
10 1.52 0.99775 0.995559 0.991345 0.00353273 
10 1.52 0.99755 0.99517 0.990608 0.00420247 
10 1.525 0.99761 0.995282 0.990802 0.00366216 
10 1.525 0.997656 0.995373 0.990983 0.00364758 
10 1.525 0.997626 0.995317 0.990887 0.0039242 
10 1.53 0.997652 0.995365 0.990964 0.00359784 
10 1.53 0.997622 0.995308 0.990864 0.00382125 
10 1.53 0.997534 0.995133 0.990516 0.00383522 
10 1.535 0.99753 0.995125 0.9905 0.00381623 
10 1.535 0.997454 0.994975 0.990212 0.0039738 
10 1.535 0.99748 0.995026 0.990305 0.00385991 
10 1.54 0.997316 0.994708 0.989709 0.00446209 
10 1.54 0.99762 0.995301 0.990836 0.00356465 
10 1.54 0.997534 0.995131 0.990506 0.00368564 
10 1.545 0.99746 0.994988 0.990239 0.00398372 
10 1.545 0.99733 0.994729 0.989728 0.00403049 
10 1.545 0.997344 0.994759 0.989791 0.00412075 
10 1.55 0.997318 0.99471 0.989704 0.00428173 
10 1.55 0.997354 0.994781 0.989845 0.0042683 
10 1.55 0.997354 0.994776 0.989815 0.00392766 
10 1.555 0.997332 0.994733 0.989735 0.00400269 
10 1.555 0.997448 0.994964 0.99019 0.00394388 
10 1.555 0.997206 0.994487 0.989266 0.00434685 
10 1.56 0.997072 0.994226 0.98877 0.00472736 
10 1.56 0.997262 0.994598 0.989481 0.00424509 
10 1.56 0.997086 0.994254 0.988822 0.00468901 
10 1.565 0.996884 0.993857 0.988059 0.00508949 
10 1.565 0.99716 0.9944 0.989107 0.00458622 
10 1.565 0.997162 0.994401 0.989097 0.00437481 
10 1.57 0.997092 0.994262 0.988824 0.00440914 
10 1.57 0.996864 0.993818 0.98798 0.0050857 
10 1.57 0.997188 0.994452 0.989197 0.00432692 
10 1.575 0.997038 0.994154 0.988611 0.00440804 
10 1.575 0.997068 0.994216 0.98874 0.00451323 
10 1.575 0.996874 0.993836 0.988012 0.00497956 
10 1.58 0.997028 0.994141 0.988608 0.00481311 
10 1.58 0.996982 0.994044 0.988401 0.00451466 
10 1.58 0.996878 0.993843 0.988022 0.00488437 
10 1.585 0.99677 0.99363 0.987608 0.00502758 
10 1.585 0.996846 0.993784 0.987922 0.00517932 
10 1.585 0.9969 0.993884 0.988095 0.00472366 
10 1.59 0.996734 0.993563 0.987493 0.00532913 
10 1.59 0.996768 0.993628 0.987611 0.00513926 
10 1.59 0.99678 0.993648 0.987635 0.0048674 
10 1.595 0.99672 0.99353 0.987406 0.00494305 
10 1.595 0.996834 0.993753 0.987835 0.00470072 
10 1.595 0.996758 0.993607 0.987565 0.00504636 
10 1.6 0.996622 0.993339 0.987046 0.00523432 
10 1.6 0.996566 0.993229 0.98683 0.00530548 
10 1.6 0.996536 0.993174 0.986739 0.00563004 
10 1.605 0.996402 0.992909 0.986225 0.00576538 
10 1.605 0.996596 0.993288 0.986945 0.00524939 
10 1.605 0.996464 0.993032 0.986465 0.00570571 
10 1.61 0.996556 0.99321 0.9868 0.00538005 
10 1.61 0.996374 0.992853 0.986114 0.00573491 
10 1.61 0.996462 0.993025 0.986441 0.00550575 
10 1.615 0.996348 0.992799 0.985995 0.00555436 
10 1.615 0.996304 0.992712 0.985828 0.00561855 
10 1.615 0.996426 0.992953 0.986294 0.00544808 
10 1.62 0.996382 0.992868 0.986136 0.00560926 
10 1.62 0.996242 0.992597 0.985623 0.00607885 
10 1.62 0.996364 0.99283 0.986055 0.00549009 
10 1.625 0.996182 0.992473 0.985369 0.00583525 
10 1.625 0.99625 0.99261 0.985642 0.00588662 
10 1.625 0.996202 0.992513 0.985444 0.0057954 
10 1.63 0.996108 0.992328 0.985085 0.00591241 
10 1.63 0.99603 0.992175 0.98479 0.00606375 
10 1.63 0.996106 0.992328 0.9851 0.00615931 
10 1.635 0.9961 0.992313 0.985059 0.00595413 
10 1.635 0.996172 0.992453 0.985328 0.00579244 
10 1.635 0.996008 0.992134 0.984721 0.00624244 
10 1.64 0.996198 0.992505 0.98543 0.00576493 
10 1.64 0.99582 0.991766 0.984019 0.0066468 
10 1.64 0.99597 0.992059 0.984574 0.00623653 
10 1.645 0.995842 0.991808 0.984095 0.00650888 
10 1.645 0.995768 0.991661 0.983803 0.00650275 
10 1.645 0.995906 0.991932 0.984324 0.00624919 
10 1.65 0.995822 0.991771 0.984028 0.00661966 
10 1.65 0.995826 0.991785 0.984076 0.00699986 
10 1.65 0.995788 0.9917 0.983876 0.0064254 
10 1.655 0.995768 0.991664 0.983819 0.00663747 
10 1.655 0.995544 0.991216 0.982926 0.00654889 
10 1.655 0.99582 0.99176 0.983983 0.00619985 
10 1.66 0.995532 0.991198 0.982909 0.0068456 
10 1.66 0.995502 0.991143 0.982821 0.00716434 
10 1.66 0.995534 0.991202 0.98292 0.00688282 
10 1.665 0.995526 0.99119 0.982908 0.00706446 
10 1.665 0.995346 0.990839 0.982241 0.00751834 
10 1.665 0.995712 0.991556 0.983617 0.00680919 
10 1.67 0.995178 0.990508 0.981595 0.00769271 
10 1.67 0.995268 0.990686 0.981949 0.00766516 
10 1.67 0.995318 0.99078 0.982113 0.0073173 
10 1.675 0.995178 0.990506 0.981589 0.00757423 
10 1.675 0.995276 0.990697 0.98195 0.00731247 
10 1.675 0.995292 0.990731 0.982026 0.00745998 
10 1.68 0.995098 0.990347 0.981272 0.00754824 
10 1.68 0.99528 0.9907 0.98194 0.00701676 
10 1.68 0.995056 0.990273 0.981161 0.00810696 
10 1.685 0.994706 0.989578 0.979792 0.00818122 
10 1.685 0.995158 0.990461 0.98148 0.0072092 
10 1.685 0.99516 0.990468 0.981502 0.00737415 
10 1.69 0.995002 0.990165 0.980946 0.00802959 
10 1.69 0.994986 0.990121 0.980817 0.00735265 
10 1.69 0.995142 0.990429 0.981417 0.00719762 
10 1.695 0.99488 0.989925 0.98048 0.00817142 
10 1.695 0.994862 0.989892 0.980427 0.00837056 
10 1.695 0.99477 0.989707 0.980056 0.00825293 
10 1.7 0.994654 0.989481 0.979621 0.00847178 
10 1.7 0.994984 0.990125 0.98085 0.0077341 
10 1.7 0.994722 0.989605 0.979831 0.00785545 
10 1.705 0.994778 0.989722 0.980081 0.00815781 
10 1.705 0.994542 0.989266 0.979225 0.00891086 
10 1.705 0.994528 0.989232 0.97914 0.00859456 
10 1.71 0.99437 0.988918 0.978518 0.00855808 
10 1.71 0.994514 0.989202 0.979072 0.00842712 
10 1.71 0.994338 0.988861 0.97843 0.00894396 
10 1.715 0.994362 0.988904 0.978495 0.0086165 
10 1.715 0.99435 0.988893 0.978517 0.00936429 
10 1.715 0.994484 0.989148 0.978985 0.0087355 
10 1.72 0.994114 0.988421 0.977579 0.00920204 
10 1.72 0.994606 0.989386 0.979435 0.00844563 
10 1.72 0.994458 0.989089 0.97884 0.0082585 
10 1.725 0.994154 0.9885 0.977733 0.009133 
10 1.725 0.994098 0.988387 0.977506 0.00905776 
10 1.725 0.994332 0.988849 0.978406 0.0088692 
10 1.73 0.994046 0.988289 0.977331 0.00934277 
10 1.73 0.99403 0.988265 0.97731 0.00978029 
10 1.73 0.994256 0.988704 0.978139 0.009168 
10 1.735 0.993702 0.987613 0.976022 0.00973229 
10 1.735 0.99401 0.988218 0.977191 0.00932334 
10 1.735 0.994072 0.988339 0.977425 0.00921607 
10 1.74 0.993828 0.987863 0.976516 0.00971876 
10 1.74 0.993914 0.988024 0.976797 0.00912417 
10 1.74 0.993874 0.987946 0.976652 0.00924323 
10 1.745 0.993592 0.987396 0.975606 0.00982335 
10 1.745 0.993574 0.987365 0.975558 0.01006 
10 1.745 0.9939 0.987999 0.976762 0.00929685 
10 1.75 0.993734 0.987679 0.976164 0.00981356 
10 1.75 0.993602 0.987417 0.975647 0.00980946 
10 1.75 0.993586 0.987384 0.975579 0.00977489 
10 1.755 0.99352 0.987261 0.975362 0.0101977 
10 1.755 0.993482 0.987177 0.975172 0.00974334 
10 1.755 0.99355 0.987311 0.975433 0.00967963 
10 1.76 0.99307 0.986391 0.973736 0.0115509 
10 1.76 0.993254 0.986746 0.974397 0.0109211 
10 1.76 0.993424 0.987069 0.974982 0.0101021 
10 1.765 0.993146 0.986523 0.973931 0.0104489 
10 1.765 0.993462 0.987145 0.975135 0.0101266 
10 1.765 0.993316 0.986859 0.974586 0.0103458 
10 1.77 0.993138 0.986517 0.973949 0.0109284 
10 1.77 0.993206 0.986641 0.974158 0.0103391 
10 1.77 0.99311 0.986458 0.973823 0.0107665 
10 1.775 0.993046 0.986334 0.97359 0.0108981 
10 1.775 0.992986 0.98621 0.973331 0.0106526 
10 1.775 0.992918 0.986082 0.973103 0.0110493 
10 1.78 0.992818 0.985878 0.97268 0.0106909 
10 1.78 0.99273 0.985717 0.972415 0.0114824 
10 1.78 0.992978 0.986201 0.973334 0.0109714 
10 1.785 0.992626 0.985512 0.972012 0.0115039 
10 1.785 0.992676 0.985607 0.972185 0.0112829 
10 1.785 0.992642 0.985545 0.972083 0.0115753 
10 1.79 0.992442 0.985153 0.971326 0.0118277 
10 1.79 0.992518 0.985297 0.971589 0.0114447 
10 1.79 0.992312 0.984908 0.970892 0.0125595 
10 1.795 0.99224 0.98476 0.970585 0.0122308 
10 1.795 0.992536 0.98533 0.971641 0.011274 
10 1.795 0.992416 0.985095 0.971195 0.0114631 
10 1.8 0.992254 0.984793 0.970666 0.0124822 
10 1.8 0.99203 0.984356 0.969835 0.01294 
10 1.8 0.992172 0.984621 0.970297 0.0119779 
10 1.805 0.991836 0.983972 0.969084 0.0129457 
10 1.805 0.992034 0.98435 0.969773 0.0120921 
10 1.805 0.992084 0.984458 0.970015 0.0125771 
10 1.81 0.991814 0.983931 0.969011 0.0130425 
10 1.81 0.991972 0.984243 0.969616 0.0129343 
10 1.81 0.991734 0.983775 0.968713 0.0131731 
10 1.815 0.991814 0.98393 0.969005 0.0129493 
10 1.815 0.991498 0.983308 0.967803 0.0132273 
10 1.815 0.99182 0.983942 0.96903 0.0129569 
10 1.82 0.991518 0.983356 0.967925 0.0136228 
10 1.82 0.991966 0.984223 0.969554 0.0124602 
10 1.82 0.991436 0.98319 0.967586 0.0134471 
10 1.825 0.991558 0.983427 0.968037 0.013158 
10 1.825 0.991734 0.983777 0.968727 0.0132095 
10 1.825 0.991482 0.983291 0.967817 0.0139684 
10 1.83 0.991208 0.98275 0.966763 0.0140405 
10 1.83 0.991304 0.982937 0.96712 0.0138481 
10 1.83 0.991132 0.982601 0.966479 0.0141289 
10 1.835 0.990912 0.982174 0.965676 0.0145945 
10 1.835 0.99143 0.983171 0.967524 0.0129371 
10 1.835 0.99104 0.982434 0.966202 0.0149427 
10 1.84 0.99106 0.982458 0.966194 0.0140128 
10 1.84 0.990838 0.98202 0.965346 0.0141357 
10 1.84 0.990786 0.981939 0.965261 0.0153186 
10 1.845 0.990908 0.982166 0.965658 0.0145027 
10 1.845 0.990638 0.981647 0.964689 0.0153319 
10 1.845 0.99085 0.982044 0.965391 0.0140877 
10 1.85 0.99055 0.981456 0.964263 0.0144009 
10 1.85 0.990694 0.981742 0.964825 0.0144605 
10 1.85 0.99052 0.981405 0.964196 0.0148913 
10 1.855 0.990656 0.981662 0.964654 0.0141612 
10 1.855 0.990564 0.981491 0.964353 0.0147537 
10 1.855 0.990546 0.981461 0.964318 0.0150826 
10 1.86 0.990172 0.980732 0.962932 0.0156844 
10 1.86 0.990132 0.980652 0.962771 0.0156378 
10 1.86 0.990218 0.980828 0.963137 0.01592 
10 1.865 0.989992 0.98039 0.962302 0.0163732 
10 1.865 0.990046 0.980477 0.962414 0.0153393 
10 1.865 0.990184 0.980744 0.962916 0.015003 
10 1.87 0.99 0.980394 0.962276 0.0157091 
10 1.87 0.98997 0.980334 0.962159 0.0157048 
10 1.87 0.989778 0.979962 0.961458 0.01613 
10 1.875 0.989754 0.979907 0.961324 0.0156896 
10 1.875 0.989762 0.979932 0.961397 0.0161548 
10 1.875 0.98963 0.979676 0.96092 0.0164535 
10 1.88 0.989268 0.978976 0.959606 0.0172523 
10 1.88 0.989502 0.979431 0.960472 0.0168549 
10 1.88 0.989706 0.979855 0.961355 0.0179401 
10 1.885 0.98925 0.978934 0.959505 0.0168869 
10 1.885 0.989256 0.978949 0.959545 0.0170359 
10 1.885 0.989168 0.978779 0.959228 0.0172662 
10 1.89 0.98898 0.978435 0.95864 0.018692 
10 1.89 0.989484 0.979381 0.960324 0.0160198 
10 1.89 0.988854 0.978177 0.958116 0.0182289 
10 1.895 0.988956 0.978357 0.958395 0.0170528 
10 1.895 0.98899 0.978434 0.958575 0.0175377 
10 1.895 0.988802 0.978069 0.957885 0.0179127 
10 1.9 0.98874 0.977975 0.957793 0.0194028 
10 1.9 0.98875 0.977957 0.957641 0.0174041 
10 1.9 0.988868 0.978191 0.958098 0.0174062 
10 1.905 0.988814 0.978073 0.957829 0.0167703 
10 1.905 0.988354 0.977206 0.956268 0.019041 
10 1.905 0.988582 0.977631 0.957028 0.017696 
10 1.91 0.988464 0.977426 0.956718 0.0191225 
10 1.91 0.988598 0.977667 0.957106 0.0178447 
10 1.91 0.988004 0.976528 0.955003 0.0196783 
10 1.915 0.988056 0.976637 0.955238 0.0199593 
10 1.915 0.988036 0.976594 0.955143 0.019784 
10 1.915 0.988142 0.976799 0.955533 0.0195712 
10 1.92 0.98765 0.975846 0.953732 0.0204832 
10 1.92 0.987896 0.976311 0.954569 0.0193778 
10 1.92 0.987836 0.976195 0.954351 0.0195436 
10 1.925 0.987896 0.976304 0.954535 0.0189867 
10 1.925 0.987632 0.975828 0.95375 0.0213607 
10 1.925 0.988068 0.976642 0.955183 0.0188897 
10 1.93 0.987626 0.975785 0.953572 0.019708 
10 1.93 0.987452 0.975446 0.952928 0.0198999 
10 1.93 0.9875 0.975551 0.953164 0.0204389 
10 1.935 0.98724 0.97503 0.952128 0.0200053 
10 1.935 0.987528 0.975589 0.953186 0.0195168 
10 1.935 0.987572 0.975683 0.953386 0.0198669 
10 1.94 0.98712 0.974799 0.951698 0.0202776 
10 1.94 0.98716 0.974906 0.951991 0.0217038 
10 1.94 0.98712 0.974796 0.951681 0.0200962 
10 1.945 0.98706 0.974687 0.9515 0.0205407 
10 1.945 0.986754 0.974113 0.950478 0.0220722 
10 1.945 0.987142 0.974849 0.951811 0.0205281 
10 1.95 0.98653 0.973657 0.949555 0.0213066 
10 1.95 0.986632 0.973853 0.949921 0.0210511 
10 1.95 0.986764 0.974118 0.950453 0.0212927 
10 1.955 0.986588 0.973795 0.949893 0.0224838 
10 1.955 0.986158 0.972956 0.948309 0.0229585 
10 1.955 0.986056 0.972771 0.947988 0.0237609 
10 1.96 0.985958 0.972581 0.947631 0.0238685 
10 1.96 0.986212 0.973037 0.948375 0.0215822 
10 1.96 0.98599 0.972619 0.947632 0.0225878 
10 1.965 0.985864 0.972401 0.947304 0.0240658 
10 1.965 0.986026 0.972682 0.947725 0.0221459 
10 1.965 0.985696 0.972073 0.94667 0.0242379 
10 1.97 0.98549 0.971644 0.945773 0.0230162 
10 1.97 0.985626 0.97191 0.946277 0.0228989 
10 1.97 0.98564 0.971968 0.94647 0.0244604 
10 1.975 0.985116 0.970964 0.944637 0.0258464 
10 1.975 0.9855 0.971677 0.945876 0.0236268 
10 1.975 0.985382 0.97145 0.945459 0.0238964 
10 1.98 0.985514 0.971729 0.946048 0.0247897 
10 1.98 0.985008 0.970721 0.944075 0.0242727 
10 1.98 0.985282 0.971272 0.945169 0.024795 
10 1.985 0.98504 0.970793 0.94424 0.0246548 
10 1.985 0.98501 0.970732 0.944111 0.0245713 
10 1.985 0.984852 0.970437 0.943577 0.0253571 
10 1.99 0.98461 0.969965 0.942693 0.0255391 
10 1.99 0.984206 0.96921 0.941346 0.0275593 
10 1.99 0.984816 0.970341 0.943332 0.0240526 
10 1.995 0.98423 0.969241 0.94136 0.026662 
10 1.995 0.984462 0.969665 0.942087 0.0250652 
10 1.995 0.984488 0.969722 0.942223 0.0253362 
10 2 0.984002 0.968774 0.940418 0.0257212 
10 2 0.984504 0.969817 0.942562 0.0284257 
10 2 0.9842 0.96916 0.941153 0.025506 
10 2.005 0.983788 0.968371 0.939694 0.0265322 
10 2.005 0.984102 0.968999 0.940938 0.0270331 
10 2.005 0.983378 0.967624 0.938439 0.0295177 
10 2.01 0.9835 0.96783 0.93874 0.0277527 
10 2.01 0.984048 0.968892 0.940724 0.026938 
