size temperature m m2 m4 mag_sus 
10 1.5 0.997774 0.995605 0.99143 0.00345899 
10 1.5 0.997778 0.995614 0.991453 0.00354018 
10 1.5 0.997758 0.995575 0.99138 0.00361956 
10 1.505 0.997878 0.995814 0.991853 0.0035626 
10 1.505 0.99766 0.995383 0.991009 0.00380893 
10 1.505 0.997912 0.995878 0.991963 0.00327178 
10 1.51 0.997628 0.995318 0.990874 0.00371216 
10 1.51 0.99773 0.995522 0.991281 0.00374087 
10 1.51 0.997656 0.995375 0.990993 0.00380038 
10 1.515 0.997638 0.995339 0.99092 0.00376376 
10 1.515 0.997574 0.995216 0.990695 0.00411845 
10 1.515 0.99769 0.995442 0.991124 0.00374283 
10 1.52 0.997512 0.995091 0.990443 0.00402433 
10 1.52 0.99766 0.995381 0.990998 0.00364503 
10 1.52 0.9976 0.995265 0.990781 0.00389474 
10 1.525 0.997386 0.994843 0.989959 0.00419193 
10 1.525 0.997652 0.995366 0.99097 0.00367783 
10 1.525 0.997414 0.994899 0.990069 0.00418574 
10 1.53 0.997338 0.994746 0.989764 0.00412508 
10 1.53 0.9974 0.994871 0.990018 0.00422222 
10 1.53 0.997356 0.994786 0.989855 0.00434832 
10 1.535 0.997552 0.995168 0.990581 0.00374771 
10 1.535 0.997282 0.994637 0.989554 0.00424837 
10 1.535 0.997406 0.994885 0.990049 0.00429649 
10 1.54 0.99731 0.994692 0.989663 0.00421324 
10 1.54 0.99716 0.9944 0.989108 0.00466587 
10 1.54 0.997264 0.994602 0.989491 0.00432431 
10 1.545 0.997142 0.994362 0.989022 0.00449138 
10 1.545 0.99726 0.994594 0.989474 0.00431407 
10 1.545 0.997234 0.99454 0.989361 0.00419348 
10 1.55 0.997176 0.994432 0.989171 0.00464678 
10 1.55 0.99715 0.994378 0.98906 0.00453661 
10 1.55 0.9972 0.994473 0.98923 0.00421161 
10 1.555 0.997066 0.994211 0.988725 0.00450107 
10 1.555 0.997112 0.994304 0.988914 0.00457746 
10 1.555 0.99712 0.994318 0.98894 0.0045084 
10 1.56 0.996886 0.99386 0.988058 0.00500147 
10 1.56 0.997062 0.994206 0.988729 0.00471591 
10 1.56 0.997102 0.99429 0.988905 0.00496164 
10 1.565 0.996882 0.99385 0.988034 0.004897 
10 1.565 0.996996 0.994076 0.988478 0.00481636 
10 1.565 0.99698 0.994047 0.988431 0.00499934 
10 1.57 0.99684 0.993772 0.987896 0.00521366 
10 1.57 0.996846 0.993781 0.987905 0.00503518 
10 1.57 0.997054 0.994191 0.9887 0.00471344 
10 1.575 0.996732 0.993559 0.987482 0.00534096 
10 1.575 0.996746 0.99358 0.9875 0.00491248 
10 1.575 0.99679 0.99367 0.98769 0.00508799 
10 1.58 0.99683 0.993747 0.987831 0.00488551 
10 1.58 0.996778 0.993651 0.987667 0.00535561 
10 1.58 0.996708 0.993507 0.987366 0.00507612 
10 1.585 0.996774 0.993639 0.987628 0.00507463 
10 1.585 0.996774 0.99364 0.987633 0.00513015 
10 1.585 0.996828 0.993744 0.987825 0.00488697 
10 1.59 0.99647 0.993043 0.986482 0.00568925 
10 1.59 0.996744 0.993579 0.987512 0.00507915 
10 1.59 0.996636 0.99337 0.987118 0.00547695 
10 1.595 0.996498 0.9931 0.986601 0.00577906 
10 1.595 0.996422 0.992944 0.986275 0.00547448 
10 1.595 0.996434 0.992972 0.986345 0.00573064 
10 1.6 0.996504 0.993109 0.986608 0.00555612 
10 1.6 0.996544 0.99319 0.98677 0.0055985 
10 1.6 0.996374 0.992853 0.98611 0.00573576 
10 1.605 0.996404 0.992915 0.98624 0.00584354 
10 1.605 0.99641 0.992925 0.986253 0.00571912 
10 1.605 0.996264 0.992636 0.985688 0.00586432 
10 1.61 0.996218 0.992549 0.98553 0.00611034 
10 1.61 0.996246 0.992607 0.985654 0.00624767 
10 1.61 0.99634 0.992789 0.985995 0.00592574 
10 1.615 0.996428 0.992958 0.986312 0.00555547 
10 1.615 0.996338 0.992788 0.986007 0.00612197 
10 1.615 0.996148 0.992407 0.985241 0.00594688 
10 1.62 0.996166 0.992447 0.985333 0.00616176 
10 1.62 0.996242 0.99259 0.985592 0.00569861 
10 1.62 0.996318 0.992746 0.985912 0.00593598 
10 1.625 0.995958 0.992032 0.984511 0.0061306 
10 1.625 0.996166 0.99244 0.985299 0.00576864 
10 1.625 0.996052 0.99222 0.984886 0.0061842 
10 1.63 0.995788 0.991702 0.983888 0.00663184 
10 1.63 0.99597 0.992059 0.984576 0.00630424 
10 1.63 0.99604 0.992195 0.984834 0.00611524 
10 1.635 0.995912 0.991945 0.984355 0.00637115 
10 1.635 0.99592 0.991964 0.984403 0.00658065 
10 1.635 0.995728 0.991589 0.983686 0.00699144 
10 1.64 0.995752 0.991625 0.983719 0.00630454 
10 1.64 0.995642 0.991413 0.983324 0.00673219 
10 1.64 0.995868 0.991859 0.984194 0.00648577 
10 1.645 0.995806 0.991739 0.983966 0.00666568 
10 1.645 0.995844 0.991808 0.984079 0.00624484 
10 1.645 0.99572 0.991567 0.98362 0.0065849 
10 1.65 0.995568 0.991268 0.983044 0.00680954 
10 1.65 0.995554 0.991245 0.983015 0.00709534 
10 1.65 0.995608 0.99135 0.983213 0.00694244 
10 1.655 0.995658 0.991449 0.98341 0.0069116 
10 1.655 0.995512 0.991161 0.982847 0.00704881 
10 1.655 0.995336 0.990819 0.982198 0.00756055 
10 1.66 0.99545 0.991034 0.982582 0.00680346 
10 1.66 0.995296 0.990736 0.982026 0.00734653 
10 1.66 0.995258 0.990658 0.98186 0.0071731 
10 1.665 0.995414 0.990967 0.982467 0.00706598 
10 1.665 0.995346 0.990837 0.982228 0.00739822 
10 1.665 0.995272 0.990692 0.981947 0.00752709 
10 1.67 0.995268 0.990691 0.981972 0.00793821 
10 1.67 0.995176 0.990495 0.981541 0.00717659 
10 1.67 0.995314 0.990782 0.98215 0.00791386 
10 1.675 0.99493 0.990019 0.980649 0.00797224 
10 1.675 0.99521 0.990567 0.9817 0.00742543 
10 1.675 0.995002 0.990157 0.9809 0.00763821 
10 1.68 0.994908 0.989976 0.980565 0.00798521 
10 1.68 0.994978 0.990115 0.980836 0.0079345 
10 1.68 0.994974 0.990106 0.980815 0.00787972 
10 1.685 0.99491 0.989978 0.980565 0.00786065 
10 1.685 0.994682 0.989529 0.97969 0.00809014 
10 1.685 0.994852 0.989866 0.980352 0.00802719 
10 1.69 0.99487 0.989905 0.980438 0.00818717 
10 1.69 0.99476 0.989691 0.980035 0.00848653 
10 1.69 0.99478 0.989727 0.980093 0.00825749 
10 1.695 0.994588 0.989346 0.979346 0.00832509 
10 1.695 0.994648 0.98947 0.979605 0.0085803 
10 1.695 0.994562 0.989298 0.97926 0.00849488 
10 1.7 0.994598 0.989368 0.979392 0.0083752 
10 1.7 0.994882 0.989922 0.980449 0.00774624 
10 1.7 0.99466 0.989486 0.979608 0.00807791 
10 1.705 0.994274 0.988737 0.978196 0.00917143 
10 1.705 0.994482 0.989149 0.978997 0.00905523 
10 1.705 0.994446 0.989077 0.978859 0.00904124 
10 1.71 0.994316 0.98882 0.978356 0.00909077 
10 1.71 0.994254 0.988696 0.978109 0.00905167 
10 1.71 0.994194 0.988588 0.977934 0.00970353 
10 1.715 0.994104 0.988402 0.977544 0.00926164 
10 1.715 0.99431 0.988807 0.97833 0.00903929 
10 1.715 0.994202 0.988592 0.977903 0.00899494 
10 1.72 0.994028 0.98825 0.977244 0.00923344 
10 1.72 0.994038 0.988273 0.977302 0.0094148 
10 1.72 0.99393 0.988062 0.976896 0.00962297 
10 1.725 0.994206 0.988596 0.977898 0.00873215 
10 1.725 0.99389 0.987983 0.976743 0.00963176 
10 1.725 0.993832 0.987874 0.976549 0.00997309 
10 1.73 0.993864 0.987932 0.976644 0.00962945 
10 1.73 0.993796 0.987797 0.976379 0.00963644 
10 1.73 0.993856 0.987907 0.976563 0.00911048 
10 1.735 0.993948 0.988095 0.97695 0.00935177 
10 1.735 0.993846 0.987897 0.976575 0.00961431 
10 1.735 0.993528 0.987272 0.975369 0.0100261 
10 1.74 0.99348 0.987181 0.975207 0.0102833 
10 1.74 0.993768 0.98775 0.976309 0.0100806 
10 1.74 0.993618 0.987454 0.975737 0.0101626 
10 1.745 0.993424 0.987069 0.974983 0.0101889 
10 1.745 0.993512 0.987251 0.975364 0.0105894 
10 1.745 0.993342 0.986904 0.97465 0.010074 
10 1.75 0.993404 0.987029 0.9749 0.0101219 
10 1.75 0.993098 0.986439 0.973802 0.0111453 
10 1.75 0.993166 0.986568 0.974037 0.0108421 
10 1.755 0.993246 0.986729 0.974357 0.0109187 
10 1.755 0.993 0.986248 0.97344 0.0113527 
10 1.755 0.992998 0.986239 0.973406 0.0110617 
10 1.76 0.993122 0.986482 0.973873 0.0108598 
10 1.76 0.993008 0.98626 0.973449 0.0110859 
10 1.76 0.993138 0.986514 0.973935 0.0108541 
10 1.765 0.992782 0.985819 0.972609 0.0114958 
10 1.765 0.99303 0.986304 0.973534 0.0110515 
10 1.765 0.992786 0.98583 0.972642 0.0116713 
10 1.77 0.992748 0.985749 0.972463 0.0113203 
10 1.77 0.992878 0.986006 0.972962 0.0112473 
10 1.77 0.992758 0.985767 0.972493 0.0112267 
10 1.775 0.992684 0.985621 0.972208 0.0112403 
10 1.775 0.992536 0.985343 0.971715 0.0121177 
10 1.775 0.992358 0.984988 0.971009 0.012018 
10 1.78 0.99232 0.984921 0.970908 0.0124841 
10 1.78 0.992338 0.984951 0.97094 0.0121244 
10 1.78 0.992632 0.985526 0.97204 0.0116648 
10 1.785 0.992138 0.984558 0.97019 0.0123467 
10 1.785 0.992364 0.984998 0.971023 0.011855 
10 1.785 0.992432 0.985133 0.971287 0.0118457 
10 1.79 0.992252 0.984786 0.970642 0.0124049 
10 1.79 0.992042 0.98437 0.969826 0.0124151 
10 1.79 0.991914 0.984135 0.969431 0.0134892 
10 1.795 0.992274 0.98484 0.970772 0.0129264 
10 1.795 0.992002 0.984287 0.969652 0.0121934 
10 1.795 0.991938 0.984161 0.969409 0.0122565 
10 1.8 0.992078 0.984447 0.969998 0.0126757 
10 1.8 0.991892 0.984081 0.969288 0.0128278 
10 1.8 0.991902 0.984106 0.969359 0.0131501 
10 1.805 0.99138 0.983081 0.967381 0.0136607 
10 1.805 0.991618 0.983538 0.968225 0.0128367 
10 1.805 0.99195 0.984199 0.969525 0.0129572 
10 1.81 0.991418 0.983158 0.96753 0.0137011 
10 1.81 0.991496 0.98331 0.967829 0.0135868 
10 1.81 0.991438 0.983188 0.967564 0.0132029 
10 1.815 0.991284 0.98289 0.967004 0.0135819 
10 1.815 0.991358 0.983036 0.967282 0.0135359 
10 1.815 0.991428 0.983174 0.967554 0.0134546 
10 1.82 0.991232 0.982791 0.966826 0.0137672 
10 1.82 0.991298 0.982927 0.967108 0.0140217 
10 1.82 0.99119 0.982708 0.96666 0.0137508 
10 1.825 0.991404 0.983135 0.967506 0.0138624 
10 1.825 0.991304 0.982951 0.967196 0.0146619 
10 1.825 0.990816 0.981977 0.965264 0.0142934 
10 1.83 0.990772 0.981918 0.965232 0.0157707 
10 1.83 0.99089 0.982131 0.965585 0.014619 
10 1.83 0.991048 0.982428 0.966116 0.0137673 
10 1.835 0.99059 0.981548 0.96448 0.0152094 
10 1.835 0.990548 0.981469 0.964345 0.0154387 
10 1.835 0.990698 0.981759 0.964892 0.0150623 
10 1.84 0.990648 0.981657 0.96468 0.0148641 
10 1.84 0.990396 0.981171 0.963772 0.0155741 
10 1.84 0.990444 0.981258 0.963916 0.0151415 
10 1.845 0.990714 0.981785 0.964918 0.0146629 
10 1.845 0.990536 0.981441 0.964278 0.0151519 
10 1.845 0.990104 0.980602 0.962694 0.0160645 
10 1.85 0.990146 0.980685 0.962856 0.0160032 
10 1.85 0.990484 0.981338 0.964073 0.0150836 
10 1.85 0.990178 0.98073 0.962878 0.0149821 
10 1.855 0.989784 0.979968 0.961449 0.0159414 
10 1.855 0.98994 0.980282 0.962081 0.0162025 
10 1.855 0.989948 0.9803 0.962123 0.0163406 
10 1.86 0.989892 0.980195 0.961934 0.01658 
10 1.86 0.989926 0.980262 0.962064 0.016576 
10 1.86 0.990084 0.980563 0.962613 0.0159566 
10 1.865 0.989686 0.979786 0.961136 0.0165052 
10 1.865 0.989836 0.98007 0.961649 0.0158012 
10 1.865 0.98983 0.980069 0.961678 0.0163974 
10 1.87 0.989498 0.979417 0.960423 0.0166368 
10 1.87 0.989684 0.979781 0.961121 0.0164011 
10 1.87 0.989516 0.979445 0.960455 0.0162228 
10 1.875 0.989338 0.979108 0.959845 0.0169665 
10 1.875 0.989718 0.979865 0.961334 0.0172246 
10 1.875 0.989592 0.979588 0.960705 0.0157479 
10 1.88 0.989106 0.978661 0.959011 0.017549 
10 1.88 0.988962 0.978398 0.958565 0.0187257 
10 1.88 0.988886 0.978241 0.958246 0.0183723 
10 1.885 0.988732 0.977937 0.957657 0.0183805 
10 1.885 0.989048 0.978544 0.958777 0.0173949 
10 1.885 0.988508 0.97752 0.95692 0.0197143 
10 1.89 0.98867 0.977808 0.957378 0.0179762 
10 1.89 0.988598 0.977671 0.957131 0.0182537 
10 1.89 0.988462 0.977413 0.956665 0.0188209 
10 1.895 0.988552 0.977578 0.956944 0.0181057 
10 1.895 0.988496 0.977476 0.956776 0.0185825 
10 1.895 0.988496 0.977471 0.956743 0.0182701 
10 1.9 0.988302 0.97709 0.956011 0.0183577 
10 1.9 0.988308 0.977098 0.956014 0.0181735 
10 1.9 0.987892 0.976309 0.954584 0.0199135 
10 1.905 0.988198 0.976894 0.955658 0.0188196 
10 1.905 0.987854 0.976234 0.954443 0.0198653 
10 1.905 0.988212 0.976929 0.955755 0.0192086 
10 1.91 0.98809 0.976694 0.955315 0.0194865 
10 1.91 0.987916 0.976347 0.954634 0.0193412 
10 1.91 0.987724 0.975985 0.953983 0.020223 
10 1.915 0.988074 0.976668 0.955284 0.0197374 
10 1.915 0.987776 0.976077 0.954128 0.0196268 
10 1.915 0.987754 0.976038 0.954066 0.019864 
10 1.92 0.987854 0.976234 0.95444 0.0196893 
10 1.92 0.98736 0.975287 0.952693 0.0212037 
10 1.92 0.987426 0.975402 0.952865 0.0204216 
10 1.925 0.98696 0.974494 0.951141 0.0209682 
10 1.925 0.987128 0.974836 0.951832 0.0215185 
10 1.925 0.986898 0.974391 0.951001 0.0219874 
10 1.93 0.986944 0.974474 0.951137 0.0215348 
10 1.93 0.986774 0.974146 0.950525 0.0219354 
10 1.93 0.987094 0.974769 0.951706 0.0214982 
10 1.935 0.986894 0.974382 0.950979 0.0218394 
10 1.935 0.986716 0.974031 0.950302 0.0218551 
10 1.935 0.986902 0.974398 0.951014 0.0218337 
10 1.94 0.986634 0.97388 0.950032 0.0223232 
10 1.94 0.986688 0.97398 0.950213 0.0219913 
10 1.94 0.98646 0.973545 0.949414 0.0227437 
10 1.945 0.986272 0.973171 0.948689 0.0225492 
10 1.945 0.986526 0.973645 0.949518 0.0211543 
10 1.945 0.986188 0.973018 0.948434 0.0232076 
10 1.95 0.985796 0.972272 0.947069 0.0245255 
10 1.95 0.985856 0.972387 0.947265 0.0243788 
10 1.95 0.986194 0.973013 0.948359 0.022252 
10 1.955 0.98596 0.972564 0.947536 0.0228746 
10 1.955 0.986024 0.972676 0.94771 0.0221479 
10 1.955 0.985368 0.971435 0.945474 0.0248258 
10 1.96 0.985678 0.972024 0.946545 0.0236388 
10 1.96 0.98572 0.972105 0.946693 0.0235389 
10 1.96 0.985338 0.971386 0.945399 0.0252421 
10 1.965 0.985016 0.970749 0.944168 0.0250524 
10 1.965 0.985246 0.971198 0.945016 0.0248407 
10 1.965 0.985604 0.971883 0.946283 0.0238227 
10 1.97 0.984898 0.970552 0.943894 0.0268005 
10 1.97 0.984626 0.969998 0.942766 0.0258477 
10 1.97 0.985148 0.97101 0.944673 0.0250669 
10 1.975 0.984506 0.969773 0.942366 0.0264008 
10 1.975 0.984678 0.970099 0.94296 0.0257416 
10 1.975 0.984454 0.969647 0.942055 0.0252011 
10 1.98 0.98443 0.969628 0.942113 0.0265624 
10 1.98 0.98488 0.97048 0.94365 0.0248134 
10 1.98 0.984604 0.969945 0.942631 0.0252365 
10 1.985 0.98481 0.970364 0.943493 0.0258753 
10 1.985 0.984212 0.969219 0.941328 0.027479 
10 1.985 0.9839 0.968607 0.940198 0.0275783 
10 1.99 0.98411 0.969002 0.940913 0.0266225 
10 1.99 0.984128 0.969028 0.940932 0.0261306 
10 1.99 0.983798 0.968407 0.939819 0.0275586 
10 1.995 0.983682 0.968186 0.93942 0.0278698 
10 1.995 0.98382 0.968451 0.939907 0.0275112 
10 1.995 0.984002 0.968789 0.940489 0.0264994 
10 2 0.984232 0.969218 0.941244 0.0252845 
10 2 0.983262 0.967361 0.937831 0.02783 
10 2 0.983122 0.967072 0.937234 0.0271587 
10 2.005 0.983778 0.968365 0.939729 0.0272402 
10 2.005 0.982864 0.966641 0.936626 0.0309046 
10 2.005 0.982694 0.966285 0.935881 0.0297767 
