J2 temperature m m2 m4 ms e sp_h 
0.2 1.5 0.99624 0.992585 0.985573 0.00606016 -238.253 0.0799164 
0.2 1.5 0.996278 0.992653 0.985684 0.00556445 -238.253 0.0785677 
0.2 1.505 0.99625 0.9926 0.985588 0.00573405 -238.245 0.0787646 
0.2 1.505 0.996368 0.992832 0.986035 0.00549692 -238.3 0.0766625 
0.2 1.51 0.996228 0.992557 0.985503 0.00573854 -238.239 0.0781911 
0.2 1.51 0.996126 0.992353 0.9851 0.00572133 -238.19 0.0786229 
0.2 1.515 0.995896 0.991903 0.984236 0.00621764 -238.088 0.0845375 
0.2 1.515 0.99598 0.992066 0.984541 0.00591417 -238.113 0.0820935 
0.2 1.52 0.995946 0.992 0.98442 0.00605297 -238.101 0.0833279 
0.2 1.52 0.99594 0.991989 0.984399 0.00607871 -238.106 0.0827388 
0.2 1.525 0.995856 0.991823 0.984075 0.00614474 -238.058 0.0846572 
0.2 1.525 0.995974 0.992055 0.984521 0.0059273 -238.121 0.0800969 
0.2 1.53 0.995786 0.991686 0.983813 0.0062825 -238.03 0.0861979 
0.2 1.53 0.995824 0.991759 0.983948 0.00612294 -238.047 0.0832514 
0.2 1.535 0.995758 0.991634 0.983723 0.00650719 -238.016 0.0883142 
0.2 1.535 0.99551 0.991143 0.982764 0.00673094 -237.904 0.0908411 
0.2 1.54 0.995628 0.991374 0.983203 0.00640556 -237.957 0.0860442 
0.2 1.54 0.995716 0.991547 0.983539 0.0062732 -237.992 0.0858617 
0.2 1.545 0.995634 0.991388 0.983238 0.00651508 -237.963 0.0865112 
0.2 1.545 0.995462 0.99105 0.982589 0.00685091 -237.888 0.0910042 
0.2 1.55 0.995334 0.990797 0.982093 0.00692829 -237.826 0.091446 
0.2 1.55 0.995532 0.991193 0.982882 0.0070269 -237.926 0.0918357 
0.2 1.555 0.995254 0.990638 0.981776 0.00688846 -237.791 0.0907168 
0.2 1.555 0.995058 0.990255 0.981048 0.00738371 -237.705 0.0958572 
0.2 1.56 0.99502 0.99018 0.980902 0.00739997 -237.684 0.0970303 
0.2 1.56 0.995132 0.990405 0.981352 0.0075117 -237.749 0.0957707 
0.2 1.565 0.995058 0.990253 0.981038 0.00722407 -237.704 0.094073 
0.2 1.565 0.994912 0.98997 0.980501 0.00764935 -237.645 0.0985511 
0.2 1.57 0.995002 0.990145 0.980833 0.00737962 -237.677 0.0957092 
0.2 1.57 0.994988 0.990117 0.980778 0.00737324 -237.667 0.0970682 
0.2 1.575 0.994996 0.990129 0.980789 0.00711619 -237.667 0.0937294 
0.2 1.575 0.994934 0.99001 0.980566 0.00736353 -237.636 0.0969942 
0.2 1.58 0.994822 0.989791 0.980151 0.00762205 -237.589 0.0995602 
0.2 1.58 0.9947 0.989551 0.979685 0.00778165 -237.537 0.100788 
0.2 1.585 0.994644 0.989445 0.979493 0.00807276 -237.507 0.104508 
0.2 1.585 0.994652 0.989459 0.979516 0.00799236 -237.515 0.101986 
0.2 1.59 0.994466 0.989093 0.97881 0.00822986 -237.434 0.105504 
0.2 1.59 0.99451 0.989184 0.979 0.00843647 -237.45 0.107521 
0.2 1.595 0.994376 0.988917 0.978466 0.00833421 -237.386 0.105616 
0.2 1.595 0.994508 0.989174 0.978958 0.00801993 -237.451 0.102407 
0.2 1.6 0.994134 0.98844 0.977542 0.00859188 -237.28 0.108777 
0.2 1.6 0.994276 0.988717 0.978069 0.00826224 -237.349 0.103335 
0.2 1.605 0.994326 0.988818 0.978276 0.00834428 -237.37 0.105256 
0.2 1.605 0.994316 0.9888 0.978248 0.00847926 -237.358 0.106894 
0.2 1.61 0.993858 0.987905 0.976538 0.00942583 -237.168 0.114673 
0.2 1.61 0.994102 0.988378 0.977424 0.00863438 -237.266 0.106995 
0.2 1.615 0.993916 0.98801 0.976708 0.00875449 -237.168 0.110704 
0.2 1.615 0.993932 0.988044 0.97678 0.00886064 -237.188 0.109882 
0.2 1.62 0.993648 0.987488 0.975715 0.00936124 -237.062 0.116142 
0.2 1.62 0.99409 0.988353 0.977372 0.00851802 -237.254 0.106634 
0.2 1.625 0.993902 0.987981 0.976645 0.00860889 -237.168 0.107771 
0.2 1.625 0.993658 0.98751 0.975765 0.00945102 -237.064 0.116956 
0.2 1.63 0.993666 0.987525 0.975794 0.00940371 -237.075 0.114817 
0.2 1.63 0.993726 0.98764 0.976 0.00909184 -237.102 0.110652 
0.2 1.635 0.99337 0.98694 0.974647 0.00953169 -236.942 0.115543 
0.2 1.635 0.99349 0.987172 0.975086 0.00917798 -236.974 0.113926 
0.2 1.64 0.99329 0.986786 0.974365 0.00983268 -236.9 0.119222 
0.2 1.64 0.993262 0.986729 0.974246 0.00972679 -236.89 0.117328 
0.2 1.645 0.993072 0.986354 0.973514 0.00983361 -236.802 0.119088 
0.2 1.645 0.993318 0.986836 0.974441 0.00944139 -236.895 0.116343 
0.2 1.65 0.993004 0.986228 0.973302 0.0103864 -236.779 0.123181 
0.2 1.65 0.993116 0.986444 0.973702 0.0099764 -236.817 0.120534 
0.2 1.655 0.992834 0.985901 0.972693 0.0110047 -236.716 0.124964 
0.2 1.655 0.99295 0.986126 0.97312 0.0106693 -236.747 0.127932 
0.2 1.66 0.992548 0.985328 0.971549 0.010645 -236.55 0.129452 
0.2 1.66 0.992748 0.985723 0.972317 0.0105041 -236.649 0.125823 
0.2 1.665 0.992886 0.985991 0.972823 0.010104 -236.706 0.122326 
0.2 1.665 0.992686 0.985604 0.9721 0.0107475 -236.642 0.125637 
0.2 1.67 0.992374 0.984991 0.970916 0.0110925 -236.485 0.130401 
0.2 1.67 0.992746 0.985717 0.972296 0.0102982 -236.645 0.123474 
0.2 1.675 0.99248 0.985191 0.971272 0.0104364 -236.515 0.125518 
0.2 1.675 0.992354 0.984947 0.97081 0.0107641 -236.468 0.127644 
0.2 1.68 0.992028 0.984312 0.969603 0.0114314 -236.312 0.136275 
0.2 1.68 0.992298 0.984843 0.970634 0.0111904 -236.455 0.130379 
0.2 1.685 0.99198 0.984217 0.969418 0.0114184 -236.298 0.13453 
0.2 1.685 0.991858 0.983981 0.968977 0.0118022 -236.258 0.135506 
0.2 1.69 0.991982 0.984225 0.969445 0.0116303 -236.313 0.131617 
0.2 1.69 0.991944 0.984153 0.969319 0.0118332 -236.3 0.135241 
0.2 1.695 0.991906 0.984079 0.969183 0.0119107 -236.278 0.137612 
0.2 1.695 0.991794 0.983853 0.968724 0.011685 -236.214 0.136896 
0.2 1.7 0.991526 0.983331 0.967731 0.0121971 -236.11 0.138853 
0.2 1.7 0.991508 0.98329 0.967628 0.0118474 -236.086 0.137265 
0.2 1.705 0.991556 0.983387 0.967827 0.0119542 -236.105 0.137909 
0.2 1.705 0.991584 0.983449 0.967972 0.0123197 -236.138 0.139979 
0.2 1.71 0.991286 0.982865 0.966849 0.0126986 -236.004 0.14222 
0.2 1.71 0.991402 0.983084 0.967238 0.0120254 -236.033 0.138863 
0.2 1.715 0.990932 0.982175 0.965538 0.0133558 -235.852 0.148056 
0.2 1.715 0.990858 0.982023 0.965222 0.013051 -235.799 0.148191 
0.2 1.72 0.991134 0.982567 0.966278 0.0128276 -235.938 0.143475 
0.2 1.72 0.991216 0.982727 0.96658 0.0126489 -235.986 0.139171 
0.2 1.725 0.990658 0.981634 0.964485 0.0133963 -235.722 0.148069 
0.2 1.725 0.990608 0.981541 0.964321 0.0137247 -235.707 0.150751 
0.2 1.73 0.990662 0.981652 0.964552 0.0139076 -235.723 0.153999 
0.2 1.73 0.990536 0.981395 0.964022 0.0134678 -235.655 0.151177 
0.2 1.735 0.99063 0.981583 0.964401 0.0135794 -235.705 0.151047 
0.2 1.735 0.990544 0.981409 0.964044 0.0133409 -235.675 0.146695 
0.2 1.74 0.990232 0.980812 0.962952 0.014544 -235.545 0.157338 
0.2 1.74 0.99013 0.980598 0.96249 0.0138519 -235.475 0.153398 
0.2 1.745 0.990272 0.980883 0.963059 0.0139923 -235.538 0.155247 
0.2 1.745 0.990168 0.980677 0.962654 0.0139949 -235.506 0.152471 
0.2 1.75 0.990104 0.980561 0.962465 0.0145731 -235.481 0.155959 
0.2 1.75 0.990006 0.980369 0.962097 0.0147109 -235.444 0.1569 
0.2 1.755 0.989872 0.980098 0.961549 0.0143489 -235.362 0.158061 
0.2 1.755 0.989906 0.980166 0.961683 0.0143676 -235.37 0.157966 
0.2 1.76 0.989562 0.9795 0.960429 0.0151527 -235.232 0.162766 
0.2 1.76 0.98951 0.9794 0.960241 0.0153227 -235.203 0.162186 
0.2 1.765 0.989366 0.979108 0.959647 0.0148849 -235.151 0.156911 
0.2 1.765 0.989246 0.978874 0.959206 0.0151111 -235.08 0.163414 
0.2 1.77 0.989326 0.979041 0.959562 0.0155404 -235.144 0.163648 
0.2 1.77 0.989052 0.978499 0.958504 0.015565 -235.007 0.166301 
0.2 1.775 0.988918 0.978243 0.958037 0.0160377 -234.959 0.168986 
0.2 1.775 0.988956 0.97832 0.958187 0.0160963 -234.971 0.168218 
0.2 1.78 0.988986 0.978371 0.958262 0.0156231 -234.97 0.165132 
0.2 1.78 0.988982 0.978379 0.958329 0.0164766 -235 0.168941 
0.2 1.785 0.988688 0.977802 0.957216 0.0166744 -234.855 0.172202 
0.2 1.785 0.989048 0.978492 0.958492 0.0154831 -235.01 0.161629 
0.2 1.79 0.988406 0.977257 0.956199 0.0173329 -234.752 0.175851 
0.2 1.79 0.988526 0.977484 0.956608 0.0168038 -234.775 0.175335 
0.2 1.795 0.988208 0.976865 0.955434 0.0172785 -234.638 0.17794 
0.2 1.795 0.98818 0.976801 0.955278 0.0167871 -234.627 0.174642 
0.2 1.8 0.988258 0.976962 0.955617 0.0171292 -234.674 0.175317 
0.2 1.8 0.988234 0.976915 0.955526 0.0171556 -234.653 0.175901 
0.2 1.805 0.9879 0.976263 0.954282 0.0175463 -234.513 0.178036 
0.2 1.805 0.988058 0.976571 0.95487 0.0173157 -234.576 0.178396 
0.2 1.81 0.98762 0.975725 0.953281 0.0183478 -234.394 0.180317 
0.2 1.81 0.987464 0.975424 0.952725 0.0187342 -234.33 0.188213 
0.2 1.815 0.987818 0.976112 0.954025 0.0180385 -234.483 0.181802 
0.2 1.815 0.987256 0.975012 0.951919 0.0186221 -234.236 0.186477 
0.2 1.82 0.987412 0.975314 0.95248 0.0182254 -234.282 0.181418 
0.2 1.82 0.98756 0.975598 0.953005 0.0177344 -234.364 0.17694 
0.2 1.825 0.986878 0.974275 0.950512 0.0189903 -234.057 0.189291 
0.2 1.825 0.986918 0.97437 0.950751 0.0198719 -234.127 0.189804 
0.2 1.83 0.986562 0.973651 0.949297 0.0189344 -233.906 0.190254 
