size temperature m m2 m4 mag_sus e sp_heat 
10 1.5 0.997546 0.995161 0.990586 0.00418253 -218.894 0.0510682 
10 1.5 0.997644 0.99535 0.990939 0.00375262 -218.924 0.0490551 
10 1.5 0.997606 0.995275 0.990792 0.00379658 -218.908 0.0488416 
10 1.505 0.997576 0.995216 0.99068 0.00386207 -218.898 0.0489934 
10 1.505 0.997582 0.995228 0.990703 0.00385603 -218.902 0.0487192 
10 1.505 0.99753 0.995127 0.990513 0.00405177 -218.88 0.0507517 
10 1.51 0.99748 0.995028 0.990317 0.00406156 -218.856 0.0513391 
10 1.51 0.997482 0.995029 0.99031 0.00389004 -218.848 0.0503257 
10 1.51 0.997408 0.994887 0.99005 0.0042809 -218.831 0.0519194 
10 1.515 0.997316 0.994707 0.989702 0.00448291 -218.791 0.053301 
10 1.515 0.997444 0.994954 0.990166 0.00395161 -218.827 0.0520747 
10 1.515 0.997594 0.995253 0.990758 0.00391889 -218.912 0.0491633 
10 1.52 0.997526 0.995118 0.990489 0.00391575 -218.871 0.049739 
10 1.52 0.997322 0.994718 0.989722 0.00439923 -218.786 0.0540512 
10 1.52 0.99737 0.99481 0.98989 0.00414231 -218.804 0.0519573 
10 1.525 0.997512 0.995086 0.990413 0.00365966 -218.861 0.0477074 
10 1.525 0.997274 0.994622 0.989528 0.00434681 -218.768 0.0536134 
10 1.525 0.997204 0.994486 0.989274 0.00462311 -218.738 0.0555316 
10 1.53 0.997148 0.994378 0.98907 0.00480693 -218.721 0.0568504 
10 1.53 0.9974 0.994871 0.990015 0.00419085 -218.818 0.0513835 
10 1.53 0.997278 0.99463 0.989548 0.00438109 -218.77 0.0532796 
10 1.535 0.997186 0.994449 0.989194 0.00447957 -218.726 0.0548212 
10 1.535 0.997094 0.994268 0.988845 0.00465897 -218.684 0.0574737 
10 1.535 0.997126 0.994331 0.988967 0.00460848 -218.698 0.0557697 
10 1.54 0.99714 0.994354 0.988998 0.00430522 -218.7 0.0538022 
10 1.54 0.997028 0.994139 0.988597 0.00480826 -218.658 0.0579414 
10 1.54 0.997028 0.994137 0.988589 0.00471475 -218.65 0.0580964 
10 1.545 0.997138 0.994354 0.989009 0.00451579 -218.702 0.0552347 
10 1.545 0.997056 0.994192 0.988693 0.00461701 -218.663 0.0568519 
10 1.545 0.997058 0.994199 0.988716 0.00478606 -218.671 0.0574245 
10 1.55 0.997086 0.994255 0.988828 0.00478636 -218.687 0.0571186 
10 1.55 0.997114 0.994305 0.98891 0.00445103 -218.685 0.0552763 
10 1.55 0.996984 0.99406 0.988472 0.00534863 -218.657 0.0593441 
10 1.555 0.997006 0.994095 0.988511 0.00476116 -218.657 0.0562699 
10 1.555 0.996966 0.994016 0.988356 0.00481253 -218.627 0.0576192 
10 1.555 0.996832 0.993763 0.987903 0.00574944 -218.587 0.0624863 
10 1.56 0.996876 0.993843 0.988036 0.00520517 -218.612 0.0581173 
10 1.56 0.996958 0.994 0.988325 0.00479399 -218.625 0.0575837 
10 1.56 0.996828 0.993751 0.987866 0.00545246 -218.581 0.0613119 
10 1.565 0.99691 0.993904 0.988135 0.00478031 -218.598 0.0581872 
10 1.565 0.996824 0.99374 0.987836 0.00525451 -218.581 0.0604875 
10 1.565 0.99679 0.993673 0.987703 0.00526875 -218.564 0.0612674 
10 1.57 0.996618 0.99333 0.987024 0.00528166 -218.465 0.063166 
10 1.57 0.996724 0.993542 0.987444 0.0052833 -218.528 0.061137 
10 1.57 0.996658 0.993413 0.987202 0.00549752 -218.509 0.0625826 
10 1.575 0.99672 0.993533 0.987424 0.00521915 -218.522 0.0607628 
10 1.575 0.99656 0.993215 0.986796 0.00527279 -218.447 0.0622413 
10 1.575 0.996586 0.993269 0.986909 0.00539331 -218.459 0.0624697 
10 1.58 0.996676 0.993449 0.987272 0.0054526 -218.51 0.0618101 
10 1.58 0.99652 0.993139 0.986658 0.00548162 -218.436 0.0645078 
10 1.58 0.996486 0.993073 0.986533 0.00558556 -218.415 0.0653843 
10 1.585 0.996552 0.99321 0.986823 0.00591238 -218.459 0.0649779 
10 1.585 0.99657 0.993241 0.986873 0.00565521 -218.47 0.0632327 
10 1.585 0.996546 0.993191 0.986762 0.00547318 -218.45 0.0629787 
10 1.59 0.996382 0.992872 0.986157 0.00595661 -218.383 0.0663329 
10 1.59 0.996386 0.992872 0.986131 0.00547541 -218.367 0.0650485 
