J: 10.0714 1.25154 -0.104843 0 
nth temperature m m2 m4 ms e sp_h 
2 1 0.999842 0.999687 0.999388 0.000329504 -219.924 0.00759176 
2 1 0.950668 0.935834 0.928993 3.2064 -214.377 4.10379 
2 1.005 0.905034 0.874707 0.856716 5.5344 -210.111 5.66902 
2 1.005 0.999836 0.999675 0.999363 0.000323692 -219.921 0.00742076 
2 1.01 0.9488 0.922905 0.902554 2.24593 -214.19 2.77012 
2 1.01 0.788108 0.775346 0.774149 15.2705 -203.262 9.41869 
2 1.015 0.999838 0.99968 0.999373 0.000348153 -219.924 0.00719308 
2 1.015 0.986398 0.97799 0.969524 0.493532 -218.427 0.616421 
2 1.02 0.970372 0.95936 0.953428 1.73902 -216.954 1.75977 
2 1.02 0.999824 0.999652 0.999317 0.000349904 -219.916 0.00772808 
2 1.025 0.999754 0.999513 0.999047 0.000497511 -219.884 0.0106623 
2 1.025 0.9683 0.958496 0.954304 2.03817 -217.149 1.53401 
2 1.03 0.871458 0.818996 0.788094 5.7822 -207.35 5.40328 
2 1.03 0.934968 0.933931 0.933611 5.8025 -215.085 3.1388 
2 1.035 0.33286 0.282092 0.27371 16.5503 -165.885 11.4974 
2 1.035 0.530156 0.502185 0.499771 21.3642 -184.659 11.651 
2 1.04 0.855468 0.846777 0.845815 11.0531 -211.294 3.789 
2 1.04 0.999806 0.999616 0.999248 0.000392535 -219.908 0.00847195 
2 1.045 0.997332 0.995904 0.994572 0.117964 -219.612 0.168938 
2 1.045 0.999768 0.999541 0.999103 0.000500113 -219.892 0.0100239 
2 1.05 0.975584 0.970305 0.968601 1.76581 -218.181 0.850365 
2 1.05 0.980788 0.975309 0.973066 1.27277 -218.179 1.01657 
2 1.055 0.92575 0.920559 0.919607 6.02333 -213.232 4.61326 
2 1.055 0.92519 0.903338 0.894753 4.4892 -214.174 2.50897 
2 1.06 0.999732 0.99947 0.998966 0.000604545 -219.879 0.0110313 
2 1.06 0.999728 0.999462 0.998947 0.000551511 -219.871 0.0116632 
2 1.065 0.999682 0.999371 0.99877 0.000662805 -219.853 0.0127344 
2 1.065 0.999766 0.999537 0.999093 0.000449319 -219.889 0.00939879 
2 1.07 0.99973 0.999465 0.998952 0.000505336 -219.871 0.0107221 
2 1.07 0.999706 0.999419 0.998863 0.000616221 -219.861 0.0126327 
2 1.075 0.999718 0.999443 0.998913 0.000643765 -219.872 0.0110028 
2 1.075 0.99973 0.999466 0.998953 0.00051787 -219.872 0.0106262 
2 1.08 0.704308 0.654505 0.642695 14.6718 -196.888 8.14896 
2 1.08 0.99271 0.988409 0.984236 0.271816 -219.062 0.343075 
2 1.085 0.983834 0.975796 0.969592 0.725027 -217.72 1.22106 
2 1.085 0.999602 0.999213 0.998461 0.00080752 -219.815 0.0154511 
2 1.09 0.667706 0.618867 0.601288 15.8748 -193.748 8.89296 
2 1.09 0.999604 0.999217 0.998468 0.000792953 -219.815 0.0153856 
2 1.095 0.999642 0.999292 0.998614 0.000700624 -219.831 0.0139839 
2 1.095 0.974884 0.963509 0.955811 1.1973 -217.44 1.05883 
2 1.1 0.880606 0.857006 0.850694 7.41267 -211.332 3.48523 
2 1.1 0.999676 0.999359 0.998745 0.000615911 -219.846 0.0124494 
2 1.105 0.99959 0.999189 0.998413 0.000799267 -219.809 0.0151787 
2 1.105 0.952472 0.929376 0.910871 2.00662 -214.471 2.27376 
2 1.11 0.999604 0.999218 0.998476 0.000908395 -219.821 0.0156184 
2 1.11 0.902594 0.873989 0.859983 5.34352 -209.56 5.4486 
2 1.115 0.776156 0.771813 0.770991 15.1924 -206.813 4.69364 
2 1.115 0.99958 0.999169 0.998376 0.000830816 -219.806 0.0152702 
2 1.12 0.999602 0.999213 0.998461 0.000789428 -219.816 0.0143578 
2 1.12 0.9996 0.999209 0.998456 0.000828571 -219.816 0.0145775 
2 1.125 0.999576 0.999161 0.998359 0.00081602 -219.803 0.0151352 
2 1.125 0.999542 0.999094 0.998227 0.000866688 -219.785 0.0164609 
2 1.13 0.99951 0.999031 0.998102 0.000909726 -219.77 0.0172725 
2 1.13 0.999518 0.999047 0.998135 0.000917493 -219.775 0.0170049 
2 1.135 0.999508 0.999028 0.998103 0.00105004 -219.776 0.0175536 
2 1.135 0.931486 0.912602 0.905305 3.95909 -214.063 2.4616 
