J: 3.57825 1.11248 0 0 
nth temperature m m2 m4 ms e sp_h 
1 1 0.99983 0.999664 0.999341 0.00035311 -219.92 0.00777011 
1 1 0.999826 0.999656 0.999326 0.000360972 -219.918 0.0079513 
1 1.005 0.999846 0.999695 0.999403 0.000320028 -219.927 0.00697468 
1 1.005 0.99985 0.999703 0.999419 0.000312189 -219.929 0.00697599 
1 1.01 0.999836 0.999676 0.999367 0.000377535 -219.924 0.00729438 
1 1.01 0.999862 0.999727 0.999466 0.000295144 -219.935 0.00619477 
1 1.015 0.99983 0.999664 0.999341 0.000347892 -219.92 0.00754215 
1 1.015 0.999832 0.999668 0.999349 0.000351899 -219.92 0.0076331 
1 1.02 0.999812 0.999628 0.999272 0.000388692 -219.911 0.0084287 
1 1.02 0.99983 0.999664 0.999343 0.000385402 -219.921 0.00770828 
1 1.025 0.99978 0.999565 0.999148 0.000463571 -219.897 0.00955157 
1 1.025 0.999802 0.999608 0.999233 0.000413736 -219.907 0.00860467 
1 1.03 0.999768 0.999541 0.999104 0.00052293 -219.894 0.0101495 
1 1.03 0.999776 0.999558 0.999136 0.000531051 -219.898 0.00975304 
1 1.035 0.999798 0.9996 0.999218 0.000417314 -219.905 0.0086079 
1 1.035 0.999808 0.99962 0.999258 0.00041383 -219.911 0.00818908 
1 1.04 0.999784 0.999573 0.999164 0.000457052 -219.899 0.00935102 
1 1.04 0.999802 0.999609 0.999235 0.000430846 -219.908 0.00839093 
1 1.045 0.999774 0.999553 0.999127 0.000496548 -219.895 0.00977805 
1 1.045 0.999786 0.999577 0.999171 0.000435809 -219.9 0.00894001 
1 1.05 0.999768 0.999541 0.999102 0.000482493 -219.891 0.00975984 
1 1.05 0.999766 0.999538 0.999098 0.000547166 -219.894 0.00968337 
1 1.055 0.999796 0.999596 0.99921 0.000413117 -219.904 0.00836579 
1 1.055 0.99977 0.999545 0.999111 0.000499251 -219.894 0.00945471 
1 1.06 0.999782 0.999569 0.999156 0.000437026 -219.896 0.00917426 
1 1.06 0.999744 0.999494 0.99901 0.000537214 -219.88 0.0105676 
1 1.065 0.999722 0.99945 0.998923 0.000552368 -219.869 0.0113073 
1 1.065 0.999748 0.999502 0.999026 0.000527371 -219.883 0.0102837 
1 1.07 0.9997 0.999406 0.998838 0.000597196 -219.859 0.0120641 
1 1.07 0.99975 0.999505 0.999032 0.000506308 -219.883 0.00994654 
1 1.075 0.999704 0.999415 0.998856 0.000624408 -219.863 0.0118325 
1 1.075 0.999704 0.999414 0.998854 0.00059464 -219.861 0.0117992 
1 1.08 0.9997 0.999407 0.998839 0.000599074 -219.859 0.0117375 
1 1.08 0.99967 0.999348 0.998725 0.000689917 -219.846 0.0129453 
1 1.085 0.999656 0.99932 0.99867 0.000704301 -219.838 0.0138985 
1 1.085 0.999732 0.99947 0.998962 0.000516883 -219.873 0.0105116 
1 1.09 0.99964 0.999288 0.998608 0.000729394 -219.832 0.0140407 
1 1.09 0.999702 0.99941 0.998845 0.000568 -219.859 0.0113931 
1 1.095 0.999668 0.999343 0.998715 0.00066208 -219.845 0.0128688 
1 1.095 0.99972 0.999446 0.998916 0.000548091 -219.869 0.0106207 
1 1.1 0.999644 0.999297 0.998628 0.000788479 -219.837 0.0134042 
1 1.1 0.999586 0.999181 0.998398 0.000817146 -219.805 0.0162156 
