J: 3.45308 1.11174 0 0 
nth step2 temperature e 
1 1024 1.5 -217.955 
1 1024 1.5 -218.179 
1 1024 1.5 -217.966 
1 1024 1.5 -218.073 
1 1024 1.5 -218.032 
1 1024 1.5 -218.027 
1 1024 1.5 -218.08 
1 1024 1.5 -218.279 
1 1024 1.5 -218.23 
1 1024 1.5 -217.937 
1 1024 1.5 -218.093 
1 1024 1.5 -217.951 
1 1024 1.5 -218.253 
1 1024 1.5 -218.005 
1 1024 1.5 -217.93 
1 1024 1.5 -217.715 
1 1024 1.5 -218.091 
1 1024 1.5 -218.266 
1 1024 1.5 -217.983 
1 1024 1.5 -217.955 
1 1024 1.5 -218.148 
1 1024 1.5 -217.926 
1 1024 1.5 -218.216 
1 1024 1.5 -218.065 
1 1024 1.5 -217.892 
1 1024 1.505 -217.815 
1 1024 1.505 -217.973 
1 1024 1.505 -217.893 
1 1024 1.505 -217.968 
1 1024 1.505 -217.809 
1 1024 1.505 -217.948 
1 1024 1.505 -218.032 
1 1024 1.505 -218.11 
1 1024 1.505 -218.068 
1 1024 1.505 -218.003 
1 1024 1.505 -218.122 
1 1024 1.505 -217.796 
1 1024 1.505 -218.233 
1 1024 1.505 -218.005 
1 1024 1.505 -218.009 
1 1024 1.505 -218.026 
1 1024 1.505 -217.766 
1 1024 1.505 -218.062 
1 1024 1.505 -217.905 
1 1024 1.505 -218.18 
1 1024 1.505 -217.572 
1 1024 1.505 -218.083 
1 1024 1.505 -218.146 
1 1024 1.505 -217.961 
1 1024 1.505 -217.979 
1 1024 1.51 -217.75 
1 1024 1.51 -217.995 
1 1024 1.51 -217.962 
1 1024 1.51 -217.838 
1 1024 1.51 -217.882 
1 1024 1.51 -217.917 
1 1024 1.51 -217.878 
1 1024 1.51 -217.816 
1 1024 1.51 -217.976 
1 1024 1.51 -218.028 
1 1024 1.51 -217.947 
1 1024 1.51 -217.991 
1 1024 1.51 -217.825 
1 1024 1.51 -217.916 
1 1024 1.51 -218.05 
1 1024 1.51 -217.773 
