J: 9.0312 1.23346 -0.0886069 -0.004124 
nth step2 temperature e 
3 2048 1.5 -218.023 
3 2048 1.5 -217.938 
3 2048 1.5 -218.074 
3 2048 1.5 -217.884 
3 2048 1.5 -217.914 
3 2048 1.5 -218.152 
3 2048 1.5 -217.931 
3 2048 1.5 -217.862 
3 2048 1.5 -218.018 
3 2048 1.5 -218.029 
3 2048 1.5 -217.948 
3 2048 1.5 -218.055 
3 2048 1.5 -218.032 
3 2048 1.5 -217.988 
3 2048 1.5 -218.067 
3 2048 1.5 -217.859 
3 2048 1.5 -218.143 
3 2048 1.5 -217.953 
3 2048 1.5 -218.209 
3 2048 1.5 -217.79 
3 2048 1.5 -218.025 
3 2048 1.5 -218.104 
3 2048 1.5 -217.968 
3 2048 1.5 -217.864 
3 2048 1.5 -218.111 
3 2048 1.505 -218.013 
3 2048 1.505 -217.947 
3 2048 1.505 -217.976 
3 2048 1.505 -217.885 
3 2048 1.505 -218.005 
3 2048 1.505 -217.939 
3 2048 1.505 -217.771 
3 2048 1.505 -217.966 
3 2048 1.505 -218.161 
3 2048 1.505 -217.857 
3 2048 1.505 -217.957 
3 2048 1.505 -218.024 
3 2048 1.505 -217.676 
3 2048 1.505 -217.698 
3 2048 1.505 -217.998 
3 2048 1.505 -218.156 
3 2048 1.505 -217.979 
3 2048 1.505 -218.123 
3 2048 1.505 -217.992 
3 2048 1.505 -217.946 
3 2048 1.505 -217.737 
3 2048 1.505 -217.929 
3 2048 1.505 -218.086 
3 2048 1.505 -218.012 
3 2048 1.505 -218.001 
3 2048 1.51 -217.842 
3 2048 1.51 -218.048 
3 2048 1.51 -217.889 
3 2048 1.51 -217.808 
3 2048 1.51 -218.017 
3 2048 1.51 -217.811 
3 2048 1.51 -217.898 
3 2048 1.51 -217.979 
3 2048 1.51 -218.036 
3 2048 1.51 -217.734 
3 2048 1.51 -217.761 
3 2048 1.51 -218.092 
3 2048 1.51 -218.077 
3 2048 1.51 -217.806 
3 2048 1.51 -218.12 
3 2048 1.51 -217.849 
3 2048 1.51 -217.885 
3 2048 1.51 -217.735 
3 2048 1.51 -217.836 
3 2048 1.51 -217.861 
3 2048 1.51 -217.801 
3 2048 1.51 -217.703 
3 2048 1.51 -217.968 
3 2048 1.51 -217.929 
3 2048 1.51 -218.045 
3 2048 1.515 -218.063 
3 2048 1.515 -217.739 
3 2048 1.515 -218.105 
3 2048 1.515 -217.788 
3 2048 1.515 -217.788 
3 2048 1.515 -217.691 
3 2048 1.515 -218.035 
3 2048 1.515 -217.805 
3 2048 1.515 -217.901 
3 2048 1.515 -217.878 
3 2048 1.515 -217.955 
3 2048 1.515 -218.011 
3 2048 1.515 -217.948 
3 2048 1.515 -217.877 
