sizes temp ene 
10 1.5 -217.97 
10 1.5 -217.922 
10 1.5 -218.143 
10 1.5 -218.031 
10 1.5 -218.005 
10 1.5 -217.997 
10 1.5 -217.942 
10 1.5 -218.055 
10 1.5 -218.133 
10 1.5 -218.032 
10 1.5 -217.991 
10 1.5 -218.013 
10 1.5 -218.03 
10 1.5 -217.987 
10 1.5 -217.995 
10 1.5 -217.989 
10 1.5 -218.025 
10 1.5 -217.976 
10 1.5 -217.965 
10 1.5 -217.957 
10 1.5 -217.942 
10 1.5 -217.962 
10 1.5 -217.978 
10 1.5 -218.06 
10 1.5 -217.996 
10 1.505 -217.951 
10 1.505 -217.935 
10 1.505 -217.852 
10 1.505 -217.937 
10 1.505 -217.979 
10 1.505 -217.958 
10 1.505 -217.864 
10 1.505 -217.905 
10 1.505 -217.891 
10 1.505 -217.959 
10 1.505 -217.883 
10 1.505 -217.974 
10 1.505 -217.974 
10 1.505 -217.949 
10 1.505 -217.929 
10 1.505 -217.918 
10 1.505 -218.001 
10 1.505 -217.978 
10 1.505 -217.944 
10 1.505 -217.982 
10 1.505 -218.02 
10 1.505 -218.006 
10 1.505 -217.941 
10 1.505 -217.924 
10 1.505 -217.958 
10 1.51 -217.908 
10 1.51 -217.955 
10 1.51 -217.855 
10 1.51 -217.86 
10 1.51 -217.875 
10 1.51 -217.928 
10 1.51 -217.913 
10 1.51 -217.93 
10 1.51 -217.887 
10 1.51 -217.874 
10 1.51 -217.885 
10 1.51 -217.916 
10 1.51 -217.865 
10 1.51 -217.907 
10 1.51 -217.86 
10 1.51 -217.827 
10 1.51 -217.968 
10 1.51 -217.968 
10 1.51 -217.92 
10 1.51 -217.903 
10 1.51 -217.938 
10 1.51 -217.884 
10 1.51 -217.959 
10 1.51 -217.923 
10 1.51 -217.861 
10 1.515 -217.968 
10 1.515 -217.774 
10 1.515 -217.841 
10 1.515 -217.846 
10 1.515 -217.956 
10 1.515 -217.831 
10 1.515 -217.85 
10 1.515 -217.907 
10 1.515 -217.916 
10 1.515 -217.954 
10 1.515 -217.797 
10 1.515 -217.867 
10 1.515 -217.919 
10 1.515 -217.865 
10 1.515 -217.832 
10 1.515 -217.84 
10 1.515 -218.008 
10 1.515 -217.899 
10 1.515 -217.825 
10 1.515 -217.751 
10 1.515 -217.847 
10 1.515 -217.968 
10 1.515 -217.836 
10 1.515 -217.896 
10 1.515 -217.793 
10 1.52 -217.822 
10 1.52 -217.712 
10 1.52 -217.849 
10 1.52 -217.808 
10 1.52 -217.832 
10 1.52 -217.832 
10 1.52 -217.837 
10 1.52 -217.785 
10 1.52 -217.851 
10 1.52 -217.83 
10 1.52 -217.89 
10 1.52 -217.772 
10 1.52 -217.834 
10 1.52 -217.797 
10 1.52 -217.865 
10 1.52 -217.744 
10 1.52 -217.752 
10 1.52 -217.853 
10 1.52 -217.764 
10 1.52 -217.811 
10 1.52 -217.761 
10 1.52 -217.731 
10 1.52 -217.735 
10 1.52 -217.696 
10 1.52 -217.88 
10 1.525 -217.806 
10 1.525 -217.739 
10 1.525 -217.649 
10 1.525 -217.72 
10 1.525 -217.791 
10 1.525 -217.787 
10 1.525 -217.842 
10 1.525 -217.845 
10 1.525 -217.811 
10 1.525 -217.786 
10 1.525 -217.808 
10 1.525 -217.74 
10 1.525 -217.695 
10 1.525 -217.798 
10 1.525 -217.733 
10 1.525 -217.753 
10 1.525 -217.808 
10 1.525 -217.718 
10 1.525 -217.77 
10 1.525 -217.675 
10 1.525 -217.693 
10 1.525 -217.726 
10 1.525 -217.837 
10 1.525 -217.755 
10 1.525 -217.754 
10 1.53 -217.7 
10 1.53 -217.659 
10 1.53 -217.724 
10 1.53 -217.747 
10 1.53 -217.631 
10 1.53 -217.695 
10 1.53 -217.735 
10 1.53 -217.789 
10 1.53 -217.629 
10 1.53 -217.724 
10 1.53 -217.695 
10 1.53 -217.626 
10 1.53 -217.716 
10 1.53 -217.68 
10 1.53 -217.732 
10 1.53 -217.705 
10 1.53 -217.641 
10 1.53 -217.766 
10 1.53 -217.689 
10 1.53 -217.721 
10 1.53 -217.752 
10 1.53 -217.696 
10 1.53 -217.675 
10 1.53 -217.798 
10 1.53 -217.678 
10 1.535 -217.625 
10 1.535 -217.563 
10 1.535 -217.602 
10 1.535 -217.691 
10 1.535 -217.713 
10 1.535 -217.77 
10 1.535 -217.648 
10 1.535 -217.65 
10 1.535 -217.644 
10 1.535 -217.657 
10 1.535 -217.597 
10 1.535 -217.674 
10 1.535 -217.586 
10 1.535 -217.708 
10 1.535 -217.65 
10 1.535 -217.573 
10 1.535 -217.635 
10 1.535 -217.705 
10 1.535 -217.694 
10 1.535 -217.682 
10 1.535 -217.706 
10 1.535 -217.664 
10 1.535 -217.683 
10 1.535 -217.644 
10 1.535 -217.534 
10 1.54 -217.578 
10 1.54 -217.52 
10 1.54 -217.546 
10 1.54 -217.58 
10 1.54 -217.658 
10 1.54 -217.634 
10 1.54 -217.588 
10 1.54 -217.537 
10 1.54 -217.631 
10 1.54 -217.561 
10 1.54 -217.537 
10 1.54 -217.526 
10 1.54 -217.607 
10 1.54 -217.586 
10 1.54 -217.568 
10 1.54 -217.568 
10 1.54 -217.708 
10 1.54 -217.541 
10 1.54 -217.623 
10 1.54 -217.693 
10 1.54 -217.65 
10 1.54 -217.573 
10 1.54 -217.595 
10 1.54 -217.68 
10 1.54 -217.614 
10 1.545 -217.516 
10 1.545 -217.553 
10 1.545 -217.515 
10 1.545 -217.524 
10 1.545 -217.523 
10 1.545 -217.548 
10 1.545 -217.515 
10 1.545 -217.519 
10 1.545 -217.422 
10 1.545 -217.548 
10 1.545 -217.517 
10 1.545 -217.425 
10 1.545 -217.436 
10 1.545 -217.606 
10 1.545 -217.482 
10 1.545 -217.434 
10 1.545 -217.523 
10 1.545 -217.511 
10 1.545 -217.622 
10 1.545 -217.472 
10 1.545 -217.582 
10 1.545 -217.393 
10 1.545 -217.554 
10 1.545 -217.469 
10 1.545 -217.585 
10 1.55 -217.652 
10 1.55 -217.531 
10 1.55 -217.468 
10 1.55 -217.521 
10 1.55 -217.396 
10 1.55 -217.489 
10 1.55 -217.449 
10 1.55 -217.467 
10 1.55 -217.483 
10 1.55 -217.471 
10 1.55 -217.507 
10 1.55 -217.498 
10 1.55 -217.411 
10 1.55 -217.46 
10 1.55 -217.509 
10 1.55 -217.572 
10 1.55 -217.522 
10 1.55 -217.523 
10 1.55 -217.492 
10 1.55 -217.513 
10 1.55 -217.509 
10 1.55 -217.488 
10 1.55 -217.524 
10 1.55 -217.38 
10 1.55 -217.531 
10 1.555 -217.397 
10 1.555 -217.398 
10 1.555 -217.526 
10 1.555 -217.437 
10 1.555 -217.4 
10 1.555 -217.437 
10 1.555 -217.398 
10 1.555 -217.374 
10 1.555 -217.464 
10 1.555 -217.437 
10 1.555 -217.295 
10 1.555 -217.512 
10 1.555 -217.386 
10 1.555 -217.459 
10 1.555 -217.391 
10 1.555 -217.429 
10 1.555 -217.512 
10 1.555 -217.396 
10 1.555 -217.379 
10 1.555 -217.468 
10 1.555 -217.454 
10 1.555 -217.492 
10 1.555 -217.417 
10 1.555 -217.418 
10 1.555 -217.43 
10 1.56 -217.388 
10 1.56 -217.339 
10 1.56 -217.356 
10 1.56 -217.401 
10 1.56 -217.287 
10 1.56 -217.293 
10 1.56 -217.411 
10 1.56 -217.273 
10 1.56 -217.392 
10 1.56 -217.417 
10 1.56 -217.429 
10 1.56 -217.489 
10 1.56 -217.41 
10 1.56 -217.328 
10 1.56 -217.394 
10 1.56 -217.326 
10 1.56 -217.355 
10 1.56 -217.315 
10 1.56 -217.355 
10 1.56 -217.271 
10 1.56 -217.3 
10 1.56 -217.329 
10 1.56 -217.418 
10 1.56 -217.463 
10 1.56 -217.399 
10 1.565 -217.244 
10 1.565 -217.291 
10 1.565 -217.285 
10 1.565 -217.342 
10 1.565 -217.258 
10 1.565 -217.211 
10 1.565 -217.279 
10 1.565 -217.255 
10 1.565 -217.282 
10 1.565 -217.358 
10 1.565 -217.151 
10 1.565 -217.355 
10 1.565 -217.347 
10 1.565 -217.299 
10 1.565 -217.343 
10 1.565 -217.419 
10 1.565 -217.275 
10 1.565 -217.303 
10 1.565 -217.338 
10 1.565 -217.325 
10 1.565 -217.266 
10 1.565 -217.259 
10 1.565 -217.31 
10 1.565 -217.295 
10 1.565 -217.278 
10 1.57 -217.344 
10 1.57 -217.251 
10 1.57 -217.198 
10 1.57 -217.19 
10 1.57 -217.189 
