sizes temp ene 
10 3.15 -96.5161 
10 3.15 -96.4008 
10 3.15 -95.9604 
10 3.15 -96.4693 
10 3.15 -95.8958 
10 3.15 -96.7608 
10 3.15 -97.393 
10 3.15 -96.3077 
10 3.15 -96.8743 
10 3.15 -96.699 
10 3.15 -96.3592 
10 3.15 -96.8866 
10 3.15 -96.3467 
10 3.15 -96.4869 
10 3.15 -96.1298 
10 3.15 -95.9842 
10 3.15 -95.9675 
10 3.15 -95.6911 
10 3.15 -96.4042 
10 3.15 -96.3569 
10 3.15 -96.0251 
10 3.15 -97.1212 
10 3.15 -96.967 
10 3.15 -96.4699 
10 3.15 -95.9373 
10 3.155 -96.3795 
10 3.155 -96.1018 
10 3.155 -96.0645 
10 3.155 -96.1484 
10 3.155 -96.2197 
10 3.155 -96.1508 
10 3.155 -96.6034 
10 3.155 -95.9882 
10 3.155 -96.7717 
10 3.155 -96.3902 
10 3.155 -96.3202 
10 3.155 -96.1457 
10 3.155 -95.6897 
10 3.155 -96.2266 
10 3.155 -96.455 
10 3.155 -96.3435 
10 3.155 -96.1096 
10 3.155 -96.0672 
10 3.155 -96.0154 
10 3.155 -96.541 
10 3.155 -96.0654 
10 3.155 -96.0941 
10 3.155 -96.7125 
10 3.155 -96.0133 
10 3.155 -95.8489 
10 3.16 -96.376 
10 3.16 -95.5398 
10 3.16 -95.9295 
10 3.16 -95.748 
10 3.16 -95.43 
10 3.16 -95.8197 
10 3.16 -95.757 
10 3.16 -96.4936 
10 3.16 -96.5498 
10 3.16 -95.6281 
10 3.16 -96.1162 
10 3.16 -95.4869 
10 3.16 -96.2619 
10 3.16 -95.8804 
10 3.16 -95.5282 
10 3.16 -96.2544 
10 3.16 -95.9776 
10 3.16 -95.3752 
10 3.16 -96.1666 
10 3.16 -96.0663 
10 3.16 -96.1271 
10 3.16 -96.0205 
10 3.16 -95.7438 
10 3.16 -95.2208 
10 3.16 -95.6932 
10 3.165 -95.7281 
10 3.165 -96.1489 
10 3.165 -95.7571 
10 3.165 -95.328 
10 3.165 -95.7979 
10 3.165 -95.9338 
10 3.165 -95.5072 
10 3.165 -96.1382 
10 3.165 -95.8431 
10 3.165 -95.391 
10 3.165 -95.3726 
10 3.165 -95.9526 
10 3.165 -95.2556 
10 3.165 -95.495 
10 3.165 -95.214 
10 3.165 -95.5817 
10 3.165 -95.7628 
10 3.165 -96.0311 
10 3.165 -95.4945 
10 3.165 -95.8055 
10 3.165 -95.4093 
10 3.165 -95.2422 
10 3.165 -95.462 
10 3.165 -95.3666 
10 3.165 -95.7529 
10 3.17 -95.7078 
10 3.17 -95.6418 
10 3.17 -95.676 
10 3.17 -94.8886 
10 3.17 -94.7115 
10 3.17 -94.5502 
10 3.17 -94.8473 
10 3.17 -95.5764 
10 3.17 -94.9541 
10 3.17 -94.9794 
10 3.17 -95.4293 
10 3.17 -95.8566 
10 3.17 -94.8557 
10 3.17 -94.9315 
10 3.17 -95.2951 
10 3.17 -95.1199 
10 3.17 -95.247 
10 3.17 -95.1061 
10 3.17 -95.5761 
10 3.17 -95.061 
10 3.17 -95.4585 
10 3.17 -95.7329 
10 3.17 -95.449 
10 3.17 -95.1217 
10 3.17 -95.3552 
10 3.175 -95.1974 
10 3.175 -94.8934 
10 3.175 -95.5001 
10 3.175 -95.0674 
10 3.175 -94.699 
10 3.175 -95.1041 
10 3.175 -94.9206 
10 3.175 -95.0562 
10 3.175 -95.3132 
10 3.175 -94.8646 
10 3.175 -94.6711 
10 3.175 -95.4018 
10 3.175 -95.4272 
10 3.175 -94.7845 
10 3.175 -94.7934 
10 3.175 -94.3985 
10 3.175 -94.9858 
10 3.175 -94.6759 
10 3.175 -94.9473 
10 3.175 -95.1641 
10 3.175 -94.7972 
10 3.175 -95.3046 
10 3.175 -94.4396 
10 3.175 -94.7689 
10 3.175 -94.9396 
10 3.18 -95.1351 
10 3.18 -95.0416 
10 3.18 -95.0911 
10 3.18 -94.8183 
10 3.18 -94.1498 
10 3.18 -95.0129 
10 3.18 -95.1894 
10 3.18 -94.2038 
10 3.18 -94.697 
10 3.18 -94.4638 
10 3.18 -95.0314 
10 3.18 -94.0459 
10 3.18 -94.3469 
10 3.18 -94.9267 
10 3.18 -94.7925 
10 3.18 -95.0216 
10 3.18 -94.6232 
10 3.18 -95.1112 
10 3.18 -94.3549 
10 3.18 -94.2605 
10 3.18 -94.63 
10 3.18 -94.3186 
10 3.18 -94.959 
10 3.18 -94.3339 
10 3.18 -95.2635 
10 3.185 -94.6963 
10 3.185 -94.9108 
10 3.185 -94.4953 
10 3.185 -94.5067 
10 3.185 -95.5534 
10 3.185 -94.6778 
10 3.185 -94.5102 
10 3.185 -94.1778 
10 3.185 -94.6098 
10 3.185 -94.6262 
10 3.185 -94.1769 
10 3.185 -94.4453 
10 3.185 -95.271 
10 3.185 -94.5406 
10 3.185 -95.1205 
10 3.185 -94.692 
10 3.185 -94.66 
10 3.185 -94.6094 
10 3.185 -94.1116 
10 3.185 -93.8535 
10 3.185 -94.5767 
10 3.185 -94.1955 
10 3.185 -94.2935 
10 3.185 -94.4022 
10 3.185 -94.6079 
10 3.19 -94.2912 
10 3.19 -93.9765 
10 3.19 -93.8051 
10 3.19 -94.3311 
10 3.19 -93.9783 
10 3.19 -94.3471 
10 3.19 -93.8814 
10 3.19 -94.557 
10 3.19 -93.8074 
10 3.19 -93.9593 
10 3.19 -94.0519 
10 3.19 -93.7203 
10 3.19 -94.5784 
10 3.19 -94.2703 
10 3.19 -94.2388 
10 3.19 -93.9162 
10 3.19 -93.9326 
10 3.19 -93.7311 
10 3.19 -94.4049 
10 3.19 -94.2915 
10 3.19 -94.6518 
10 3.19 -94.4578 
10 3.19 -93.3826 
10 3.19 -94.6304 
10 3.19 -94.4235 
10 3.195 -93.638 
10 3.195 -93.2611 
10 3.195 -93.7179 
10 3.195 -93.5019 
10 3.195 -93.9218 
10 3.195 -94.3386 
10 3.195 -94.0833 
10 3.195 -94.475 
10 3.195 -93.9022 
10 3.195 -94.1182 
10 3.195 -93.8685 
10 3.195 -94.0059 
10 3.195 -94.0628 
10 3.195 -94.331 
10 3.195 -94.416 
10 3.195 -93.7571 
10 3.195 -94.1067 
10 3.195 -93.7058 
10 3.195 -94.1192 
10 3.195 -94.6922 
10 3.195 -94.0378 
10 3.195 -94.3778 
10 3.195 -93.9935 
10 3.195 -94.4002 
10 3.195 -93.9826 
10 3.2 -93.5803 
10 3.2 -93.3989 
10 3.2 -93.4614 
10 3.2 -93.555 
10 3.2 -93.3717 
10 3.2 -93.4931 
10 3.2 -93.984 
10 3.2 -93.7022 
10 3.2 -93.2141 
10 3.2 -93.5877 
10 3.2 -93.8702 
10 3.2 -93.4678 
