J: 3.37764 1.11093 0 0 
nth step2 temperature e 
1 1024 1.5 -217.987 
1 1024 1.5 -217.966 
1 1024 1.5 -217.778 
1 1024 1.5 -218.027 
1 1024 1.5 -218.234 
1 1024 1.5 -218.11 
1 1024 1.5 -218.21 
1 1024 1.5 -218.109 
1 1024 1.5 -218.002 
1 1024 1.5 -217.764 
1 1024 1.5 -218.002 
1 1024 1.5 -217.975 
1 1024 1.5 -217.718 
1 1024 1.5 -217.872 
1 1024 1.5 -218.06 
1 1024 1.5 -217.852 
1 1024 1.5 -217.945 
1 1024 1.5 -218.208 
1 1024 1.5 -217.906 
1 1024 1.5 -218.162 
1 1024 1.5 -218.148 
1 1024 1.5 -217.74 
1 1024 1.5 -217.976 
1 1024 1.5 -218.235 
1 1024 1.5 -217.86 
1 1024 1.505 -218.084 
1 1024 1.505 -218.316 
1 1024 1.505 -218.112 
1 1024 1.505 -217.977 
1 1024 1.505 -217.736 
1 1024 1.505 -218.002 
1 1024 1.505 -218.209 
1 1024 1.505 -218.227 
1 1024 1.505 -217.72 
1 1024 1.505 -217.834 
1 1024 1.505 -218.034 
1 1024 1.505 -217.782 
1 1024 1.505 -217.928 
1 1024 1.505 -218.136 
1 1024 1.505 -217.945 
1 1024 1.505 -217.984 
1 1024 1.505 -217.912 
1 1024 1.505 -217.855 
1 1024 1.505 -217.822 
1 1024 1.505 -218.081 
1 1024 1.505 -217.749 
1 1024 1.505 -217.733 
1 1024 1.505 -217.9 
1 1024 1.505 -218.162 
1 1024 1.505 -217.882 
1 1024 1.51 -217.564 
1 1024 1.51 -217.892 
1 1024 1.51 -217.824 
1 1024 1.51 -218.071 
1 1024 1.51 -217.95 
1 1024 1.51 -217.631 
1 1024 1.51 -217.619 
1 1024 1.51 -218.077 
1 1024 1.51 -217.953 
1 1024 1.51 -217.978 
1 1024 1.51 -218.076 
1 1024 1.51 -218.107 
1 1024 1.51 -218.224 
1 1024 1.51 -218.075 
1 1024 1.51 -217.752 
1 1024 1.51 -217.847 
1 1024 1.51 -217.908 
1 1024 1.51 -217.705 
1 1024 1.51 -217.666 
1 1024 1.51 -217.994 
1 1024 1.51 -217.904 
1 1024 1.51 -217.805 
1 1024 1.51 -217.801 
1 1024 1.51 -218.373 
1 1024 1.51 -218.125 
1 1024 1.515 -218.025 
