J: 8.67113 1.22595 -0.0682711 -0.0198965 
nth step2 temperature e 
3 1024 1.5 -214.839 
3 1024 1.5 -215.043 
3 1024 1.5 -215.187 
3 1024 1.5 -215.127 
3 1024 1.5 -215.177 
3 1024 1.5 -215.167 
3 1024 1.5 -215.341 
3 1024 1.5 -215.199 
3 1024 1.5 -214.891 
3 1024 1.5 -215.252 
3 1024 1.5 -215.27 
3 1024 1.5 -215.396 
3 1024 1.5 -215.338 
3 1024 1.5 -215.198 
3 1024 1.5 -215.22 
3 1024 1.5 -214.786 
3 1024 1.5 -215.433 
3 1024 1.5 -215.164 
3 1024 1.5 -215.119 
3 1024 1.5 -214.986 
3 1024 1.5 -215.158 
3 1024 1.5 -215.061 
3 1024 1.5 -215.291 
3 1024 1.5 -215.146 
3 1024 1.5 -215.212 
3 1024 1.505 -214.602 
3 1024 1.505 -214.591 
3 1024 1.505 -215.011 
3 1024 1.505 -215.204 
3 1024 1.505 -214.923 
3 1024 1.505 -215.071 
3 1024 1.505 -215.066 
3 1024 1.505 -215.143 
3 1024 1.505 -214.838 
3 1024 1.505 -215.059 
3 1024 1.505 -214.512 
3 1024 1.505 -215.383 
3 1024 1.505 -215.027 
3 1024 1.505 -214.744 
3 1024 1.505 -214.74 
3 1024 1.505 -215.046 
3 1024 1.505 -214.7 
3 1024 1.505 -214.959 
3 1024 1.505 -215.07 
3 1024 1.505 -215.004 
3 1024 1.505 -215.152 
3 1024 1.505 -214.735 
3 1024 1.505 -214.951 
3 1024 1.505 -215.078 
3 1024 1.505 -215.406 
3 1024 1.51 -214.386 
3 1024 1.51 -215.03 
3 1024 1.51 -214.551 
3 1024 1.51 -214.877 
3 1024 1.51 -214.861 
3 1024 1.51 -214.612 
3 1024 1.51 -214.962 
3 1024 1.51 -214.848 
3 1024 1.51 -214.558 
3 1024 1.51 -214.518 
3 1024 1.51 -215.448 
3 1024 1.51 -214.857 
3 1024 1.51 -214.847 
3 1024 1.51 -214.575 
3 1024 1.51 -214.858 
3 1024 1.51 -214.529 
3 1024 1.51 -214.814 
3 1024 1.51 -214.643 
3 1024 1.51 -214.48 
3 1024 1.51 -214.835 
3 1024 1.51 -215.074 
3 1024 1.51 -214.617 
3 1024 1.51 -215.292 
3 1024 1.51 -214.68 
3 1024 1.51 -214.57 
3 1024 1.515 -214.56 
3 1024 1.515 -215.117 
3 1024 1.515 -214.824 
3 1024 1.515 -214.364 
3 1024 1.515 -214.967 
3 1024 1.515 -214.729 
3 1024 1.515 -214.715 
3 1024 1.515 -214.427 
3 1024 1.515 -215.223 
3 1024 1.515 -215.103 
3 1024 1.515 -214.97 
3 1024 1.515 -214.609 
3 1024 1.515 -215.055 
3 1024 1.515 -214.749 
3 1024 1.515 -214.676 
3 1024 1.515 -215.007 
3 1024 1.515 -215.036 
3 1024 1.515 -214.616 
3 1024 1.515 -214.562 
3 1024 1.515 -214.836 
3 1024 1.515 -214.88 
3 1024 1.515 -214.745 
3 1024 1.515 -215.177 
3 1024 1.515 -214.487 
3 1024 1.515 -214.902 
3 1024 1.52 -214.588 
3 1024 1.52 -214.495 
3 1024 1.52 -214.606 
3 1024 1.52 -215.277 
3 1024 1.52 -214.547 
3 1024 1.52 -214.708 
3 1024 1.52 -214.491 
3 1024 1.52 -214.643 
3 1024 1.52 -214.991 
3 1024 1.52 -214.664 
3 1024 1.52 -214.884 
3 1024 1.52 -214.17 
3 1024 1.52 -214.572 
3 1024 1.52 -214.864 
3 1024 1.52 -214.773 
3 1024 1.52 -214.47 
3 1024 1.52 -214.677 
3 1024 1.52 -214.74 
3 1024 1.52 -214.791 
3 1024 1.52 -214.989 
3 1024 1.52 -214.811 
3 1024 1.52 -214.851 
3 1024 1.52 -214.219 
3 1024 1.52 -214.781 
3 1024 1.52 -214.596 
3 1024 1.525 -214.37 
3 1024 1.525 -214.383 
3 1024 1.525 -215.009 
3 1024 1.525 -214.591 
3 1024 1.525 -214.596 
3 1024 1.525 -214.498 
3 1024 1.525 -214.709 
3 1024 1.525 -213.925 
3 1024 1.525 -214.628 
3 1024 1.525 -214.523 
3 1024 1.525 -214.677 
3 1024 1.525 -214.348 
3 1024 1.525 -214.663 
3 1024 1.525 -214.462 
3 1024 1.525 -214.516 
3 1024 1.525 -214.207 
