size temperature m m2 m4 ms e sp_h  
20 1.5 0.995324 0.990705 0.981629 0.00903525 -871.932 0.0957701 
20 1.5 0.99543 0.990914 0.982036 0.00855391 -872.023 0.0941443 
20 1.5 0.995303 0.990661 0.98154 0.00883418 -871.821 0.0966032 
20 1.505 0.995235 0.990528 0.981278 0.00901317 -871.702 0.0981433 
20 1.505 0.995331 0.990717 0.981646 0.00854953 -871.9 0.0910442 
20 1.505 0.995283 0.990622 0.981465 0.00902323 -871.871 0.0942704 
20 1.51 0.99514 0.990339 0.980906 0.00911994 -871.561 0.0975241 
20 1.51 0.995236 0.990531 0.981289 0.00929446 -871.754 0.0983097 
20 1.51 0.995326 0.990707 0.981632 0.00886059 -871.882 0.094213 
20 1.515 0.995067 0.990194 0.980623 0.00936119 -871.451 0.0996938 
20 1.515 0.995121 0.990301 0.980834 0.00928062 -871.544 0.0976417 
20 1.515 0.995097 0.990253 0.980736 0.00913151 -871.47 0.0981044 
20 1.52 0.994884 0.989833 0.979915 0.00982741 -871.17 0.102943 
20 1.52 0.994916 0.989895 0.980038 0.00979814 -871.196 0.102114 
20 1.52 0.994939 0.989942 0.980134 0.00994048 -871.248 0.104791 
20 1.525 0.994772 0.989611 0.97948 0.0100854 -870.962 0.10307 
20 1.525 0.994749 0.989564 0.979389 0.0101343 -870.91 0.105338 
20 1.525 0.994884 0.989832 0.979914 0.00983385 -871.125 0.103375 
20 1.53 0.994742 0.98955 0.979359 0.0100087 -870.872 0.106444 
20 1.53 0.994711 0.98949 0.979241 0.0101083 -870.851 0.10624 
20 1.53 0.994685 0.989438 0.979141 0.01031 -870.831 0.105507 
20 1.535 0.994582 0.989233 0.978739 0.0104209 -870.67 0.10555 
20 1.535 0.994568 0.989204 0.978676 0.0100491 -870.623 0.103767 
20 1.535 0.994636 0.98934 0.978945 0.0101218 -870.763 0.103285 
20 1.54 0.994398 0.98887 0.978027 0.0108339 -870.336 0.111665 
20 1.54 0.994433 0.988938 0.97816 0.0107178 -870.445 0.108171 
20 1.54 0.994379 0.988832 0.977952 0.0109011 -870.333 0.110987 
20 1.545 0.994309 0.988693 0.977679 0.0108882 -870.24 0.108741 
20 1.545 0.994276 0.988627 0.977548 0.0109232 -870.17 0.109865 
20 1.545 0.994245 0.988566 0.977428 0.0109851 -870.081 0.111382 
20 1.55 0.994169 0.988415 0.977133 0.0111121 -869.997 0.110368 
20 1.55 0.994065 0.988211 0.976737 0.0117008 -869.878 0.113731 
20 1.55 0.994106 0.98829 0.976882 0.0108785 -869.831 0.11174 
20 1.555 0.994061 0.988201 0.976714 0.011332 -869.814 0.112454 
20 1.555 0.994049 0.988178 0.976672 0.011559 -869.807 0.115154 
20 1.555 0.993991 0.988063 0.976445 0.0115786 -869.7 0.115769 
20 1.56 0.993841 0.987768 0.975871 0.012244 -869.433 0.121163 
20 1.56 0.993886 0.987856 0.976041 0.0119382 -869.531 0.117151 
20 1.56 0.993959 0.988 0.97632 0.011626 -869.62 0.112747 
20 1.565 0.993703 0.987492 0.975323 0.0119023 -869.217 0.11612 
20 1.565 0.993635 0.987358 0.975059 0.012058 -869.114 0.117481 
20 1.565 0.993665 0.987419 0.975182 0.0121742 -869.173 0.11748 
20 1.57 0.993573 0.987236 0.974822 0.0122965 -868.969 0.120439 
20 1.57 0.993531 0.987151 0.974651 0.0119967 -868.919 0.118871 
20 1.57 0.993486 0.987066 0.974497 0.0129329 -868.897 0.121485 
20 1.575 0.993454 0.987002 0.97437 0.01288 -868.804 0.124776 
20 1.575 0.993445 0.986985 0.974339 0.0129628 -868.806 0.124921 
20 1.575 0.99336 0.986815 0.973998 0.0126589 -868.689 0.121217 
20 1.58 0.993212 0.986521 0.973418 0.0126246 -868.39 0.124104 
20 1.58 0.993198 0.986494 0.973372 0.0130779 -868.393 0.124127 
20 1.58 0.993286 0.986669 0.973712 0.0127953 -868.528 0.12404 
20 1.585 0.993159 0.986417 0.973223 0.0132078 -868.371 0.124734 
20 1.585 0.993146 0.986391 0.973168 0.0130556 -868.274 0.125537 
20 1.585 0.993137 0.986373 0.973133 0.0129713 -868.313 0.124909 
20 1.59 0.99286 0.985826 0.972065 0.0137309 -867.91 0.127818 
20 1.59 0.992919 0.985943 0.972296 0.0137458 -867.947 0.130982 
20 1.59 0.99303 0.986161 0.97272 0.0132551 -868.127 0.125606 
20 1.595 0.99269 0.98549 0.971412 0.0142254 -867.598 0.131984 
20 1.595 0.992809 0.985725 0.971872 0.0139748 -867.802 0.130882 
20 1.595 0.9928 0.985709 0.971845 0.0143586 -867.811 0.131523 
20 1.6 0.992611 0.985335 0.971113 0.0146144 -867.465 0.13521 
20 1.6 0.992547 0.985211 0.970878 0.0153144 -867.383 0.13692 
20 1.6 0.992609 0.985331 0.971107 0.0147008 -867.476 0.13581 
20 1.605 0.992433 0.984984 0.970425 0.0148512 -867.227 0.135479 
20 1.605 0.992568 0.98525 0.970942 0.0143839 -867.368 0.133327 
20 1.605 0.992325 0.984772 0.970019 0.0156435 -867.035 0.140149 
20 1.61 0.992162 0.984445 0.969364 0.0147828 -866.689 0.139108 
20 1.61 0.992272 0.984667 0.969813 0.015643 -866.998 0.141061 
20 1.61 0.992325 0.984769 0.970001 0.0148073 -867.066 0.132953 
20 1.615 0.992175 0.984472 0.969423 0.0151169 -866.768 0.138651 
20 1.615 0.992145 0.984414 0.96931 0.0152296 -866.703 0.139125 
20 1.615 0.992129 0.984385 0.96926 0.0157555 -866.7 0.142293 
20 1.62 0.991895 0.983919 0.968344 0.0156738 -866.33 0.141887 
20 1.62 0.991766 0.983667 0.967857 0.0162881 -866.19 0.14284 
20 1.62 0.991903 0.983939 0.968393 0.0163652 -866.39 0.144 
20 1.625 0.991731 0.983598 0.967726 0.0164774 -866.098 0.144991 
20 1.625 0.991702 0.983542 0.967623 0.0170272 -866.075 0.146312 
20 1.625 0.991646 0.983433 0.967416 0.0174968 -866.066 0.147491 
20 1.63 0.991476 0.983093 0.966735 0.0166777 -865.673 0.145826 
20 1.63 0.991625 0.983389 0.967324 0.0170158 -865.881 0.148718 
20 1.63 0.991558 0.98326 0.967079 0.0176585 -865.804 0.152223 
20 1.635 0.991353 0.98285 0.966257 0.0165861 -865.426 0.147685 
20 1.635 0.991453 0.983047 0.966647 0.0166994 -865.609 0.147945 
20 1.635 0.99119 0.982529 0.965639 0.0173383 -865.284 0.149178 
20 1.64 0.991173 0.982494 0.965565 0.0170339 -865.159 0.148805 
20 1.64 0.991296 0.982739 0.966055 0.0174696 -865.403 0.15196 
20 1.64 0.991273 0.982695 0.965973 0.0177926 -865.417 0.150869 
20 1.645 0.991084 0.982319 0.965227 0.017324 -865.078 0.147992 
20 1.645 0.990946 0.98205 0.964717 0.0184961 -864.84 0.156939 
20 1.645 0.990985 0.982127 0.964867 0.0184024 -864.934 0.156735 
20 1.65 0.990708 0.981579 0.963792 0.0184785 -864.47 0.158121 
20 1.65 0.990765 0.981689 0.964001 0.017949 -864.498 0.155394 
20 1.65 0.990709 0.981581 0.963797 0.018529 -864.46 0.156429 
20 1.655 0.99057 0.981306 0.963259 0.0184875 -864.238 0.159719 
20 1.655 0.990674 0.981515 0.96368 0.0192981 -864.454 0.1571 
20 1.655 0.990659 0.981484 0.963611 0.0187607 -864.408 0.15719 
20 1.66 0.990258 0.980694 0.962084 0.0201177 -863.801 0.167598 
20 1.66 0.990482 0.981136 0.962939 0.0193951 -864.185 0.158462 
20 1.66 0.990182 0.980544 0.961789 0.020092 -863.648 0.168925 
20 1.665 0.990236 0.980647 0.961973 0.0189061 -863.647 0.162594 
20 1.665 0.990055 0.980296 0.961315 0.0208725 -863.541 0.166349 
20 1.665 0.990066 0.980312 0.961329 0.0196398 -863.453 0.162908 
