size temperature m m^2 m^4 mag_sus
16 2 0.911359 0.833611 0.703626 0.388717 
16 2 0.911808 0.834452 0.70524 0.391549 
16 2 0.91121 0.833413 0.703318 0.397909 
16 2 0.911156 0.833285 0.703191 0.394164 
16 2 0.910441 0.832052 0.701205 0.403157 
16 2.001 0.91057 0.832143 0.701222 0.384359 
16 2.001 0.910365 0.831835 0.700866 0.392811 
16 2.001 0.911113 0.833035 0.702494 0.372019 
16 2.001 0.91143 0.833683 0.703677 0.380866 
16 2.001 0.910613 0.832191 0.701276 0.380764 
16 2.002 0.91032 0.831808 0.700911 0.399797 
16 2.002 0.911154 0.833048 0.702482 0.364046 
16 2.002 0.910131 0.831527 0.700516 0.407698 
16 2.002 0.911021 0.833106 0.703041 0.40236 
16 2.002 0.909966 0.831127 0.699731 0.395124 
16 2.003 0.910538 0.832163 0.701245 0.394032 
16 2.003 0.909683 0.830793 0.699498 0.417957 
16 2.003 0.910685 0.832508 0.702131 0.40388 
16 2.003 0.909862 0.830921 0.699331 0.392681 
16 2.003 0.909806 0.831028 0.69987 0.419238 
16 2.004 0.910449 0.832033 0.701173 0.397898 
16 2.004 0.91023 0.831646 0.700575 0.399577 
16 2.004 0.909192 0.83002 0.698235 0.433012 
16 2.004 0.910191 0.831486 0.700215 0.388223 
16 2.004 0.911128 0.833129 0.702799 0.379944 
16 2.005 0.910491 0.832058 0.701173 0.391161 
16 2.005 0.90932 0.83012 0.69818 0.415975 
16 2.005 0.910037 0.831214 0.699803 0.389032 
16 2.005 0.909034 0.82973 0.697846 0.432425 
16 2.005 0.910104 0.83133 0.699859 0.388265 
16 2.006 0.90997 0.831085 0.699616 0.387787 
16 2.006 0.90838 0.82835 0.695366 0.40768 
16 2.006 0.90939 0.830002 0.697641 0.384439 
16 2.006 0.90953 0.830267 0.698235 0.385604 
16 2.006 0.909362 0.83007 0.697998 0.39936 
16 2.007 0.908268 0.828387 0.695737 0.438272 
16 2.007 0.909212 0.830115 0.69842 0.439881 
16 2.007 0.908491 0.829049 0.697079 0.471 
16 2.007 0.909641 0.830552 0.698914 0.396016 
16 2.007 0.909317 0.82997 0.697883 0.396991 
16 2.008 0.908624 0.828683 0.695698 0.393286 
16 2.008 0.907893 0.827584 0.694233 0.422497 
16 2.008 0.90937 0.829833 0.697137 0.367196 
16 2.008 0.910023 0.831308 0.700004 0.40352 
16 2.008 0.909082 0.829747 0.697723 0.422928 
16 2.009 0.90857 0.828644 0.695766 0.400863 
16 2.009 0.908587 0.828746 0.695959 0.409665 
16 2.009 0.907827 0.827368 0.693886 0.409962 
16 2.009 0.908803 0.829019 0.69621 0.394548 
16 2.009 0.908298 0.828318 0.695544 0.422244 
16 2.01 0.907669 0.827281 0.693895 0.435401 
16 2.01 0.907598 0.82716 0.693649 0.436244 
16 2.01 0.907918 0.827919 0.695018 0.458976 
16 2.01 0.906781 0.825664 0.691375 0.434586 
16 2.01 0.907985 0.827735 0.6945 0.419981 
16 2.011 0.907705 0.827127 0.693436 0.407016 
16 2.011 0.908329 0.828285 0.695189 0.410386 
16 2.011 0.907794 0.8275 0.69442 0.43412 
16 2.011 0.907797 0.827583 0.694569 0.443954 
16 2.011 0.90737 0.82669 0.692704 0.428835 
16 2.012 0.906036 0.824438 0.689612 0.45008 
16 2.012 0.90749 0.826808 0.692976 0.41607 
16 2.012 0.906973 0.826025 0.691837 0.435824 
16 2.012 0.907897 0.82742 0.693702 0.399891 
16 2.012 0.907104 0.826402 0.692598 0.453564 
16 2.013 0.906586 0.825312 0.690673 0.434198 
16 2.013 0.906731 0.825609 0.691266 0.438382 
16 2.013 0.907934 0.827475 0.693857 0.398249 
16 2.013 0.907657 0.827181 0.693573 0.424783 
16 2.013 0.907287 0.82639 0.692113 0.409542 
16 2.014 0.907281 0.826363 0.692121 0.407176 
16 2.014 0.905597 0.823614 0.688279 0.445938 
16 2.014 0.906718 0.825523 0.691049 0.430287 
16 2.014 0.906845 0.825612 0.691072 0.412292 
16 2.014 0.906484 0.825167 0.690635 0.438886 
16 2.015 0.905555 0.8237 0.688275 0.466124 
16 2.015 0.906209 0.824738 0.689906 0.447766 
16 2.015 0.905057 0.822662 0.686587 0.448986 
16 2.015 0.906019 0.824484 0.689687 0.459109 
16 2.015 0.905131 0.822851 0.686937 0.455936 
16 2.016 0.906168 0.824574 0.689441 0.435992 
16 2.016 0.906285 0.824657 0.689622 0.419555 
16 2.016 0.905921 0.824212 0.689169 0.446873 
16 2.016 0.906145 0.824596 0.68964 0.444204 
16 2.016 0.906328 0.824596 0.689225 0.401906 
16 2.017 0.905002 0.822529 0.686291 0.444205 
16 2.017 0.906355 0.824889 0.690225 0.432614 
16 2.017 0.904745 0.822208 0.686154 0.462544 
16 2.017 0.904718 0.82217 0.686036 0.464006 
16 2.017 0.905486 0.823583 0.688493 0.466797 
16 2.018 0.904676 0.821866 0.685257 0.434802 
16 2.018 0.90572 0.8236 0.687776 0.415042 
16 2.018 0.905246 0.822772 0.686441 0.418837 
16 2.018 0.904322 0.821578 0.685439 0.479509 
16 2.018 0.90498 0.822745 0.687001 0.476554 
16 2.019 0.90459 0.82196 0.685794 0.466228 
16 2.019 0.904592 0.821944 0.685745 0.463724 
16 2.019 0.904605 0.821814 0.685228 0.444171 
16 2.019 0.904089 0.821 0.684166 0.459348 
16 2.019 0.905012 0.822479 0.686141 0.435089 
16 2.02 0.904388 0.821457 0.6847 0.448621 
16 2.02 0.904137 0.821337 0.685027 0.490894 
16 2.02 0.904277 0.821302 0.684393 0.4545 
16 2.02 0.904756 0.822416 0.686654 0.485676 
16 2.02 0.903931 0.820721 0.683765 0.459954 
16 2.021 0.903763 0.820474 0.683376 0.466885 
16 2.021 0.90403 0.820885 0.683992 0.458011 
16 2.021 0.904582 0.821903 0.685412 0.46037 
16 2.021 0.905052 0.822776 0.686819 0.463154 
16 2.021 0.904692 0.822039 0.685716 0.452406 
16 2.022 0.903294 0.819631 0.681995 0.467325 
16 2.022 0.903577 0.820199 0.682862 0.474573 
16 2.022 0.90404 0.820952 0.683993 0.463941 
16 2.022 0.902776 0.818746 0.680652 0.473706 
16 2.022 0.902735 0.818591 0.680354 0.46343 
16 2.023 0.90289 0.81909 0.681582 0.49098 
16 2.023 0.903637 0.820134 0.68253 0.452128 
16 2.023 0.903421 0.819847 0.682396 0.465299 
16 2.023 0.90345 0.819877 0.68217 0.46247 
16 2.023 0.903934 0.820775 0.683891 0.465572 
16 2.024 0.901866 0.817117 0.678166 0.474806 
16 2.024 0.902857 0.819171 0.681659 0.508443 
16 2.024 0.902656 0.818638 0.680548 0.486896 
16 2.024 0.903023 0.81908 0.68104 0.45902 
16 2.024 0.902284 0.817878 0.679347 0.475705 
16 2.025 0.903302 0.819591 0.681874 0.459799 
16 2.025 0.902327 0.818189 0.680155 0.505122 
16 2.025 0.902681 0.818464 0.67996 0.458916 
16 2.025 0.902926 0.819005 0.681053 0.47161 
16 2.025 0.902198 0.818197 0.680338 0.535439 
16 2.026 0.902689 0.8185 0.680084 0.461498 
16 2.026 0.901286 0.816019 0.676237 0.467913 
16 2.026 0.9025 0.818438 0.68029 0.496778 
16 2.026 0.902487 0.818266 0.679891 0.478149 
16 2.026 0.902487 0.818363 0.680248 0.49042 
16 2.027 0.901501 0.81665 0.677752 0.498375 
16 2.027 0.90146 0.816283 0.676622 0.461296 
16 2.027 0.901223 0.816048 0.676563 0.485485 
16 2.027 0.903052 0.819085 0.68098 0.452459 
16 2.027 0.900771 0.815454 0.675926 0.513461 
16 2.028 0.899955 0.814172 0.674157 0.536904 
16 2.028 0.901872 0.817157 0.678008 0.477698 
16 2.028 0.900943 0.815805 0.676581 0.518356 
16 2.028 0.901811 0.817009 0.677966 0.472858 
16 2.028 0.900615 0.815193 0.675572 0.515738 
16 2.029 0.901468 0.816528 0.677371 0.489924 
16 2.029 0.900883 0.815257 0.674999 0.46266 
16 2.029 0.901191 0.816146 0.676851 0.504879 
16 2.029 0.902719 0.818511 0.679887 0.455505 
16 2.029 0.901942 0.817158 0.677905 0.461523 
16 2.03 0.901221 0.815871 0.675902 0.463028 
16 2.03 0.900421 0.814808 0.674797 0.510758 
16 2.03 0.900803 0.815428 0.675734 0.502101 
16 2.03 0.899755 0.81341 0.672119 0.485502 
16 2.03 0.901327 0.816128 0.676339 0.471435 
16 2.031 0.89942 0.81297 0.671711 0.505876 
16 2.031 0.900051 0.814158 0.673873 0.512548 
16 2.031 0.900766 0.815452 0.675967 0.513251 
16 2.031 0.899994 0.814157 0.673801 0.525393 
16 2.031 0.899574 0.813184 0.672019 0.497962 
16 2.032 0.899943 0.813646 0.67235 0.472302 
16 2.032 0.899816 0.813635 0.672872 0.499738 
16 2.032 0.900437 0.814642 0.674311 0.485727 
16 2.032 0.901012 0.81555 0.675425 0.469436 
16 2.032 0.900334 0.814654 0.674559 0.510498 
16 2.033 0.900867 0.815386 0.675295 0.481618 
16 2.033 0.89901 0.812249 0.670613 0.507387 
16 2.033 0.8988 0.811941 0.670363 0.516248 
16 2.033 0.897931 0.810491 0.668185 0.530185 
16 2.033 0.900159 0.814144 0.673419 0.485915 
16 2.034 0.899692 0.813374 0.672295 0.494434 
16 2.034 0.898333 0.810885 0.668423 0.488706 
16 2.034 0.900197 0.814256 0.673826 0.491059 
16 2.034 0.899695 0.813464 0.672505 0.505172 
16 2.034 0.899308 0.812824 0.67165 0.512203 
16 2.035 0.89812 0.810984 0.669207 0.549173 
16 2.035 0.899389 0.812814 0.671295 0.492326 
16 2.035 0.89926 0.81289 0.671846 0.530986 
16 2.035 0.898144 0.811003 0.669152 0.54604 
16 2.035 0.899079 0.812204 0.670333 0.485703 
16 2.036 0.898427 0.81131 0.669294 0.520365 
16 2.036 0.89794 0.810432 0.667785 0.520012 
16 2.036 0.898859 0.811999 0.67029 0.509556 
16 2.036 0.898198 0.811033 0.6692 0.537276 
16 2.036 0.898286 0.811311 0.669636 0.552358 
16 2.037 0.896975 0.808977 0.666046 0.554547 
16 2.037 0.898423 0.810937 0.668071 0.474029 
16 2.037 0.897653 0.809892 0.66721 0.516631 
16 2.037 0.896489 0.808112 0.66459 0.555365 
