size temperature m m^2 m^4 mag_sus
48 0.02 1 1 1 0 
48 0.02 1 1 1 0 
48 0.02 1 1 1 0 
48 0.02 1 1 1 0 
48 0.02 1 1 1 0 
48 0.04 1 1 1 0 
48 0.04 1 1 1 0 
48 0.04 1 1 1 0 
48 0.04 1 1 1 0 
48 0.04 1 1 1 0 
48 0.06 1 1 1 0 
48 0.06 1 1 1 0 
48 0.06 1 1 1 0 
48 0.06 1 1 1 0 
48 0.06 1 1 1 0 
48 0.08 1 1 1 0 
48 0.08 1 1 1 0 
48 0.08 1 1 1 0 
48 0.08 1 1 1 0 
48 0.08 1 1 1 0 
48 0.1 1 1 1 0 
48 0.1 1 1 1 0 
48 0.1 1 1 1 0 
48 0.1 1 1 1 0 
48 0.1 1 1 1 0 
48 0.12 1 1 1 0 
48 0.12 1 1 1 0 
48 0.12 1 1 1 0 
48 0.12 1 1 1 0 
48 0.12 1 1 1 0 
48 0.14 1 1 1 0 
48 0.14 1 1 1 0 
48 0.14 1 1 1 0 
48 0.14 1 1 1 0 
48 0.14 1 1 1 0 
48 0.16 1 1 1 0 
48 0.16 1 1 1 0 
48 0.16 1 1 1 0 
48 0.16 1 1 1 0 
48 0.16 1 1 1 0 
48 0.18 1 1 1 0 
48 0.18 1 1 1 0 
48 0.18 1 1 1 0 
48 0.18 1 1 1 0 
48 0.18 1 1 1 0 
48 0.2 1 1 1 0 
48 0.2 1 1 1 0 
48 0.2 1 1 1 0 
48 0.2 1 1 1 0 
48 0.2 1 1 1 0 
48 0.22 1 1 1 0 
48 0.22 1 1 1 0 
48 0.22 1 1 1 0 
48 0.22 1 1 1 0 
48 0.22 1 1 1 0 
48 0.24 1 1 1 0 
48 0.24 1 1 1 0 
48 0.24 1 1 1 0 
48 0.24 1 1 1 0 
48 0.24 1 1 1 0 
48 0.26 1 1 1 0 
48 0.26 1 1 1 0 
48 0.26 1 1 1 0 
48 0.26 1 1 1 0 
48 0.26 1 1 1 0 
48 0.28 1 1 1 0 
48 0.28 1 1 1 0 
48 0.28 1 1 1 0 
48 0.28 1 1 1 0 
48 0.28 1 1 1 0 
48 0.3 1 1 1 0 
48 0.3 1 1 1 0 
48 0.3 1 1 1 0 
48 0.3 1 1 1 0 
48 0.3 1 1 1 0 
48 0.32 1 1 1 0 
48 0.32 1 1 1 0 
48 0.32 1 1 1 0 
48 0.32 1 1 1 0 
48 0.32 1 1 1 0 
48 0.34 1 1 1 0 
48 0.34 1 1 1 0 
48 0.34 1 1 1 0 
48 0.34 1 1 1 0 
48 0.34 1 1 1 0 
48 0.36 1 1 1 0 
48 0.36 1 1 1 0 
48 0.36 1 1 1 0 
48 0.36 1 1 1 0 
48 0.36 1 1 1 0 
48 0.38 1 1 1 0 
48 0.38 1 1 1 0 
48 0.38 1 1 1 0 
48 0.38 1 1 1 0 
48 0.38 1 1 1 0 
48 0.4 1 1 1 0 
48 0.4 1 1 1 0 
48 0.4 1 1 1 0 
48 0.4 1 1 1 0 
48 0.4 1 1 1 0 
48 0.42 1 1 1 0 
48 0.42 1 1 1 4.13318e-07 
48 0.42 1 1 1 0 
48 0.42 1 1 1 0 
48 0.42 1 1 1 0 
48 0.44 1 1 1 0 
48 0.44 1 1 0.999999 7.88981e-07 
48 0.44 1 1 1 0 
48 0.44 1 1 1 3.94531e-07 
48 0.44 1 1 1 0 
48 0.46 1 1 0.999999 7.54681e-07 
