size temperature err_m err_ms
16 2.15 0.00231751 0.0900962
16 2.15 0.00224923 0.0745478
16 2.15 0.00235629 0.0792723
16 2.15 0.00237829 0.0857906
16 2.15 0.00242257 0.0946283
16 2.151 0.00230372 0.0750881
16 2.151 0.00228283 0.0778395
16 2.151 0.0021225 0.0641517
16 2.151 0.00239256 0.0930675
16 2.151 0.00223874 0.076693
16 2.152 0.0023976 0.0855085
16 2.152 0.00231979 0.0757286
16 2.152 0.00233749 0.0769336
16 2.152 0.00224769 0.0744543
16 2.152 0.00217145 0.0660805
16 2.153 0.00238897 0.0888804
16 2.153 0.00240411 0.084766
16 2.153 0.0023617 0.0911877
16 2.153 0.0021711 0.066022
16 2.153 0.00240522 0.0888605
16 2.154 0.00236787 0.083503
16 2.154 0.00230681 0.0845954
16 2.154 0.00236894 0.0862704
16 2.154 0.00234578 0.079675
16 2.154 0.00218573 0.0741701
16 2.155 0.00236731 0.0792124
16 2.155 0.00234526 0.0877686
16 2.155 0.00219648 0.0716769
16 2.155 0.00243191 0.0925334
16 2.155 0.00256942 0.0958252
16 2.156 0.0024324 0.0934992
16 2.156 0.00233219 0.0803771
16 2.156 0.00231809 0.0827037
16 2.156 0.00238176 0.0872816
16 2.156 0.00238749 0.0795171
16 2.157 0.00230899 0.0677434
16 2.157 0.00240019 0.0843617
16 2.157 0.0023329 0.0794928
16 2.157 0.00241637 0.0826705
16 2.157 0.00227128 0.0847104
16 2.158 0.00229927 0.0697197
16 2.158 0.00241103 0.085336
16 2.158 0.00229593 0.074314
16 2.158 0.00230902 0.0876205
16 2.158 0.00237605 0.0826411
16 2.159 0.00232439 0.0761286
16 2.159 0.00226374 0.0817769
16 2.159 0.00269438 0.123294
16 2.159 0.00250238 0.0929298
16 2.159 0.00233092 0.083811
16 2.16 0.00241769 0.0954624
16 2.16 0.00246929 0.0869432
16 2.16 0.00252171 0.0925134
16 2.16 0.00244842 0.0968143
16 2.16 0.0023724 0.0867729
16 2.161 0.00252922 0.0895433
16 2.161 0.00241346 0.0827692
16 2.161 0.00246551 0.0920207
16 2.161 0.00243368 0.0885787
16 2.161 0.00245892 0.0921417
16 2.162 0.00261503 0.112195
16 2.162 0.00230827 0.069209
16 2.162 0.00241311 0.0895946
16 2.162 0.00236971 0.0752386
16 2.162 0.00248238 0.0923086
16 2.163 0.00254464 0.0994809
16 2.163 0.00244834 0.0856046
16 2.163 0.00253652 0.0993485
16 2.163 0.00236811 0.0836478
16 2.163 0.00241952 0.0833179
16 2.164 0.00247219 0.0995337
16 2.164 0.00264614 0.108425
16 2.164 0.00247471 0.0907612
16 2.164 0.0023541 0.0876431
16 2.164 0.00263792 0.103905
16 2.165 0.00231684 0.0803296
16 2.165 0.00257111 0.0934358
16 2.165 0.00255965 0.0979612
16 2.165 0.00258588 0.1044
16 2.165 0.00241671 0.0882998
16 2.166 0.00240811 0.0844184
16 2.166 0.00260467 0.100309
16 2.166 0.00265041 0.115646
16 2.166 0.00251579 0.106747
16 2.166 0.00238195 0.0848752
16 2.167 0.00242916 0.0778763
16 2.167 0.00254375 0.095222
16 2.167 0.00249324 0.0965243
16 2.167 0.00265847 0.105633
16 2.167 0.00251915 0.0989979
16 2.168 0.00248767 0.0927985
16 2.168 0.0025985 0.0896086
16 2.168 0.00255553 0.0886352
16 2.168 0.00257718 0.0984882
16 2.168 0.00259616 0.101682
16 2.169 0.00251709 0.0868958
16 2.169 0.00264566 0.0907481
16 2.169 0.00266329 0.102052
16 2.169 0.00248258 0.0839465
16 2.169 0.00242574 0.0852608
16 2.17 0.00258805 0.096755
16 2.17 0.00248524 0.0865202
16 2.17 0.00255242 0.0911376
16 2.17 0.00246685 0.0818534
16 2.17 0.00260982 0.0909161
16 2.171 0.00248943 0.0954187
16 2.171 0.00250657 0.0912875
16 2.171 0.0024886 0.0864781
16 2.171 0.00240511 0.0854733
16 2.171 0.00244055 0.0857387
16 2.172 0.00265434 0.097637
16 2.172 0.00256312 0.0898618
16 2.172 0.00246323 0.0938962
16 2.172 0.00247609 0.0863048
16 2.172 0.00263981 0.0981211
16 2.173 0.00249912 0.0909215
16 2.173 0.00254386 0.0924872
16 2.173 0.00252437 0.0856022
16 2.173 0.002874 0.111998
16 2.173 0.00253246 0.0924751
16 2.174 0.00248027 0.0829779
16 2.174 0.00253575 0.0930093
16 2.174 0.00279137 0.105882
16 2.174 0.00262181 0.103993
16 2.174 0.00257529 0.101163
16 2.175 0.0025732 0.0948397
16 2.175 0.00247503 0.0862596
16 2.175 0.0026769 0.0999248
16 2.175 0.00255751 0.0884738
16 2.175 0.00262202 0.0962777
16 2.176 0.00258972 0.0986417
16 2.176 0.00242234 0.0836113
16 2.176 0.00260614 0.103579
16 2.176 0.00266292 0.096628
16 2.176 0.00257026 0.0929514
16 2.177 0.00256843 0.0972685
16 2.177 0.00274258 0.109692
16 2.177 0.00267954 0.111858
16 2.177 0.00268402 0.0935167
16 2.177 0.00255265 0.0953678
16 2.178 0.00244594 0.0875695
16 2.178 0.00254769 0.0920785
16 2.178 0.00251931 0.086587
16 2.178 0.00261407 0.0995925
16 2.178 0.00267265 0.106064
