size temperature err_m err_ms
48 2.2 0.00197368 0.352103
48 2.201 0.001739 0.211268
48 2.202 0.0019509 0.40021
48 2.203 0.00164477 0.289644
48 2.204 0.00196528 0.373328
48 2.205 0.00203929 0.331797
48 2.206 0.00175859 0.323125
48 2.207 0.00180896 0.456224
48 2.208 0.00203674 0.424182
48 2.209 0.00162377 0.30773
48 2.21 0.00171671 0.41894
48 2.211 0.00196488 0.536719
48 2.212 0.0016853 0.406389
48 2.213 0.00208549 0.467925
48 2.214 0.00173997 0.383068
48 2.215 0.0019104 0.514481
48 2.216 0.00205049 0.59779
48 2.217 0.00217848 0.350902
48 2.218 0.0019074 0.529796
48 2.219 0.00179779 0.563443
48 2.22 0.00216781 0.45371
48 2.221 0.00261272 0.809754
48 2.222 0.0023963 1.12747
48 2.223 0.0020853 0.663079
48 2.224 0.00207155 0.589159
48 2.225 0.00239091 0.688118
48 2.226 0.00260691 0.577266
48 2.227 0.00233685 0.513996
48 2.228 0.0022841 0.554817
48 2.229 0.00251558 0.759256
48 2.23 0.00268973 0.904554
48 2.231 0.00291306 0.950302
48 2.232 0.00305586 0.963892
48 2.233 0.00288798 0.763999
48 2.234 0.00225317 0.624744
48 2.235 0.00256449 0.777246
48 2.236 0.00294508 0.813578
48 2.237 0.00278346 0.878656
48 2.238 0.00258898 0.726106
48 2.239 0.00269923 0.785554
48 2.24 0.00290987 0.804647
48 2.241 0.00262024 0.70773
48 2.242 0.00254362 1.05648
48 2.243 0.00306005 0.788067
48 2.244 0.00330268 0.981666
48 2.245 0.00342612 1.04875
48 2.246 0.00347532 1.03151
48 2.247 0.0028539 0.942074
48 2.248 0.00386824 1.24698
48 2.249 0.00299289 0.895503
48 2.25 0.00356897 1.01648
48 2.251 0.00332372 1.1477
48 2.252 0.00369029 1.1942
48 2.253 0.00340161 0.792916
48 2.254 0.00337031 1.01889
48 2.255 0.0033585 1.01482
48 2.256 0.00348563 1.12713
48 2.257 0.00396859 1.22765
48 2.258 0.00355006 1.15486
48 2.259 0.00364732 1.13389
48 2.26 0.00420784 1.1846
48 2.261 0.00376757 1.18046
48 2.262 0.00387649 1.21825
48 2.263 0.00376835 1.03415
48 2.264 0.00422736 1.13357
48 2.265 0.00400878 1.09967
48 2.266 0.00386746 1.11556
48 2.267 0.00356237 0.94517
48 2.268 0.00460421 1.2484
48 2.269 0.00422404 1.04938
48 2.27 0.0042032 1.15901
48 2.271 0.00421054 1.20229
48 2.272 0.00496528 1.19197
48 2.273 0.00443725 1.22082
48 2.274 0.0046147 0.997576
48 2.275 0.0047732 1.07758
48 2.276 0.00488129 1.26347
48 2.277 0.00488868 1.14872
48 2.278 0.00496927 1.12215
48 2.279 0.00506691 1.23206
48 2.28 0.00484428 1.12753
48 2.281 0.00513612 1.13602
48 2.282 0.00461314 1.08954
48 2.283 0.00468222 1.14306
48 2.284 0.00473149 1.07699
48 2.285 0.00537305 1.34945
48 2.286 0.00523626 1.10698
48 2.287 0.0046877 1.02495
48 2.288 0.00467019 1.12199
48 2.289 0.00551423 1.58409
48 2.29 0.00497584 1.09476
48 2.291 0.00481672 0.929609
48 2.292 0.005764 1.7194
48 2.293 0.00581838 0.987307
48 2.294 0.00543208 0.966821
48 2.295 0.00595612 1.01478
48 2.296 0.00506315 1.03571
48 2.297 0.00548328 0.977053
48 2.298 0.00609747 0.975717
48 2.299 0.00505759 1.03278
48 2.3 0.00583714 0.99603
48 2.301 0.00540195 0.886441
48 2.302 0.00583439 0.864917
48 2.303 0.00493859 0.879377
48 2.304 0.00593347 0.978458
48 2.305 0.00561627 1.10725
48 2.306 0.00584185 0.899889
48 2.307 0.00572023 0.882165
48 2.308 0.00566757 0.960823
48 2.309 0.00599943 0.918124
48 2.31 0.00632429 0.815942
48 2.311 0.00640114 0.854762
48 2.312 0.00616415 0.77951
48 2.313 0.00564309 0.801565
48 2.314 0.00567444 0.837324
48 2.315 0.00525293 0.686613
48 2.316 0.00590018 0.787796
48 2.317 0.00570217 0.824128
48 2.318 0.00554662 0.869851
48 2.319 0.00557412 0.943197
48 2.32 0.00513289 0.752124
48 2.321 0.00531593 0.727139
48 2.322 0.00578839 0.768589
48 2.323 0.00503169 0.786082
48 2.324 0.00592948 0.735029
48 2.325 0.00618729 0.767226
48 2.326 0.00514352 0.686646
48 2.327 0.00588432 0.621104
48 2.328 0.00537072 0.713585
48 2.329 0.00557132 0.726979
48 2.33 0.0054906 0.682085
48 2.331 0.00540167 0.844219
48 2.332 0.005176 0.678143
48 2.333 0.00512261 0.748725
48 2.334 0.00555888 0.739456
48 2.335 0.00569666 0.739983
48 2.336 0.00524237 0.684352
48 2.337 0.00492892 0.737741
48 2.338 0.00518424 0.674642
48 2.339 0.00573647 0.765219
48 2.34 0.00482843 0.668175
48 2.341 0.00546917 0.697771
48 2.342 0.00529251 0.70164
48 2.343 0.00489168 0.692315
48 2.344 0.00504426 0.699487
48 2.345 0.00572734 0.761918
48 2.346 0.00515285 0.66781
48 2.347 0.00479605 0.618306
48 2.348 0.00544709 0.724997
48 2.349 0.00468233 0.680694
48 2.35 0.00481163 0.649605
48 2.351 0.00543542 0.78842
48 2.352 0.00488351 0.665083
48 2.353 0.00538959 0.667796
48 2.354 0.00430921 0.663567
48 2.355 0.00492251 0.712392
48 2.356 0.0046475 0.678548
48 2.357 0.00440232 0.668115
48 2.358 0.00465621 0.689989
